,LNT US Equity
,RSI_30D
2020-01-01,58.8282
2020-01-02,52.2209
2020-01-03,53.0713
2020-01-04,53.0713
2020-01-05,53.0713
2020-01-06,52.7855
2020-01-07,53.0471
2020-01-08,53.6843
2020-01-09,56.7693
2020-01-10,59.2546
2020-01-11,59.2546
2020-01-12,59.2546
2020-01-13,61.4216
2020-01-14,61.5873
2020-01-15,64.1376
2020-01-16,66.0331
2020-01-17,67.3381
2020-01-18,67.3381
2020-01-19,67.3381
2020-01-20,67.3381
2020-01-21,68.0074
2020-01-22,69.2773
2020-01-23,71.4142
2020-01-24,72.7138
2020-01-25,72.7138
2020-01-26,72.7138
2020-01-27,71.9934
2020-01-28,72.8828
2020-01-29,72.3628
2020-01-30,74.3247
2020-01-31,73.8726
2020-02-01,73.8726
2020-02-02,73.8726
2020-02-03,74.3037
2020-02-04,68.0589
2020-02-05,67.3777
2020-02-06,67.1691
2020-02-07,65.7647
2020-02-08,65.7647
2020-02-09,65.7647
2020-02-10,66.0947
2020-02-11,65.8757
2020-02-12,66.8968
2020-02-13,69.4208
2020-02-14,70.5811
2020-02-15,70.5811
2020-02-16,70.5811
2020-02-17,70.5811
2020-02-18,71.8839
2020-02-19,66.8404
2020-02-20,67.1975
2020-02-21,64.2653
2020-02-22,64.2653
2020-02-23,64.2653
2020-02-24,62.2715
2020-02-25,57.2973
2020-02-26,56.2826
2020-02-27,43.5244
2020-02-28,35.3735
2020-02-29,35.3735
2020-03-01,35.3735
2020-03-02,47.1054
2020-03-03,45.5478
2020-03-04,53.8208
2020-03-05,52.5642
2020-03-06,52.8067
2020-03-07,52.8067
2020-03-08,52.8067
2020-03-09,44.899
2020-03-10,44.5672
2020-03-11,39.9662
2020-03-12,34.7196
2020-03-13,41.0999
2020-03-14,41.0999
2020-03-15,41.0999
2020-03-16,36.5608
2020-03-17,45.5239
2020-03-18,41.261
2020-03-19,37.0968
2020-03-20,33.2785
2020-03-21,33.2785
2020-03-22,33.2785
2020-03-23,32.7074
2020-03-24,38.6441
2020-03-25,39.1037
2020-03-26,44.1355
2020-03-27,43.9839
2020-03-28,43.9839
2020-03-29,43.9839
2020-03-30,47.4916
2020-03-31,45.1281
2020-04-01,41.9808
2020-04-02,44.3394
2020-04-03,42.7091
2020-04-04,42.7091
2020-04-05,42.7091
2020-04-06,45.8289
2020-04-07,46.0557
2020-04-08,49.5513
2020-04-09,51.4922
2020-04-10,51.4922
2020-04-11,51.4922
2020-04-12,51.4922
2020-04-13,49.571
2020-04-14,51.9063
2020-04-15,49.7472
2020-04-16,49.8591
2020-04-17,51.1487
2020-04-18,51.1487
2020-04-19,51.1487
2020-04-20,48.2165
2020-04-21,47.9302
2020-04-22,49.3565
2020-04-23,48.3875
2020-04-24,48.2727
2020-04-25,48.2727
2020-04-26,48.2727
2020-04-27,48.6847
2020-04-28,49.0462
2020-04-29,48.0671
2020-04-30,47.0945
2020-05-01,45.6502
2020-05-02,45.6502
2020-05-03,45.6502
2020-05-04,45.9732
2020-05-05,46.6758
2020-05-06,44.5633
2020-05-07,44.6613
2020-05-08,47.0816
2020-05-09,47.0816
2020-05-10,47.0816
2020-05-11,45.9994
2020-05-12,45.1905
2020-05-13,44.5574
2020-05-14,44.6773
2020-05-15,44.6928
2020-05-16,44.6928
2020-05-17,44.6928
2020-05-18,47.4146
2020-05-19,45.574
2020-05-20,46.0924
2020-05-21,45.266
2020-05-22,45.8242
2020-05-23,45.8242
2020-05-24,45.8242
2020-05-25,45.8242
2020-05-26,46.6761
2020-05-27,47.3547
2020-05-28,49.764
2020-05-29,50.5294
2020-05-30,50.5294
2020-05-31,50.5294
2020-06-01,50.6849
2020-06-02,51.782
2020-06-03,53.1379
2020-06-04,51.5365
2020-06-05,52.3892
2020-06-06,52.3892
2020-06-07,52.3892
2020-06-08,54.9408
2020-06-09,52.2673
2020-06-10,52.1826
2020-06-11,48.856
2020-06-12,48.6348
2020-06-13,48.6348
2020-06-14,48.6348
2020-06-15,49.2628
2020-06-16,49.4012
2020-06-17,49.2449
2020-06-18,49.4654
2020-06-19,47.6106
2020-06-20,47.6106
2020-06-21,47.6106
2020-06-22,48.5603
2020-06-23,47.4899
2020-06-24,46.1286
2020-06-25,45.5151
2020-06-26,46.1082
2020-06-27,46.1082
2020-06-28,46.1082
2020-06-29,46.8564
2020-06-30,47.7988
2020-07-01,49.7272
2020-07-02,51.0687
2020-07-03,51.0687
2020-07-04,51.0687
2020-07-05,51.0687
2020-07-06,50.1871
2020-07-07,49.081
2020-07-08,49.1685
2020-07-09,48.6071
2020-07-10,50.3876
2020-07-11,50.3876
2020-07-12,50.3876
2020-07-13,50.1714
2020-07-14,51.409
2020-07-15,51.1198
2020-07-16,51.9585
2020-07-17,54.3017
2020-07-18,54.3017
2020-07-19,54.3017
2020-07-20,53.4716
2020-07-21,54.1067
2020-07-22,57.9647
2020-07-23,59.3252
2020-07-24,58.9586
2020-07-25,58.9586
2020-07-26,58.9586
2020-07-27,58.2426
2020-07-28,59.7592
2020-07-29,60.5304
2020-07-30,60.8113
2020-07-31,60.9754
2020-08-01,60.9754
2020-08-02,60.9754
2020-08-03,59.8728
2020-08-04,60.503
2020-08-05,57.5068
2020-08-06,58.5792
2020-08-07,61.5282
2020-08-08,61.5282
2020-08-09,61.5282
2020-08-10,62.7797
2020-08-11,57.5817
