,CBU US Equity
,RSI_30D
2020-01-01,67.2519
2020-01-02,67.3291
2020-01-03,65.2094
2020-01-04,65.2094
2020-01-05,65.2094
2020-01-06,63.2024
2020-01-07,60.5812
2020-01-08,63.6963
2020-01-09,65.0442
2020-01-10,62.2698
2020-01-11,62.2698
2020-01-12,62.2698
2020-01-13,63.9955
2020-01-14,64.2639
2020-01-15,61.1964
2020-01-16,63.4457
2020-01-17,62.52
2020-01-18,62.52
2020-01-19,62.52
2020-01-20,62.52
2020-01-21,57.3682
2020-01-22,57.4291
2020-01-23,57.0073
2020-01-24,54.8003
2020-01-25,54.8003
2020-01-26,54.8003
2020-01-27,49.8642
2020-01-28,48.6868
2020-01-29,45.8536
2020-01-30,47.6492
2020-01-31,43.8714
2020-02-01,43.8714
2020-02-02,43.8714
2020-02-03,47.707
2020-02-04,49.1769
2020-02-05,53.4757
2020-02-06,51.4301
2020-02-07,49.5305
2020-02-08,49.5305
2020-02-09,49.5305
2020-02-10,49.7135
2020-02-11,51.9082
2020-02-12,52.4668
2020-02-13,54.2322
2020-02-14,53.3915
2020-02-15,53.3915
2020-02-16,53.3915
2020-02-17,53.3915
2020-02-18,50.2335
2020-02-19,50.6952
2020-02-20,52.283
2020-02-21,50.3166
2020-02-22,50.3166
2020-02-23,50.3166
2020-02-24,46.684
2020-02-25,41.9578
2020-02-26,42.2536
2020-02-27,38.6741
2020-02-28,33.1096
2020-02-29,33.1096
2020-03-01,33.1096
2020-03-02,45.2412
2020-03-03,43.2615
2020-03-04,46.9713
2020-03-05,43.8159
2020-03-06,41.9322
2020-03-07,41.9322
2020-03-08,41.9322
2020-03-09,34.1555
2020-03-10,34.72
2020-03-11,31.988
2020-03-12,29.6144
2020-03-13,39.8803
2020-03-14,39.8803
2020-03-15,39.8803
2020-03-16,34.6439
2020-03-17,44.0553
2020-03-18,45.9505
2020-03-19,45.5155
2020-03-20,38.2906
2020-03-21,38.2906
2020-03-22,38.2906
2020-03-23,36.3753
2020-03-24,42.8148
2020-03-25,42.3531
2020-03-26,46.6343
2020-03-27,45.9716
2020-03-28,45.9716
2020-03-29,45.9716
2020-03-30,47.0432
2020-03-31,47.1637
2020-04-01,47.221
2020-04-02,49.6866
2020-04-03,48.0128
2020-04-04,48.0128
2020-04-05,48.0128
2020-04-06,48.8614
2020-04-07,48.8248
2020-04-08,49.7889
2020-04-09,53.1635
2020-04-10,53.1635
2020-04-11,53.1635
2020-04-12,53.1635
2020-04-13,49.2613
2020-04-14,49.3628
2020-04-15,47.8515
2020-04-16,48.7595
2020-04-17,50.1262
2020-04-18,50.1262
2020-04-19,50.1262
2020-04-20,49.5242
2020-04-21,48.1659
2020-04-22,47.2013
2020-04-23,48.0169
2020-04-24,48.6169
