,RSG US Equity
,RSI_30D
2020-01-01,55.5474
2020-01-02,56.2782
2020-01-03,57.6468
2020-01-04,57.6468
2020-01-05,57.6468
2020-01-06,59.0091
2020-01-07,56.7341
2020-01-08,57.0258
2020-01-09,59.6636
2020-01-10,59.3121
2020-01-11,59.3121
2020-01-12,59.3121
2020-01-13,62.3901
2020-01-14,63.3364
2020-01-15,64.5852
2020-01-16,67.2249
2020-01-17,66.9025
2020-01-18,66.9025
2020-01-19,66.9025
2020-01-20,66.9025
2020-01-21,67.8334
2020-01-22,69.1664
2020-01-23,69.3684
2020-01-24,69.9539
2020-01-25,69.9539
2020-01-26,69.9539
2020-01-27,69.9539
2020-01-28,68.2542
2020-01-29,68.5646
2020-01-30,71.8286
2020-01-31,67.893
2020-02-01,67.893
2020-02-02,67.893
2020-02-03,69.8766
2020-02-04,70.798
2020-02-05,72.2821
2020-02-06,70.65
2020-02-07,71.8734
2020-02-08,71.8734
2020-02-09,71.8734
2020-02-10,73.3422
2020-02-11,73.7936
2020-02-12,74.6416
2020-02-13,75.6879
2020-02-14,78.1415
2020-02-15,78.1415
2020-02-16,78.1415
2020-02-17,78.1415
2020-02-18,77.233
2020-02-19,75.9204
2020-02-20,70.9319
2020-02-21,71.5828
2020-02-22,71.5828
2020-02-23,71.5828
2020-02-24,69.0048
2020-02-25,60.5262
2020-02-26,59.9186
2020-02-27,43.2635
2020-02-28,40.9748
2020-02-29,40.9748
2020-03-01,40.9748
2020-03-02,50.547
2020-03-03,45.0648
2020-03-04,54.6981
2020-03-05,51.7648
2020-03-06,52.7243
2020-03-07,52.7243
2020-03-08,52.7243
2020-03-09,47.1023
2020-03-10,49.1958
2020-03-11,46.1986
2020-03-12,34.0286
2020-03-13,41.3926
2020-03-14,41.3926
2020-03-15,41.3926
2020-03-16,34.7891
2020-03-17,40.869
2020-03-18,37.1378
2020-03-19,36.0197
2020-03-20,34.6163
2020-03-21,34.6163
2020-03-22,34.6163
2020-03-23,31.8602
2020-03-24,37.0
2020-03-25,37.2341
2020-03-26,42.2595
2020-03-27,41.175
2020-03-28,41.175
2020-03-29,41.175
2020-03-30,42.0721
2020-03-31,41.3323
2020-04-01,39.8931
2020-04-02,42.1285
2020-04-03,40.4606
2020-04-04,40.4606
2020-04-05,40.4606
2020-04-06,41.8541
2020-04-07,42.6018
2020-04-08,45.404
2020-04-09,48.2563
2020-04-10,48.2563
2020-04-11,48.2563
2020-04-12,48.2563
2020-04-13,46.2122
2020-04-14,46.4445
2020-04-15,44.9355
2020-04-16,45.2394
2020-04-17,47.6634
2020-04-18,47.6634
2020-04-19,47.6634
2020-04-20,46.221
2020-04-21,45.0033
2020-04-22,46.1133
2020-04-23,45.1205
2020-04-24,44.8289
2020-04-25,44.8289
2020-04-26,44.8289
2020-04-27,47.0582
2020-04-28,47.3724
2020-04-29,48.0722
2020-04-30,46.9044
2020-05-01,45.9278
2020-05-02,45.9278
2020-05-03,45.9278
2020-05-04,45.9951
2020-05-05,46.2718
2020-05-06,47.3383
2020-05-07,49.8962
2020-05-08,49.9907
2020-05-09,49.9907
2020-05-10,49.9907
2020-05-11,50.7022
2020-05-12,48.9497
2020-05-13,47.9216
2020-05-14,48.7668
2020-05-15,48.2531
2020-05-16,48.2531
2020-05-17,48.2531
2020-05-18,51.0631
2020-05-19,49.837
