,WERN US Equity
,RSI_30D
2020-04-27,60.5018
2020-04-28,59.5179
2020-04-29,58.5333
2020-04-30,56.2712
2020-05-01,57.7108
2020-05-02,57.7108
2020-05-03,57.7108
2020-05-04,57.3926
2020-05-05,58.9157
2020-05-06,57.2861
2020-05-07,57.0762
2020-05-08,58.8613
2020-05-09,58.8613
2020-05-10,58.8613
2020-05-11,61.2869
2020-05-12,57.6091
2020-05-13,56.624
2020-05-14,55.6617
2020-05-15,56.1635
2020-05-16,56.1635
2020-05-17,56.1635
2020-05-18,59.531
2020-05-19,58.2289
2020-05-20,58.4805
2020-05-21,59.0924
2020-05-22,60.7862
2020-05-23,60.7862
2020-05-24,60.7862
2020-05-25,60.7862
2020-05-26,60.431
2020-05-27,61.251
2020-05-28,62.8441
2020-05-29,63.7871
2020-05-30,63.7871
2020-05-31,63.7871
2020-06-01,60.7564
2020-06-02,59.6
2020-06-03,56.4626
2020-06-04,53.6995
2020-06-05,53.8358
2020-06-06,53.8358
2020-06-07,53.8358
2020-06-08,53.2794
2020-06-09,52.0958
2020-06-10,55.1477
2020-06-11,49.2475
2020-06-12,48.514
2020-06-13,48.514
2020-06-14,48.514
2020-06-15,52.3513
2020-06-16,52.2896
2020-06-17,54.5789
2020-06-18,55.3299
2020-06-19,52.5275
2020-06-20,52.5275
2020-06-21,52.5275
2020-06-22,52.8669
2020-06-23,53.9452
2020-06-24,52.5063
2020-06-25,51.8344
2020-06-26,53.3483
2020-06-27,53.3483
2020-06-28,53.3483
2020-06-29,53.3483
2020-06-30,55.0205
2020-07-01,51.4545
2020-07-02,52.3518
2020-07-03,52.3518
2020-07-04,52.3518
2020-07-05,52.3518
2020-07-06,53.9912
2020-07-07,56.2148
2020-07-08,56.9506
2020-07-09,56.1694
2020-07-10,55.432
2020-07-11,55.432
2020-07-12,55.432
2020-07-13,50.9778
2020-07-14,52.8658
2020-07-15,53.3256
2020-07-16,54.367
2020-07-17,57.0366
2020-07-18,57.0366
2020-07-19,57.0366
2020-07-20,56.8646
2020-07-21,56.114
2020-07-22,54.5499
2020-07-23,53.884
2020-07-24,54.2902
2020-07-25,54.2902
2020-07-26,54.2902
2020-07-27,53.4823
2020-07-28,50.438
2020-07-29,52.3028
2020-07-30,54.6697
2020-07-31,53.338
2020-08-01,53.338
2020-08-02,53.338
2020-08-03,52.705
2020-08-04,52.1277
2020-08-05,48.8772
2020-08-06,48.3916
2020-08-07,50.592
2020-08-08,50.592
