,KO US Equity
,RSI_30D
2020-01-01,55.1645
2020-01-02,52.9551
2020-01-03,51.1878
2020-01-04,51.1878
2020-01-05,51.1878
2020-01-06,51.0703
2020-01-07,48.6437
2020-01-08,49.2378
2020-01-09,54.6146
2020-01-10,55.5494
2020-01-11,55.5494
2020-01-12,55.5494
2020-01-13,58.3517
2020-01-14,57.5386
2020-01-15,60.5968
2020-01-16,61.0938
2020-01-17,61.5948
2020-01-18,61.5948
2020-01-19,61.5948
2020-01-20,61.5948
2020-01-21,62.551
2020-01-22,64.3097
2020-01-23,65.156
2020-01-24,64.0841
2020-01-25,64.0841
2020-01-26,64.0841
2020-01-27,62.6623
2020-01-28,59.4553
2020-01-29,59.4553
2020-01-30,66.6458
2020-01-31,63.7382
2020-02-01,63.7382
2020-02-02,63.7382
2020-02-03,64.3675
2020-02-04,65.2681
2020-02-05,65.303
2020-02-06,65.8006
2020-02-07,66.5104
2020-02-08,66.5104
2020-02-09,66.5104
2020-02-10,68.4095
2020-02-11,67.2818
2020-02-12,66.0153
2020-02-13,66.7351
2020-02-14,67.9295
2020-02-15,67.9295
2020-02-16,67.9295
2020-02-17,67.9295
2020-02-18,64.9493
2020-02-19,65.8353
2020-02-20,65.4786
2020-02-21,66.9956
2020-02-22,66.9956
2020-02-23,66.9956
2020-02-24,57.5517
2020-02-25,53.201
2020-02-26,52.1206
2020-02-27,41.5316
2020-02-28,37.3033
2020-02-29,37.3033
2020-03-01,37.3033
2020-03-02,46.7647
2020-03-03,47.2392
2020-03-04,55.6026
2020-03-05,49.4249
2020-03-06,45.8474
2020-03-07,45.8474
2020-03-08,45.8474
2020-03-09,39.1183
2020-03-10,43.648
2020-03-11,41.0997
2020-03-12,33.9572
2020-03-13,37.7993
2020-03-14,37.7993
2020-03-15,37.7993
2020-03-16,33.9825
2020-03-17,37.8646
2020-03-18,35.2616
2020-03-19,32.2855
2020-03-20,29.2958
2020-03-21,29.2958
2020-03-22,29.2958
2020-03-23,28.7191
2020-03-24,32.2434
2020-03-25,35.9853
2020-03-26,40.2226
2020-03-27,38.757
2020-03-28,38.757
2020-03-29,38.757
2020-03-30,41.9924
2020-03-31,41.2209
2020-04-01,39.1099
2020-04-02,41.7607
2020-04-03,41.6378
2020-04-04,41.6378
2020-04-05,41.6378
2020-04-06,45.5621
2020-04-07,45.3842
2020-04-08,47.1322
2020-04-09,48.6632
2020-04-10,48.6632
2020-04-11,48.6632
2020-04-12,48.6632
2020-04-13,46.2335
2020-04-14,48.7769
2020-04-15,47.2546
2020-04-16,46.6681
2020-04-17,47.9268
2020-04-18,47.9268
2020-04-19,47.9268
2020-04-20,46.1317
2020-04-21,44.8263
2020-04-22,45.2444
2020-04-23,44.5345
2020-04-24,45.0608
2020-04-25,45.0608
2020-04-26,45.0608
2020-04-27,47.0113
2020-04-28,46.9602
2020-04-29,47.5209
2020-04-30,45.8964
2020-05-01,45.5169
