,SC US Equity
,RSI_30D
2020-01-01,41.7283
2020-01-02,42.7188
2020-01-03,40.4282
2020-01-04,40.4282
2020-01-05,40.4282
2020-01-06,39.4474
2020-01-07,38.3372
2020-01-08,39.047
2020-01-09,39.1678
2020-01-10,38.1514
2020-01-11,38.1514
2020-01-12,38.1514
2020-01-13,37.0053
2020-01-14,36.4762
2020-01-15,39.4199
2020-01-16,42.076
2020-01-17,42.6669
2020-01-18,42.6669
2020-01-19,42.6669
2020-01-20,42.6669
2020-01-21,42.6669
2020-01-22,49.5037
2020-01-23,51.0616
2020-01-24,47.2884
2020-01-25,47.2884
2020-01-26,47.2884
2020-01-27,41.7793
2020-01-28,45.403
2020-01-29,63.4745
2020-01-30,65.9501
2020-01-31,65.2126
2020-02-01,65.2126
2020-02-02,65.2126
2020-02-03,65.3329
2020-02-04,64.8688
2020-02-05,64.9547
2020-02-06,65.087
2020-02-07,64.9165
2020-02-08,64.9165
2020-02-09,64.9165
2020-02-10,65.1056
2020-02-11,65.8671
2020-02-12,66.2952
2020-02-13,68.0017
2020-02-14,64.9668
2020-02-15,64.9668
2020-02-16,64.9668
2020-02-17,64.9668
2020-02-18,63.8941
2020-02-19,63.6224
2020-02-20,64.0442
2020-02-21,64.0442
2020-02-22,64.0442
2020-02-23,64.0442
2020-02-24,60.3914
2020-02-25,56.6223
2020-02-26,57.4955
2020-02-27,54.4964
2020-02-28,46.3795
2020-02-29,46.3795
2020-03-01,46.3795
2020-03-02,44.3848
2020-03-03,41.3862
2020-03-04,48.7948
2020-03-05,41.92
2020-03-06,40.4462
2020-03-07,40.4462
2020-03-08,40.4462
2020-03-09,31.6681
2020-03-10,37.9428
2020-03-11,36.1836
2020-03-12,31.5101
2020-03-13,36.6479
2020-03-14,36.6479
2020-03-15,36.6479
2020-03-16,29.3636
2020-03-17,28.6831
2020-03-18,25.4434
2020-03-19,24.7183
2020-03-20,23.5717
2020-03-21,23.5717
2020-03-22,23.5717
2020-03-23,22.0939
2020-03-24,31.125
2020-03-25,38.5237
2020-03-26,39.4608
2020-03-27,37.6058
2020-03-28,37.6058
2020-03-29,37.6058
2020-03-30,37.2348
2020-03-31,36.1859
2020-04-01,34.0346
2020-04-02,35.2246
2020-04-03,33.9042
2020-04-04,33.9042
2020-04-05,33.9042
2020-04-06,37.2018
2020-04-07,39.2051
2020-04-08,41.4403
2020-04-09,44.8489
2020-04-10,44.8489
2020-04-11,44.8489
2020-04-12,44.8489
2020-04-13,42.6433
2020-04-14,41.5547
2020-04-15,40.1264
2020-04-16,38.7487
2020-04-17,41.6247
2020-04-18,41.6247
2020-04-19,41.6247
2020-04-20,40.7351
2020-04-21,39.515
2020-04-22,39.2746
2020-04-23,40.1224
2020-04-24,40.6935
2020-04-25,40.6935
