,CRD/B US Equity
,RSI_30D
2020-01-01,58.0383
2020-01-02,53.188
2020-01-03,53.4972
2020-01-04,53.4972
2020-01-05,53.4972
2020-01-06,51.7296
2020-01-07,52.6996
2020-01-08,51.6264
2020-01-09,52.9481
2020-01-10,41.9738
2020-01-11,41.9738
2020-01-12,41.9738
2020-01-13,41.3744
2020-01-14,43.2198
2020-01-15,43.8842
2020-01-16,47.9281
2020-01-17,47.8364
2020-01-18,47.8364
2020-01-19,47.8364
2020-01-20,47.8364
2020-01-21,48.7586
2020-01-22,49.0691
2020-01-23,48.612
2020-01-24,49.4243
2020-01-25,49.4243
2020-01-26,49.4243
2020-01-27,36.088
2020-01-28,37.7787
2020-01-29,35.0738
2020-01-30,34.2553
2020-01-31,32.8288
2020-02-01,32.8288
2020-02-02,32.8288
2020-02-03,35.8971
2020-02-04,37.6645
2020-02-05,42.1982
2020-02-06,41.2575
2020-02-07,40.7873
2020-02-08,40.7873
2020-02-09,40.7873
2020-02-10,40.5007
2020-02-11,39.6365
2020-02-12,38.9676
2020-02-13,38.9904
2020-02-14,39.1238
2020-02-15,39.1238
2020-02-16,39.1238
2020-02-17,39.1238
2020-02-18,39.02
2020-02-19,39.02
2020-02-20,37.3738
2020-02-21,34.0647
2020-02-22,34.0647
2020-02-23,34.0647
2020-02-24,32.9283
2020-02-25,32.4969
2020-02-26,30.8155
2020-02-27,28.8108
2020-02-28,26.8638
2020-02-29,26.8638
2020-03-01,26.8638
2020-03-02,29.8416
2020-03-03,28.2327
2020-03-04,29.5985
2020-03-05,28.4772
2020-03-06,38.43
2020-03-07,38.43
2020-03-08,38.43
2020-03-09,34.3137
2020-03-10,35.3556
2020-03-11,34.2322
2020-03-12,30.1995
2020-03-13,36.4
2020-03-14,36.4
2020-03-15,36.4
2020-03-16,35.8302
2020-03-17,35.4474
2020-03-18,32.9587
2020-03-19,30.6259
2020-03-20,34.633
2020-03-21,34.633
2020-03-22,34.633
2020-03-23,38.4151
2020-03-24,40.9255
2020-03-25,39.3301
2020-03-26,39.2674
2020-03-27,37.6538
2020-03-28,37.6538
2020-03-29,37.6538
2020-03-30,39.2432
2020-03-31,40.8044
2020-04-01,37.6905
2020-04-02,36.6282
2020-04-03,39.1529
2020-04-04,39.1529
2020-04-05,39.1529
2020-04-06,43.2882
2020-04-07,44.3096
2020-04-08,46.3905
2020-04-09,47.842
2020-04-10,47.842
2020-04-11,47.842
2020-04-12,47.842
2020-04-13,45.8445
2020-04-14,46.9092
2020-04-15,44.1466
2020-04-16,41.4331
2020-04-17,43.9288
2020-04-18,43.9288
2020-04-19,43.9288
2020-04-20,43.1019
2020-04-21,42.4085
2020-04-22,42.5822
2020-04-23,42.1221
2020-04-24,46.6775
2020-04-25,46.6775
2020-04-26,46.6775
2020-04-27,49.8452
2020-04-28,49.5517
2020-04-29,52.3114
2020-04-30,47.373
2020-05-01,43.8267
2020-05-02,43.8267
2020-05-03,43.8267
2020-05-04,44.5668
2020-05-05,44.5668
2020-05-06,42.6427
2020-05-07,40.9839
2020-05-08,40.8704
2020-05-09,40.8704
2020-05-10,40.8704
2020-05-11,41.869
2020-05-12,40.4555
2020-05-13,38.9806
2020-05-14,38.6443
2020-05-15,38.8263
2020-05-16,38.8263
2020-05-17,38.8263
2020-05-18,41.8593
2020-05-19,39.9892
2020-05-20,41.9788
2020-05-21,45.0125
2020-05-22,44.5566
2020-05-23,44.5566
2020-05-24,44.5566
2020-05-25,44.5566
2020-05-26,47.6149
2020-05-27,49.4635
2020-05-28,48.7516
2020-05-29,45.8184
2020-05-30,45.8184
2020-05-31,45.8184
2020-06-01,47.499
2020-06-02,49.8402
2020-06-03,49.9124
2020-06-04,50.209
2020-06-05,56.7064
2020-06-06,56.7064
2020-06-07,56.7064
2020-06-08,56.5762
2020-06-09,54.5348
2020-06-10,53.3252
2020-06-11,50.228
2020-06-12,51.183
2020-06-13,51.183
2020-06-14,51.183
2020-06-15,56.2672
2020-06-16,55.6096
2020-06-17,52.9765
2020-06-18,53.5302
2020-06-19,53.4579
2020-06-20,53.4579
2020-06-21,53.4579
2020-06-22,53.5553
2020-06-23,53.5166
2020-06-24,52.4984
2020-06-25,53.4153
2020-06-26,55.792
2020-06-27,55.792
2020-06-28,55.792
2020-06-29,52.995
2020-06-30,53.203
2020-07-01,54.3185
2020-07-02,54.2349
2020-07-03,54.2349
2020-07-04,54.2349
2020-07-05,54.2349
2020-07-06,52.4806
2020-07-07,51.8201
2020-07-08,52.6675
2020-07-09,51.7263
2020-07-10,50.6204
2020-07-11,50.6204
2020-07-12,50.6204
2020-07-13,51.1194
2020-07-14,52.3643
2020-07-15,53.9026
2020-07-16,53.6198
2020-07-17,52.8547
2020-07-18,52.8547
2020-07-19,52.8547
2020-07-20,50.0825
2020-07-21,51.401
2020-07-22,50.8453
2020-07-23,52.2688
2020-07-24,51.1202
2020-07-25,51.1202
2020-07-26,51.1202
2020-07-27,49.8915
2020-07-28,49.7014
2020-07-29,47.8164
2020-07-30,49.308
2020-07-31,49.0181
2020-08-01,49.0181
2020-08-02,49.0181
2020-08-03,51.3836
2020-08-04,48.293
2020-08-05,49.472
2020-08-06,53.3252
2020-08-07,55.7363
2020-08-08,55.7363
2020-08-09,55.7363
2020-08-10,59.4705
2020-08-11,60.302
2020-08-12,59.8784
2020-08-13,60.4531
2020-08-14,60.119
2020-08-15,60.119
2020-08-16,60.119
2020-08-17,57.0591
2020-08-18,54.9909
2020-08-19,57.2358
2020-08-20,54.1429
2020-08-21,54.1429
2020-08-22,54.1429
2020-08-23,54.1429
2020-08-24,54.3134
2020-08-25,53.3896
2020-08-26,51.4774
2020-08-27,51.3872
2020-08-28,50.8648
2020-08-29,50.8648
2020-08-30,50.8648
2020-08-31,48.8503
2020-09-01,51.2473
2020-09-02,52.307
2020-09-03,51.6732
2020-09-04,50.8238
2020-09-05,50.8238
2020-09-06,50.8238
2020-09-07,50.8238
2020-09-08,49.1522
2020-09-09,48.2292
2020-09-10,48.1253
2020-09-11,48.0183
2020-09-12,48.0183
2020-09-13,48.0183
2020-09-14,48.3745
2020-09-15,49.2145
2020-09-16,49.0964
2020-09-17,49.5967
2020-09-18,49.8517
2020-09-19,49.8517
2020-09-20,49.8517
2020-09-21,53.2745
2020-09-22,50.4743
2020-09-23,46.2453
2020-09-24,45.2905
2020-09-25,44.5503
2020-09-26,44.5503
2020-09-27,44.5503
2020-09-28,45.4721
2020-09-29,44.9203
2020-09-30,43.1856
2020-10-01,46.7739
2020-10-02,48.154
2020-10-03,48.154
2020-10-04,48.154
2020-10-05,50.9072
2020-10-06,46.1657
2020-10-07,44.9559
2020-10-08,47.4482
2020-10-09,46.4134
2020-10-10,46.4134
2020-10-11,46.4134
2020-10-12,48.8373
2020-10-13,46.4565
2020-10-14,46.0526
2020-10-15,45.5405
2020-10-16,48.502
2020-10-17,48.502
2020-10-18,48.502
2020-10-19,45.3394
2020-10-20,45.6939
2020-10-21,45.6939
2020-10-22,45.4834
2020-10-23,47.2429
2020-10-24,47.2429
2020-10-25,47.2429
2020-10-26,46.2502
2020-10-27,44.6332
2020-10-28,43.8924
2020-10-29,47.1343
2020-10-30,45.0862
2020-10-31,45.0862
2020-11-01,45.0862
2020-11-02,49.8228
2020-11-03,56.1995
2020-11-04,52.0965
2020-11-05,54.054
2020-11-06,56.2402
2020-11-07,56.2402
2020-11-08,56.2402
2020-11-09,59.177
2020-11-10,56.6912
2020-11-11,56.7694
2020-11-12,56.7694
2020-11-13,59.5104
2020-11-14,59.5104
2020-11-15,59.5104
2020-11-16,60.2552
2020-11-17,57.4145
2020-11-18,56.1506
2020-11-19,55.9369
2020-11-20,53.8181
2020-11-21,53.8181
2020-11-22,53.8181
2020-11-23,53.8181
2020-11-24,53.7093
2020-11-25,51.8644
2020-11-26,51.8644
2020-11-27,52.6561
2020-11-28,52.6561
2020-11-29,52.6561
2020-11-30,52.3223
2020-12-01,53.0409
2020-12-02,52.8056
2020-12-03,52.2068
2020-12-04,54.9546
2020-12-05,54.9546
2020-12-06,54.9546
2020-12-07,57.113
2020-12-08,57.8723
2020-12-09,57.0881
2020-12-10,54.5396
2020-12-11,53.9172
2020-12-12,53.9172
2020-12-13,53.9172
2020-12-14,54.6665
2020-12-15,54.991
2020-12-16,57.7051
2020-12-17,59.6417
2020-12-18,60.2072
2020-12-19,60.2072
2020-12-20,60.2072
2020-12-21,60.588
2020-12-22,57.3247
2020-12-23,54.8022
2020-12-24,54.9103
2020-12-25,54.9103
2020-12-26,54.9103
2020-12-27,54.9103
2020-12-28,53.328
2020-12-29,47.3318
2020-12-30,47.4528
2020-12-31,47.6978
2021-01-01,47.6978
2021-01-02,47.6978
2021-01-03,47.6978
2021-01-04,45.9171
2021-01-05,46.8158
2021-01-06,50.6903
2021-01-07,50.4527
2021-01-08,51.8537
2021-01-09,51.8537
2021-01-10,51.8537
2021-01-11,51.4772
2021-01-12,52.1953
2021-01-13,54.9536
2021-01-14,54.5466
2021-01-15,54.8349
2021-01-16,54.8349
2021-01-17,54.8349
2021-01-18,54.8349
2021-01-19,57.4592
2021-01-20,54.9302
2021-01-21,56.5778
2021-01-22,57.1183
2021-01-23,57.1183
2021-01-24,57.1183
2021-01-25,56.6804
2021-01-26,56.3822
2021-01-27,56.5595
2021-01-28,56.1659
2021-01-29,53.8419
2021-01-30,53.8419
2021-01-31,53.8419
2021-02-01,56.3344
2021-02-02,57.6367
2021-02-03,55.6091
2021-02-04,58.2944
2021-02-05,59.399
2021-02-06,59.399
2021-02-07,59.399
2021-02-08,55.3074
2021-02-09,59.4783
2021-02-10,60.7416
2021-02-11,62.8608
2021-02-12,62.1069
2021-02-13,62.1069
2021-02-14,62.1069
2021-02-15,62.1069
2021-02-16,63.0486
2021-02-17,63.3904
2021-02-18,59.2836
2021-02-19,60.5564
2021-02-20,60.5564
2021-02-21,60.5564
2021-02-22,66.7582
2021-02-23,65.3411
2021-02-24,66.0859
2021-02-25,64.3583
2021-02-26,60.9259
2021-02-27,60.9259
2021-02-28,60.9259
2021-03-01,60.9259
2021-03-02,62.3857
2021-03-03,65.5929
