,CHCO US Equity
,RSI_30D
2020-01-01,60.9698
2020-01-02,61.9936
2020-01-03,60.4073
2020-01-04,60.4073
2020-01-05,60.4073
2020-01-06,58.2983
2020-01-07,54.9123
2020-01-08,58.0118
2020-01-09,57.4418
2020-01-10,56.6737
2020-01-11,56.6737
2020-01-12,56.6737
2020-01-13,60.0258
2020-01-14,59.1654
2020-01-15,56.4627
2020-01-16,59.6361
2020-01-17,59.2086
2020-01-18,59.2086
2020-01-19,59.2086
2020-01-20,59.2086
2020-01-21,53.0856
2020-01-22,52.6033
2020-01-23,50.4685
2020-01-24,45.7392
2020-01-25,45.7392
2020-01-26,45.7392
2020-01-27,42.2302
2020-01-28,40.564
2020-01-29,37.8661
2020-01-30,43.9335
2020-01-31,39.6555
2020-02-01,39.6555
2020-02-02,39.6555
2020-02-03,44.0532
2020-02-04,45.1558
2020-02-05,51.3543
2020-02-06,50.2319
2020-02-07,48.0346
2020-02-08,48.0346
2020-02-09,48.0346
2020-02-10,47.5156
2020-02-11,48.7166
2020-02-12,48.5598
2020-02-13,50.6934
2020-02-14,49.4158
2020-02-15,49.4158
2020-02-16,49.4158
2020-02-17,49.4158
2020-02-18,46.2355
2020-02-19,46.4368
2020-02-20,47.8227
2020-02-21,47.5048
2020-02-22,47.5048
2020-02-23,47.5048
2020-02-24,43.0631
2020-02-25,39.8114
2020-02-26,40.2718
2020-02-27,38.1772
2020-02-28,31.7947
2020-02-29,31.7947
2020-03-01,31.7947
2020-03-02,40.0984
2020-03-03,38.9012
2020-03-04,44.2486
2020-03-05,38.5283
2020-03-06,36.5217
2020-03-07,36.5217
2020-03-08,36.5217
2020-03-09,30.0044
2020-03-10,34.6704
2020-03-11,32.2159
2020-03-12,28.2316
2020-03-13,37.7233
2020-03-14,37.7233
2020-03-15,37.7233
2020-03-16,35.0405
2020-03-17,43.8738
2020-03-18,41.0158
2020-03-19,41.1327
2020-03-20,38.072
2020-03-21,38.072
2020-03-22,38.072
2020-03-23,36.4572
2020-03-24,40.0026
2020-03-25,39.8992
2020-03-26,44.3174
2020-03-27,43.2458
2020-03-28,43.2458
2020-03-29,43.2458
2020-03-30,45.5923
2020-03-31,46.2635
2020-04-01,44.6404
2020-04-02,45.7479
2020-04-03,44.627
2020-04-04,44.627
2020-04-05,44.627
2020-04-06,46.8654
2020-04-07,45.652
2020-04-08,47.1707
2020-04-09,50.4034
2020-04-10,50.4034
2020-04-11,50.4034
2020-04-12,50.4034
2020-04-13,47.7315
2020-04-14,47.413
2020-04-15,45.7524
2020-04-16,45.3119
2020-04-17,47.352
2020-04-18,47.352
2020-04-19,47.352
2020-04-20,42.3021
2020-04-21,45.3357
2020-04-22,45.2028
2020-04-23,46.3153
2020-04-24,46.8507
2020-04-25,46.8507
2020-04-26,46.8507
2020-04-27,50.471
2020-04-28,51.3968
2020-04-29,52.8962
2020-04-30,49.8191
2020-05-01,47.5308
2020-05-02,47.5308
2020-05-03,47.5308
2020-05-04,47.4838
2020-05-05,46.6253
2020-05-06,44.8317
2020-05-07,44.6547
2020-05-08,47.0514
2020-05-09,47.0514
2020-05-10,47.0514
2020-05-11,45.0037
2020-05-12,42.8085
2020-05-13,41.2969
2020-05-14,41.2476
2020-05-15,40.7801
2020-05-16,40.7801
2020-05-17,40.7801
2020-05-18,44.7377
2020-05-19,42.7856
