,USNA US Equity
,RSI_30D
2020-01-01,59.4217
2020-01-02,58.0162
2020-01-03,56.2996
2020-01-04,56.2996
2020-01-05,56.2996
2020-01-06,58.4357
2020-01-07,57.4321
2020-01-08,62.3684
2020-01-09,62.4851
2020-01-10,62.0647
2020-01-11,62.0647
2020-01-12,62.0647
2020-01-13,58.0259
2020-01-14,57.5366
2020-01-15,58.8671
2020-01-16,60.3543
2020-01-17,60.6259
2020-01-18,60.6259
2020-01-19,60.6259
2020-01-20,60.6259
2020-01-21,58.6776
2020-01-22,55.6037
2020-01-23,51.3018
2020-01-24,47.3623
2020-01-25,47.3623
2020-01-26,47.3623
2020-01-27,37.9201
2020-01-28,36.1989
2020-01-29,35.8078
2020-01-30,36.359
2020-01-31,33.2095
2020-02-01,33.2095
2020-02-02,33.2095
2020-02-03,35.5139
2020-02-04,40.2179
2020-02-05,55.2988
2020-02-06,56.8315
2020-02-07,56.8201
2020-02-08,56.8201
2020-02-09,56.8201
2020-02-10,59.2045
2020-02-11,55.1181
2020-02-12,55.6715
2020-02-13,50.3431
2020-02-14,50.2962
2020-02-15,50.2962
2020-02-16,50.2962
2020-02-17,50.2962
2020-02-18,47.914
2020-02-19,46.8637
2020-02-20,46.9555
2020-02-21,46.0329
2020-02-22,46.0329
2020-02-23,46.0329
2020-02-24,43.2477
2020-02-25,42.6389
2020-02-26,41.9526
2020-02-27,41.4144
2020-02-28,42.6395
2020-02-29,42.6395
2020-03-01,42.6395
2020-03-02,47.1871
2020-03-03,46.4256
2020-03-04,51.8559
2020-03-05,49.9463
2020-03-06,50.9907
2020-03-07,50.9907
2020-03-08,50.9907
2020-03-09,46.1749
2020-03-10,47.9807
2020-03-11,47.446
2020-03-12,40.6088
2020-03-13,42.0639
2020-03-14,42.0639
2020-03-15,42.0639
2020-03-16,37.5563
2020-03-17,34.9735
2020-03-18,32.9504
2020-03-19,36.4812
2020-03-20,35.5187
2020-03-21,35.5187
2020-03-22,35.5187
2020-03-23,37.7492
2020-03-24,42.4028
2020-03-25,42.4874
2020-03-26,47.0198
2020-03-27,45.2097
2020-03-28,45.2097
2020-03-29,45.2097
2020-03-30,44.4069
2020-03-31,44.2831
2020-04-01,42.8304
2020-04-02,48.1259
2020-04-03,47.9158
2020-04-04,47.9158
2020-04-05,47.9158
2020-04-06,52.7713
2020-04-07,52.3021
2020-04-08,53.2224
2020-04-09,51.7209
2020-04-10,51.7209
2020-04-11,51.7209
2020-04-12,51.7209
2020-04-13,52.1881
2020-04-14,52.9356
2020-04-15,51.0885
2020-04-16,51.3985
2020-04-17,51.5
2020-04-18,51.5
2020-04-19,51.5
2020-04-20,50.2764
2020-04-21,51.6613
2020-04-22,57.6995
2020-04-23,58.9653
2020-04-24,60.4422
2020-04-25,60.4422
2020-04-26,60.4422
2020-04-27,61.6811
2020-04-28,59.7532
2020-04-29,61.7145
2020-04-30,62.4905
2020-05-01,58.8289
2020-05-02,58.8289
2020-05-03,58.8289
2020-05-04,59.3179
2020-05-05,56.8254
2020-05-06,57.2231
2020-05-07,59.3245
2020-05-08,60.0056
2020-05-09,60.0056
2020-05-10,60.0056
2020-05-11,58.4593
2020-05-12,55.8808
2020-05-13,55.836
2020-05-14,53.1177
2020-05-15,55.1739
2020-05-16,55.1739
2020-05-17,55.1739
2020-05-18,55.4974
2020-05-19,54.7629
2020-05-20,56.2809
2020-05-21,55.1982
2020-05-22,53.8942
2020-05-23,53.8942
2020-05-24,53.8942
2020-05-25,53.8942
2020-05-26,55.4594
2020-05-27,56.0876
2020-05-28,55.7018
2020-05-29,56.1006
2020-05-30,56.1006
2020-05-31,56.1006
2020-06-01,57.0474
2020-06-02,55.0577
2020-06-03,56.5109
2020-06-04,55.9747
2020-06-05,56.3609
2020-06-06,56.3609
2020-06-07,56.3609
2020-06-08,54.456
2020-06-09,52.9115
2020-06-10,53.5658
2020-06-11,49.9506
2020-06-12,50.5794
2020-06-13,50.5794
2020-06-14,50.5794
2020-06-15,51.7139
2020-06-16,52.4585
2020-06-17,51.3315
2020-06-18,50.2495
2020-06-19,47.7794
2020-06-20,47.7794
2020-06-21,47.7794
2020-06-22,47.7794
2020-06-23,47.155
2020-06-24,44.3136
2020-06-25,42.611
2020-06-26,41.7915
2020-06-27,41.7915
2020-06-28,41.7915
2020-06-29,44.6864
2020-06-30,46.4507
2020-07-01,47.1133
2020-07-02,53.8957
2020-07-03,53.8957
2020-07-04,53.8957
2020-07-05,53.8957
2020-07-06,51.6052
2020-07-07,52.9022
2020-07-08,53.9183
2020-07-09,53.436
2020-07-10,53.5921
2020-07-11,53.5921
2020-07-12,53.5921
2020-07-13,54.9366
2020-07-14,55.7007
2020-07-15,57.0626
2020-07-16,58.4361
2020-07-17,59.3475
2020-07-18,59.3475
2020-07-19,59.3475
2020-07-20,60.2701
2020-07-21,57.6472
2020-07-22,54.4044
2020-07-23,52.5296
2020-07-24,49.5044
2020-07-25,49.5044
2020-07-26,49.5044
2020-07-27,50.6781
2020-07-28,50.2694
2020-07-29,50.828
2020-07-30,50.7543
2020-07-31,50.5835
2020-08-01,50.5835
2020-08-02,50.5835
2020-08-03,50.5835
2020-08-04,50.8098
2020-08-05,52.5967
2020-08-06,51.8619
2020-08-07,51.851
2020-08-08,51.851
2020-08-09,51.851
2020-08-10,50.2402
2020-08-11,52.0619
2020-08-12,53.1071
2020-08-13,52.9332
2020-08-14,52.2956
2020-08-15,52.2956
2020-08-16,52.2956
2020-08-17,52.6995
2020-08-18,52.3033
2020-08-19,51.4407
2020-08-20,52.2204
2020-08-21,50.7267
2020-08-22,50.7267
2020-08-23,50.7267
2020-08-24,46.7754
2020-08-25,48.8249
2020-08-26,47.7031
2020-08-27,47.188
2020-08-28,46.9434
2020-08-29,46.9434
2020-08-30,46.9434
2020-08-31,46.6219
2020-09-01,45.337
2020-09-02,46.1052
2020-09-03,43.3836
2020-09-04,43.1349
2020-09-05,43.1349
2020-09-06,43.1349
2020-09-07,43.1349
2020-09-08,43.5307
2020-09-09,46.0125
2020-09-10,46.6986
2020-09-11,46.2458
2020-09-12,46.2458
2020-09-13,46.2458
2020-09-14,45.0957
2020-09-15,44.7721
2020-09-16,43.2442
2020-09-17,42.7747
2020-09-18,43.982
2020-09-19,43.982
2020-09-20,43.982
2020-09-21,44.5446
2020-09-22,45.6062
2020-09-23,42.9321
2020-09-24,42.5877
2020-09-25,43.7371
2020-09-26,43.7371
2020-09-27,43.7371
2020-09-28,43.027
2020-09-29,40.5561
2020-09-30,42.8677
2020-10-01,45.0434
2020-10-02,45.3904
2020-10-03,45.3904
2020-10-04,45.3904
2020-10-05,44.9355
2020-10-06,45.4464
2020-10-07,45.5024
2020-10-08,48.0424
2020-10-09,50.6133
2020-10-10,50.6133
2020-10-11,50.6133
2020-10-12,50.6642
2020-10-13,51.6932
2020-10-14,51.1051
2020-10-15,51.9706
2020-10-16,48.9693
2020-10-17,48.9693
2020-10-18,48.9693
2020-10-19,49.7383
2020-10-20,49.9427
2020-10-21,56.3665
2020-10-22,59.8167
2020-10-23,62.1423
2020-10-24,62.1423
2020-10-25,62.1423
2020-10-26,60.1212
2020-10-27,58.2545
2020-10-28,52.733
2020-10-29,49.854
2020-10-30,45.836
2020-10-31,45.836
2020-11-01,45.836
2020-11-02,46.3018
2020-11-03,47.1957
2020-11-04,47.5326
2020-11-05,50.3199
2020-11-06,48.6196
2020-11-07,48.6196
2020-11-08,48.6196
2020-11-09,44.2875
2020-11-10,46.9735
2020-11-11,49.9344
2020-11-12,45.7902
2020-11-13,46.2112
2020-11-14,46.2112
2020-11-15,46.2112
2020-11-16,46.2948
2020-11-17,48.2349
2020-11-18,44.9139
2020-11-19,46.4291
2020-11-20,47.2479
2020-11-21,47.2479
2020-11-22,47.2479
2020-11-23,48.1093
2020-11-24,49.5829
2020-11-25,47.8173
2020-11-26,47.8173
2020-11-27,49.0235
2020-11-28,49.0235
2020-11-29,49.0235
2020-11-30,47.1405
2020-12-01,48.1084
2020-12-02,49.4947
2020-12-03,50.5605
2020-12-04,51.9196
2020-12-05,51.9196
2020-12-06,51.9196
2020-12-07,49.7351
2020-12-08,50.4675
2020-12-09,50.3816
2020-12-10,49.0699
2020-12-11,47.1444
2020-12-12,47.1444
2020-12-13,47.1444
2020-12-14,47.1755
2020-12-15,48.5371
2020-12-16,51.8571
2020-12-17,51.765
2020-12-18,52.5068
2020-12-19,52.5068
2020-12-20,52.5068
2020-12-21,51.2283
2020-12-22,50.1853
2020-12-23,51.9339
2020-12-24,50.7064
2020-12-25,50.7064
2020-12-26,50.7064
2020-12-27,50.7064
2020-12-28,49.3567
2020-12-29,50.1162
2020-12-30,49.4792
2020-12-31,49.6151
2021-01-01,49.6151
2021-01-02,49.6151
2021-01-03,49.6151
2021-01-04,51.062
2021-01-05,57.2738
2021-01-06,59.8943
2021-01-07,55.5208
2021-01-08,52.5989
2021-01-09,52.5989
2021-01-10,52.5989
2021-01-11,53.0184
2021-01-12,51.9445
2021-01-13,51.2843
