,LAZ US Equity
,RSI_30D
2020-01-01,60.9556
2020-01-02,63.8733
2020-01-03,61.8995
2020-01-04,61.8995
2020-01-05,61.8995
2020-01-06,64.1891
2020-01-07,65.1413
2020-01-08,68.65
2020-01-09,70.7172
2020-01-10,69.883
2020-01-11,69.883
2020-01-12,69.883
2020-01-13,72.2309
2020-01-14,71.9915
2020-01-15,71.0174
2020-01-16,72.371
2020-01-17,70.4859
2020-01-18,70.4859
2020-01-19,70.4859
2020-01-20,70.4859
2020-01-21,65.1618
2020-01-22,64.5182
2020-01-23,60.452
2020-01-24,58.1948
2020-01-25,58.1948
2020-01-26,58.1948
2020-01-27,55.2436
2020-01-28,56.5754
2020-01-29,59.9196
2020-01-30,60.2882
2020-01-31,56.524
2020-02-01,56.524
2020-02-02,56.524
2020-02-03,53.8335
2020-02-04,57.1751
2020-02-05,61.2078
2020-02-06,61.4702
2020-02-07,60.0004
2020-02-08,60.0004
2020-02-09,60.0004
2020-02-10,60.5304
2020-02-11,58.1799
2020-02-12,59.2896
2020-02-13,56.6696
2020-02-14,56.2229
2020-02-15,56.2229
2020-02-16,56.2229
2020-02-17,56.2229
2020-02-18,56.3523
2020-02-19,56.6835
2020-02-20,54.5843
2020-02-21,52.3731
2020-02-22,52.3731
2020-02-23,52.3731
2020-02-24,44.7651
2020-02-25,41.3857
2020-02-26,40.744
2020-02-27,37.3491
2020-02-28,35.9369
2020-02-29,35.9369
2020-03-01,35.9369
2020-03-02,43.5256
2020-03-03,40.9129
2020-03-04,42.8627
2020-03-05,37.3818
2020-03-06,35.6881
2020-03-07,35.6881
2020-03-08,35.6881
2020-03-09,29.8156
2020-03-10,36.4438
2020-03-11,32.8141
2020-03-12,27.5598
2020-03-13,35.5975
2020-03-14,35.5975
2020-03-15,35.5975
2020-03-16,32.7714
2020-03-17,33.4003
2020-03-18,32.002
2020-03-19,33.0911
2020-03-20,30.8971
2020-03-21,30.8971
2020-03-22,30.8971
2020-03-23,29.6758
2020-03-24,34.7523
2020-03-25,34.6108
2020-03-26,37.2367
2020-03-27,36.4342
2020-03-28,36.4342
2020-03-29,36.4342
2020-03-30,35.8077
