,DTE US Equity
,RSI_30D
2020-01-01,57.8191
2020-01-02,54.6891
2020-01-03,55.3516
2020-01-04,55.3516
2020-01-05,55.3516
2020-01-06,55.2707
2020-01-07,54.0983
2020-01-08,53.9058
2020-01-09,54.3381
2020-01-10,55.0171
2020-01-11,55.0171
2020-01-12,55.0171
2020-01-13,56.568
2020-01-14,58.108
2020-01-15,61.7326
2020-01-16,63.4893
2020-01-17,65.1106
2020-01-18,65.1106
2020-01-19,65.1106
2020-01-20,65.1106
2020-01-21,65.2858
2020-01-22,61.1254
2020-01-23,63.4779
2020-01-24,60.1255
2020-01-25,60.1255
2020-01-26,60.1255
2020-01-27,58.8011
2020-01-28,59.1379
2020-01-29,57.6747
2020-01-30,60.0789
2020-01-31,58.5312
2020-02-01,58.5312
2020-02-02,58.5312
2020-02-03,60.795
2020-02-04,58.863
2020-02-05,61.3833
2020-02-06,60.6994
2020-02-07,58.9993
2020-02-08,58.9993
2020-02-09,58.9993
2020-02-10,58.575
2020-02-11,59.6945
2020-02-12,58.9006
2020-02-13,58.3064
2020-02-14,59.3044
2020-02-15,59.3044
2020-02-16,59.3044
2020-02-17,59.3044
2020-02-18,60.6118
2020-02-19,58.8124
2020-02-20,58.441
2020-02-21,60.6067
2020-02-22,60.6067
2020-02-23,60.6067
2020-02-24,54.4982
2020-02-25,44.1159
2020-02-26,38.6661
2020-02-27,30.8507
2020-02-28,25.7676
2020-02-29,25.7676
2020-03-01,25.7676
2020-03-02,34.5171
2020-03-03,31.7017
2020-03-04,40.4349
2020-03-05,37.9977
2020-03-06,37.8892
2020-03-07,37.8892
2020-03-08,37.8892
2020-03-09,29.4493
2020-03-10,35.4475
2020-03-11,33.3594
2020-03-12,27.7526
2020-03-13,33.4305
2020-03-14,33.4305
2020-03-15,33.4305
2020-03-16,28.4803
2020-03-17,32.5993
2020-03-18,28.9327
2020-03-19,34.5597
2020-03-20,33.7671
2020-03-21,33.7671
2020-03-22,33.7671
2020-03-23,31.8277
2020-03-24,37.6399
2020-03-25,40.8425
2020-03-26,43.6072
2020-03-27,43.4354
2020-03-28,43.4354
2020-03-29,43.4354
2020-03-30,44.3924
2020-03-31,42.6406
2020-04-01,40.111
2020-04-02,40.6869
2020-04-03,39.9433
2020-04-04,39.9433
2020-04-05,39.9433
2020-04-06,44.5242
2020-04-07,45.2083
2020-04-08,48.2032
2020-04-09,51.3904
2020-04-10,51.3904
2020-04-11,51.3904
2020-04-12,51.3904
2020-04-13,50.2635
2020-04-14,50.1327
2020-04-15,48.5901
2020-04-16,47.2187
2020-04-17,49.1847
2020-04-18,49.1847
2020-04-19,49.1847
2020-04-20,47.0296
2020-04-21,46.3608
2020-04-22,47.8847
2020-04-23,47.3018
2020-04-24,48.2716
2020-04-25,48.2716
2020-04-26,48.2716
2020-04-27,48.1167
2020-04-28,49.8979
2020-04-29,50.3676
2020-04-30,48.6411
2020-05-01,47.1985
2020-05-02,47.1985
2020-05-03,47.1985
2020-05-04,47.2778
2020-05-05,48.1266
2020-05-06,47.1816
2020-05-07,46.2957
2020-05-08,47.7362
2020-05-09,47.7362
2020-05-10,47.7362
2020-05-11,46.4523
2020-05-12,46.7626
2020-05-13,45.08
2020-05-14,46.3153
2020-05-15,45.9744
2020-05-16,45.9744
2020-05-17,45.9744
2020-05-18,49.4611
2020-05-19,49.2489
2020-05-20,49.479
2020-05-21,48.1983
2020-05-22,48.8674
2020-05-23,48.8674
2020-05-24,48.8674
2020-05-25,48.8674
2020-05-26,50.8321
2020-05-27,51.5183
2020-05-28,52.2732
2020-05-29,52.1465
2020-05-30,52.1465
2020-05-31,52.1465
2020-06-01,52.6772
2020-06-02,53.9149
2020-06-03,55.506
2020-06-04,54.1027
2020-06-05,56.3386
2020-06-06,56.3386
2020-06-07,56.3386
2020-06-08,57.7836
2020-06-09,55.9656
2020-06-10,54.4509
2020-06-11,49.1469
2020-06-12,49.8427
2020-06-13,49.8427
2020-06-14,49.8427
2020-06-15,50.4581
2020-06-16,51.7223
2020-06-17,51.1709
2020-06-18,51.5383
2020-06-19,48.7968
2020-06-20,48.7968
2020-06-21,48.7968
2020-06-22,50.8344
2020-06-23,51.1773
2020-06-24,49.7762
2020-06-25,49.5295
2020-06-26,48.9558
2020-06-27,48.9558
2020-06-28,48.9558
2020-06-29,50.7556
2020-06-30,51.438
2020-07-01,53.2214
2020-07-02,53.1971
2020-07-03,53.1971
2020-07-04,53.1971
2020-07-05,53.1971
2020-07-06,51.9403
2020-07-07,50.8586
2020-07-08,51.4903
2020-07-09,50.4712
2020-07-10,51.1542
2020-07-11,51.1542
2020-07-12,51.1542
2020-07-13,51.9699
2020-07-14,52.1929
2020-07-15,52.5474
2020-07-16,52.9769
2020-07-17,54.5183
2020-07-18,54.5183
2020-07-19,54.5183
2020-07-20,52.2661
2020-07-21,53.8938
2020-07-22,56.5859
2020-07-23,56.9749
2020-07-24,56.5763
2020-07-25,56.5763
2020-07-26,56.5763
2020-07-27,55.9793
2020-07-28,56.505
2020-07-29,57.0104
2020-07-30,56.4127
2020-07-31,57.242
2020-08-01,57.242
2020-08-02,57.242
2020-08-03,55.1864
2020-08-04,56.8004
2020-08-05,56.6335
2020-08-06,57.9481
2020-08-07,59.6359
2020-08-08,59.6359
2020-08-09,59.6359
2020-08-10,60.7974
2020-08-11,57.2639
2020-08-12,58.5111
2020-08-13,57.7135
2020-08-14,57.1556
2020-08-15,57.1556
2020-08-16,57.1556
2020-08-17,56.317
2020-08-18,55.6737
2020-08-19,56.1713
2020-08-20,54.1688
2020-08-21,54.5662
2020-08-22,54.5662
2020-08-23,54.5662
2020-08-24,56.8071
2020-08-25,55.523
2020-08-26,53.8862
2020-08-27,55.2719
2020-08-28,56.1661
2020-08-29,56.1661
2020-08-30,56.1661
2020-08-31,57.0232
2020-09-01,55.797
2020-09-02,58.5917
2020-09-03,56.7296
2020-09-04,56.3014
2020-09-05,56.3014
2020-09-06,56.3014
2020-09-07,56.3014
2020-09-08,55.2848
2020-09-09,57.0751
2020-09-10,54.592
2020-09-11,55.178
2020-09-12,55.178
2020-09-13,55.178
2020-09-14,57.3046
2020-09-15,54.7821
2020-09-16,55.3187
2020-09-17,52.3973
2020-09-18,47.7858
2020-09-19,47.7858
2020-09-20,47.7858
2020-09-21,46.9681
2020-09-22,47.8657
2020-09-23,47.7362
2020-09-24,49.1465
2020-09-25,51.304
2020-09-26,51.304
2020-09-27,51.304
2020-09-28,51.4149
2020-09-29,50.8688
2020-09-30,51.6973
2020-10-01,49.537
2020-10-02,50.4999
2020-10-03,50.4999
2020-10-04,50.4999
2020-10-05,50.9704
2020-10-06,52.1663
2020-10-07,50.8824
2020-10-08,59.4253
2020-10-09,57.2153
2020-10-10,57.2153
