,TFSL US Equity
,RSI_30D
2020-01-01,59.0201
2020-01-02,59.5486
2020-01-03,59.3506
2020-01-04,59.3506
2020-01-05,59.3506
2020-01-06,55.7111
2020-01-07,52.3877
2020-01-08,54.3166
2020-01-09,55.0413
2020-01-10,55.1884
2020-01-11,55.1884
2020-01-12,55.1884
2020-01-13,54.6337
2020-01-14,57.3671
2020-01-15,56.1377
2020-01-16,57.8623
2020-01-17,59.7713
2020-01-18,59.7713
2020-01-19,59.7713
2020-01-20,59.7713
2020-01-21,57.463
2020-01-22,55.4329
2020-01-23,58.5967
2020-01-24,57.6759
2020-01-25,57.6759
2020-01-26,57.6759
2020-01-27,58.3529
2020-01-28,58.4903
2020-01-29,57.3168
2020-01-30,60.4624
2020-01-31,64.8854
2020-02-01,64.8854
2020-02-02,64.8854
2020-02-03,67.3697
2020-02-04,71.0932
2020-02-05,73.113
2020-02-06,73.2511
2020-02-07,75.4672
2020-02-08,75.4672
2020-02-09,75.4672
2020-02-10,76.7561
2020-02-11,69.5403
2020-02-12,71.0804
2020-02-13,72.4584
2020-02-14,72.2965
2020-02-15,72.2965
2020-02-16,72.2965
2020-02-17,72.2965
2020-02-18,72.2965
2020-02-19,72.7528
2020-02-20,73.4633
2020-02-21,73.8481
2020-02-22,73.8481
2020-02-23,73.8481
2020-02-24,71.697
2020-02-25,63.2759
2020-02-26,64.8088
2020-02-27,55.8045
2020-02-28,49.4925
2020-02-29,49.4925
2020-03-01,49.4925
2020-03-02,58.729
2020-03-03,59.4609
2020-03-04,63.5332
2020-03-05,59.8881
2020-03-06,58.6153
2020-03-07,58.6153
2020-03-08,58.6153
2020-03-09,47.0255
2020-03-10,46.4531
2020-03-11,40.9376
2020-03-12,34.924
2020-03-13,36.0895
2020-03-14,36.0895
2020-03-15,36.0895
2020-03-16,32.1516
2020-03-17,40.6028
2020-03-18,35.113
2020-03-19,34.2446
2020-03-20,32.434
2020-03-21,32.434
2020-03-22,32.434
2020-03-23,30.4233
2020-03-24,34.7971
2020-03-25,33.7363
2020-03-26,40.13
2020-03-27,37.8242
2020-03-28,37.8242
2020-03-29,37.8242
2020-03-30,39.3687
2020-03-31,38.8314
2020-04-01,35.6881
2020-04-02,35.2821
2020-04-03,33.0765
2020-04-04,33.0765
2020-04-05,33.0765
