,LECO US Equity
,RSI_30D
2020-01-01,61.3248
2020-01-02,63.4305
2020-01-03,61.1891
2020-01-04,61.1891
2020-01-05,61.1891
2020-01-06,60.8067
2020-01-07,60.6596
2020-01-08,61.1777
2020-01-09,61.8756
2020-01-10,58.8713
2020-01-11,58.8713
2020-01-12,58.8713
2020-01-13,59.1323
2020-01-14,58.2153
2020-01-15,56.8722
2020-01-16,59.8046
2020-01-17,58.2122
2020-01-18,58.2122
2020-01-19,58.2122
2020-01-20,58.2122
2020-01-21,54.7645
2020-01-22,52.8313
2020-01-23,53.3463
2020-01-24,49.5769
2020-01-25,49.5769
2020-01-26,49.5769
2020-01-27,46.1639
2020-01-28,49.9123
2020-01-29,49.6241
2020-01-30,49.5255
2020-01-31,42.9089
2020-02-01,42.9089
2020-02-02,42.9089
2020-02-03,46.6451
2020-02-04,50.9609
2020-02-05,52.7072
2020-02-06,50.5544
2020-02-07,48.6928
2020-02-08,48.6928
2020-02-09,48.6928
2020-02-10,49.1852
2020-02-11,51.3185
2020-02-12,52.7454
2020-02-13,49.9865
2020-02-14,49.1654
2020-02-15,49.1654
2020-02-16,49.1654
2020-02-17,49.1654
2020-02-18,47.1312
2020-02-19,44.6056
2020-02-20,44.8241
2020-02-21,42.4978
2020-02-22,42.4978
2020-02-23,42.4978
2020-02-24,39.1432
2020-02-25,36.4667
2020-02-26,36.2227
2020-02-27,35.2683
2020-02-28,34.9471
2020-02-29,34.9471
2020-03-01,34.9471
2020-03-02,41.1077
2020-03-03,40.4796
2020-03-04,43.4753
2020-03-05,39.0948
2020-03-06,37.8304
2020-03-07,37.8304
2020-03-08,37.8304
2020-03-09,29.8896
2020-03-10,36.8287
2020-03-11,33.2908
2020-03-12,31.3529
2020-03-13,40.0067
2020-03-14,40.0067
2020-03-15,40.0067
2020-03-16,35.5312
2020-03-17,39.4969
2020-03-18,37.8857
2020-03-19,36.5282
2020-03-20,34.7438
2020-03-21,34.7438
2020-03-22,34.7438
2020-03-23,32.3445
2020-03-24,36.6971
2020-03-25,40.1379
2020-03-26,43.6405
2020-03-27,41.5097
2020-03-28,41.5097
2020-03-29,41.5097
2020-03-30,42.3796
2020-03-31,41.8632
2020-04-01,39.2137
2020-04-02,40.9797
2020-04-03,40.9289
2020-04-04,40.9289
2020-04-05,40.9289
2020-04-06,45.3792
2020-04-07,45.8953
2020-04-08,49.4126
2020-04-09,49.6708
2020-04-10,49.6708
2020-04-11,49.6708
2020-04-12,49.6708
2020-04-13,47.4673
2020-04-14,48.7558
2020-04-15,46.4932
2020-04-16,47.7788
2020-04-17,48.3917
2020-04-18,48.3917
2020-04-19,48.3917
2020-04-20,47.1017
2020-04-21,46.3506
2020-04-22,47.3038
2020-04-23,47.8103
2020-04-24,48.9334
2020-04-25,48.9334
2020-04-26,48.9334
2020-04-27,52.3486
2020-04-28,52.5303
2020-04-29,54.1172
2020-04-30,51.9427
2020-05-01,49.2573
2020-05-02,49.2573
2020-05-03,49.2573
2020-05-04,48.9463
2020-05-05,49.5894
2020-05-06,48.3811
2020-05-07,49.114
2020-05-08,50.7497
2020-05-09,50.7497
2020-05-10,50.7497
2020-05-11,49.904
2020-05-12,47.59
2020-05-13,44.9098
2020-05-14,45.9344
2020-05-15,46.7473
2020-05-16,46.7473
2020-05-17,46.7473
2020-05-18,51.0605
2020-05-19,50.709
2020-05-20,51.7624
2020-05-21,51.6713
2020-05-22,51.9416
2020-05-23,51.9416
2020-05-24,51.9416
2020-05-25,51.9416
2020-05-26,55.0975
2020-05-27,56.576
2020-05-28,54.2462
2020-05-29,53.2809
2020-05-30,53.2809
2020-05-31,53.2809
2020-06-01,53.7412
2020-06-02,54.2694
2020-06-03,55.975
2020-06-04,56.33
2020-06-05,58.8435
2020-06-06,58.8435
2020-06-07,58.8435
2020-06-08,60.3068
2020-06-09,59.2328
2020-06-10,56.056
2020-06-11,49.8101
2020-06-12,51.0845
2020-06-13,51.0845
2020-06-14,51.0845
2020-06-15,51.5244
2020-06-16,52.6375
2020-06-17,53.1857
2020-06-18,52.3904
2020-06-19,52.3006
2020-06-20,52.3006
2020-06-21,52.3006
2020-06-22,51.5503
2020-06-23,51.1063
2020-06-24,49.3389
2020-06-25,49.7395
2020-06-26,50.0625
2020-06-27,50.0625
2020-06-28,50.0625
2020-06-29,52.2153
2020-06-30,53.4747
2020-07-01,51.7196
2020-07-02,53.0734
2020-07-03,53.0734
2020-07-04,53.0734
2020-07-05,53.0734
2020-07-06,54.2559
2020-07-07,53.3326
2020-07-08,54.3848
2020-07-09,52.5152
2020-07-10,52.9956
2020-07-11,52.9956
2020-07-12,52.9956
2020-07-13,54.8478
2020-07-14,56.5815
2020-07-15,58.0063
2020-07-16,57.6483
2020-07-17,57.4162
2020-07-18,57.4162
2020-07-19,57.4162
2020-07-20,55.8606
2020-07-21,57.2932
2020-07-22,57.8334
2020-07-23,58.5901
2020-07-24,59.0964
2020-07-25,59.0964
2020-07-26,59.0964
2020-07-27,61.1093
2020-07-28,56.7557
2020-07-29,57.9651
2020-07-30,57.0134
2020-07-31,56.2869
2020-08-01,56.2869
2020-08-02,56.2869
2020-08-03,57.8185
2020-08-04,58.1278
2020-08-05,59.361
2020-08-06,59.2412
2020-08-07,60.9355
2020-08-08,60.9355
2020-08-09,60.9355
2020-08-10,62.3835
2020-08-11,63.4825
2020-08-12,63.5447
2020-08-13,62.3827
2020-08-14,62.4307
2020-08-15,62.4307
2020-08-16,62.4307
2020-08-17,62.687
2020-08-18,60.9826
2020-08-19,60.1774
2020-08-20,59.2037
2020-08-21,59.8977
2020-08-22,59.8977
2020-08-23,59.8977
2020-08-24,60.9784
2020-08-25,60.2091
2020-08-26,60.8364
2020-08-27,60.86
2020-08-28,61.953
2020-08-29,61.953
2020-08-30,61.953
2020-08-31,59.1841
2020-09-01,60.257
2020-09-02,61.3091
2020-09-03,54.4681
2020-09-04,54.7821
2020-09-05,54.7821
2020-09-06,54.7821
2020-09-07,54.7821
2020-09-08,51.3913
2020-09-09,53.5867
2020-09-10,50.4938
2020-09-11,51.5039
2020-09-12,51.5039
2020-09-13,51.5039
2020-09-14,53.0498
2020-09-15,52.605
2020-09-16,51.4594
2020-09-17,52.2556
2020-09-18,49.7807
2020-09-19,49.7807
