,PFSI US Equity
,RSI_30D
2020-01-01,53.4859
2020-01-02,50.8839
2020-01-03,52.5666
2020-01-04,52.5666
2020-01-05,52.5666
2020-01-06,53.4491
2020-01-07,49.2459
2020-01-08,49.5277
2020-01-09,51.669
2020-01-10,52.8568
2020-01-11,52.8568
2020-01-12,52.8568
2020-01-13,53.0877
2020-01-14,53.2062
2020-01-15,52.7012
2020-01-16,52.6542
2020-01-17,51.4207
2020-01-18,51.4207
2020-01-19,51.4207
2020-01-20,51.4207
2020-01-21,51.5562
2020-01-22,52.2901
2020-01-23,52.3368
2020-01-24,52.1784
2020-01-25,52.1784
2020-01-26,52.1784
2020-01-27,49.1505
2020-01-28,51.424
2020-01-29,52.984
2020-01-30,53.1726
2020-01-31,51.1052
2020-02-01,51.1052
2020-02-02,51.1052
2020-02-03,52.2862
2020-02-04,54.8259
2020-02-05,61.0256
2020-02-06,59.1418
2020-02-07,68.5087
2020-02-08,68.5087
2020-02-09,68.5087
2020-02-10,65.827
2020-02-11,63.2651
2020-02-12,60.3164
2020-02-13,54.1875
2020-02-14,53.0305
2020-02-15,53.0305
2020-02-16,53.0305
2020-02-17,53.0305
2020-02-18,53.4974
2020-02-19,53.3876
2020-02-20,52.7161
2020-02-21,54.0449
2020-02-22,54.0449
2020-02-23,54.0449
2020-02-24,54.9935
2020-02-25,54.0385
2020-02-26,52.1267
2020-02-27,48.7751
2020-02-28,52.7072
2020-02-29,52.7072
2020-03-01,52.7072
2020-03-02,55.4453
2020-03-03,56.6132
2020-03-04,61.587
2020-03-05,57.8513
2020-03-06,58.0538
2020-03-07,58.0538
2020-03-08,58.0538
2020-03-09,52.8654
2020-03-10,52.5579
2020-03-11,49.1836
2020-03-12,40.0396
2020-03-13,37.0747
2020-03-14,37.0747
2020-03-15,37.0747
2020-03-16,27.5369
2020-03-17,33.9742
2020-03-18,27.4522
2020-03-19,27.0066
2020-03-20,29.1204
2020-03-21,29.1204
2020-03-22,29.1204
2020-03-23,31.7028
2020-03-24,33.1942
2020-03-25,37.1232
2020-03-26,43.0743
2020-03-27,41.1164
2020-03-28,41.1164
2020-03-29,41.1164
2020-03-30,39.2204
2020-03-31,39.149
2020-04-01,35.6818
2020-04-02,35.1554
2020-04-03,34.5653
2020-04-04,34.5653
2020-04-05,34.5653
2020-04-06,38.9202
2020-04-07,39.5347
2020-04-08,44.8311
2020-04-09,46.2307
2020-04-10,46.2307
2020-04-11,46.2307
2020-04-12,46.2307
2020-04-13,48.1561
2020-04-14,47.4992
2020-04-15,47.3798
2020-04-16,47.4618
2020-04-17,49.5354
2020-04-18,49.5354
2020-04-19,49.5354
2020-04-20,48.1477
2020-04-21,49.7914
2020-04-22,49.5782
2020-04-23,49.3187
2020-04-24,48.9146
2020-04-25,48.9146
2020-04-26,48.9146
2020-04-27,51.3466
2020-04-28,51.5142
2020-04-29,54.9889
2020-04-30,53.0234
2020-05-01,50.4001
2020-05-02,50.4001
2020-05-03,50.4001
2020-05-04,50.2315
2020-05-05,51.1748
2020-05-06,49.819
2020-05-07,50.9607
2020-05-08,53.0318
2020-05-09,53.0318
2020-05-10,53.0318
2020-05-11,51.5851
2020-05-12,50.417
2020-05-13,49.1188
2020-05-14,50.8448
2020-05-15,51.1268
2020-05-16,51.1268
2020-05-17,51.1268
2020-05-18,51.3851
2020-05-19,52.4999
2020-05-20,55.453
2020-05-21,56.0352
2020-05-22,56.1903
2020-05-23,56.1903
2020-05-24,56.1903
2020-05-25,56.1903
2020-05-26,57.0315
2020-05-27,59.6019
2020-05-28,57.0431
2020-05-29,57.251
2020-05-30,57.251
2020-05-31,57.251
2020-06-01,58.1449
2020-06-02,59.2604
2020-06-03,59.5768
2020-06-04,60.2162
2020-06-05,59.2054
2020-06-06,59.2054
2020-06-07,59.2054
2020-06-08,60.4779
2020-06-09,59.0854
2020-06-10,58.9773
2020-06-11,62.2222
2020-06-12,62.5195
2020-06-13,62.5195
2020-06-14,62.5195
2020-06-15,66.8164
2020-06-16,67.6602
2020-06-17,67.11
2020-06-18,67.0865
2020-06-19,66.5797
2020-06-20,66.5797
2020-06-21,66.5797
2020-06-22,65.2918
2020-06-23,65.9601
