,EBIXQ US Equity
,RSI_30D
2020-01-01,44.1655
2020-01-02,44.251
2020-01-03,43.6515
2020-01-04,43.6515
2020-01-05,43.6515
2020-01-06,42.4834
2020-01-07,42.7321
2020-01-08,42.2362
2020-01-09,41.9485
2020-01-10,40.0212
2020-01-11,40.0212
2020-01-12,40.0212
2020-01-13,44.043
2020-01-14,44.4779
2020-01-15,47.6917
2020-01-16,50.7769
2020-01-17,50.7492
2020-01-18,50.7492
2020-01-19,50.7492
2020-01-20,50.7492
2020-01-21,50.4085
2020-01-22,54.1991
2020-01-23,53.2279
2020-01-24,51.7736
2020-01-25,51.7736
2020-01-26,51.7736
2020-01-27,48.2549
2020-01-28,51.58
2020-01-29,53.3993
2020-01-30,52.2467
2020-01-31,48.3879
2020-02-01,48.3879
2020-02-02,48.3879
2020-02-03,47.7555
2020-02-04,50.4605
2020-02-05,54.2203
2020-02-06,55.2461
2020-02-07,54.4936
2020-02-08,54.4936
2020-02-09,54.4936
2020-02-10,53.7898
2020-02-11,54.5604
2020-02-12,57.5555
2020-02-13,57.7688
2020-02-14,57.9001
2020-02-15,57.9001
2020-02-16,57.9001
2020-02-17,57.9001
2020-02-18,53.9653
2020-02-19,53.8817
2020-02-20,48.8716
2020-02-21,45.2869
2020-02-22,45.2869
2020-02-23,45.2869
2020-02-24,44.2042
2020-02-25,38.8534
2020-02-26,37.0717
2020-02-27,33.1735
2020-02-28,33.1
2020-02-29,33.1
2020-03-01,33.1
2020-03-02,32.9079
2020-03-03,29.9765
2020-03-04,28.634
2020-03-05,27.7905
2020-03-06,32.1695
2020-03-07,32.1695
2020-03-08,32.1695
2020-03-09,29.9412
2020-03-10,31.3323
2020-03-11,27.9987
2020-03-12,25.3429
2020-03-13,25.4902
2020-03-14,25.4902
2020-03-15,25.4902
2020-03-16,23.5859
2020-03-17,23.4675
2020-03-18,20.1359
2020-03-19,30.7757
2020-03-20,30.3789
2020-03-21,30.3789
2020-03-22,30.3789
2020-03-23,31.1288
2020-03-24,32.6851
2020-03-25,34.3313
2020-03-26,38.0801
2020-03-27,37.7972
2020-03-28,37.7972
2020-03-29,37.7972
2020-03-30,36.269
2020-03-31,35.4476
2020-04-01,33.4501
2020-04-02,33.0355
2020-04-03,32.7462
2020-04-04,32.7462
2020-04-05,32.7462
2020-04-06,37.1192
2020-04-07,37.6479
2020-04-08,41.0166
2020-04-09,40.9121
2020-04-10,40.9121
2020-04-11,40.9121
2020-04-12,40.9121
2020-04-13,40.3685
2020-04-14,42.0146
2020-04-15,40.7291
2020-04-16,41.0136
2020-04-17,42.9778
2020-04-18,42.9778
2020-04-19,42.9778
2020-04-20,43.6597
2020-04-21,43.0992
2020-04-22,42.6844
2020-04-23,42.389
2020-04-24,43.0683
2020-04-25,43.0683
2020-04-26,43.0683
2020-04-27,46.5869
2020-04-28,47.3176
2020-04-29,50.4152
2020-04-30,49.4188
2020-05-01,46.5029
2020-05-02,46.5029
2020-05-03,46.5029
2020-05-04,47.6576
2020-05-05,47.2845
2020-05-06,48.3
2020-05-07,49.7068
2020-05-08,49.6893
2020-05-09,49.6893
2020-05-10,49.6893
2020-05-11,48.438
2020-05-12,48.6452
2020-05-13,44.4985
2020-05-14,44.1119
2020-05-15,43.9025
2020-05-16,43.9025
2020-05-17,43.9025
2020-05-18,47.9432
2020-05-19,49.3124
2020-05-20,50.6638
2020-05-21,50.1657
2020-05-22,49.9213
2020-05-23,49.9213
2020-05-24,49.9213
2020-05-25,49.9213
2020-05-26,51.5738
2020-05-27,53.5729
2020-05-28,53.9274
2020-05-29,53.1507
2020-05-30,53.1507
2020-05-31,53.1507
2020-06-01,55.4631
2020-06-02,56.5844
2020-06-03,59.1386
2020-06-04,61.1109
