,BKNG US Equity
,RSI_30D
2020-01-01,55.4973
2020-01-02,57.3563
2020-01-03,56.2946
2020-01-04,56.2946
2020-01-05,56.2946
2020-01-06,54.2313
2020-01-07,56.131
2020-01-08,55.5363
2020-01-09,57.4723
2020-01-10,57.7048
2020-01-11,57.7048
2020-01-12,57.7048
2020-01-13,56.9156
2020-01-14,55.8029
2020-01-15,55.0233
2020-01-16,53.7438
2020-01-17,53.7363
2020-01-18,53.7363
2020-01-19,53.7363
2020-01-20,53.7363
2020-01-21,46.5951
2020-01-22,47.6799
2020-01-23,46.9615
2020-01-24,44.0147
2020-01-25,44.0147
2020-01-26,44.0147
2020-01-27,39.4373
2020-01-28,40.4516
2020-01-29,38.615
2020-01-30,36.9986
2020-01-31,34.1856
2020-02-01,34.1856
2020-02-02,34.1856
2020-02-03,35.2256
2020-02-04,38.2583
2020-02-05,45.9425
2020-02-06,47.8816
2020-02-07,44.0044
2020-02-08,44.0044
2020-02-09,44.0044
2020-02-10,42.4153
2020-02-11,44.4638
2020-02-12,48.7165
2020-02-13,48.6848
2020-02-14,51.1168
2020-02-15,51.1168
2020-02-16,51.1168
2020-02-17,51.1168
2020-02-18,49.9577
2020-02-19,49.3435
2020-02-20,49.5428
2020-02-21,46.2593
2020-02-22,46.2593
2020-02-23,46.2593
2020-02-24,37.8771
2020-02-25,34.7243
2020-02-26,32.6615
2020-02-27,31.9176
2020-02-28,34.9106
2020-02-29,34.9106
2020-03-01,34.9106
2020-03-02,37.5531
2020-03-03,35.4968
2020-03-04,39.1782
2020-03-05,35.5578
2020-03-06,34.1934
2020-03-07,34.1934
2020-03-08,34.1934
2020-03-09,31.237
2020-03-10,33.4406
2020-03-11,29.757
2020-03-12,25.6846
2020-03-13,33.8292
2020-03-14,33.8292
2020-03-15,33.8292
2020-03-16,30.5893
2020-03-17,34.465
2020-03-18,31.3642
2020-03-19,30.473
2020-03-20,30.1781
2020-03-21,30.1781
2020-03-22,30.1781
2020-03-23,29.646
2020-03-24,34.7147
2020-03-25,39.2095
2020-03-26,40.8009
2020-03-27,37.033
2020-03-28,37.033
2020-03-29,37.033
2020-03-30,39.0808
2020-03-31,40.48
2020-04-01,38.6552
2020-04-02,38.3728
2020-04-03,37.6553
2020-04-04,37.6553
2020-04-05,37.6553
2020-04-06,42.4399
2020-04-07,43.1453
2020-04-08,43.0259
2020-04-09,44.8068
2020-04-10,44.8068
2020-04-11,44.8068
2020-04-12,44.8068
2020-04-13,44.8204
2020-04-14,45.8788
2020-04-15,45.0973
2020-04-16,44.5527
2020-04-17,46.9947
2020-04-18,46.9947
2020-04-19,46.9947
2020-04-20,45.0778
2020-04-21,42.9542
2020-04-22,43.4615
2020-04-23,43.6643
2020-04-24,43.7799
2020-04-25,43.7799
2020-04-26,43.7799
2020-04-27,45.4603
2020-04-28,46.9422
2020-04-29,50.0788
2020-04-30,48.6158
2020-05-01,47.4748
2020-05-02,47.4748
2020-05-03,47.4748
2020-05-04,46.2216
2020-05-05,45.5176
2020-05-06,45.0134
2020-05-07,47.7375
2020-05-08,47.2502
2020-05-09,47.2502
2020-05-10,47.2502
2020-05-11,46.5057
2020-05-12,45.5663
2020-05-13,44.825
2020-05-14,45.5835
2020-05-15,45.6681
2020-05-16,45.6681
2020-05-17,45.6681
2020-05-18,52.9465
2020-05-19,52.5314
2020-05-20,54.4617
2020-05-21,54.308
2020-05-22,55.6371
2020-05-23,55.6371
2020-05-24,55.6371
2020-05-25,55.6371
2020-05-26,59.5844
2020-05-27,57.3832
2020-05-28,55.2052
2020-05-29,54.7912
2020-05-30,54.7912
2020-05-31,54.7912
2020-06-01,55.9101
2020-06-02,55.2001
2020-06-03,57.7069
2020-06-04,58.2742
2020-06-05,60.5716
2020-06-06,60.5716
2020-06-07,60.5716
2020-06-08,61.4582
2020-06-09,58.4321
2020-06-10,56.3938
2020-06-11,50.4818
2020-06-12,51.7648
2020-06-13,51.7648
2020-06-14,51.7648
2020-06-15,52.7185
2020-06-16,53.538
2020-06-17,52.1005
2020-06-18,51.7004
2020-06-19,51.6407
2020-06-20,51.6407
2020-06-21,51.6407
2020-06-22,51.9045
2020-06-23,53.63
2020-06-24,50.7445
2020-06-25,50.9514
2020-06-26,47.9018
2020-06-27,47.9018
2020-06-28,47.9018
2020-06-29,50.0689
2020-06-30,50.0325
2020-07-01,52.7215
2020-07-02,53.1606
2020-07-03,53.1606
2020-07-04,53.1606
2020-07-05,53.1606
2020-07-06,54.4809
2020-07-07,52.3867
2020-07-08,52.5436
2020-07-09,52.9179
2020-07-10,54.4541
2020-07-11,54.4541
2020-07-12,54.4541
2020-07-13,53.451
2020-07-14,53.8545
2020-07-15,57.9591
2020-07-16,55.3628
2020-07-17,54.6591
2020-07-18,54.6591
2020-07-19,54.6591
2020-07-20,53.7614
2020-07-21,53.6659
2020-07-22,54.0499
2020-07-23,52.7651
2020-07-24,53.0341
2020-07-25,53.0341
2020-07-26,53.0341
2020-07-27,53.1064
2020-07-28,51.9654
2020-07-29,53.237
2020-07-30,52.1407
2020-07-31,50.7426
2020-08-01,50.7426
2020-08-02,50.7426
2020-08-03,50.0974
2020-08-04,51.4346
2020-08-05,53.9789
2020-08-06,55.2976
2020-08-07,55.4292
2020-08-08,55.4292
2020-08-09,55.4292
2020-08-10,56.1291
2020-08-11,57.9005
2020-08-12,58.0431
2020-08-13,57.0276
2020-08-14,56.0799
2020-08-15,56.0799
2020-08-16,56.0799
2020-08-17,54.36
2020-08-18,55.7656
2020-08-19,54.9944
2020-08-20,55.0629
2020-08-21,55.6744
2020-08-22,55.6744
2020-08-23,55.6744
2020-08-24,58.6741
2020-08-25,59.6668
2020-08-26,60.3372
2020-08-27,61.6651
2020-08-28,64.0911
2020-08-29,64.0911
2020-08-30,64.0911
2020-08-31,61.3886
2020-09-01,62.2595
2020-09-02,63.1866
2020-09-03,62.9226
2020-09-04,60.7063
