,FRCB US Equity
,RSI_30D
2020-01-01,70.1022
2020-01-02,70.9093
2020-01-03,69.7697
2020-01-04,69.7697
2020-01-05,69.7697
2020-01-06,64.7355
2020-01-07,62.796
2020-01-08,63.6779
2020-01-09,62.568
2020-01-10,58.1005
2020-01-11,58.1005
2020-01-12,58.1005
2020-01-13,60.4192
2020-01-14,68.6822
2020-01-15,60.3896
2020-01-16,62.7244
2020-01-17,60.7729
2020-01-18,60.7729
2020-01-19,60.7729
2020-01-20,60.7729
2020-01-21,58.5292
2020-01-22,58.8554
2020-01-23,55.8994
2020-01-24,51.8317
2020-01-25,51.8317
2020-01-26,51.8317
2020-01-27,48.8362
2020-01-28,51.5049
2020-01-29,49.285
2020-01-30,50.7647
2020-01-31,47.4591
2020-02-01,47.4591
2020-02-02,47.4591
2020-02-03,49.7172
2020-02-04,52.8749
2020-02-05,55.9154
2020-02-06,55.2405
2020-02-07,53.2775
2020-02-08,53.2775
2020-02-09,53.2775
2020-02-10,54.4941
2020-02-11,56.2099
2020-02-12,57.2011
2020-02-13,57.4372
2020-02-14,56.7536
2020-02-15,56.7536
2020-02-16,56.7536
2020-02-17,56.7536
2020-02-18,55.1109
2020-02-19,55.773
2020-02-20,56.3807
2020-02-21,54.4103
2020-02-22,54.4103
2020-02-23,54.4103
2020-02-24,50.5185
2020-02-25,44.2439
2020-02-26,41.6133
2020-02-27,38.0933
2020-02-28,34.3522
2020-02-29,34.3522
2020-03-01,34.3522
2020-03-02,41.8606
2020-03-03,38.3773
2020-03-04,42.1263
2020-03-05,38.1835
2020-03-06,34.7369
2020-03-07,34.7369
2020-03-08,34.7369
2020-03-09,29.9158
2020-03-10,36.1097
2020-03-11,34.5207
2020-03-12,33.5805
2020-03-13,42.1259
2020-03-14,42.1259
2020-03-15,42.1259
2020-03-16,35.1903
2020-03-17,42.6948
2020-03-18,39.0788
2020-03-19,41.9809
2020-03-20,37.829
2020-03-21,37.829
2020-03-22,37.829
2020-03-23,36.4189
2020-03-24,40.5694
2020-03-25,41.4818
2020-03-26,40.302
2020-03-27,40.8423
2020-03-28,40.8423
2020-03-29,40.8423
2020-03-30,43.1187
