,EHC US Equity
,RSI_30D
2020-01-01,53.181
2020-01-02,52.8205
2020-01-03,52.8506
2020-01-04,52.8506
2020-01-05,52.8506
2020-01-06,51.9938
2020-01-07,49.6937
2020-01-08,51.8341
2020-01-09,51.8341
2020-01-10,57.774
2020-01-11,57.774
2020-01-12,57.774
2020-01-13,68.7657
2020-01-14,69.9967
2020-01-15,69.833
2020-01-16,73.3744
2020-01-17,70.9009
2020-01-18,70.9009
2020-01-19,70.9009
2020-01-20,70.9009
2020-01-21,71.2311
2020-01-22,70.7837
2020-01-23,68.8661
2020-01-24,68.4186
2020-01-25,68.4186
2020-01-26,68.4186
2020-01-27,63.8228
2020-01-28,65.1312
2020-01-29,62.2556
2020-01-30,62.4101
2020-01-31,61.7994
2020-02-01,61.7994
2020-02-02,61.7994
2020-02-03,62.0555
2020-02-04,64.6796
2020-02-05,65.694
2020-02-06,66.4968
2020-02-07,65.8591
2020-02-08,65.8591
2020-02-09,65.8591
2020-02-10,69.2868
2020-02-11,68.9368
2020-02-12,69.5019
2020-02-13,69.9228
2020-02-14,70.2161
2020-02-15,70.2161
2020-02-16,70.2161
2020-02-17,70.2161
2020-02-18,69.7587
2020-02-19,70.2673
2020-02-20,69.3533
2020-02-21,66.081
2020-02-22,66.081
2020-02-23,66.081
2020-02-24,58.5071
2020-02-25,52.5565
2020-02-26,53.6245
2020-02-27,48.6084
2020-02-28,48.0325
2020-02-29,48.0325
2020-03-01,48.0325
2020-03-02,51.6315
2020-03-03,46.4975
2020-03-04,59.443
2020-03-05,54.1878
2020-03-06,51.7249
2020-03-07,51.7249
2020-03-08,51.7249
2020-03-09,42.6718
2020-03-10,45.1929
2020-03-11,37.9478
2020-03-12,34.4372
2020-03-13,40.2283
2020-03-14,40.2283
2020-03-15,40.2283
2020-03-16,35.9588
2020-03-17,35.054
2020-03-18,33.259
2020-03-19,34.3547
2020-03-20,32.4643
2020-03-21,32.4643
2020-03-22,32.4643
2020-03-23,32.2078
2020-03-24,37.4902
2020-03-25,38.5602
2020-03-26,41.966
2020-03-27,43.1557
2020-03-28,43.1557
2020-03-29,43.1557
2020-03-30,44.8053
2020-03-31,46.4211
2020-04-01,43.9383
2020-04-02,45.209
2020-04-03,43.7367
2020-04-04,43.7367
2020-04-05,43.7367
2020-04-06,47.1806
2020-04-07,48.118
2020-04-08,51.7568
2020-04-09,53.0564
2020-04-10,53.0564
2020-04-11,53.0564
2020-04-12,53.0564
2020-04-13,51.8198
2020-04-14,52.5265
2020-04-15,51.6323
2020-04-16,51.8664
2020-04-17,53.0105
2020-04-18,53.0105
2020-04-19,53.0105
2020-04-20,51.2845
2020-04-21,49.4381
2020-04-22,49.7268
2020-04-23,50.0576
2020-04-24,50.0392
2020-04-25,50.0392
2020-04-26,50.0392
2020-04-27,51.7909
2020-04-28,49.3899
2020-04-29,51.0319
2020-04-30,48.3484
2020-05-01,47.2457
2020-05-02,47.2457
2020-05-03,47.2457
2020-05-04,46.9665
2020-05-05,48.3192
2020-05-06,47.4779
2020-05-07,47.2283
2020-05-08,50.3679
2020-05-09,50.3679
2020-05-10,50.3679
2020-05-11,50.7348
2020-05-12,48.0374
2020-05-13,46.2591
2020-05-14,46.0511
2020-05-15,47.9867
2020-05-16,47.9867
2020-05-17,47.9867
2020-05-18,52.5693
2020-05-19,54.4085
2020-05-20,54.2545
2020-05-21,55.3269
2020-05-22,55.2725
2020-05-23,55.2725
2020-05-24,55.2725
2020-05-25,55.2725
2020-05-26,56.855
2020-05-27,56.5217
2020-05-28,56.298
2020-05-29,54.8329
2020-05-30,54.8329
