,TSLA US Equity
,RSI_30D
2020-01-01,74.0436
2020-01-02,75.5034
2020-01-03,76.9373
2020-01-04,76.9373
2020-01-05,76.9373
2020-01-06,77.8353
2020-01-07,79.5288
2020-01-08,81.4593
2020-01-09,77.903
2020-01-10,76.8775
2020-01-11,76.8775
2020-01-12,76.8775
2020-01-13,80.7217
2020-01-14,81.6062
2020-01-15,76.2264
2020-01-16,74.9085
2020-01-17,74.1173
2020-01-18,74.1173
2020-01-19,74.1173
2020-01-20,74.1173
2020-01-21,77.1779
2020-01-22,78.7608
2020-01-23,78.9392
2020-01-24,77.0671
2020-01-25,77.0671
2020-01-26,77.0671
2020-01-27,75.3634
2020-01-28,76.0778
2020-01-29,77.1647
2020-01-30,80.9634
2020-01-31,81.4833
2020-02-01,81.4833
2020-02-02,81.4833
2020-02-03,86.53
2020-02-04,89.0773
2020-02-05,69.6782
2020-02-06,70.3043
2020-02-07,70.2107
2020-02-08,70.2107
2020-02-09,70.2107
2020-02-10,71.2437
2020-02-11,71.3808
2020-02-12,70.5845
2020-02-13,72.243
2020-02-14,71.7902
2020-02-15,71.7902
2020-02-16,71.7902
2020-02-17,71.7902
2020-02-18,74.2456
2020-02-19,76.3947
2020-02-20,74.434
2020-02-21,74.4938
2020-02-22,74.4938
2020-02-23,74.4938
2020-02-24,67.5827
2020-02-25,64.464
2020-02-26,62.602
2020-02-27,54.853
2020-02-28,54.0889
2020-02-29,54.0889
2020-03-01,54.0889
2020-03-02,58.2242
2020-03-03,58.3212
2020-03-04,58.5316
2020-03-05,56.6801
2020-03-06,55.1572
2020-03-07,55.1572
2020-03-08,55.1572
2020-03-09,48.9845
2020-03-10,51.1936
2020-03-11,50.5207
2020-03-12,46.338
2020-03-13,45.5997
2020-03-14,45.5997
2020-03-15,45.5997
2020-03-16,40.708
2020-03-17,40.0571
2020-03-18,37.2024
2020-03-19,41.3647
2020-03-20,41.36
2020-03-21,41.36
2020-03-22,41.36
2020-03-23,41.7803
2020-03-24,45.9702
2020-03-25,47.8507
2020-03-26,47.2993
2020-03-27,46.6079
2020-03-28,46.6079
2020-03-29,46.6079
2020-03-30,45.9915
2020-03-31,47.2812
2020-04-01,45.1183
2020-04-02,43.7954
2020-04-03,45.358
2020-04-04,45.358
2020-04-05,45.358
2020-04-06,47.4999
2020-04-07,49.1619
2020-04-08,49.3544
2020-04-09,50.7298
2020-04-10,50.7298
2020-04-11,50.7298
2020-04-12,50.7298
2020-04-13,54.8246
2020-04-14,57.5822
2020-04-15,58.4694
2020-04-16,59.1511
2020-04-17,59.5388
2020-04-18,59.5388
2020-04-19,59.5388
2020-04-20,59.0359
2020-04-21,55.2146
2020-04-22,57.3862
2020-04-23,55.7546
2020-04-24,56.6936
2020-04-25,56.6936
2020-04-26,56.6936
2020-04-27,60.0043
2020-04-28,58.1528
2020-04-29,59.5216
2020-04-30,58.3498
2020-05-01,53.627
2020-05-02,53.627
2020-05-03,53.627
2020-05-04,56.3436
2020-05-05,56.6516
2020-05-06,57.2897
2020-05-07,57.1359
2020-05-08,58.9053
2020-05-09,58.9053
2020-05-10,58.9053
2020-05-11,58.3905
2020-05-12,58.2687
2020-05-13,57.0603
2020-05-14,57.6692
2020-05-15,57.3861
2020-05-16,57.3861
2020-05-17,57.3861
2020-05-18,58.1253
2020-05-19,57.7227
2020-05-20,58.1257
2020-05-21,58.7741
2020-05-22,57.9477
2020-05-23,57.9477
2020-05-24,57.9477
2020-05-25,57.9477
2020-05-26,58.0609
2020-05-27,58.1406
2020-05-28,56.9536
2020-05-29,58.7185
2020-05-30,58.7185
2020-05-31,58.7185
2020-06-01,62.1857
2020-06-02,60.801
2020-06-03,60.8773
2020-06-04,59.2932
2020-06-05,60.5106
2020-06-06,60.5106
2020-06-07,60.5106
2020-06-08,63.8849
2020-06-09,63.0822
2020-06-10,66.9954
2020-06-11,62.7388
2020-06-12,59.9062
2020-06-13,59.9062
2020-06-14,59.9062
2020-06-15,62.4998
2020-06-16,61.8472
2020-06-17,62.2958
2020-06-18,62.8649
