,CAT US Equity
,RSI_30D
2020-01-01,62.1266
2020-01-02,64.7285
2020-01-03,61.5222
2020-01-04,61.5222
2020-01-05,61.5222
2020-01-06,61.3717
2020-01-07,58.472
2020-01-08,59.776
2020-01-09,59.2284
2020-01-10,57.4909
2020-01-11,57.4909
2020-01-12,57.4909
2020-01-13,58.2321
2020-01-14,58.0197
2020-01-15,56.3349
2020-01-16,58.8936
2020-01-17,59.8943
2020-01-18,59.8943
2020-01-19,59.8943
2020-01-20,59.8943
2020-01-21,56.9499
2020-01-22,52.4959
2020-01-23,52.6387
2020-01-24,49.5928
2020-01-25,49.5928
2020-01-26,49.5928
2020-01-27,44.3805
2020-01-28,45.6637
2020-01-29,44.6508
2020-01-30,44.2175
2020-01-31,40.2549
2020-02-01,40.2549
2020-02-02,40.2549
2020-02-03,38.8397
2020-02-04,43.6874
2020-02-05,48.1545
2020-02-06,47.9642
2020-02-07,44.2687
2020-02-08,44.2687
2020-02-09,44.2687
2020-02-10,45.3355
2020-02-11,47.3863
2020-02-12,50.8542
2020-02-13,50.982
2020-02-14,49.22
2020-02-15,49.22
2020-02-16,49.22
2020-02-17,49.22
2020-02-18,47.8264
2020-02-19,48.1281
2020-02-20,48.2056
2020-02-21,48.5237
2020-02-22,48.5237
2020-02-23,48.5237
2020-02-24,43.5441
2020-02-25,40.8186
2020-02-26,40.2028
2020-02-27,36.4274
2020-02-28,37.608
2020-02-29,37.608
2020-03-01,37.608
2020-03-02,41.5008
2020-03-03,39.0833
2020-03-04,42.342
2020-03-05,38.5102
2020-03-06,38.142
2020-03-07,38.142
2020-03-08,38.142
2020-03-09,29.1984
2020-03-10,31.5167
2020-03-11,29.1502
2020-03-12,26.193
2020-03-13,32.4034
2020-03-14,32.4034
2020-03-15,32.4034
2020-03-16,30.1853
2020-03-17,35.1873
2020-03-18,35.1566
2020-03-19,37.2042
2020-03-20,34.2932
2020-03-21,34.2932
2020-03-22,34.2932
2020-03-23,32.9952
2020-03-24,39.1862
2020-03-25,41.1597
2020-03-26,44.4259
2020-03-27,42.3169
2020-03-28,42.3169
2020-03-29,42.3169
2020-03-30,45.6258
2020-03-31,47.7664
2020-04-01,45.7484
2020-04-02,48.343
2020-04-03,47.4416
2020-04-04,47.4416
2020-04-05,47.4416
2020-04-06,50.1189
2020-04-07,50.7897
2020-04-08,53.185
2020-04-09,52.0515
2020-04-10,52.0515
2020-04-11,52.0515
2020-04-12,52.0515
2020-04-13,47.2633
2020-04-14,48.3201
2020-04-15,46.2902
2020-04-16,47.0754
2020-04-17,48.9696
2020-04-18,48.9696
2020-04-19,48.9696
2020-04-20,48.231
2020-04-21,46.2161
2020-04-22,46.5999
2020-04-23,47.7091
2020-04-24,48.2626
2020-04-25,48.2626
2020-04-26,48.2626
2020-04-27,48.8376
2020-04-28,48.9691
2020-04-29,51.262
2020-04-30,49.4242
2020-05-01,46.8285
2020-05-02,46.8285
2020-05-03,46.8285
2020-05-04,45.411
2020-05-05,46.0472
2020-05-06,45.4759
2020-05-07,45.2977
2020-05-08,47.9724
2020-05-09,47.9724
2020-05-10,47.9724
2020-05-11,46.2728
2020-05-12,44.5874
2020-05-13,44.3467
2020-05-14,45.3503
2020-05-15,46.3626
2020-05-16,46.3626
2020-05-17,46.3626
2020-05-18,50.2733
2020-05-19,48.7508
2020-05-20,50.6493
2020-05-21,49.7878
2020-05-22,48.9477
2020-05-23,48.9477
2020-05-24,48.9477
2020-05-25,48.9477
2020-05-26,51.5741
2020-05-27,54.0539
2020-05-28,53.1105
2020-05-29,52.7645
2020-05-30,52.7645
2020-05-31,52.7645
2020-06-01,52.9568
2020-06-02,54.4196
2020-06-03,56.2988
2020-06-04,57.2042
2020-06-05,60.0264
2020-06-06,60.0264
2020-06-07,60.0264
2020-06-08,61.1451
2020-06-09,58.8325
2020-06-10,57.713
2020-06-11,51.4152
2020-06-12,52.2079
2020-06-13,52.2079
2020-06-14,52.2079
2020-06-15,52.4386
2020-06-16,55.5745
2020-06-17,54.4994
2020-06-18,54.1306
2020-06-19,54.0537
2020-06-20,54.0537
2020-06-21,54.0537
2020-06-22,53.0527
2020-06-23,53.2991
2020-06-24,50.787
2020-06-25,52.2592
2020-06-26,50.8807
2020-06-27,50.8807
2020-06-28,50.8807
2020-06-29,52.4792
2020-06-30,53.1684
2020-07-01,52.8891
2020-07-02,53.8355
2020-07-03,53.8355
2020-07-04,53.8355
2020-07-05,53.8355
2020-07-06,54.803
2020-07-07,53.2961
2020-07-08,53.8436
2020-07-09,52.2096
2020-07-10,53.5936
2020-07-11,53.5936
2020-07-12,53.5936
2020-07-13,55.1039
2020-07-14,58.544
2020-07-15,59.3006
2020-07-16,59.4042
2020-07-17,58.912
2020-07-18,58.912
2020-07-19,58.912
2020-07-20,57.1469
2020-07-21,57.8604
2020-07-22,58.5002
2020-07-23,58.1873
2020-07-24,58.7756
2020-07-25,58.7756
2020-07-26,58.7756
2020-07-27,60.1428
2020-07-28,58.526
2020-07-29,60.0204
2020-07-30,56.8021
2020-07-31,53.7797
2020-08-01,53.7797
2020-08-02,53.7797
2020-08-03,52.947
2020-08-04,52.7473
2020-08-05,55.0733
2020-08-06,54.6058
2020-08-07,54.9671
2020-08-08,54.9671
2020-08-09,54.9671
2020-08-10,59.4411
2020-08-11,59.7384
2020-08-12,59.7623
2020-08-13,58.0668
2020-08-14,57.4368
2020-08-15,57.4368
2020-08-16,57.4368
2020-08-17,56.3327
2020-08-18,56.0183
2020-08-19,55.6967
2020-08-20,55.191
2020-08-21,55.9194
2020-08-22,55.9194
2020-08-23,55.9194
2020-08-24,58.3174
2020-08-25,57.787
2020-08-26,58.2905
2020-08-27,59.4242
2020-08-28,59.6159
2020-08-29,59.6159
2020-08-30,59.6159
2020-08-31,58.1724
2020-09-01,60.9442
2020-09-02,63.1209
2020-09-03,60.4061
2020-09-04,61.3782
2020-09-05,61.3782
2020-09-06,61.3782
2020-09-07,61.3782
2020-09-08,61.6117
2020-09-09,64.3461
2020-09-10,61.2816
2020-09-11,63.7846
2020-09-12,63.7846
2020-09-13,63.7846
2020-09-14,63.4426
2020-09-15,58.4668
2020-09-16,60.1208
2020-09-17,61.8491
2020-09-18,60.3971
