,NVRI US Equity
,RSI_30D
2020-01-01,60.4317
2020-01-02,61.9178
2020-01-03,57.5545
2020-01-04,57.5545
2020-01-05,57.5545
2020-01-06,55.6282
2020-01-07,54.9275
2020-01-08,54.2211
2020-01-09,51.9499
2020-01-10,47.7242
2020-01-11,47.7242
2020-01-12,47.7242
2020-01-13,46.8024
2020-01-14,45.2809
2020-01-15,43.5396
2020-01-16,46.7644
2020-01-17,45.7556
2020-01-18,45.7556
2020-01-19,45.7556
2020-01-20,45.7556
2020-01-21,44.3695
2020-01-22,43.5123
2020-01-23,43.8185
2020-01-24,32.6954
2020-01-25,32.6954
2020-01-26,32.6954
2020-01-27,29.6184
2020-01-28,31.6964
2020-01-29,32.2939
2020-01-30,32.9472
2020-01-31,32.5297
2020-02-01,32.5297
2020-02-02,32.5297
2020-02-03,32.1088
2020-02-04,32.5103
2020-02-05,35.4712
2020-02-06,35.0995
2020-02-07,31.252
2020-02-08,31.252
2020-02-09,31.252
2020-02-10,30.943
2020-02-11,34.9355
2020-02-12,40.7948
2020-02-13,40.9925
2020-02-14,40.2417
2020-02-15,40.2417
2020-02-16,40.2417
2020-02-17,40.2417
2020-02-18,39.9892
2020-02-19,40.6316
2020-02-20,40.2748
2020-02-21,39.1486
2020-02-22,39.1486
2020-02-23,39.1486
2020-02-24,36.3536
2020-02-25,32.674
2020-02-26,31.1694
2020-02-27,28.8827
2020-02-28,34.4868
2020-02-29,34.4868
2020-03-01,34.4868
2020-03-02,35.241
2020-03-03,33.5984
2020-03-04,34.7282
2020-03-05,32.6357
2020-03-06,31.9141
2020-03-07,31.9141
2020-03-08,31.9141
2020-03-09,28.4182
2020-03-10,28.0193
2020-03-11,27.4611
2020-03-12,25.8333
2020-03-13,28.6151
2020-03-14,28.6151
2020-03-15,28.6151
2020-03-16,27.1584
2020-03-17,26.7685
2020-03-18,24.6042
2020-03-19,29.6836
2020-03-20,30.9855
2020-03-21,30.9855
2020-03-22,30.9855
2020-03-23,31.8557
2020-03-24,34.9321
2020-03-25,34.3785
2020-03-26,36.1239
2020-03-27,33.8163
2020-03-28,33.8163
2020-03-29,33.8163
2020-03-30,35.601
2020-03-31,36.0129
2020-04-01,34.5644
2020-04-02,35.1326
2020-04-03,34.6655
2020-04-04,34.6655
2020-04-05,34.6655
2020-04-06,36.3791
2020-04-07,40.1778
2020-04-08,43.9544
2020-04-09,42.5869
2020-04-10,42.5869
2020-04-11,42.5869
2020-04-12,42.5869
2020-04-13,42.2642
2020-04-14,41.9121
2020-04-15,40.7418
2020-04-16,40.5311
2020-04-17,42.2812
2020-04-18,42.2812
2020-04-19,42.2812
2020-04-20,42.1053
2020-04-21,41.243
2020-04-22,41.3161
2020-04-23,43.323
2020-04-24,43.6852
2020-04-25,43.6852
2020-04-26,43.6852
2020-04-27,45.557
2020-04-28,46.8914
2020-04-29,50.1823
2020-04-30,49.8274
2020-05-01,45.6108
2020-05-02,45.6108
2020-05-03,45.6108
2020-05-04,46.0525
2020-05-05,45.0055
2020-05-06,43.1722
2020-05-07,44.5736
2020-05-08,50.5569
2020-05-09,50.5569
2020-05-10,50.5569
2020-05-11,47.8696
2020-05-12,45.6818
2020-05-13,44.4368
2020-05-14,46.4801
2020-05-15,46.5114
2020-05-16,46.5114
2020-05-17,46.5114
2020-05-18,49.303
2020-05-19,49.2154
2020-05-20,51.2465
2020-05-21,50.2079
2020-05-22,49.5057
2020-05-23,49.5057
2020-05-24,49.5057
2020-05-25,49.5057
2020-05-26,53.0221
2020-05-27,55.4238
2020-05-28,54.8695
2020-05-29,54.4388
2020-05-30,54.4388
2020-05-31,54.4388
2020-06-01,55.1945
2020-06-02,56.7871
2020-06-03,57.8037
2020-06-04,58.4687
2020-06-05,60.1324
2020-06-06,60.1324
2020-06-07,60.1324
2020-06-08,62.2586
2020-06-09,60.4195
2020-06-10,58.4835
2020-06-11,52.7349
2020-06-12,54.8556
2020-06-13,54.8556
2020-06-14,54.8556
2020-06-15,55.9175
2020-06-16,58.1528
2020-06-17,55.9046
2020-06-18,55.7753
2020-06-19,54.8887
2020-06-20,54.8887
2020-06-21,54.8887
