,PAYX US Equity
,RSI_30D
2020-01-01,53.4875
2020-01-02,53.6875
2020-01-03,52.3369
2020-01-04,52.3369
2020-01-05,52.3369
2020-01-06,52.29
2020-01-07,50.1058
2020-01-08,53.6433
2020-01-09,55.8848
2020-01-10,53.6672
2020-01-11,53.6672
2020-01-12,53.6672
2020-01-13,57.3189
2020-01-14,58.5479
2020-01-15,60.97
2020-01-16,62.7703
2020-01-17,63.5529
2020-01-18,63.5529
2020-01-19,63.5529
2020-01-20,63.5529
2020-01-21,64.718
2020-01-22,67.229
2020-01-23,67.3555
2020-01-24,63.5971
2020-01-25,63.5971
2020-01-26,63.5971
2020-01-27,58.1535
2020-01-28,60.8948
2020-01-29,55.873
2020-01-30,57.485
2020-01-31,51.9428
2020-02-01,51.9428
2020-02-02,51.9428
2020-02-03,54.2393
2020-02-04,58.6861
2020-02-05,57.8409
2020-02-06,58.8703
2020-02-07,57.2521
2020-02-08,57.2521
2020-02-09,57.2521
2020-02-10,58.5316
2020-02-11,56.1781
2020-02-12,56.6227
2020-02-13,58.2464
2020-02-14,59.7554
2020-02-15,59.7554
2020-02-16,59.7554
2020-02-17,59.7554
2020-02-18,60.122
2020-02-19,61.9165
2020-02-20,62.198
2020-02-21,57.8476
2020-02-22,57.8476
2020-02-23,57.8476
2020-02-24,51.9826
2020-02-25,43.1317
2020-02-26,40.4965
2020-02-27,34.892
2020-02-28,32.9124
2020-02-29,32.9124
2020-03-01,32.9124
2020-03-02,43.6298
2020-03-03,39.3594
2020-03-04,45.4333
2020-03-05,41.4726
2020-03-06,39.3614
2020-03-07,39.3614
2020-03-08,39.3614
2020-03-09,34.3517
2020-03-10,40.912
2020-03-11,38.9869
2020-03-12,32.5677
2020-03-13,39.0127
2020-03-14,39.0127
2020-03-15,39.0127
2020-03-16,30.7125
2020-03-17,34.015
2020-03-18,36.4944
2020-03-19,33.7407
2020-03-20,30.9617
2020-03-21,30.9617
2020-03-22,30.9617
2020-03-23,30.2888
2020-03-24,38.3348
2020-03-25,38.7496
2020-03-26,43.0046
2020-03-27,40.1647
2020-03-28,40.1647
2020-03-29,40.1647
2020-03-30,43.1701
2020-03-31,42.3927
2020-04-01,41.2079
2020-04-02,41.5183
2020-04-03,40.7434
2020-04-04,40.7434
2020-04-05,40.7434
2020-04-06,44.8716
2020-04-07,44.6084
2020-04-08,44.7795
2020-04-09,45.8468
2020-04-10,45.8468
2020-04-11,45.8468
2020-04-12,45.8468
2020-04-13,44.4128
2020-04-14,45.8711
2020-04-15,45.1023
2020-04-16,44.4123
2020-04-17,47.1954
2020-04-18,47.1954
2020-04-19,47.1954
2020-04-20,46.5235
2020-04-21,44.9698
2020-04-22,47.0683
2020-04-23,47.1353
2020-04-24,48.028
2020-04-25,48.028
2020-04-26,48.028
2020-04-27,48.3871
2020-04-28,48.4655
2020-04-29,49.419
2020-04-30,48.3849
2020-05-01,46.9293
2020-05-02,46.9293
2020-05-03,46.9293
2020-05-04,47.4151
2020-05-05,47.8569
2020-05-06,47.4045
2020-05-07,48.2629
2020-05-08,47.4533
2020-05-09,47.4533
2020-05-10,47.4533
2020-05-11,46.7769
2020-05-12,44.8903
2020-05-13,43.2138
2020-05-14,45.0741
2020-05-15,45.376
2020-05-16,45.376
2020-05-17,45.376
2020-05-18,48.2213
2020-05-19,47.576
2020-05-20,49.6848
2020-05-21,49.3041
2020-05-22,49.4799
2020-05-23,49.4799
2020-05-24,49.4799
2020-05-25,49.4799
2020-05-26,51.1823
2020-05-27,52.8085
2020-05-28,53.7482
2020-05-29,53.9343
2020-05-30,53.9343
2020-05-31,53.9343
2020-06-01,53.5665
2020-06-02,54.7939
2020-06-03,56.2721
2020-06-04,55.5539
2020-06-05,60.6305
2020-06-06,60.6305
2020-06-07,60.6305
2020-06-08,60.8437
2020-06-09,57.8551
2020-06-10,57.2245
2020-06-11,52.0807
2020-06-12,53.1851
2020-06-13,53.1851
2020-06-14,53.1851
2020-06-15,54.355
2020-06-16,55.6093
2020-06-17,55.0433
2020-06-18,54.5702
2020-06-19,52.8254
2020-06-20,52.8254
2020-06-21,52.8254
2020-06-22,53.1038
2020-06-23,53.0229
2020-06-24,49.9624
2020-06-25,51.65
2020-06-26,50.2604
2020-06-27,50.2604
2020-06-28,50.2604
2020-06-29,52.2942
2020-06-30,54.3263
2020-07-01,54.8652
2020-07-02,55.1538
2020-07-03,55.1538
2020-07-04,55.1538
2020-07-05,55.1538
2020-07-06,56.3389
2020-07-07,51.7719
2020-07-08,52.4059
2020-07-09,50.5248
2020-07-10,50.9826
2020-07-11,50.9826
2020-07-12,50.9826
2020-07-13,49.1135
2020-07-14,49.3893
2020-07-15,51.2791
2020-07-16,50.3535
2020-07-17,51.2183
2020-07-18,51.2183
2020-07-19,51.2183
2020-07-20,51.0588
2020-07-21,51.0209
2020-07-22,51.6402
2020-07-23,50.7637
2020-07-24,49.4738
2020-07-25,49.4738
2020-07-26,49.4738
2020-07-27,50.0101
2020-07-28,50.7537
2020-07-29,51.3122
2020-07-30,49.6088
2020-07-31,49.8836
2020-08-01,49.8836
2020-08-02,49.8836
2020-08-03,51.1034
2020-08-04,50.8746
2020-08-05,51.0409
2020-08-06,50.8306
2020-08-07,52.1789
2020-08-08,52.1789
2020-08-09,52.1789
2020-08-10,53.6171
2020-08-11,52.8475
2020-08-12,53.1322
2020-08-13,53.6867
2020-08-14,53.3743
2020-08-15,53.3743
2020-08-16,53.3743
2020-08-17,53.6112
2020-08-18,53.6981
2020-08-19,52.959
2020-08-20,52.7503
2020-08-21,52.4723
2020-08-22,52.4723
2020-08-23,52.4723
2020-08-24,55.4786
2020-08-25,56.0678
2020-08-26,56.0446
2020-08-27,57.3261
2020-08-28,58.6964
2020-08-29,58.6964
2020-08-30,58.6964
2020-08-31,56.6437
2020-09-01,56.136
2020-09-02,59.2822
2020-09-03,55.3621
2020-09-04,54.7344
2020-09-05,54.7344
2020-09-06,54.7344
2020-09-07,54.7344
2020-09-08,50.956
2020-09-09,53.7371
2020-09-10,52.7404
2020-09-11,52.0949
2020-09-12,52.0949
2020-09-13,52.0949
2020-09-14,56.7418
2020-09-15,58.771
2020-09-16,60.034
2020-09-17,59.5176
2020-09-18,57.4504
2020-09-19,57.4504
2020-09-20,57.4504
2020-09-21,53.6376
2020-09-22,55.0628
2020-09-23,52.0816
2020-09-24,51.7783
2020-09-25,54.8229
2020-09-26,54.8229
2020-09-27,54.8229
2020-09-28,57.723
2020-09-29,56.899
2020-09-30,57.8108
2020-10-01,56.9385
2020-10-02,57.0662
2020-10-03,57.0662
