,ORLY US Equity
,RSI_30D
2020-01-01,58.8987
2020-01-02,58.4175
2020-01-03,58.9935
2020-01-04,58.9935
2020-01-05,58.9935
2020-01-06,56.3103
2020-01-07,52.7368
2020-01-08,54.3301
2020-01-09,56.9535
2020-01-10,56.6335
2020-01-11,56.6335
2020-01-12,56.6335
2020-01-13,55.7919
2020-01-14,57.2571
2020-01-15,57.0232
2020-01-16,58.4471
2020-01-17,58.1808
2020-01-18,58.1808
2020-01-19,58.1808
2020-01-20,58.1808
2020-01-21,58.1246
2020-01-22,54.7784
2020-01-23,54.9649
2020-01-24,51.5499
2020-01-25,51.5499
2020-01-26,51.5499
2020-01-27,49.1792
2020-01-28,49.9311
2020-01-29,47.6387
2020-01-30,45.3115
2020-01-31,38.9323
2020-02-01,38.9323
2020-02-02,38.9323
2020-02-03,39.0161
2020-02-04,39.9084
2020-02-05,46.7899
2020-02-06,38.513
2020-02-07,35.3127
2020-02-08,35.3127
2020-02-09,35.3127
2020-02-10,37.185
2020-02-11,36.7143
2020-02-12,38.1308
2020-02-13,38.1994
2020-02-14,37.6313
2020-02-15,37.6313
2020-02-16,37.6313
2020-02-17,37.6313
2020-02-18,40.3677
2020-02-19,39.0337
2020-02-20,40.635
2020-02-21,39.3369
2020-02-22,39.3369
2020-02-23,39.3369
2020-02-24,38.062
2020-02-25,34.8024
2020-02-26,34.9903
2020-02-27,32.9067
2020-02-28,32.4226
2020-02-29,32.4226
2020-03-01,32.4226
2020-03-02,37.6647
2020-03-03,33.6892
2020-03-04,39.7203
2020-03-05,35.6365
2020-03-06,38.4222
2020-03-07,38.4222
2020-03-08,38.4222
2020-03-09,40.6085
2020-03-10,47.517
2020-03-11,42.5789
2020-03-12,34.1425
2020-03-13,40.7594
2020-03-14,40.7594
2020-03-15,40.7594
2020-03-16,32.9615
2020-03-17,39.1114
2020-03-18,35.075
2020-03-19,34.7254
2020-03-20,31.9603
2020-03-21,31.9603
2020-03-22,31.9603
2020-03-23,31.6824
2020-03-24,35.0079
2020-03-25,39.1284
2020-03-26,43.8317
2020-03-27,42.2172
2020-03-28,42.2172
2020-03-29,42.2172
2020-03-30,42.994
2020-03-31,40.9437
2020-04-01,39.3796
2020-04-02,42.0736
2020-04-03,41.1293
2020-04-04,41.1293
2020-04-05,41.1293
2020-04-06,46.912
2020-04-07,47.3116
2020-04-08,47.8492
2020-04-09,48.1997
2020-04-10,48.1997
2020-04-11,48.1997
2020-04-12,48.1997
2020-04-13,49.0058
2020-04-14,50.2382
2020-04-15,49.8744
2020-04-16,51.8948
2020-04-17,52.7281
2020-04-18,52.7281
2020-04-19,52.7281
2020-04-20,52.7499
2020-04-21,50.2945
2020-04-22,51.7995
2020-04-23,52.7315
2020-04-24,54.234
2020-04-25,54.234
2020-04-26,54.234
2020-04-27,54.9083
2020-04-28,54.0285
2020-04-29,55.0011
2020-04-30,54.1504
2020-05-01,52.3654
2020-05-02,52.3654
2020-05-03,52.3654
2020-05-04,54.2193
2020-05-05,54.5547
2020-05-06,55.6964
2020-05-07,53.563
2020-05-08,56.0367
2020-05-09,56.0367
2020-05-10,56.0367
2020-05-11,55.3511
2020-05-12,54.4744
2020-05-13,53.6282
2020-05-14,55.0515
2020-05-15,56.4055
2020-05-16,56.4055
2020-05-17,56.4055
2020-05-18,56.8427
2020-05-19,56.8193
2020-05-20,56.2377
2020-05-21,55.6136
2020-05-22,55.7411
2020-05-23,55.7411
2020-05-24,55.7411
2020-05-25,55.7411
2020-05-26,54.4046
2020-05-27,57.3189
2020-05-28,56.8191
2020-05-29,57.5511
2020-05-30,57.5511
2020-05-31,57.5511
2020-06-01,57.6162
2020-06-02,58.0122
2020-06-03,58.2404
2020-06-04,56.3802
2020-06-05,58.1057
2020-06-06,58.1057
2020-06-07,58.1057
2020-06-08,57.3185
2020-06-09,58.0139
2020-06-10,56.1901
2020-06-11,54.2181
2020-06-12,54.5303
2020-06-13,54.5303
2020-06-14,54.5303
2020-06-15,55.7018
2020-06-16,57.9079
2020-06-17,57.9244
2020-06-18,57.8104
2020-06-19,56.6979
2020-06-20,56.6979
2020-06-21,56.6979
2020-06-22,58.611
2020-06-23,57.5771
2020-06-24,53.703
2020-06-25,54.5613
2020-06-26,53.9623
2020-06-27,53.9623
2020-06-28,53.9623
2020-06-29,55.6006
2020-06-30,55.3884
2020-07-01,56.4415
2020-07-02,56.8643
2020-07-03,56.8643
2020-07-04,56.8643
2020-07-05,56.8643
2020-07-06,56.2232
2020-07-07,55.051
2020-07-08,54.5127
2020-07-09,54.1606
2020-07-10,54.5403
2020-07-11,54.5403
2020-07-12,54.5403
2020-07-13,54.2065
2020-07-14,56.5086
2020-07-15,57.8676
2020-07-16,57.4028
2020-07-17,57.4225
2020-07-18,57.4225
2020-07-19,57.4225
2020-07-20,59.2108
2020-07-21,61.3771
2020-07-22,62.446
2020-07-23,61.2551
2020-07-24,59.0566
2020-07-25,59.0566
2020-07-26,59.0566
2020-07-27,61.1782
2020-07-28,61.0169
2020-07-29,62.4804
2020-07-30,67.8784
2020-07-31,66.6204
2020-08-01,66.6204
2020-08-02,66.6204
2020-08-03,65.1915
2020-08-04,64.8269
2020-08-05,63.0823
2020-08-06,62.1045
2020-08-07,61.7463
2020-08-08,61.7463
2020-08-09,61.7463
2020-08-10,60.1219
2020-08-11,57.3602
2020-08-12,59.8967
2020-08-13,59.0655
2020-08-14,59.6553
2020-08-15,59.6553
2020-08-16,59.6553
2020-08-17,61.2018
2020-08-18,61.3677
2020-08-19,59.7008
2020-08-20,58.0573
2020-08-21,57.3907
2020-08-22,57.3907
2020-08-23,57.3907
2020-08-24,58.4549
2020-08-25,59.0548
2020-08-26,57.6796
2020-08-27,57.6282
2020-08-28,57.7484
2020-08-29,57.7484
2020-08-30,57.7484
2020-08-31,58.6273
2020-09-01,60.9979
2020-09-02,63.6772
2020-09-03,58.9334
2020-09-04,58.536
2020-09-05,58.536
2020-09-06,58.536
2020-09-07,58.536
2020-09-08,58.2765
2020-09-09,60.0681
2020-09-10,57.0422
2020-09-11,58.6942
2020-09-12,58.6942
2020-09-13,58.6942
2020-09-14,59.7275
2020-09-15,59.4129
2020-09-16,56.1833
2020-09-17,55.136
2020-09-18,53.7074
2020-09-19,53.7074
2020-09-20,53.7074
2020-09-21,49.8981
2020-09-22,50.425
2020-09-23,47.9677
2020-09-24,46.3646
2020-09-25,46.6463
2020-09-26,46.6463
2020-09-27,46.6463
2020-09-28,51.3577
2020-09-29,49.91
2020-09-30,52.5794
2020-10-01,53.4004
2020-10-02,51.4246
2020-10-03,51.4246
2020-10-04,51.4246
2020-10-05,51.8576
2020-10-06,46.7286
2020-10-07,46.8346
2020-10-08,49.8467
2020-10-09,48.5092
2020-10-10,48.5092
2020-10-11,48.5092
2020-10-12,51.5789
2020-10-13,54.936
2020-10-14,53.2592
2020-10-15,54.7043
2020-10-16,53.8241
2020-10-17,53.8241
2020-10-18,53.8241
2020-10-19,52.6762
2020-10-20,54.425
2020-10-21,53.1983
2020-10-22,50.1648
2020-10-23,53.0675
2020-10-24,53.0675
2020-10-25,53.0675
2020-10-26,49.6963
2020-10-27,47.9681
2020-10-28,45.7243
2020-10-29,44.0737
2020-10-30,44.1666
2020-10-31,44.1666
2020-11-01,44.1666
2020-11-02,45.8417
2020-11-03,48.3455
2020-11-04,48.8004
2020-11-05,48.6903
2020-11-06,48.1763
2020-11-07,48.1763
2020-11-08,48.1763
2020-11-09,50.3876
2020-11-10,50.8988
2020-11-11,53.1057
2020-11-12,50.8292
2020-11-13,52.3831
2020-11-14,52.3831
2020-11-15,52.3831
2020-11-16,52.2343
2020-11-17,48.5331
2020-11-18,49.9468
2020-11-19,48.9078
2020-11-20,47.41
2020-11-21,47.41
2020-11-22,47.41
2020-11-23,45.9296
2020-11-24,48.3996
2020-11-25,46.839
2020-11-26,46.839
2020-11-27,46.5255
2020-11-28,46.5255
2020-11-29,46.5255
2020-11-30,46.2956
2020-12-01,50.2767
2020-12-02,46.6868
2020-12-03,48.0932
2020-12-04,49.2777
2020-12-05,49.2777
2020-12-06,49.2777
2020-12-07,48.8233
2020-12-08,46.0775
2020-12-09,47.5019
2020-12-10,48.1991
2020-12-11,48.8871
2020-12-12,48.8871
2020-12-13,48.8871
2020-12-14,48.7524
2020-12-15,49.319
2020-12-16,51.4598
2020-12-17,50.2866
2020-12-18,50.0319
2020-12-19,50.0319
2020-12-20,50.0319
2020-12-21,50.5803
2020-12-22,50.89
2020-12-23,52.6329
2020-12-24,54.0559
2020-12-25,54.0559
2020-12-26,54.0559
2020-12-27,54.0559
2020-12-28,52.0701
2020-12-29,50.2499
2020-12-30,49.9355
2020-12-31,50.2533
2021-01-01,50.2533
2021-01-02,50.2533
2021-01-03,50.2533
2021-01-04,50.8404
2021-01-05,49.6752
2021-01-06,55.1677
2021-01-07,56.823
2021-01-08,59.4545
2021-01-09,59.4545
2021-01-10,59.4545
2021-01-11,61.2546
2021-01-12,64.451
2021-01-13,58.9743
2021-01-14,54.6581
2021-01-15,52.9531
2021-01-16,52.9531
2021-01-17,52.9531
2021-01-18,52.9531
2021-01-19,51.9938
2021-01-20,52.7188
2021-01-21,54.2499
2021-01-22,49.5335
2021-01-23,49.5335
2021-01-24,49.5335
2021-01-25,47.2506
2021-01-26,48.7609
2021-01-27,41.6727
2021-01-28,42.9723
2021-01-29,41.3223
2021-01-30,41.3223
2021-01-31,41.3223
2021-02-01,44.8569
2021-02-02,47.3551
2021-02-03,46.7085
2021-02-04,49.3954
2021-02-05,48.4373
2021-02-06,48.4373
2021-02-07,48.4373
2021-02-08,49.6358
2021-02-09,49.8563
2021-02-10,50.7829
2021-02-11,44.5763
