,VNO US Equity
,RSI_30D
2020-01-01,64.3229
2020-01-02,60.2547
2020-01-03,61.5381
2020-01-04,61.5381
2020-01-05,61.5381
2020-01-06,63.5891
2020-01-07,60.4484
2020-01-08,59.9193
2020-01-09,60.4059
2020-01-10,61.226
2020-01-11,61.226
2020-01-12,61.226
2020-01-13,62.6756
2020-01-14,62.3431
2020-01-15,62.5742
2020-01-16,63.2228
2020-01-17,62.907
2020-01-18,62.907
2020-01-19,62.907
2020-01-20,62.907
2020-01-21,64.4299
2020-01-22,63.6838
2020-01-23,66.1899
2020-01-24,63.243
2020-01-25,63.243
2020-01-26,63.243
2020-01-27,58.4477
2020-01-28,59.095
2020-01-29,59.4079
2020-01-30,58.8575
2020-01-31,56.3246
2020-02-01,56.3246
2020-02-02,56.3246
2020-02-03,54.3034
2020-02-04,57.0542
2020-02-05,58.0633
2020-02-06,58.6835
2020-02-07,57.2243
2020-02-08,57.2243
2020-02-09,57.2243
2020-02-10,56.724
2020-02-11,59.53
2020-02-12,60.1689
2020-02-13,61.1495
2020-02-14,61.6946
2020-02-15,61.6946
2020-02-16,61.6946
2020-02-17,61.6946
2020-02-18,61.1805
2020-02-19,48.3079
2020-02-20,48.0006
2020-02-21,46.6798
2020-02-22,46.6798
2020-02-23,46.6798
2020-02-24,42.5144
2020-02-25,34.9682
2020-02-26,32.5337
2020-02-27,28.1237
2020-02-28,27.0726
2020-02-29,27.0726
2020-03-01,27.0726
2020-03-02,33.1537
2020-03-03,31.7304
2020-03-04,35.6334
2020-03-05,31.7579
2020-03-06,30.9498
2020-03-07,30.9498
2020-03-08,30.9498
2020-03-09,25.6642
2020-03-10,33.1659
2020-03-11,30.3877
2020-03-12,26.6506
2020-03-13,29.5868
2020-03-14,29.5868
2020-03-15,29.5868
2020-03-16,23.0509
2020-03-17,25.9626
2020-03-18,23.8251
2020-03-19,26.4974
2020-03-20,24.8811
2020-03-21,24.8811
2020-03-22,24.8811
2020-03-23,26.2457
2020-03-24,30.7525
2020-03-25,31.6067
2020-03-26,34.794
2020-03-27,35.6168
2020-03-28,35.6168
2020-03-29,35.6168
2020-03-30,35.5465
2020-03-31,34.5655
2020-04-01,32.8452
2020-04-02,31.3877
2020-04-03,32.1059
2020-04-04,32.1059
2020-04-05,32.1059
2020-04-06,34.3979
2020-04-07,39.0067
2020-04-08,42.5925
2020-04-09,45.7076
2020-04-10,45.7076
2020-04-11,45.7076
2020-04-12,45.7076
2020-04-13,44.5489
2020-04-14,46.6814
2020-04-15,45.1807
2020-04-16,43.4343
2020-04-17,45.2254
2020-04-18,45.2254
2020-04-19,45.2254
2020-04-20,42.1486
2020-04-21,40.6238
2020-04-22,41.8172
2020-04-23,42.1024
2020-04-24,42.4159
2020-04-25,42.4159
2020-04-26,42.4159
2020-04-27,44.8859
2020-04-28,46.3931
2020-04-29,49.069
2020-04-30,48.6366
2020-05-01,46.9784
2020-05-02,46.9784
2020-05-03,46.9784
2020-05-04,45.1581
2020-05-05,44.2457
2020-05-06,41.8893
2020-05-07,43.7405
2020-05-08,46.2357
2020-05-09,46.2357
2020-05-10,46.2357
2020-05-11,43.9723
2020-05-12,42.9858
2020-05-13,40.478
2020-05-14,43.3467
2020-05-15,43.668
2020-05-16,43.668
2020-05-17,43.668
2020-05-18,46.2612
2020-05-19,45.9096
2020-05-20,45.1991
2020-05-21,44.427
2020-05-22,43.0591
2020-05-23,43.0591
2020-05-24,43.0591
2020-05-25,43.0591
2020-05-26,46.7977
2020-05-27,48.5978
2020-05-28,47.147
2020-05-29,45.6578
2020-05-30,45.6578
2020-05-31,45.6578
2020-06-01,47.603
2020-06-02,48.9614
2020-06-03,50.6772
2020-06-04,50.6867
2020-06-05,53.0006
2020-06-06,53.0006
2020-06-07,53.0006
2020-06-08,54.9464
2020-06-09,54.0544
2020-06-10,51.179
2020-06-11,47.9576
2020-06-12,49.2204
2020-06-13,49.2204
2020-06-14,49.2204
2020-06-15,49.2496
2020-06-16,50.4377
2020-06-17,49.0152
2020-06-18,49.0971
2020-06-19,48.2056
2020-06-20,48.2056
2020-06-21,48.2056
2020-06-22,48.2165
2020-06-23,48.206
2020-06-24,46.7596
2020-06-25,46.916
2020-06-26,45.5638
2020-06-27,45.5638
2020-06-28,45.5638
2020-06-29,47.9351
2020-06-30,47.5266
2020-07-01,48.0465
2020-07-02,47.4559
2020-07-03,47.4559
2020-07-04,47.4559
2020-07-05,47.4559
2020-07-06,46.9525
2020-07-07,44.803
2020-07-08,44.8724
2020-07-09,43.8008
2020-07-10,45.3519
2020-07-11,45.3519
2020-07-12,45.3519
2020-07-13,46.4838
2020-07-14,46.3225
2020-07-15,48.4298
2020-07-16,47.0359
2020-07-17,46.4215
2020-07-18,46.4215
2020-07-19,46.4215
2020-07-20,44.4329
2020-07-21,45.1363
2020-07-22,46.343
2020-07-23,45.5816
2020-07-24,44.7167
2020-07-25,44.7167
2020-07-26,44.7167
2020-07-27,44.3867
2020-07-28,46.7449
2020-07-29,46.7771
2020-07-30,45.3722
2020-07-31,44.3696
2020-08-01,44.3696
2020-08-02,44.3696
2020-08-03,43.6763
2020-08-04,47.113
2020-08-05,45.9303
2020-08-06,46.8395
2020-08-07,47.4069
2020-08-08,47.4069
2020-08-09,47.4069
2020-08-10,50.1273
2020-08-11,49.9306
2020-08-12,49.5119
2020-08-13,47.1713
2020-08-14,47.5302
2020-08-15,47.5302
2020-08-16,47.5302
2020-08-17,46.8714
2020-08-18,46.0461
2020-08-19,45.2711
2020-08-20,46.286
2020-08-21,47.7407
2020-08-22,47.7407
2020-08-23,47.7407
2020-08-24,50.5667
2020-08-25,50.8399
2020-08-26,48.3345
2020-08-27,50.4162
2020-08-28,50.9275
2020-08-29,50.9275
2020-08-30,50.9275
2020-08-31,48.4713
2020-09-01,47.1277
2020-09-02,48.4123
2020-09-03,49.4141
2020-09-04,50.4291
2020-09-05,50.4291
2020-09-06,50.4291
2020-09-07,50.4291
2020-09-08,48.0936
2020-09-09,46.5818
2020-09-10,44.8457
2020-09-11,44.7078
2020-09-12,44.7078
2020-09-13,44.7078
2020-09-14,48.1314
2020-09-15,49.7598
2020-09-16,52.8412
2020-09-17,52.0017
2020-09-18,48.412
2020-09-19,48.412
