,NWBI US Equity
,RSI_30D
2020-01-01,51.2276
2020-01-02,48.7918
2020-01-03,49.6759
2020-01-04,49.6759
2020-01-05,49.6759
2020-01-06,49.1492
2020-01-07,45.8005
2020-01-08,49.5353
2020-01-09,47.7522
2020-01-10,46.8794
2020-01-11,46.8794
2020-01-12,46.8794
2020-01-13,48.3876
2020-01-14,48.7419
2020-01-15,47.56
2020-01-16,49.3741
2020-01-17,47.6682
2020-01-18,47.6682
2020-01-19,47.6682
2020-01-20,47.6682
2020-01-21,44.7868
2020-01-22,44.0221
2020-01-23,46.928
2020-01-24,44.6833
2020-01-25,44.6833
2020-01-26,44.6833
2020-01-27,37.622
2020-01-28,39.4225
2020-01-29,37.6249
2020-01-30,42.224
2020-01-31,41.0076
2020-02-01,41.0076
2020-02-02,41.0076
2020-02-03,41.0912
2020-02-04,41.6048
2020-02-05,44.3162
2020-02-06,43.0246
2020-02-07,44.037
2020-02-08,44.037
2020-02-09,44.037
2020-02-10,44.037
2020-02-11,45.8393
2020-02-12,46.2655
2020-02-13,47.6299
2020-02-14,46.4109
2020-02-15,46.4109
2020-02-16,46.4109
2020-02-17,46.4109
2020-02-18,44.4964
2020-02-19,43.9198
2020-02-20,46.0881
2020-02-21,45.3326
2020-02-22,45.3326
2020-02-23,45.3326
2020-02-24,42.453
2020-02-25,36.2581
2020-02-26,35.1362
2020-02-27,30.9086
2020-02-28,27.1043
2020-02-29,27.1043
2020-03-01,27.1043
2020-03-02,38.2962
2020-03-03,36.3464
2020-03-04,40.4081
2020-03-05,37.4839
2020-03-06,36.367
2020-03-07,36.367
2020-03-08,36.367
2020-03-09,28.4691
2020-03-10,30.423
2020-03-11,27.1801
2020-03-12,23.2646
2020-03-13,29.0945
2020-03-14,29.0945
2020-03-15,29.0945
2020-03-16,27.9284
2020-03-17,35.5519
2020-03-18,32.7106
2020-03-19,33.1413
2020-03-20,30.3296
2020-03-21,30.3296
2020-03-22,30.3296
2020-03-23,28.6814
2020-03-24,33.9474
2020-03-25,35.7103
2020-03-26,39.4703
2020-03-27,37.6619
2020-03-28,37.6619
2020-03-29,37.6619
2020-03-30,39.3577
2020-03-31,39.0781
2020-04-01,37.0454
2020-04-02,36.9743
2020-04-03,35.7678
2020-04-04,35.7678
2020-04-05,35.7678
2020-04-06,39.2082
2020-04-07,39.3261
2020-04-08,39.3261
2020-04-09,44.4585
2020-04-10,44.4585
2020-04-11,44.4585
2020-04-12,44.4585
2020-04-13,40.5876
2020-04-14,40.5123
2020-04-15,38.1357
2020-04-16,35.516
2020-04-17,37.1554
2020-04-18,37.1554
2020-04-19,37.1554
2020-04-20,38.3847
2020-04-21,37.1213
2020-04-22,39.1375
2020-04-23,40.1305
2020-04-24,39.9432
2020-04-25,39.9432
2020-04-26,39.9432
2020-04-27,42.656
2020-04-28,43.5178
2020-04-29,44.2758
2020-04-30,42.1443
2020-05-01,40.5982
2020-05-02,40.5982
2020-05-03,40.5982
2020-05-04,40.7711
2020-05-05,40.3259
2020-05-06,40.6983
2020-05-07,42.7911
2020-05-08,45.7614
2020-05-09,45.7614
2020-05-10,45.7614
2020-05-11,42.7874
2020-05-12,40.8325
2020-05-13,38.5089
2020-05-14,38.2836
2020-05-15,38.1297
2020-05-16,38.1297
2020-05-17,38.1297
2020-05-18,42.7703
2020-05-19,40.5516
2020-05-20,43.052
2020-05-21,42.7626
2020-05-22,42.8194
2020-05-23,42.8194
2020-05-24,42.8194
2020-05-25,42.8194
2020-05-26,45.291
2020-05-27,48.6319
2020-05-28,46.9183
2020-05-29,45.1396
2020-05-30,45.1396
2020-05-31,45.1396
2020-06-01,44.7448
2020-06-02,44.5209
2020-06-03,47.354
2020-06-04,48.3509
2020-06-05,50.4457
2020-06-06,50.4457
2020-06-07,50.4457
2020-06-08,52.0407
2020-06-09,51.5652
2020-06-10,48.3892
2020-06-11,45.166
2020-06-12,46.5856
2020-06-13,46.5856
2020-06-14,46.5856
2020-06-15,47.2398
2020-06-16,48.8723
2020-06-17,47.1939
2020-06-18,47.6192
2020-06-19,47.6737
2020-06-20,47.6737
2020-06-21,47.6737
2020-06-22,46.8418
2020-06-23,46.5616
2020-06-24,44.2706
2020-06-25,45.8873
2020-06-26,43.8407
2020-06-27,43.8407
2020-06-28,43.8407
2020-06-29,46.9856
2020-06-30,48.1808
2020-07-01,45.7726
2020-07-02,45.6267
2020-07-03,45.6267
2020-07-04,45.6267
2020-07-05,45.6267
2020-07-06,45.6864
2020-07-07,44.278
2020-07-08,44.1774
2020-07-09,42.1461
2020-07-10,45.1678
2020-07-11,45.1678
2020-07-12,45.1678
2020-07-13,45.8149
2020-07-14,45.7617
2020-07-15,48.5438
2020-07-16,48.5438
2020-07-17,47.3877
2020-07-18,47.3877
2020-07-19,47.3877
2020-07-20,46.2483
2020-07-21,49.631
2020-07-22,47.7874
2020-07-23,49.3092
2020-07-24,48.29
2020-07-25,48.29
2020-07-26,48.29
2020-07-27,46.97
2020-07-28,47.2618
2020-07-29,48.1472
2020-07-30,47.3253
2020-07-31,48.0725
2020-08-01,48.0725
2020-08-02,48.0725
2020-08-03,47.8809
2020-08-04,48.2719
2020-08-05,50.2753
2020-08-06,50.2394
2020-08-07,52.4211
2020-08-08,52.4211
2020-08-09,52.4211
2020-08-10,53.0395
2020-08-11,53.3877
2020-08-12,53.5302
2020-08-13,52.0481
2020-08-14,53.5986
2020-08-15,53.5986
2020-08-16,53.5986
2020-08-17,52.5523
2020-08-18,50.0458
2020-08-19,49.9266
2020-08-20,48.8042
2020-08-21,49.3094
2020-08-22,49.3094
2020-08-23,49.3094
2020-08-24,52.235
2020-08-25,51.4668
2020-08-26,49.7837
2020-08-27,50.9454
2020-08-28,50.6855
2020-08-29,50.6855
2020-08-30,50.6855
2020-08-31,50.6855
2020-09-01,50.5934
2020-09-02,51.3252
2020-09-03,51.6952
2020-09-04,52.3511
2020-09-05,52.3511
2020-09-06,52.3511
2020-09-07,52.3511
2020-09-08,51.524
2020-09-09,50.6955
2020-09-10,49.5619
2020-09-11,48.9952
2020-09-12,48.9952
2020-09-13,48.9952
2020-09-14,52.3272
2020-09-15,51.4184
2020-09-16,50.616
2020-09-17,50.5073
2020-09-18,48.6689
2020-09-19,48.6689
2020-09-20,48.6689
2020-09-21,42.9599
2020-09-22,41.6133
2020-09-23,39.3033
2020-09-24,40.9974
2020-09-25,41.7513
2020-09-26,41.7513
2020-09-27,41.7513
2020-09-28,44.8894
2020-09-29,43.504
2020-09-30,43.2451
2020-10-01,44.3863
2020-10-02,46.7669
2020-10-03,46.7669
2020-10-04,46.7669
2020-10-05,49.3241
2020-10-06,49.4267
2020-10-07,51.9426
2020-10-08,53.4749
2020-10-09,52.184
2020-10-10,52.184
2020-10-11,52.184
2020-10-12,54.9056
2020-10-13,51.1657
2020-10-14,51.0657
2020-10-15,53.0579
2020-10-16,53.5239
2020-10-17,53.5239
2020-10-18,53.5239
2020-10-19,52.2364
2020-10-20,53.5839
2020-10-21,54.0628
2020-10-22,56.3012
2020-10-23,56.484
2020-10-24,56.484
2020-10-25,56.484
2020-10-26,57.0417
2020-10-27,55.4489
2020-10-28,54.4805
2020-10-29,55.6328
2020-10-30,56.9561
2020-10-31,56.9561
2020-11-01,56.9561
2020-11-02,59.3704
2020-11-03,61.2718
2020-11-04,52.463
2020-11-05,55.7124
2020-11-06,52.6914
2020-11-07,52.6914
2020-11-08,52.6914
2020-11-09,62.8367
2020-11-10,64.7134
2020-11-11,61.0676
2020-11-12,59.634
2020-11-13,60.6476
2020-11-14,60.6476
2020-11-15,60.6476
2020-11-16,64.3037
2020-11-17,62.1398
2020-11-18,59.9687
