,MBWM US Equity
,RSI_30D
2020-01-01,58.5489
2020-01-02,56.8182
2020-01-03,54.2844
2020-01-04,54.2844
2020-01-05,54.2844
2020-01-06,51.5768
2020-01-07,47.8371
2020-01-08,50.3686
2020-01-09,51.0195
2020-01-10,48.4625
2020-01-11,48.4625
2020-01-12,48.4625
2020-01-13,52.3451
2020-01-14,49.5374
2020-01-15,47.369
2020-01-16,50.7482
2020-01-17,49.9519
2020-01-18,49.9519
2020-01-19,49.9519
2020-01-20,49.9519
2020-01-21,47.0259
2020-01-22,45.9367
2020-01-23,45.3332
2020-01-24,41.4984
2020-01-25,41.4984
2020-01-26,41.4984
2020-01-27,40.1049
2020-01-28,40.1049
2020-01-29,37.7912
2020-01-30,39.2878
2020-01-31,35.9449
2020-02-01,35.9449
2020-02-02,35.9449
2020-02-03,36.5739
2020-02-04,38.2978
2020-02-05,44.7259
2020-02-06,43.2903
2020-02-07,40.1924
2020-02-08,40.1924
2020-02-09,40.1924
2020-02-10,40.531
2020-02-11,42.0252
2020-02-12,41.7294
2020-02-13,42.9751
2020-02-14,40.8663
2020-02-15,40.8663
2020-02-16,40.8663
2020-02-17,40.8663
2020-02-18,39.4364
2020-02-19,39.3415
2020-02-20,40.8154
2020-02-21,40.1592
2020-02-22,40.1592
2020-02-23,40.1592
2020-02-24,36.3466
2020-02-25,33.8719
2020-02-26,32.2343
2020-02-27,29.671
2020-02-28,25.6459
2020-02-29,25.6459
2020-03-01,25.6459
2020-03-02,35.0169
2020-03-03,32.1477
2020-03-04,33.7981
2020-03-05,30.2617
2020-03-06,29.7484
2020-03-07,29.7484
2020-03-08,29.7484
2020-03-09,23.2559
2020-03-10,26.4353
2020-03-11,24.7271
2020-03-12,22.236
2020-03-13,30.4101
2020-03-14,30.4101
2020-03-15,30.4101
2020-03-16,27.2964
2020-03-17,38.447
2020-03-18,33.9703
2020-03-19,37.0863
2020-03-20,33.7155
2020-03-21,33.7155
2020-03-22,33.7155
2020-03-23,31.9438
2020-03-24,35.6284
2020-03-25,35.6158
2020-03-26,37.2835
2020-03-27,35.2031
2020-03-28,35.2031
2020-03-29,35.2031
2020-03-30,35.1527
2020-03-31,37.3568
2020-04-01,34.975
2020-04-02,36.8317
2020-04-03,35.5017
2020-04-04,35.5017
2020-04-05,35.5017
2020-04-06,39.6223
2020-04-07,40.1428
2020-04-08,40.6929
2020-04-09,44.6779
2020-04-10,44.6779
2020-04-11,44.6779
2020-04-12,44.6779
2020-04-13,43.4663
2020-04-14,42.5152
2020-04-15,40.3272
2020-04-16,39.6148
2020-04-17,42.9468
2020-04-18,42.9468
2020-04-19,42.9468
2020-04-20,43.4812
2020-04-21,42.7449
2020-04-22,42.5276
2020-04-23,43.6287
2020-04-24,43.6716
2020-04-25,43.6716
2020-04-26,43.6716
2020-04-27,46.2549
2020-04-28,47.2196
2020-04-29,50.3944
2020-04-30,47.511
2020-05-01,46.0281
2020-05-02,46.0281
2020-05-03,46.0281
2020-05-04,45.4986
2020-05-05,43.8651
2020-05-06,43.0896
2020-05-07,43.3322
2020-05-08,46.5458
2020-05-09,46.5458
2020-05-10,46.5458
2020-05-11,44.2938
2020-05-12,43.0667
2020-05-13,41.6474
2020-05-14,42.3399
2020-05-15,41.9578
2020-05-16,41.9578
2020-05-17,41.9578
2020-05-18,46.6968
2020-05-19,44.0467
2020-05-20,46.6565
2020-05-21,46.3297
2020-05-22,45.7713
2020-05-23,45.7713
2020-05-24,45.7713
2020-05-25,45.7713
2020-05-26,48.6525
2020-05-27,52.3279
2020-05-28,50.3885
2020-05-29,49.2202
2020-05-30,49.2202
2020-05-31,49.2202
2020-06-01,48.102
2020-06-02,48.16
2020-06-03,50.6157
2020-06-04,51.0299
2020-06-05,53.1544
2020-06-06,53.1544
2020-06-07,53.1544
2020-06-08,54.9646
2020-06-09,53.5513
2020-06-10,50.3045
2020-06-11,46.6843
2020-06-12,47.9753
2020-06-13,47.9753
2020-06-14,47.9753
2020-06-15,48.0519
2020-06-16,49.698
2020-06-17,47.8732
2020-06-18,48.4412
2020-06-19,47.7911
2020-06-20,47.7911
2020-06-21,47.7911
2020-06-22,47.8324
2020-06-23,47.3471
2020-06-24,45.8644
2020-06-25,47.7548
2020-06-26,46.734
2020-06-27,46.734
2020-06-28,46.734
2020-06-29,48.1667
2020-06-30,49.6955
2020-07-01,46.8183
2020-07-02,46.5454
2020-07-03,46.5454
2020-07-04,46.5454
2020-07-05,46.5454
2020-07-06,46.9566
2020-07-07,45.6644
2020-07-08,45.1423
2020-07-09,43.8458
2020-07-10,46.2063
2020-07-11,46.2063
2020-07-12,46.2063
2020-07-13,46.7848
2020-07-14,46.419
2020-07-15,48.2413
2020-07-16,48.2413
2020-07-17,47.5629
2020-07-18,47.5629
2020-07-19,47.5629
2020-07-20,47.4914
2020-07-21,52.3998
2020-07-22,50.0643
2020-07-23,51.281
2020-07-24,51.0583
2020-07-25,51.0583
2020-07-26,51.0583
2020-07-27,49.5732
2020-07-28,49.5732
2020-07-29,50.0911
2020-07-30,48.3698
2020-07-31,47.8368
2020-08-01,47.8368
2020-08-02,47.8368
2020-08-03,47.5272
2020-08-04,47.2373
2020-08-05,48.3629
2020-08-06,48.1949
2020-08-07,51.909
2020-08-08,51.909
2020-08-09,51.909
2020-08-10,52.4016
2020-08-11,53.6565
2020-08-12,52.8111
2020-08-13,51.0841
2020-08-14,51.4361
2020-08-15,51.4361
2020-08-16,51.4361
2020-08-17,50.7435
2020-08-18,47.722
2020-08-19,47.8825
2020-08-20,47.1634
2020-08-21,46.7698
2020-08-22,46.7698
2020-08-23,46.7698
2020-08-24,49.6771
2020-08-25,49.4203
2020-08-26,48.0397
2020-08-27,49.4661
2020-08-28,51.8121
2020-08-29,51.8121
2020-08-30,51.8121
2020-08-31,49.4379
2020-09-01,49.1789
2020-09-02,49.6226
2020-09-03,49.1042
2020-09-04,50.04
2020-09-05,50.04
2020-09-06,50.04
2020-09-07,50.04
2020-09-08,47.306
2020-09-09,45.7353
2020-09-10,44.9316
2020-09-11,43.6307
2020-09-12,43.6307
2020-09-13,43.6307
2020-09-14,44.8789
2020-09-15,42.7919
2020-09-16,45.1123
2020-09-17,44.9497
2020-09-18,44.0304
2020-09-19,44.0304
2020-09-20,44.0304
2020-09-21,39.8726
2020-09-22,38.9086
2020-09-23,36.7054
2020-09-24,37.96
2020-09-25,38.9529
2020-09-26,38.9529
2020-09-27,38.9529
2020-09-28,41.3993
2020-09-29,40.1927
2020-09-30,41.1226
2020-10-01,43.4779
2020-10-02,47.3394
2020-10-03,47.3394
2020-10-04,47.3394
2020-10-05,48.9124
2020-10-06,49.8284
2020-10-07,51.3891
2020-10-08,52.5429
2020-10-09,51.8317
2020-10-10,51.8317
2020-10-11,51.8317
2020-10-12,53.2445
2020-10-13,50.4801
2020-10-14,49.3343
2020-10-15,51.0927
2020-10-16,52.6539
2020-10-17,52.6539
2020-10-18,52.6539
2020-10-19,52.827
2020-10-20,55.1667
2020-10-21,56.1451
2020-10-22,59.6936
2020-10-23,61.6159
2020-10-24,61.6159
2020-10-25,61.6159
2020-10-26,59.1961
2020-10-27,54.3602
2020-10-28,53.1229
2020-10-29,53.1544
2020-10-30,52.9702
2020-10-31,52.9702
2020-11-01,52.9702
2020-11-02,53.7658
2020-11-03,56.0108
2020-11-04,51.0638
2020-11-05,53.4578
2020-11-06,50.6261
2020-11-07,50.6261
2020-11-08,50.6261
2020-11-09,60.1635
2020-11-10,61.606
2020-11-11,58.3137
2020-11-12,55.9065
2020-11-13,56.3893
2020-11-14,56.3893
2020-11-15,56.3893
2020-11-16,57.7344
2020-11-17,56.4223
2020-11-18,54.1146
2020-11-19,55.0652
2020-11-20,55.794
2020-11-21,55.794
2020-11-22,55.794
2020-11-23,55.4837
2020-11-24,59.1932
2020-11-25,59.8503
2020-11-26,59.8503
2020-11-27,58.5816
2020-11-28,58.5816
2020-11-29,58.5816
2020-11-30,56.3023
2020-12-01,56.0204
2020-12-02,57.6765
2020-12-03,57.5432
2020-12-04,58.9659
2020-12-05,58.9659
2020-12-06,58.9659
2020-12-07,58.9659
2020-12-08,58.3169
2020-12-09,59.0678
2020-12-10,60.0686
2020-12-11,59.6431
2020-12-12,59.6431
2020-12-13,59.6431
2020-12-14,60.016
2020-12-15,61.2335
2020-12-16,60.652
2020-12-17,61.7262
2020-12-18,59.6215
2020-12-19,59.6215
2020-12-20,59.6215
2020-12-21,59.5375
2020-12-22,59.7136
2020-12-23,62.7346
2020-12-24,61.3682
2020-12-25,61.3682
2020-12-26,61.3682
2020-12-27,61.3682
2020-12-28,61.5359
2020-12-29,58.9751
2020-12-30,59.4566
2020-12-31,60.3296
2021-01-01,60.3296
2021-01-02,60.3296
2021-01-03,60.3296
2021-01-04,59.5971
2021-01-05,59.943
2021-01-06,65.0375
2021-01-07,65.5878
2021-01-08,62.0081
2021-01-09,62.0081
2021-01-10,62.0081
2021-01-11,60.906
2021-01-12,62.6372
2021-01-13,61.6951
2021-01-14,63.0899
2021-01-15,62.0811
2021-01-16,62.0811
2021-01-17,62.0811
2021-01-18,62.0811
2021-01-19,60.2687
2021-01-20,61.2631
2021-01-21,60.8001
2021-01-22,62.9714
2021-01-23,62.9714
2021-01-24,62.9714
2021-01-25,60.2113
2021-01-26,59.1826
2021-01-27,54.0721
2021-01-28,55.8053
2021-01-29,52.9351
2021-01-30,52.9351
2021-01-31,52.9351
2021-02-01,54.6095
2021-02-02,55.9804
2021-02-03,55.4684
2021-02-04,58.4049
2021-02-05,58.282
2021-02-06,58.282
2021-02-07,58.282
2021-02-08,57.5302
2021-02-09,60.3793
2021-02-10,59.5695
2021-02-11,57.9612
2021-02-12,57.4545
2021-02-13,57.4545
2021-02-14,57.4545
2021-02-15,57.4545
2021-02-16,58.6694
2021-02-17,59.1948
2021-02-18,57.0755
2021-02-19,58.4849
2021-02-20,58.4849
2021-02-21,58.4849
2021-02-22,59.8787
2021-02-23,61.2543
2021-02-24,62.803
2021-02-25,58.796
2021-02-26,55.2709
2021-02-27,55.2709
2021-02-28,55.2709
2021-03-01,58.9154
