,OPB US Equity
,RSI_30D
2020-01-01,62.1027
2020-01-02,61.882
2020-01-03,59.7933
2020-01-04,59.7933
2020-01-05,59.7933
2020-01-06,58.8204
2020-01-07,58.1677
2020-01-08,60.0042
2020-01-09,58.8898
2020-01-10,54.4928
2020-01-11,54.4928
2020-01-12,54.4928
2020-01-13,57.3185
2020-01-14,56.4126
2020-01-15,54.3395
2020-01-16,55.3894
2020-01-17,55.8738
2020-01-18,55.8738
2020-01-19,55.8738
2020-01-20,55.8738
2020-01-21,54.2488
2020-01-22,54.0455
2020-01-23,52.6179
2020-01-24,49.0739
2020-01-25,49.0739
2020-01-26,49.0739
2020-01-27,55.669
2020-01-28,61.3684
2020-01-29,61.4862
2020-01-30,64.5594
2020-01-31,61.0328
2020-02-01,61.0328
2020-02-02,61.0328
2020-02-03,59.6323
2020-02-04,61.4072
2020-02-05,65.7248
2020-02-06,64.847
2020-02-07,60.4227
2020-02-08,60.4227
2020-02-09,60.4227
2020-02-10,61.9431
2020-02-11,63.1157
2020-02-12,63.3591
2020-02-13,65.4348
2020-02-14,66.288
2020-02-15,66.288
2020-02-16,66.288
2020-02-17,66.288
2020-02-18,64.175
2020-02-19,64.0028
2020-02-20,62.9968
2020-02-21,63.2565
2020-02-22,63.2565
2020-02-23,63.2565
2020-02-24,56.7457
2020-02-25,49.8284
2020-02-26,49.7067
2020-02-27,42.1907
2020-02-28,38.477
2020-02-29,38.477
2020-03-01,38.477
2020-03-02,46.632
2020-03-03,42.2295
2020-03-04,44.0986
2020-03-05,40.1713
2020-03-06,36.699
2020-03-07,36.699
2020-03-08,36.699
2020-03-09,27.4108
2020-03-10,32.3703
2020-03-11,28.699
2020-03-12,28.156
2020-03-13,34.4957
2020-03-14,34.4957
2020-03-15,34.4957
2020-03-16,29.6458
2020-03-17,34.5404
2020-03-18,31.4489
2020-03-19,36.5136
2020-03-20,33.9835
2020-03-21,33.9835
2020-03-22,33.9835
2020-03-23,33.3853
2020-03-24,35.8223
2020-03-25,35.7808
2020-03-26,39.7478
2020-03-27,38.5099
2020-03-28,38.5099
2020-03-29,38.5099
2020-03-30,40.1817
2020-03-31,41.9504
2020-04-01,39.343
2020-04-02,40.2299
2020-04-03,37.632
2020-04-04,37.632
2020-04-05,37.632
2020-04-06,39.3616
2020-04-07,41.3325
2020-04-08,42.0549
2020-04-09,45.7607
2020-04-10,45.7607
2020-04-11,45.7607
2020-04-12,45.7607
2020-04-13,43.859
2020-04-14,44.2516
2020-04-15,42.4885
2020-04-16,41.4386
2020-04-17,44.4682
2020-04-18,44.4682
2020-04-19,44.4682
2020-04-20,43.5075
2020-04-21,43.1156
2020-04-22,42.8163
2020-04-23,44.1095
2020-04-24,44.6232
2020-04-25,44.6232
2020-04-26,44.6232
2020-04-27,47.365
2020-04-28,49.7742
2020-04-29,50.4502
2020-04-30,50.3265
2020-05-01,47.6484
2020-05-02,47.6484
2020-05-03,47.6484
2020-05-04,47.1604
2020-05-05,47.6265
2020-05-06,45.3598
2020-05-07,47.0264
2020-05-08,49.783
2020-05-09,49.783
2020-05-10,49.783
2020-05-11,47.1073
2020-05-12,44.8554
2020-05-13,43.504
2020-05-14,43.5503
2020-05-15,43.3117
2020-05-16,43.3117
2020-05-17,43.3117
2020-05-18,48.6824
2020-05-19,46.7907
2020-05-20,49.2039
2020-05-21,48.6962
2020-05-22,48.9268
2020-05-23,48.9268
2020-05-24,48.9268
2020-05-25,48.9268
2020-05-26,52.1817
2020-05-27,54.8618
2020-05-28,53.368
2020-05-29,52.3774
2020-05-30,52.3774
2020-05-31,52.3774
2020-06-01,52.3774
2020-06-02,52.3774
2020-06-03,52.3774
2020-06-04,52.3774
2020-06-05,52.3774
2020-06-06,52.3774
2020-06-07,52.3774
2020-06-08,52.3774
2020-06-09,52.3774
2020-06-10,52.3774
2020-06-11,52.3774
2020-06-12,52.3774
2020-06-13,52.3774
2020-06-14,52.3774
2020-06-15,52.3774
2020-06-16,52.3774
2020-06-17,52.3774
2020-06-18,52.3774
2020-06-19,52.3774
2020-06-20,52.3774
2020-06-21,52.3774
2020-06-22,52.3774
2020-06-23,52.3774
2020-06-24,52.3774
2020-06-25,52.3774
2020-06-26,52.3774
2020-06-27,52.3774
2020-06-28,52.3774
2020-06-29,52.3774
2020-06-30,52.3774
2020-07-01,52.3774
2020-07-02,52.3774
2020-07-03,52.3774
2020-07-04,52.3774
2020-07-05,52.3774
2020-07-06,52.3774
2020-07-07,52.3774
2020-07-08,52.3774
2020-07-09,52.3774
2020-07-10,52.3774
2020-07-11,52.3774
2020-07-12,52.3774
2020-07-13,52.3774
2020-07-14,52.3774
2020-07-15,52.3774
2020-07-16,52.3774
2020-07-17,52.3774
2020-07-18,52.3774
