,SBCF US Equity
,RSI_30D
2020-01-01,66.7775
2020-01-02,66.6024
2020-01-03,64.2495
2020-01-04,64.2495
2020-01-05,64.2495
2020-01-06,63.1385
2020-01-07,57.7361
2020-01-08,60.7978
2020-01-09,62.5741
2020-01-10,58.062
2020-01-11,58.062
2020-01-12,58.062
2020-01-13,58.1116
2020-01-14,58.5176
2020-01-15,58.4443
2020-01-16,59.6969
2020-01-17,59.7492
2020-01-18,59.7492
2020-01-19,59.7492
2020-01-20,59.7492
2020-01-21,54.6173
2020-01-22,54.2045
2020-01-23,54.8517
2020-01-24,51.0521
2020-01-25,51.0521
2020-01-26,51.0521
2020-01-27,48.3309
2020-01-28,47.3808
2020-01-29,44.9799
2020-01-30,45.991
2020-01-31,41.1883
2020-02-01,41.1883
2020-02-02,41.1883
2020-02-03,44.1399
2020-02-04,45.1524
2020-02-05,48.5302
2020-02-06,48.5302
2020-02-07,45.1309
2020-02-08,45.1309
2020-02-09,45.1309
2020-02-10,44.1805
2020-02-11,45.9768
2020-02-12,46.0388
2020-02-13,47.8332
2020-02-14,46.0839
2020-02-15,46.0839
2020-02-16,46.0839
2020-02-17,46.0839
2020-02-18,42.6547
2020-02-19,42.5103
2020-02-20,42.7109
2020-02-21,41.223
2020-02-22,41.223
2020-02-23,41.223
2020-02-24,37.9834
2020-02-25,34.5423
2020-02-26,37.2463
2020-02-27,35.9965
2020-02-28,34.6102
2020-02-29,34.6102
2020-03-01,34.6102
2020-03-02,42.2215
2020-03-03,41.0651
2020-03-04,42.9059
2020-03-05,38.4958
2020-03-06,38.1148
2020-03-07,38.1148
2020-03-08,38.1148
2020-03-09,30.1455
2020-03-10,31.5019
2020-03-11,27.1768
2020-03-12,24.0583
2020-03-13,31.7698
2020-03-14,31.7698
2020-03-15,31.7698
2020-03-16,27.1085
2020-03-17,31.6079
2020-03-18,28.0785
2020-03-19,29.6072
2020-03-20,28.3346
2020-03-21,28.3346
2020-03-22,28.3346
2020-03-23,27.225
2020-03-24,34.2477
2020-03-25,34.1302
2020-03-26,39.5472
2020-03-27,37.8266
2020-03-28,37.8266
2020-03-29,37.8266
2020-03-30,37.9817
2020-03-31,39.1077
2020-04-01,38.2882
2020-04-02,39.3612
2020-04-03,36.3082
2020-04-04,36.3082
2020-04-05,36.3082
2020-04-06,38.422
2020-04-07,40.3917
2020-04-08,43.1523
2020-04-09,46.6365
2020-04-10,46.6365
2020-04-11,46.6365
2020-04-12,46.6365
2020-04-13,44.0264
2020-04-14,43.4843
2020-04-15,41.9505
2020-04-16,40.093
2020-04-17,43.3101
2020-04-18,43.3101
2020-04-19,43.3101
2020-04-20,42.9861
2020-04-21,43.1713
2020-04-22,43.5271
2020-04-23,43.8906
2020-04-24,44.4577
2020-04-25,44.4577
2020-04-26,44.4577
2020-04-27,48.2452
2020-04-28,49.6998
2020-04-29,55.2756
2020-04-30,52.5703
2020-05-01,50.7104
2020-05-02,50.7104
2020-05-03,50.7104
2020-05-04,50.6701
2020-05-05,49.0563
2020-05-06,47.1906
2020-05-07,47.6199
2020-05-08,50.922
2020-05-09,50.922
2020-05-10,50.922
2020-05-11,49.5291
2020-05-12,46.6407
2020-05-13,45.1089
2020-05-14,44.84
2020-05-15,44.693
2020-05-16,44.693
2020-05-17,44.693
2020-05-18,49.134
2020-05-19,47.1018
2020-05-20,49.62
2020-05-21,48.9071
2020-05-22,48.6336
2020-05-23,48.6336
2020-05-24,48.6336
2020-05-25,48.6336
2020-05-26,51.6693
2020-05-27,55.5901
2020-05-28,52.6225
2020-05-29,51.6365
2020-05-30,51.6365
2020-05-31,51.6365
2020-06-01,51.4995
2020-06-02,50.9798
2020-06-03,53.9912
2020-06-04,54.4704
2020-06-05,57.3315
2020-06-06,57.3315
2020-06-07,57.3315
2020-06-08,56.7604
2020-06-09,55.6144
2020-06-10,52.2757
2020-06-11,48.2606
2020-06-12,48.9838
2020-06-13,48.9838
2020-06-14,48.9838
2020-06-15,48.6138
2020-06-16,50.8965
2020-06-17,48.7504
2020-06-18,49.236
2020-06-19,48.1597
2020-06-20,48.1597
2020-06-21,48.1597
2020-06-22,48.9595
2020-06-23,48.3635
2020-06-24,46.5379
2020-06-25,47.9916
2020-06-26,45.2407
2020-06-27,45.2407
2020-06-28,45.2407
2020-06-29,47.5064
2020-06-30,48.6766
2020-07-01,46.6026
2020-07-02,47.2369
2020-07-03,47.2369
2020-07-04,47.2369
2020-07-05,47.2369
2020-07-06,47.0442
2020-07-07,45.3412
2020-07-08,44.9629
2020-07-09,43.4621
2020-07-10,44.9125
2020-07-11,44.9125
2020-07-12,44.9125
2020-07-13,45.4112
2020-07-14,44.3433
2020-07-15,47.1639
2020-07-16,47.4082
2020-07-17,46.5494
2020-07-18,46.5494
2020-07-19,46.5494
2020-07-20,46.1967
2020-07-21,48.6134
2020-07-22,48.251
2020-07-23,49.6109
2020-07-24,50.8515
2020-07-25,50.8515
2020-07-26,50.8515
2020-07-27,47.8074
2020-07-28,47.7391
2020-07-29,48.7232
2020-07-30,47.7923
2020-07-31,47.053
2020-08-01,47.053
2020-08-02,47.053
2020-08-03,48.0716
2020-08-04,47.7465
2020-08-05,49.5911
2020-08-06,50.0737
2020-08-07,52.5785
2020-08-08,52.5785
2020-08-09,52.5785
2020-08-10,53.4345
2020-08-11,53.8149
2020-08-12,53.6939
2020-08-13,52.6527
2020-08-14,53.2322
2020-08-15,53.2322
2020-08-16,53.2322
2020-08-17,51.994
2020-08-18,50.205
2020-08-19,50.144
2020-08-20,48.4975
2020-08-21,47.5113
2020-08-22,47.5113
2020-08-23,47.5113
2020-08-24,50.9507
2020-08-25,51.3851
2020-08-26,50.32
2020-08-27,51.4997
2020-08-28,50.7452
2020-08-29,50.7452
2020-08-30,50.7452
2020-08-31,50.0201
2020-09-01,49.7527
2020-09-02,49.9947
2020-09-03,49.397
2020-09-04,50.6535
2020-09-05,50.6535
2020-09-06,50.6535
2020-09-07,50.6535
2020-09-08,48.3471
2020-09-09,47.6565
2020-09-10,45.3765
2020-09-11,44.6614
2020-09-12,44.6614
2020-09-13,44.6614
2020-09-14,46.3318
2020-09-15,45.8882
2020-09-16,46.8597
2020-09-17,46.0053
2020-09-18,44.8766
2020-09-19,44.8766
2020-09-20,44.8766
2020-09-21,40.9768
2020-09-22,41.1091
2020-09-23,39.9057
2020-09-24,40.9601
2020-09-25,41.6053
2020-09-26,41.6053
2020-09-27,41.6053
2020-09-28,44.3893
2020-09-29,44.1435
2020-09-30,44.3258
2020-10-01,44.2511
2020-10-02,46.3548
2020-10-03,46.3548
2020-10-04,46.3548
2020-10-05,49.9579
2020-10-06,50.9837
2020-10-07,51.64
2020-10-08,52.5438
2020-10-09,53.96
2020-10-10,53.96
2020-10-11,53.96
2020-10-12,54.7188
2020-10-13,52.3241
2020-10-14,49.4697
2020-10-15,51.4913
2020-10-16,51.8648
2020-10-17,51.8648
2020-10-18,51.8648
2020-10-19,50.3064
2020-10-20,52.5
2020-10-21,53.9948
2020-10-22,56.7714
2020-10-23,58.0278
2020-10-24,58.0278
2020-10-25,58.0278
2020-10-26,58.0998
2020-10-27,55.21
2020-10-28,51.863
2020-10-29,55.0265
2020-10-30,56.6936
2020-10-31,56.6936
2020-11-01,56.6936
2020-11-02,57.5254
2020-11-03,60.592
2020-11-04,51.6462
2020-11-05,53.2827
2020-11-06,51.7253
2020-11-07,51.7253
2020-11-08,51.7253
2020-11-09,61.5206
2020-11-10,62.5625
2020-11-11,59.4735
2020-11-12,58.0411
2020-11-13,60.2083
2020-11-14,60.2083
2020-11-15,60.2083
2020-11-16,63.1027
2020-11-17,63.9287
2020-11-18,61.651
2020-11-19,61.4145
2020-11-20,61.2063
2020-11-21,61.2063
2020-11-22,61.2063
2020-11-23,61.8529
2020-11-24,64.7841
2020-11-25,63.1002
2020-11-26,63.1002
2020-11-27,61.6541
2020-11-28,61.6541
2020-11-29,61.6541
2020-11-30,58.8629
2020-12-01,59.9606
2020-12-02,61.4886
2020-12-03,61.7077
2020-12-04,63.5729
2020-12-05,63.5729
2020-12-06,63.5729
2020-12-07,63.8451
2020-12-08,64.312
2020-12-09,63.9625
2020-12-10,64.6904
2020-12-11,64.2429
2020-12-12,64.2429
2020-12-13,64.2429
2020-12-14,65.1939
2020-12-15,67.3539
2020-12-16,67.7435
2020-12-17,67.9517
2020-12-18,63.9384
2020-12-19,63.9384
2020-12-20,63.9384
2020-12-21,63.4844
2020-12-22,62.2787
2020-12-23,64.7617
2020-12-24,64.8995
2020-12-25,64.8995
2020-12-26,64.8995
2020-12-27,64.8995
2020-12-28,65.3207
2020-12-29,62.767
2020-12-30,63.6394
2020-12-31,64.0132
2021-01-01,64.0132
2021-01-02,64.0132
2021-01-03,64.0132
2021-01-04,62.7671
2021-01-05,63.7829
2021-01-06,69.3502
2021-01-07,71.0556
2021-01-08,68.7988
2021-01-09,68.7988
2021-01-10,68.7988
2021-01-11,69.8997
2021-01-12,71.1663
2021-01-13,68.5602
2021-01-14,69.7434
2021-01-15,67.7248
2021-01-16,67.7248
2021-01-17,67.7248
2021-01-18,67.7248
2021-01-19,67.9986
2021-01-20,67.8709
2021-01-21,64.4112
2021-01-22,66.5172
2021-01-23,66.5172
2021-01-24,66.5172
2021-01-25,65.0294
2021-01-26,62.7533
2021-01-27,58.6523
2021-01-28,59.4598
2021-01-29,54.8275
2021-01-30,54.8275
2021-01-31,54.8275
2021-02-01,55.9843
2021-02-02,57.4011
2021-02-03,57.115
2021-02-04,59.3586
2021-02-05,58.7299
2021-02-06,58.7299
2021-02-07,58.7299
2021-02-08,60.8056
2021-02-09,62.531
2021-02-10,62.0903
2021-02-11,60.7615
2021-02-12,62.0001
2021-02-13,62.0001
2021-02-14,62.0001
2021-02-15,62.0001
2021-02-16,63.2894
2021-02-17,61.8423
2021-02-18,60.0483
2021-02-19,62.9872
2021-02-20,62.9872
2021-02-21,62.9872
2021-02-22,65.5086
2021-02-23,66.5893
2021-02-24,68.0149
2021-02-25,63.8772
2021-02-26,63.0
2021-02-27,63.0
2021-02-28,63.0
2021-03-01,64.895
2021-03-02,63.9675
2021-03-03,65.347
2021-03-04,64.652
2021-03-05,66.5318
2021-03-06,66.5318
2021-03-07,66.5318
2021-03-08,68.6646
2021-03-09,66.5443
2021-03-10,67.5626
2021-03-11,67.9521
2021-03-12,69.3701
2021-03-13,69.3701
2021-03-14,69.3701
2021-03-15,66.4758
2021-03-16,64.4431
2021-03-17,63.7008
2021-03-18,63.3056
2021-03-19,62.5394
2021-03-20,62.5394
2021-03-21,62.5394
2021-03-22,57.2803
2021-03-23,53.0823
2021-03-24,51.4928
2021-03-25,54.346
2021-03-26,56.6184
2021-03-27,56.6184
2021-03-28,56.6184
2021-03-29,52.7755
2021-03-30,55.0309
2021-03-31,53.808
2021-04-01,54.4454
2021-04-02,54.4454
2021-04-03,54.4454
2021-04-04,54.4454
2021-04-05,55.1992
2021-04-06,54.1322
2021-04-07,52.6636
2021-04-08,52.6078
2021-04-09,54.1388
2021-04-10,54.1388
2021-04-11,54.1388
2021-04-12,54.3638
2021-04-13,51.1884
2021-04-14,53.4635
2021-04-15,52.4407
2021-04-16,53.1617
2021-04-17,53.1617
2021-04-18,53.1617
2021-04-19,52.3697
2021-04-20,48.2906
2021-04-21,50.3192
2021-04-22,48.8906
2021-04-23,54.1968
2021-04-24,54.1968
2021-04-25,54.1968
2021-04-26,55.213
2021-04-27,54.2719
2021-04-28,54.3193
2021-04-29,53.4033
2021-04-30,52.3196
2021-05-01,52.3196
2021-05-02,52.3196
2021-05-03,54.4101
2021-05-04,55.834
2021-05-05,56.9192
2021-05-06,58.2571
2021-05-07,57.4614
2021-05-08,57.4614
2021-05-09,57.4614
2021-05-10,54.5627
2021-05-11,51.9937
2021-05-12,49.8129
2021-05-13,53.8895
2021-05-14,55.4955
2021-05-15,55.4955
2021-05-16,55.4955
2021-05-17,54.958
2021-05-18,52.3362
2021-05-19,53.2827
2021-05-20,53.4299
2021-05-21,54.733
2021-05-22,54.733
2021-05-23,54.733
2021-05-24,53.1932
2021-05-25,48.8726
2021-05-26,50.8971
2021-05-27,52.4265
2021-05-28,51.6217
2021-05-29,51.6217
2021-05-30,51.6217
2021-05-31,51.6217
2021-06-01,52.6494
2021-06-02,51.3288
2021-06-03,51.7979
2021-06-04,52.0633
2021-06-05,52.0633
2021-06-06,52.0633
2021-06-07,52.4427
2021-06-08,54.77
2021-06-09,53.5682
2021-06-10,51.3561
2021-06-11,49.6368
2021-06-12,49.6368
2021-06-13,49.6368
2021-06-14,46.9191
2021-06-15,47.9798
2021-06-16,50.0452
2021-06-17,45.2213
2021-06-18,41.7279
2021-06-19,41.7279
2021-06-20,41.7279
2021-06-21,45.9892
2021-06-22,46.2515
2021-06-23,45.8598
2021-06-24,47.5623
2021-06-25,46.1561
2021-06-26,46.1561
2021-06-27,46.1561
2021-06-28,43.8166
2021-06-29,43.4846
2021-06-30,45.5615
2021-07-01,45.8716
2021-07-02,44.0092
2021-07-03,44.0092
2021-07-04,44.0092
2021-07-05,44.0092
2021-07-06,41.536
2021-07-07,41.2363
2021-07-08,40.6298
2021-07-09,44.4624
2021-07-10,44.4624
2021-07-11,44.4624
2021-07-12,45.2682
2021-07-13,42.5966
2021-07-14,42.3754
2021-07-15,43.8235
2021-07-16,41.8732
2021-07-17,41.8732
2021-07-18,41.8732
2021-07-19,39.4251
2021-07-20,41.4992
2021-07-21,43.1574
2021-07-22,40.4268
2021-07-23,40.1821
2021-07-24,40.1821
2021-07-25,40.1821
2021-07-26,40.3067
2021-07-27,39.8135
2021-07-28,41.1732
2021-07-29,41.6602
2021-07-30,40.5265
2021-07-31,40.5265
2021-08-01,40.5265
2021-08-02,39.9076
2021-08-03,40.8423
2021-08-04,39.3191
2021-08-05,42.9427
