,LILAK US Equity
,RSI_30D
2020-01-01,58.3096
2020-01-02,59.8807
2020-01-03,59.171
2020-01-04,59.171
2020-01-05,59.171
2020-01-06,59.7873
2020-01-07,58.1527
2020-01-08,54.633
2020-01-09,55.349
2020-01-10,52.9609
2020-01-11,52.9609
2020-01-12,52.9609
2020-01-13,52.9202
2020-01-14,51.3675
2020-01-15,54.2197
2020-01-16,54.7825
2020-01-17,52.1309
2020-01-18,52.1309
2020-01-19,52.1309
2020-01-20,52.1309
2020-01-21,49.7192
2020-01-22,48.23
2020-01-23,47.2778
2020-01-24,45.2858
2020-01-25,45.2858
2020-01-26,45.2858
2020-01-27,43.7205
2020-01-28,41.8343
2020-01-29,41.4516
2020-01-30,42.8049
2020-01-31,38.3978
2020-02-01,38.3978
2020-02-02,38.3978
2020-02-03,39.909
2020-02-04,39.2066
2020-02-05,41.2563
2020-02-06,43.2362
2020-02-07,42.15
2020-02-08,42.15
2020-02-09,42.15
2020-02-10,41.8302
2020-02-11,42.4624
2020-02-12,44.2529
2020-02-13,42.9397
2020-02-14,42.4595
2020-02-15,42.4595
2020-02-16,42.4595
2020-02-17,42.4595
2020-02-18,44.2113
2020-02-19,45.9148
2020-02-20,57.3345
2020-02-21,54.7355
2020-02-22,54.7355
2020-02-23,54.7355
2020-02-24,50.9153
2020-02-25,47.0342
2020-02-26,44.7201
2020-02-27,40.2782
2020-02-28,35.9365
2020-02-29,35.9365
2020-03-01,35.9365
2020-03-02,37.4361
2020-03-03,35.8508
2020-03-04,35.5541
2020-03-05,34.0947
2020-03-06,36.3905
2020-03-07,36.3905
2020-03-08,36.3905
2020-03-09,30.6969
2020-03-10,30.3599
2020-03-11,27.7834
2020-03-12,23.4373
2020-03-13,26.5384
2020-03-14,26.5384
2020-03-15,26.5384
2020-03-16,23.2543
2020-03-17,32.6361
2020-03-18,29.6274
2020-03-19,31.4769
2020-03-20,30.9717
2020-03-21,30.9717
2020-03-22,30.9717
2020-03-23,33.7815
2020-03-24,37.7336
2020-03-25,37.5774
2020-03-26,41.1072
2020-03-27,38.6393
2020-03-28,38.6393
2020-03-29,38.6393
2020-03-30,37.7198
2020-03-31,37.4564
2020-04-01,35.838
2020-04-02,37.149
2020-04-03,35.8709
2020-04-04,35.8709
2020-04-05,35.8709
2020-04-06,38.9637
2020-04-07,40.0323
2020-04-08,41.1687
2020-04-09,43.4884
2020-04-10,43.4884
2020-04-11,43.4884
2020-04-12,43.4884
2020-04-13,42.6574
2020-04-14,43.1839
2020-04-15,41.003
2020-04-16,40.574
2020-04-17,43.2132
2020-04-18,43.2132
2020-04-19,43.2132
2020-04-20,42.0231
2020-04-21,40.9094
2020-04-22,40.3435
2020-04-23,41.6343
2020-04-24,41.7876
2020-04-25,41.7876
2020-04-26,41.7876
2020-04-27,42.3747
2020-04-28,42.3158
2020-04-29,45.1534
2020-04-30,42.9092
2020-05-01,42.3792
2020-05-02,42.3792
2020-05-03,42.3792
2020-05-04,42.0804
2020-05-05,41.1796
2020-05-06,39.8842
2020-05-07,39.8842
2020-05-08,41.3209
2020-05-09,41.3209
2020-05-10,41.3209
2020-05-11,40.3848
2020-05-12,39.4
2020-05-13,37.7626
2020-05-14,39.9227
2020-05-15,39.7675
2020-05-16,39.7675
2020-05-17,39.7675
2020-05-18,42.4964
2020-05-19,40.5938
2020-05-20,42.5553
2020-05-21,41.3381
2020-05-22,42.4729
2020-05-23,42.4729
2020-05-24,42.4729
2020-05-25,42.4729
2020-05-26,44.9621
2020-05-27,45.5232
2020-05-28,44.886
2020-05-29,44.4811
2020-05-30,44.4811
2020-05-31,44.4811
2020-06-01,45.6791
2020-06-02,45.0983
2020-06-03,45.9514
2020-06-04,46.4772
2020-06-05,50.7982
2020-06-06,50.7982
2020-06-07,50.7982
2020-06-08,53.6985
2020-06-09,51.0606
2020-06-10,49.7347
2020-06-11,45.7414
2020-06-12,48.262
2020-06-13,48.262
2020-06-14,48.262
2020-06-15,48.1671
2020-06-16,48.2723
2020-06-17,46.1784
2020-06-18,47.2308
2020-06-19,46.6411
2020-06-20,46.6411
2020-06-21,46.6411
2020-06-22,46.3221
2020-06-23,47.025
2020-06-24,44.6078
2020-06-25,45.0944
2020-06-26,43.3606
2020-06-27,43.3606
2020-06-28,43.3606
2020-06-29,44.856
2020-06-30,45.55
2020-07-01,46.3484
2020-07-02,44.5331
2020-07-03,44.5331
2020-07-04,44.5331
2020-07-05,44.5331
2020-07-06,49.6561
2020-07-07,45.8063
2020-07-08,47.145
2020-07-09,46.2005
2020-07-10,47.7788
2020-07-11,47.7788
2020-07-12,47.7788
2020-07-13,46.6463
2020-07-14,45.804
2020-07-15,47.0751
2020-07-16,46.6558
2020-07-17,48.044
2020-07-18,48.044
2020-07-19,48.044
2020-07-20,47.2544
2020-07-21,46.9
2020-07-22,47.4101
2020-07-23,47.0362
2020-07-24,46.0041
2020-07-25,46.0041
2020-07-26,46.0041
