,SYNA US Equity
,RSI_30D
2020-01-01,70.9128
2020-01-02,71.3479
2020-01-03,73.0017
2020-01-04,73.0017
2020-01-05,73.0017
2020-01-06,74.2688
2020-01-07,69.4431
2020-01-08,71.0331
2020-01-09,70.2245
2020-01-10,67.7514
2020-01-11,67.7514
2020-01-12,67.7514
2020-01-13,69.2338
2020-01-14,68.3225
2020-01-15,68.4904
2020-01-16,70.6536
2020-01-17,71.4455
2020-01-18,71.4455
2020-01-19,71.4455
2020-01-20,71.4455
2020-01-21,69.0489
2020-01-22,71.5371
2020-01-23,71.5611
2020-01-24,65.7034
2020-01-25,65.7034
2020-01-26,65.7034
2020-01-27,61.3226
2020-01-28,62.6937
2020-01-29,59.8774
2020-01-30,60.5811
2020-01-31,57.1932
2020-02-01,57.1932
2020-02-02,57.1932
2020-02-03,59.2026
2020-02-04,60.2445
2020-02-05,60.7627
2020-02-06,60.7467
2020-02-07,71.8541
2020-02-08,71.8541
2020-02-09,71.8541
2020-02-10,69.066
2020-02-11,67.7942
2020-02-12,68.1916
2020-02-13,67.1102
2020-02-14,66.9818
2020-02-15,66.9818
2020-02-16,66.9818
2020-02-17,66.9818
2020-02-18,63.174
2020-02-19,64.0611
2020-02-20,61.3874
2020-02-21,59.3478
2020-02-22,59.3478
2020-02-23,59.3478
2020-02-24,53.7583
2020-02-25,53.4784
2020-02-26,51.5611
2020-02-27,46.9133
2020-02-28,48.4959
2020-02-29,48.4959
2020-03-01,48.4959
2020-03-02,51.9299
2020-03-03,51.7737
2020-03-04,54.7632
2020-03-05,52.1377
2020-03-06,49.9837
2020-03-07,49.9837
2020-03-08,49.9837
2020-03-09,48.259
2020-03-10,50.3597
2020-03-11,46.9955
2020-03-12,41.5982
2020-03-13,44.2615
2020-03-14,44.2615
2020-03-15,44.2615
2020-03-16,40.469
2020-03-17,43.9898
2020-03-18,38.3959
2020-03-19,38.5424
2020-03-20,38.0328
2020-03-21,38.0328
2020-03-22,38.0328
2020-03-23,39.4442
2020-03-24,43.5313
2020-03-25,42.7745
2020-03-26,47.1201
2020-03-27,47.033
2020-03-28,47.033
2020-03-29,47.033
2020-03-30,47.5983
2020-03-31,46.443
2020-04-01,44.6843
2020-04-02,43.9196
2020-04-03,44.1191
2020-04-04,44.1191
2020-04-05,44.1191
2020-04-06,48.632
2020-04-07,47.593
2020-04-08,49.3995
2020-04-09,47.0176
2020-04-10,47.0176
2020-04-11,47.0176
2020-04-12,47.0176
2020-04-13,47.4424
2020-04-14,50.413
2020-04-15,48.2323
2020-04-16,49.5288
2020-04-17,48.6812
2020-04-18,48.6812
2020-04-19,48.6812
2020-04-20,48.5574
2020-04-21,47.0714
2020-04-22,49.78
2020-04-23,49.9456
2020-04-24,51.583
2020-04-25,51.583
2020-04-26,51.583
2020-04-27,53.362
2020-04-28,53.1184
2020-04-29,55.8611
2020-04-30,52.4532
2020-05-01,50.7565
2020-05-02,50.7565
2020-05-03,50.7565
2020-05-04,49.9355
2020-05-05,51.8441
2020-05-06,52.9908
2020-05-07,54.7977
2020-05-08,53.5408
2020-05-09,53.5408
2020-05-10,53.5408
2020-05-11,52.574
2020-05-12,51.8553
2020-05-13,50.4667
2020-05-14,51.1844
2020-05-15,47.1317
2020-05-16,47.1317
2020-05-17,47.1317
2020-05-18,49.3324
2020-05-19,48.4021
2020-05-20,51.2689
2020-05-21,49.7687
2020-05-22,50.5682
2020-05-23,50.5682
2020-05-24,50.5682
2020-05-25,50.5682
2020-05-26,50.6948
2020-05-27,51.0836
2020-05-28,49.6077
2020-05-29,50.7164
2020-05-30,50.7164
2020-05-31,50.7164
2020-06-01,50.0331
2020-06-02,53.3028
2020-06-03,54.0545
2020-06-04,53.5561
2020-06-05,56.9493
2020-06-06,56.9493
2020-06-07,56.9493
2020-06-08,54.2507
2020-06-09,54.5096
2020-06-10,52.4534
2020-06-11,48.7585
2020-06-12,48.9017
2020-06-13,48.9017
2020-06-14,48.9017
2020-06-15,49.3331
2020-06-16,50.5232
2020-06-17,49.8512
2020-06-18,48.7416
2020-06-19,48.0074
