,OMC US Equity
,RSI_30D
2020-01-01,62.2765
2020-01-02,57.6062
2020-01-03,57.7771
2020-01-04,57.7771
2020-01-05,57.7771
2020-01-06,56.2142
2020-01-07,54.6096
2020-01-08,55.27
2020-01-09,56.6073
2020-01-10,54.6422
2020-01-11,54.6422
2020-01-12,54.6422
2020-01-13,56.0011
2020-01-14,55.8
2020-01-15,55.1041
2020-01-16,55.9072
2020-01-17,58.4389
2020-01-18,58.4389
2020-01-19,58.4389
2020-01-20,58.4389
2020-01-21,57.488
2020-01-22,54.1721
2020-01-23,51.4112
2020-01-24,47.7406
2020-01-25,47.7406
2020-01-26,47.7406
2020-01-27,45.1071
2020-01-28,44.7685
2020-01-29,43.0954
2020-01-30,42.439
2020-01-31,40.4684
2020-02-01,40.4684
2020-02-02,40.4684
2020-02-03,41.8246
2020-02-04,46.0259
2020-02-05,49.6172
2020-02-06,46.0229
2020-02-07,43.6657
2020-02-08,43.6657
2020-02-09,43.6657
2020-02-10,47.768
2020-02-11,48.628
2020-02-12,53.1065
2020-02-13,54.8693
2020-02-14,50.8288
2020-02-15,50.8288
2020-02-16,50.8288
2020-02-17,50.8288
2020-02-18,52.0635
2020-02-19,52.09
2020-02-20,52.5241
2020-02-21,51.0004
2020-02-22,51.0004
2020-02-23,51.0004
2020-02-24,45.5585
2020-02-25,40.6514
2020-02-26,37.612
2020-02-27,33.0267
2020-02-28,32.6844
2020-02-29,32.6844
2020-03-01,32.6844
2020-03-02,35.7828
2020-03-03,34.0275
2020-03-04,38.7803
2020-03-05,34.6539
2020-03-06,31.8358
2020-03-07,31.8358
2020-03-08,31.8358
2020-03-09,27.0408
2020-03-10,35.0707
2020-03-11,33.1303
2020-03-12,28.4238
2020-03-13,38.5529
2020-03-14,38.5529
2020-03-15,38.5529
2020-03-16,34.0952
2020-03-17,37.1145
2020-03-18,34.6109
2020-03-19,33.8042
2020-03-20,30.5095
2020-03-21,30.5095
2020-03-22,30.5095
2020-03-23,29.8268
2020-03-24,33.8511
2020-03-25,34.6797
