,PLCE US Equity
,RSI_30D
2020-01-01,43.4362
2020-01-02,43.1867
2020-01-03,43.1867
2020-01-04,43.1867
2020-01-05,43.1867
2020-01-06,45.2178
2020-01-07,46.4862
2020-01-08,46.0112
2020-01-09,46.5424
2020-01-10,48.6123
2020-01-11,48.6123
2020-01-12,48.6123
2020-01-13,48.6233
2020-01-14,48.3006
2020-01-15,46.6561
2020-01-16,46.8142
2020-01-17,46.1931
2020-01-18,46.1931
2020-01-19,46.1931
2020-01-20,46.1931
2020-01-21,44.0606
2020-01-22,44.3647
2020-01-23,45.2875
2020-01-24,45.0299
2020-01-25,45.0299
2020-01-26,45.0299
2020-01-27,44.1159
2020-01-28,45.8292
2020-01-29,46.8516
2020-01-30,45.1711
2020-01-31,41.3615
2020-02-01,41.3615
2020-02-02,41.3615
2020-02-03,45.8933
2020-02-04,45.7192
2020-02-05,50.4461
2020-02-06,50.0405
2020-02-07,49.8038
2020-02-08,49.8038
2020-02-09,49.8038
2020-02-10,49.5854
2020-02-11,51.0652
2020-02-12,52.797
2020-02-13,54.129
2020-02-14,53.3971
2020-02-15,53.3971
2020-02-16,53.3971
2020-02-17,53.3971
2020-02-18,54.4473
2020-02-19,55.2214
2020-02-20,56.2697
2020-02-21,52.6432
2020-02-22,52.6432
2020-02-23,52.6432
2020-02-24,45.6524
2020-02-25,43.4399
2020-02-26,43.1423
2020-02-27,41.2421
2020-02-28,40.0535
2020-02-29,40.0535
2020-03-01,40.0535
2020-03-02,37.0286
2020-03-03,34.6629
2020-03-04,37.5805
2020-03-05,34.4156
2020-03-06,33.0953
2020-03-07,33.0953
2020-03-08,33.0953
2020-03-09,31.0636
2020-03-10,30.5058
2020-03-11,27.5258
2020-03-12,25.8215
2020-03-13,30.405
2020-03-14,30.405
2020-03-15,30.405
2020-03-16,26.3073
2020-03-17,23.2584
2020-03-18,21.4941
2020-03-19,24.9001
2020-03-20,25.266
2020-03-21,25.266
2020-03-22,25.266
2020-03-23,24.8999
2020-03-24,28.5897
2020-03-25,29.7826
2020-03-26,29.6513
2020-03-27,29.2554
2020-03-28,29.2554
2020-03-29,29.2554
2020-03-30,28.5985
2020-03-31,28.9115
2020-04-01,27.8238
2020-04-02,27.3973
2020-04-03,26.5551
2020-04-04,26.5551
2020-04-05,26.5551
2020-04-06,31.7226
2020-04-07,32.8924
2020-04-08,35.6344
2020-04-09,37.6913
2020-04-10,37.6913
2020-04-11,37.6913
2020-04-12,37.6913
2020-04-13,39.3132
2020-04-14,40.2616
2020-04-15,39.5347
2020-04-16,38.2924
2020-04-17,40.9365
2020-04-18,40.9365
2020-04-19,40.9365
2020-04-20,40.4136
2020-04-21,41.0198
2020-04-22,40.0106
2020-04-23,39.5243
2020-04-24,39.5555
2020-04-25,39.5555
2020-04-26,39.5555
2020-04-27,41.4026
2020-04-28,43.4333
2020-04-29,46.133
2020-04-30,44.6959
2020-05-01,43.5158
2020-05-02,43.5158
2020-05-03,43.5158
2020-05-04,43.775
2020-05-05,42.9437
2020-05-06,42.2314
2020-05-07,43.4574
2020-05-08,46.0627
2020-05-09,46.0627
2020-05-10,46.0627
2020-05-11,46.0021
2020-05-12,45.4535
2020-05-13,44.3937
2020-05-14,47.7247
2020-05-15,47.6037
2020-05-16,47.6037
2020-05-17,47.6037
2020-05-18,51.3887
2020-05-19,53.3918
2020-05-20,53.0051
2020-05-21,52.9633
2020-05-22,54.8058
2020-05-23,54.8058
2020-05-24,54.8058
2020-05-25,54.8058
2020-05-26,57.1828
2020-05-27,61.0113
2020-05-28,57.2373
2020-05-29,55.8978
2020-05-30,55.8978
