,IBP US Equity
,RSI_30D
2020-01-01,51.6431
2020-01-02,51.9388
2020-01-03,52.6948
2020-01-04,52.6948
2020-01-05,52.6948
2020-01-06,53.1396
2020-01-07,51.7377
2020-01-08,53.4479
2020-01-09,52.1196
2020-01-10,53.0456
2020-01-11,53.0456
2020-01-12,53.0456
2020-01-13,55.2519
2020-01-14,57.2257
2020-01-15,61.4789
2020-01-16,59.8665
2020-01-17,59.4391
2020-01-18,59.4391
2020-01-19,59.4391
2020-01-20,59.4391
2020-01-21,61.1603
2020-01-22,61.733
2020-01-23,64.8324
2020-01-24,60.7781
2020-01-25,60.7781
2020-01-26,60.7781
2020-01-27,59.5498
2020-01-28,60.7315
2020-01-29,59.4456
2020-01-30,59.3309
2020-01-31,54.8608
2020-02-01,54.8608
2020-02-02,54.8608
2020-02-03,56.7327
2020-02-04,56.0433
2020-02-05,58.1608
2020-02-06,57.7756
2020-02-07,56.5039
2020-02-08,56.5039
2020-02-09,56.5039
2020-02-10,56.7182
2020-02-11,56.4688
2020-02-12,54.0665
2020-02-13,54.3826
2020-02-14,55.4454
2020-02-15,55.4454
2020-02-16,55.4454
2020-02-17,55.4454
2020-02-18,55.2071
2020-02-19,58.3118
2020-02-20,59.1854
2020-02-21,60.9625
2020-02-22,60.9625
2020-02-23,60.9625
2020-02-24,57.2962
2020-02-25,46.2392
2020-02-26,45.1902
2020-02-27,44.0781
2020-02-28,40.749
2020-02-29,40.749
2020-03-01,40.749
2020-03-02,39.3886
2020-03-03,40.8618
2020-03-04,50.0523
2020-03-05,46.8479
2020-03-06,42.1694
2020-03-07,42.1694
2020-03-08,42.1694
2020-03-09,33.7521
2020-03-10,35.9716
2020-03-11,32.3599
2020-03-12,28.649
2020-03-13,33.4572
2020-03-14,33.4572
2020-03-15,33.4572
2020-03-16,28.1664
2020-03-17,30.1969
2020-03-18,27.8474
2020-03-19,32.8084
2020-03-20,33.0149
2020-03-21,33.0149
2020-03-22,33.0149
2020-03-23,32.3205
2020-03-24,36.0113
2020-03-25,40.0077
2020-03-26,41.9022
2020-03-27,40.4951
2020-03-28,40.4951
2020-03-29,40.4951
2020-03-30,38.8553
2020-03-31,38.4215
2020-04-01,35.7197
2020-04-02,36.1544
2020-04-03,34.9366
2020-04-04,34.9366
2020-04-05,34.9366
2020-04-06,39.8582
2020-04-07,39.8162
2020-04-08,43.6232
2020-04-09,44.3812
2020-04-10,44.3812
2020-04-11,44.3812
2020-04-12,44.3812
2020-04-13,42.3597
2020-04-14,42.7932
2020-04-15,41.3216
2020-04-16,40.3229
2020-04-17,43.6647
2020-04-18,43.6647
2020-04-19,43.6647
2020-04-20,42.3666
2020-04-21,41.8637
2020-04-22,41.6285
2020-04-23,42.227
2020-04-24,43.8042
2020-04-25,43.8042
2020-04-26,43.8042
2020-04-27,45.6435
2020-04-28,48.0713
2020-04-29,51.9603
2020-04-30,49.8188
2020-05-01,48.2566
2020-05-02,48.2566
2020-05-03,48.2566
2020-05-04,48.3829
2020-05-05,50.0671
2020-05-06,50.7704
2020-05-07,51.4959
2020-05-08,53.6404
2020-05-09,53.6404
2020-05-10,53.6404
2020-05-11,51.9331
2020-05-12,49.913
2020-05-13,48.7523
2020-05-14,48.9126
2020-05-15,50.4102
2020-05-16,50.4102
2020-05-17,50.4102
2020-05-18,54.5626
2020-05-19,54.194
2020-05-20,54.7194
2020-05-21,55.8852
2020-05-22,57.1602
2020-05-23,57.1602
2020-05-24,57.1602
2020-05-25,57.1602
2020-05-26,58.5741
2020-05-27,61.9944
2020-05-28,58.4919
2020-05-29,57.2038
2020-05-30,57.2038
2020-05-31,57.2038
2020-06-01,59.0587
2020-06-02,59.5759
2020-06-03,60.6054
2020-06-04,60.6464
2020-06-05,62.3514
2020-06-06,62.3514
2020-06-07,62.3514
2020-06-08,60.2926
2020-06-09,61.2138
2020-06-10,60.5444
2020-06-11,54.9224
2020-06-12,56.1873
2020-06-13,56.1873
2020-06-14,56.1873
2020-06-15,58.9598
2020-06-16,59.1248
2020-06-17,58.1499
2020-06-18,56.9673
2020-06-19,56.5882
2020-06-20,56.5882
2020-06-21,56.5882
2020-06-22,56.4405
2020-06-23,57.9289
2020-06-24,54.4434
2020-06-25,53.7095
2020-06-26,51.918
2020-06-27,51.918
2020-06-28,51.918
2020-06-29,54.072
2020-06-30,54.9805
2020-07-01,53.7591
2020-07-02,54.525
2020-07-03,54.525
2020-07-04,54.525
2020-07-05,54.525
2020-07-06,56.1305
2020-07-07,54.0319
2020-07-08,56.9402
2020-07-09,55.0986
2020-07-10,55.9011
2020-07-11,55.9011
2020-07-12,55.9011
2020-07-13,54.1826
2020-07-14,55.7233
2020-07-15,58.0385
2020-07-16,58.889
2020-07-17,58.5902
2020-07-18,58.5902
2020-07-19,58.5902
2020-07-20,59.0085
2020-07-21,58.269
2020-07-22,61.0715
2020-07-23,59.2489
2020-07-24,58.5313
2020-07-25,58.5313
2020-07-26,58.5313
2020-07-27,59.7348
2020-07-28,57.1772
2020-07-29,59.0993
2020-07-30,59.4303
2020-07-31,57.4792
2020-08-01,57.4792
2020-08-02,57.4792
2020-08-03,60.3646
2020-08-04,58.3839
2020-08-05,60.1803
2020-08-06,60.3819
2020-08-07,60.845
2020-08-08,60.845
2020-08-09,60.845
2020-08-10,61.7295
2020-08-11,60.9932
2020-08-12,62.1081
2020-08-13,62.4128
2020-08-14,60.671
2020-08-15,60.671
2020-08-16,60.671
2020-08-17,61.1175
2020-08-18,60.8013
2020-08-19,60.9227
2020-08-20,60.4385
2020-08-21,61.3012
2020-08-22,61.3012
2020-08-23,61.3012
2020-08-24,61.0191
2020-08-25,61.2185
2020-08-26,60.3085
2020-08-27,60.5996
2020-08-28,60.7926
2020-08-29,60.7926
2020-08-30,60.7926
2020-08-31,58.9145
2020-09-01,64.2686
2020-09-02,62.7278
2020-09-03,59.2427
2020-09-04,58.4413
2020-09-05,58.4413
2020-09-06,58.4413
2020-09-07,58.4413
2020-09-08,59.7453
2020-09-09,62.8361
2020-09-10,61.8267
2020-09-11,62.2147
2020-09-12,62.2147
2020-09-13,62.2147
2020-09-14,63.4515
2020-09-15,62.7433
2020-09-16,64.9066
2020-09-17,62.4419
2020-09-18,62.9551
2020-09-19,62.9551
2020-09-20,62.9551
2020-09-21,59.6735
2020-09-22,61.9357
2020-09-23,59.3921
2020-09-24,59.9664
2020-09-25,59.1783
2020-09-26,59.1783
2020-09-27,59.1783
2020-09-28,62.8296
2020-09-29,62.4354
2020-09-30,63.4057
2020-10-01,66.6352
2020-10-02,67.8369
2020-10-03,67.8369
2020-10-04,67.8369
2020-10-05,67.4339
2020-10-06,67.7198
2020-10-07,68.7562
2020-10-08,70.3621
2020-10-09,72.7443
2020-10-10,72.7443
2020-10-11,72.7443
2020-10-12,73.1077
2020-10-13,68.6072
2020-10-14,67.5521
2020-10-15,67.7662
2020-10-16,65.5748
2020-10-17,65.5748
2020-10-18,65.5748
2020-10-19,60.8166
2020-10-20,59.4421
2020-10-21,56.2709
2020-10-22,55.3535
2020-10-23,57.5669
2020-10-24,57.5669
2020-10-25,57.5669
2020-10-26,52.7265
2020-10-27,50.4702
2020-10-28,48.42
2020-10-29,46.517
2020-10-30,44.6657
2020-10-31,44.6657
2020-11-01,44.6657
2020-11-02,48.4865
2020-11-03,47.8421
2020-11-04,53.9585
2020-11-05,52.6804
2020-11-06,48.0463
2020-11-07,48.0463
2020-11-08,48.0463
2020-11-09,42.8509
2020-11-10,48.2949
2020-11-11,50.1131
2020-11-12,49.0449
2020-11-13,50.2299
2020-11-14,50.2299
2020-11-15,50.2299
2020-11-16,50.3886
2020-11-17,51.2876
2020-11-18,51.3299
2020-11-19,52.7955
2020-11-20,52.1709
2020-11-21,52.1709
2020-11-22,52.1709
2020-11-23,55.3661
2020-11-24,51.6461
2020-11-25,52.0808
2020-11-26,52.0808
2020-11-27,51.9567
2020-11-28,51.9567
2020-11-29,51.9567
2020-11-30,50.5919
2020-12-01,49.06
2020-12-02,48.369
2020-12-03,49.0971
2020-12-04,46.7577
2020-12-05,46.7577
2020-12-06,46.7577
2020-12-07,48.5542
2020-12-08,46.8801
2020-12-09,47.346
2020-12-10,47.8551
2020-12-11,47.6604
2020-12-12,47.6604
2020-12-13,47.6604
2020-12-14,48.3722
2020-12-15,52.7332
2020-12-16,52.1119
2020-12-17,56.3834
2020-12-18,56.5009
2020-12-19,56.5009
2020-12-20,56.5009
2020-12-21,57.0517
2020-12-22,57.9203
2020-12-23,55.8026
2020-12-24,56.936
2020-12-25,56.936
2020-12-26,56.936
2020-12-27,56.936
2020-12-28,54.1271
