,ADP US Equity
,RSI_30D
2020-01-01,57.2591
2020-01-02,56.9422
2020-01-03,56.2975
2020-01-04,56.2975
2020-01-05,56.2975
2020-01-06,56.6221
2020-01-07,52.9765
2020-01-08,55.262
2020-01-09,57.3001
2020-01-10,57.0849
2020-01-11,57.0849
2020-01-12,57.0849
2020-01-13,58.78
2020-01-14,56.7179
2020-01-15,58.8081
2020-01-16,61.3385
2020-01-17,63.5645
2020-01-18,63.5645
2020-01-19,63.5645
2020-01-20,63.5645
2020-01-21,62.3149
2020-01-22,64.6034
2020-01-23,63.6645
2020-01-24,62.4994
2020-01-25,62.4994
2020-01-26,62.4994
2020-01-27,59.8146
2020-01-28,62.7012
2020-01-29,51.7878
2020-01-30,56.1044
2020-01-31,51.7356
2020-02-01,51.7356
2020-02-02,51.7356
2020-02-03,54.3306
2020-02-04,56.2213
2020-02-05,58.637
2020-02-06,60.023
2020-02-07,58.5865
2020-02-08,58.5865
2020-02-09,58.5865
2020-02-10,58.8151
2020-02-11,57.0732
2020-02-12,57.1299
2020-02-13,59.0686
2020-02-14,60.0918
2020-02-15,60.0918
2020-02-16,60.0918
2020-02-17,60.0918
2020-02-18,58.3447
2020-02-19,59.561
2020-02-20,58.9139
2020-02-21,56.0403
2020-02-22,56.0403
2020-02-23,56.0403
2020-02-24,51.2681
2020-02-25,44.1781
2020-02-26,43.46
2020-02-27,37.0165
2020-02-28,35.2999
2020-02-29,35.2999
2020-03-01,35.2999
2020-03-02,43.3461
2020-03-03,38.6721
2020-03-04,45.8008
2020-03-05,43.6661
2020-03-06,42.8225
2020-03-07,42.8225
2020-03-08,42.8225
2020-03-09,38.6408
2020-03-10,41.1682
2020-03-11,38.1881
2020-03-12,31.884
2020-03-13,40.4775
2020-03-14,40.4775
2020-03-15,40.4775
2020-03-16,33.6672
2020-03-17,37.109
2020-03-18,34.0038
2020-03-19,33.9465
2020-03-20,32.6326
2020-03-21,32.6326
2020-03-22,32.6326
2020-03-23,31.9131
2020-03-24,37.5751
2020-03-25,38.3027
2020-03-26,44.2683
2020-03-27,42.5958
2020-03-28,42.5958
2020-03-29,42.5958
2020-03-30,45.0316
2020-03-31,44.6844
2020-04-01,42.6094
2020-04-02,43.3252
2020-04-03,42.4337
2020-04-04,42.4337
2020-04-05,42.4337
2020-04-06,46.656
2020-04-07,45.8121
2020-04-08,46.3975
2020-04-09,47.8778
2020-04-10,47.8778
2020-04-11,47.8778
2020-04-12,47.8778
2020-04-13,46.8743
2020-04-14,48.4953
2020-04-15,46.3932
2020-04-16,46.154
2020-04-17,47.7637
2020-04-18,47.7637
2020-04-19,47.7637
2020-04-20,47.3204
2020-04-21,45.1827
2020-04-22,47.205
2020-04-23,46.2412
2020-04-24,47.56
2020-04-25,47.56
2020-04-26,47.56
2020-04-27,48.7352
2020-04-28,49.0474
2020-04-29,50.1716
2020-04-30,50.5109
2020-05-01,48.0161
2020-05-02,48.0161
2020-05-03,48.0161
2020-05-04,49.6809
2020-05-05,50.2251
2020-05-06,49.7022
2020-05-07,51.0455
2020-05-08,50.2795
2020-05-09,50.2795
2020-05-10,50.2795
2020-05-11,49.674
2020-05-12,48.424
2020-05-13,45.4845
2020-05-14,45.6611
2020-05-15,45.6198
2020-05-16,45.6198
2020-05-17,45.6198
2020-05-18,46.3974
2020-05-19,44.9807
2020-05-20,45.8515
2020-05-21,45.2082
2020-05-22,46.0396
2020-05-23,46.0396
2020-05-24,46.0396
2020-05-25,46.0396
2020-05-26,48.1655
2020-05-27,51.0007
2020-05-28,51.0633
2020-05-29,51.89
2020-05-30,51.89
2020-05-31,51.89
2020-06-01,51.3905
2020-06-02,52.7422
2020-06-03,54.4083
2020-06-04,53.4367
2020-06-05,58.042
2020-06-06,58.042
2020-06-07,58.042
2020-06-08,58.4686
2020-06-09,56.4544
2020-06-10,55.511
2020-06-11,49.2147
2020-06-12,51.1141
2020-06-13,51.1141
2020-06-14,51.1141
2020-06-15,51.2455
2020-06-16,53.3264
2020-06-17,52.7558
2020-06-18,53.2498
2020-06-19,51.7931
2020-06-20,51.7931
2020-06-21,51.7931
2020-06-22,52.5215
2020-06-23,52.5415
2020-06-24,49.4727
2020-06-25,50.8377
2020-06-26,49.3939
2020-06-27,49.3939
2020-06-28,49.3939
2020-06-29,50.2821
2020-06-30,51.6105
2020-07-01,51.7274
2020-07-02,52.4994
2020-07-03,52.4994
2020-07-04,52.4994
2020-07-05,52.4994
2020-07-06,52.6036
2020-07-07,50.3605
2020-07-08,50.998
2020-07-09,49.5789
2020-07-10,50.4456
2020-07-11,50.4456
2020-07-12,50.4456
2020-07-13,49.4144
2020-07-14,49.4144
2020-07-15,51.3781
2020-07-16,49.8261
2020-07-17,50.7295
2020-07-18,50.7295
2020-07-19,50.7295
2020-07-20,50.6299
2020-07-21,50.391
2020-07-22,50.789
2020-07-23,50.2782
2020-07-24,49.1687
2020-07-25,49.1687
2020-07-26,49.1687
2020-07-27,49.3863
2020-07-28,50.095
2020-07-29,43.6203
2020-07-30,41.1766
2020-07-31,41.1927
2020-08-01,41.1927
2020-08-02,41.1927
2020-08-03,42.4565
2020-08-04,44.2787
2020-08-05,43.0599
2020-08-06,44.4646
2020-08-07,45.6302
2020-08-08,45.6302
2020-08-09,45.6302
2020-08-10,45.7743
2020-08-11,45.7256
2020-08-12,46.9617
