,EME US Equity
,RSI_30D
2020-01-01,45.8331
2020-01-02,46.3541
2020-01-03,46.5667
2020-01-04,46.5667
2020-01-05,46.5667
2020-01-06,45.2674
2020-01-07,43.9974
2020-01-08,43.174
2020-01-09,46.9892
2020-01-10,46.0539
2020-01-11,46.0539
2020-01-12,46.0539
2020-01-13,47.1849
2020-01-14,45.7167
2020-01-15,46.2559
2020-01-16,47.7124
2020-01-17,49.0314
2020-01-18,49.0314
2020-01-19,49.0314
2020-01-20,49.0314
2020-01-21,47.8249
2020-01-22,48.2339
2020-01-23,47.9961
2020-01-24,47.0578
2020-01-25,47.0578
2020-01-26,47.0578
2020-01-27,45.2082
2020-01-28,46.6057
2020-01-29,43.8768
2020-01-30,45.8162
2020-01-31,39.9565
2020-02-01,39.9565
2020-02-02,39.9565
2020-02-03,41.3152
2020-02-04,42.2329
2020-02-05,47.6482
2020-02-06,48.2472
2020-02-07,45.6748
2020-02-08,45.6748
2020-02-09,45.6748
2020-02-10,49.7331
2020-02-11,49.8674
2020-02-12,51.6977
2020-02-13,52.0935
2020-02-14,51.573
2020-02-15,51.573
2020-02-16,51.573
2020-02-17,51.573
2020-02-18,49.4471
2020-02-19,53.2962
2020-02-20,54.836
2020-02-21,55.5504
2020-02-22,55.5504
2020-02-23,55.5504
2020-02-24,45.7308
2020-02-25,40.4877
2020-02-26,38.7968
2020-02-27,37.9421
2020-02-28,36.2772
2020-02-29,36.2772
2020-03-01,36.2772
2020-03-02,41.0804
2020-03-03,39.1714
2020-03-04,43.577
2020-03-05,40.4554
2020-03-06,39.5217
2020-03-07,39.5217
2020-03-08,39.5217
2020-03-09,33.1453
2020-03-10,32.4951
2020-03-11,31.1919
2020-03-12,24.1409
2020-03-13,34.0436
2020-03-14,34.0436
2020-03-15,34.0436
2020-03-16,28.9609
2020-03-17,27.2303
2020-03-18,27.6952
2020-03-19,29.9063
2020-03-20,29.3492
2020-03-21,29.3492
2020-03-22,29.3492
2020-03-23,30.9335
2020-03-24,32.8041
2020-03-25,34.3971
2020-03-26,41.1506
2020-03-27,38.9246
2020-03-28,38.9246
2020-03-29,38.9246
2020-03-30,40.0206
2020-03-31,41.8587
2020-04-01,39.17
2020-04-02,40.9167
2020-04-03,39.4492
2020-04-04,39.4492
2020-04-05,39.4492
2020-04-06,41.8685
2020-04-07,42.5924
2020-04-08,42.9355
2020-04-09,45.3564
2020-04-10,45.3564
2020-04-11,45.3564
2020-04-12,45.3564
2020-04-13,43.7859
2020-04-14,44.7671
2020-04-15,42.7488
2020-04-16,42.9659
2020-04-17,46.3723
2020-04-18,46.3723
2020-04-19,46.3723
2020-04-20,44.8964
2020-04-21,44.9045
2020-04-22,45.1712
2020-04-23,46.182
2020-04-24,46.5051
2020-04-25,46.5051
2020-04-26,46.5051
2020-04-27,47.0673
2020-04-28,50.0739
2020-04-29,52.1138
2020-04-30,47.2822
2020-05-01,44.6362
2020-05-02,44.6362
2020-05-03,44.6362
2020-05-04,44.537
2020-05-05,45.0172
2020-05-06,43.7189
2020-05-07,45.341
2020-05-08,47.4175
2020-05-09,47.4175
2020-05-10,47.4175
2020-05-11,45.1445
2020-05-12,43.1651
2020-05-13,42.8554
2020-05-14,43.2942
2020-05-15,43.8314
