,KLAC US Equity
,RSI_30D
2020-01-01,59.9653
2020-01-02,62.5649
2020-01-03,59.4001
2020-01-04,59.4001
2020-01-05,59.4001
2020-01-06,56.0153
2020-01-07,56.8918
2020-01-08,57.0383
2020-01-09,56.0275
2020-01-10,53.9489
2020-01-11,53.9489
2020-01-12,53.9489
2020-01-13,55.3917
2020-01-14,56.9795
2020-01-15,57.2704
2020-01-16,59.2092
2020-01-17,57.2499
2020-01-18,57.2499
2020-01-19,57.2499
2020-01-20,57.2499
2020-01-21,57.3036
2020-01-22,58.1988
2020-01-23,59.7974
2020-01-24,56.8689
2020-01-25,56.8689
2020-01-26,56.8689
2020-01-27,49.6153
2020-01-28,53.4155
2020-01-29,50.4658
2020-01-30,51.2595
2020-01-31,46.6346
2020-02-01,46.6346
2020-02-02,46.6346
2020-02-03,49.3911
2020-02-04,54.5342
2020-02-05,50.0714
2020-02-06,50.3287
2020-02-07,46.7335
2020-02-08,46.7335
2020-02-09,46.7335
2020-02-10,48.9057
2020-02-11,51.1292
2020-02-12,52.6453
2020-02-13,54.03
2020-02-14,52.6178
2020-02-15,52.6178
2020-02-16,52.6178
2020-02-17,52.6178
2020-02-18,48.805
2020-02-19,50.768
2020-02-20,48.2888
2020-02-21,45.3569
2020-02-22,45.3569
2020-02-23,45.3569
2020-02-24,42.1884
2020-02-25,39.7327
2020-02-26,39.6798
2020-02-27,40.1043
2020-02-28,43.3788
2020-02-29,43.3788
2020-03-01,43.3788
2020-03-02,46.0614
2020-03-03,43.9502
2020-03-04,47.4383
2020-03-05,45.7233
2020-03-06,45.2977
2020-03-07,45.2977
2020-03-08,45.2977
2020-03-09,41.0831
2020-03-10,45.7648
2020-03-11,42.2885
2020-03-12,36.4785
2020-03-13,44.542
2020-03-14,44.542
2020-03-15,44.542
2020-03-16,40.3405
2020-03-17,46.9114
2020-03-18,42.6594
2020-03-19,41.6265
2020-03-20,38.8416
2020-03-21,38.8416
2020-03-22,38.8416
2020-03-23,39.5752
2020-03-24,45.3689
2020-03-25,45.668
2020-03-26,48.8741
2020-03-27,47.1143
2020-03-28,47.1143
2020-03-29,47.1143
2020-03-30,48.955
2020-03-31,47.5944
2020-04-01,44.8862
2020-04-02,45.1073
2020-04-03,44.1148
2020-04-04,44.1148
2020-04-05,44.1148
2020-04-06,49.3795
2020-04-07,49.0932
2020-04-08,50.3282
2020-04-09,49.7771
2020-04-10,49.7771
2020-04-11,49.7771
2020-04-12,49.7771
2020-04-13,50.2703
2020-04-14,52.6256
2020-04-15,50.4438
2020-04-16,51.2859
2020-04-17,52.3983
2020-04-18,52.3983
2020-04-19,52.3983
2020-04-20,51.0986
2020-04-21,49.1194
2020-04-22,51.6545
2020-04-23,51.8439
2020-04-24,53.1916
2020-04-25,53.1916
2020-04-26,53.1916
2020-04-27,53.4724
2020-04-28,53.5255
2020-04-29,55.9108
2020-04-30,52.4922
2020-05-01,48.8718
2020-05-02,48.8718
2020-05-03,48.8718
2020-05-04,49.3231
2020-05-05,50.2798
2020-05-06,52.373
2020-05-07,52.3806
2020-05-08,54.3079
2020-05-09,54.3079
2020-05-10,54.3079
2020-05-11,53.5123
2020-05-12,52.5721
2020-05-13,52.1293
2020-05-14,55.4132
2020-05-15,52.8937
2020-05-16,52.8937
2020-05-17,52.8937
2020-05-18,54.1366
2020-05-19,54.1904
2020-05-20,55.5767
2020-05-21,53.8624
2020-05-22,54.0147
2020-05-23,54.0147
2020-05-24,54.0147
2020-05-25,54.0147
2020-05-26,54.9965
2020-05-27,55.021
2020-05-28,54.2989
2020-05-29,54.6906
2020-05-30,54.6906
2020-05-31,54.6906
2020-06-01,54.6906
2020-06-02,55.0964
2020-06-03,57.6789
2020-06-04,57.7478
2020-06-05,59.5061
2020-06-06,59.5061
2020-06-07,59.5061
2020-06-08,59.2547
2020-06-09,58.9002
2020-06-10,59.4204
2020-06-11,54.4283
2020-06-12,55.7256
2020-06-13,55.7256
2020-06-14,55.7256
2020-06-15,56.6756
2020-06-16,58.262
2020-06-17,58.5318
2020-06-18,58.4666
2020-06-19,58.1808
2020-06-20,58.1808
2020-06-21,58.1808
2020-06-22,57.6161
2020-06-23,58.0744
2020-06-24,55.9468
2020-06-25,57.263
2020-06-26,55.9736
2020-06-27,55.9736
2020-06-28,55.9736
2020-06-29,56.7562
2020-06-30,57.7456
2020-07-01,57.0921
2020-07-02,58.3246
2020-07-03,58.3246
2020-07-04,58.3246
2020-07-05,58.3246
2020-07-06,60.7804
2020-07-07,60.313
2020-07-08,60.9413
2020-07-09,60.441
2020-07-10,59.7078
2020-07-11,59.7078
