,NBHC US Equity
,RSI_30D
2020-01-01,48.2638
2020-01-02,52.6943
2020-01-03,51.6564
2020-01-04,51.6564
2020-01-05,51.6564
2020-01-06,52.9633
2020-01-07,50.9221
2020-01-08,52.3363
2020-01-09,52.4249
2020-01-10,52.174
2020-01-11,52.174
2020-01-12,52.174
2020-01-13,52.2213
2020-01-14,53.1796
2020-01-15,52.0986
2020-01-16,55.3387
2020-01-17,55.5191
2020-01-18,55.5191
2020-01-19,55.5191
2020-01-20,55.5191
2020-01-21,51.3851
2020-01-22,51.0785
2020-01-23,52.113
2020-01-24,44.1558
2020-01-25,44.1558
2020-01-26,44.1558
2020-01-27,42.0445
2020-01-28,41.5586
2020-01-29,39.5232
2020-01-30,40.756
2020-01-31,37.6174
2020-02-01,37.6174
2020-02-02,37.6174
2020-02-03,40.0323
2020-02-04,41.7563
2020-02-05,44.5684
2020-02-06,42.7993
2020-02-07,41.1449
2020-02-08,41.1449
2020-02-09,41.1449
2020-02-10,40.288
2020-02-11,41.6458
2020-02-12,42.7433
2020-02-13,43.9332
2020-02-14,44.6277
2020-02-15,44.6277
2020-02-16,44.6277
2020-02-17,44.6277
2020-02-18,43.9836
2020-02-19,45.8531
2020-02-20,48.5419
2020-02-21,48.1006
2020-02-22,48.1006
2020-02-23,48.1006
2020-02-24,48.0555
2020-02-25,45.0765
2020-02-26,42.8155
2020-02-27,38.899
2020-02-28,35.1982
2020-02-29,35.1982
2020-03-01,35.1982
2020-03-02,40.9604
2020-03-03,37.8584
2020-03-04,40.4549
2020-03-05,36.0684
2020-03-06,35.05
2020-03-07,35.05
2020-03-08,35.05
2020-03-09,26.9565
2020-03-10,33.9849
2020-03-11,31.3842
2020-03-12,28.4957
2020-03-13,35.6444
2020-03-14,35.6444
2020-03-15,35.6444
2020-03-16,34.27
2020-03-17,35.0068
2020-03-18,32.9147
2020-03-19,32.6015
2020-03-20,31.8517
2020-03-21,31.8517
2020-03-22,31.8517
2020-03-23,29.3271
2020-03-24,33.7749
2020-03-25,33.4277
2020-03-26,36.3931
2020-03-27,37.1049
2020-03-28,37.1049
2020-03-29,37.1049
2020-03-30,38.4037
2020-03-31,38.5325
2020-04-01,37.244
2020-04-02,38.1532
2020-04-03,37.4435
2020-04-04,37.4435
2020-04-05,37.4435
2020-04-06,37.9709
2020-04-07,39.4171
2020-04-08,39.6689
2020-04-09,44.2752
2020-04-10,44.2752
2020-04-11,44.2752
2020-04-12,44.2752
2020-04-13,41.7407
2020-04-14,41.1905
2020-04-15,38.8757
2020-04-16,37.2079
2020-04-17,41.3083
2020-04-18,41.3083
2020-04-19,41.3083
2020-04-20,40.9948
2020-04-21,40.5351
2020-04-22,44.5434
2020-04-23,41.9606
2020-04-24,43.5702
2020-04-25,43.5702
2020-04-26,43.5702
2020-04-27,48.1427
2020-04-28,49.6962
2020-04-29,52.5961
2020-04-30,49.839
2020-05-01,47.9932
2020-05-02,47.9932
2020-05-03,47.9932
2020-05-04,48.31
2020-05-05,46.852
2020-05-06,45.0536
2020-05-07,45.3116
2020-05-08,48.0256
2020-05-09,48.0256
2020-05-10,48.0256
2020-05-11,46.1522
2020-05-12,44.1605
2020-05-13,43.7154
2020-05-14,44.2741
2020-05-15,44.1291
2020-05-16,44.1291
2020-05-17,44.1291
2020-05-18,48.6323
2020-05-19,46.551
2020-05-20,49.4541
2020-05-21,49.0902
2020-05-22,48.5263
2020-05-23,48.5263
2020-05-24,48.5263
2020-05-25,48.5263
2020-05-26,51.8229
2020-05-27,53.9075
2020-05-28,51.6405
2020-05-29,51.1991
2020-05-30,51.1991
2020-05-31,51.1991
2020-06-01,51.2187
2020-06-02,51.6209
2020-06-03,54.4016
2020-06-04,55.2574
2020-06-05,58.7563
2020-06-06,58.7563
2020-06-07,58.7563
2020-06-08,59.538
2020-06-09,58.4868
2020-06-10,53.5317
2020-06-11,49.1115
2020-06-12,50.4605
2020-06-13,50.4605
2020-06-14,50.4605
2020-06-15,51.0307
2020-06-16,52.7022
2020-06-17,50.106
2020-06-18,50.5355
2020-06-19,50.8778
2020-06-20,50.8778
2020-06-21,50.8778
2020-06-22,50.5361
2020-06-23,50.3304
2020-06-24,47.9098
2020-06-25,49.7836
2020-06-26,46.9311
2020-06-27,46.9311
2020-06-28,46.9311
2020-06-29,50.1851
2020-06-30,51.0853
2020-07-01,49.1312
2020-07-02,48.8029
2020-07-03,48.8029
2020-07-04,48.8029
2020-07-05,48.8029
2020-07-06,49.2773
2020-07-07,47.9193
2020-07-08,47.3633
2020-07-09,45.7361
2020-07-10,47.9643
2020-07-11,47.9643
2020-07-12,47.9643
2020-07-13,49.5709
2020-07-14,48.7406
2020-07-15,51.0922
2020-07-16,51.134
2020-07-17,49.7062
2020-07-18,49.7062
2020-07-19,49.7062
2020-07-20,48.7105
2020-07-21,51.835
2020-07-22,53.3657
2020-07-23,54.1298
2020-07-24,53.8177
2020-07-25,53.8177
2020-07-26,53.8177
2020-07-27,52.6345
2020-07-28,52.8098
2020-07-29,54.3176
2020-07-30,53.5987
2020-07-31,52.8237
2020-08-01,52.8237
2020-08-02,52.8237
2020-08-03,52.4316
2020-08-04,51.7168
2020-08-05,54.2726
2020-08-06,53.6412
2020-08-07,56.0338
2020-08-08,56.0338
2020-08-09,56.0338
2020-08-10,57.0911
2020-08-11,58.0265
2020-08-12,58.0485
2020-08-13,56.3377
2020-08-14,56.9933
2020-08-15,56.9933
2020-08-16,56.9933
2020-08-17,56.4919
2020-08-18,53.1084
2020-08-19,53.6722
2020-08-20,51.9112
2020-08-21,51.8525
2020-08-22,51.8525
2020-08-23,51.8525
2020-08-24,54.4108
2020-08-25,54.463
2020-08-26,51.9137
2020-08-27,53.6564
2020-08-28,53.375
2020-08-29,53.375
2020-08-30,53.375
2020-08-31,52.5513
2020-09-01,52.4226
2020-09-02,52.027
2020-09-03,52.9152
2020-09-04,54.3912
2020-09-05,54.3912
2020-09-06,54.3912
2020-09-07,54.3912
2020-09-08,50.2355
2020-09-09,49.3615
2020-09-10,48.1243
2020-09-11,47.9688
2020-09-12,47.9688
2020-09-13,47.9688
2020-09-14,49.0584
2020-09-15,47.8912
2020-09-16,47.0864
2020-09-17,46.0615
2020-09-18,47.4662
2020-09-19,47.4662
2020-09-20,47.4662
2020-09-21,43.0968
2020-09-22,41.8429
2020-09-23,40.4104
2020-09-24,42.5599
2020-09-25,43.538
2020-09-26,43.538
2020-09-27,43.538
2020-09-28,47.1545
2020-09-29,46.8471
2020-09-30,47.1323
2020-10-01,47.5327
2020-10-02,49.4412
2020-10-03,49.4412
2020-10-04,49.4412
2020-10-05,53.1346
2020-10-06,55.7268
2020-10-07,55.8736
2020-10-08,58.1965
2020-10-09,58.4201
2020-10-10,58.4201
2020-10-11,58.4201
2020-10-12,59.293
2020-10-13,57.8344
2020-10-14,55.2563
2020-10-15,57.5406
2020-10-16,58.2564
2020-10-17,58.2564
2020-10-18,58.2564
2020-10-19,57.534
2020-10-20,58.5098
2020-10-21,59.416
2020-10-22,63.9371
2020-10-23,63.9613
2020-10-24,63.9613
2020-10-25,63.9613
2020-10-26,61.6963
2020-10-27,57.3739
2020-10-28,55.0321
2020-10-29,55.4728
2020-10-30,55.3232
2020-10-31,55.3232
2020-11-01,55.3232
2020-11-02,56.2983
2020-11-03,57.3808
2020-11-04,50.3242
2020-11-05,53.3658
2020-11-06,51.3065
2020-11-07,51.3065
2020-11-08,51.3065
2020-11-09,61.755
2020-11-10,62.5334
2020-11-11,59.4496
2020-11-12,57.7292
2020-11-13,59.3385
2020-11-14,59.3385
2020-11-15,59.3385
2020-11-16,61.478
2020-11-17,61.1151
2020-11-18,58.5526
2020-11-19,58.9255
2020-11-20,56.6975
2020-11-21,56.6975
2020-11-22,56.6975
2020-11-23,55.9489
2020-11-24,58.2519
2020-11-25,57.2726
2020-11-26,57.2726
2020-11-27,56.4984
2020-11-28,56.4984
2020-11-29,56.4984
2020-11-30,54.8465
2020-12-01,56.5593
2020-12-02,57.563
2020-12-03,57.0056
2020-12-04,58.3499
2020-12-05,58.3499
2020-12-06,58.3499
2020-12-07,57.8659
2020-12-08,57.8328
2020-12-09,57.3914
2020-12-10,56.567
2020-12-11,55.7387
2020-12-12,55.7387
2020-12-13,55.7387
2020-12-14,53.9016
2020-12-15,56.1445
2020-12-16,56.3614
2020-12-17,57.1293
2020-12-18,54.2381
2020-12-19,54.2381
2020-12-20,54.2381
2020-12-21,53.6558
2020-12-22,52.3893
2020-12-23,54.7769
2020-12-24,54.7769
2020-12-25,54.7769
2020-12-26,54.7769
2020-12-27,54.7769
2020-12-28,54.7035
2020-12-29,52.415
2020-12-30,52.5129
2020-12-31,53.5987
2021-01-01,53.5987
2021-01-02,53.5987
2021-01-03,53.5987
2021-01-04,53.1794
2021-01-05,54.0251
2021-01-06,62.2841
2021-01-07,63.0114
2021-01-08,60.4443
2021-01-09,60.4443
2021-01-10,60.4443
2021-01-11,60.1371
2021-01-12,61.0335
2021-01-13,59.0706
2021-01-14,61.9328
2021-01-15,59.3128
2021-01-16,59.3128
2021-01-17,59.3128
2021-01-18,59.3128
2021-01-19,60.4662
2021-01-20,59.8556
2021-01-21,56.4991
2021-01-22,58.909
2021-01-23,58.909
2021-01-24,58.909
2021-01-25,56.6844
2021-01-26,54.6838
2021-01-27,50.9625
2021-01-28,51.4548
2021-01-29,49.9296
2021-01-30,49.9296
2021-01-31,49.9296
2021-02-01,52.5488
2021-02-02,52.7476
2021-02-03,50.3762
2021-02-04,54.5228
2021-02-05,54.6544
2021-02-06,54.6544
2021-02-07,54.6544
2021-02-08,55.5846
2021-02-09,56.6364
2021-02-10,55.2822
2021-02-11,55.2139
2021-02-12,56.2755
2021-02-13,56.2755
2021-02-14,56.2755
2021-02-15,56.2755
2021-02-16,57.6421
2021-02-17,55.5929
2021-02-18,53.8556
2021-02-19,56.9456
2021-02-20,56.9456
2021-02-21,56.9456
2021-02-22,60.6534
2021-02-23,63.255
2021-02-24,63.8525
2021-02-25,65.0942
2021-02-26,61.783
2021-02-27,61.783
2021-02-28,61.783
2021-03-01,63.0714
2021-03-02,61.2164
2021-03-03,62.7763
2021-03-04,62.209
2021-03-05,64.2558
2021-03-06,64.2558
2021-03-07,64.2558
2021-03-08,66.1156
2021-03-09,64.3127
2021-03-10,66.4159
2021-03-11,66.234
2021-03-12,66.7242
2021-03-13,66.7242
2021-03-14,66.7242
2021-03-15,62.9086
2021-03-16,61.2185
2021-03-17,61.3501
2021-03-18,61.7968
2021-03-19,62.8194
2021-03-20,62.8194
2021-03-21,62.8194
2021-03-22,59.0849
2021-03-23,57.4364
2021-03-24,56.4718
2021-03-25,57.1394
2021-03-26,60.5573
2021-03-27,60.5573
2021-03-28,60.5573
2021-03-29,55.733
2021-03-30,57.0399
2021-03-31,55.2899
2021-04-01,56.4538
2021-04-02,56.4538
2021-04-03,56.4538
2021-04-04,56.4538
2021-04-05,56.7691
2021-04-06,55.4902
2021-04-07,55.3934
2021-04-08,55.8975
2021-04-09,55.8288
2021-04-10,55.8288
2021-04-11,55.8288
2021-04-12,56.0524
2021-04-13,53.5973
2021-04-14,54.161
2021-04-15,53.6289
2021-04-16,54.31
2021-04-17,54.31
2021-04-18,54.31
2021-04-19,53.7164
2021-04-20,51.7773
2021-04-21,52.4144
2021-04-22,50.3501
2021-04-23,54.1515
2021-04-24,54.1515
2021-04-25,54.1515
2021-04-26,56.5263
2021-04-27,56.6135
2021-04-28,56.4573
2021-04-29,54.7392
2021-04-30,53.9289
2021-05-01,53.9289
2021-05-02,53.9289
2021-05-03,53.1537
2021-05-04,53.5337
2021-05-05,55.1091
2021-05-06,57.8111
2021-05-07,57.5977
2021-05-08,57.5977
2021-05-09,57.5977
2021-05-10,57.3348
2021-05-11,55.7984
2021-05-12,50.8817
2021-05-13,56.504
2021-05-14,57.4647
2021-05-15,57.4647
2021-05-16,57.4647
2021-05-17,57.1088
2021-05-18,53.7782
2021-05-19,53.6295
2021-05-20,52.6872
2021-05-21,55.6837
2021-05-22,55.6837
2021-05-23,55.6837
2021-05-24,52.96
2021-05-25,49.8503
2021-05-26,50.6497
2021-05-27,51.1224
2021-05-28,50.763
2021-05-29,50.763
2021-05-30,50.763
2021-05-31,50.763
2021-06-01,53.1154
2021-06-02,50.1348
2021-06-03,51.6563
2021-06-04,50.4531
2021-06-05,50.4531
2021-06-06,50.4531
2021-06-07,50.7324
2021-06-08,51.8556
2021-06-09,51.2139
2021-06-10,50.2677
2021-06-11,49.773
2021-06-12,49.773
2021-06-13,49.773
2021-06-14,49.2332
2021-06-15,50.034
2021-06-16,51.8793
2021-06-17,45.7441
2021-06-18,40.4639
2021-06-19,40.4639
2021-06-20,40.4639
2021-06-21,44.1401
2021-06-22,43.8513
2021-06-23,43.7329
2021-06-24,45.7043
2021-06-25,45.3252
2021-06-26,45.3252
2021-06-27,45.3252
2021-06-28,41.7159
2021-06-29,41.1003
2021-06-30,46.3154
2021-07-01,46.1644
2021-07-02,44.3973
2021-07-03,44.3973
2021-07-04,44.3973
2021-07-05,44.3973
2021-07-06,42.9558
