,NVR US Equity
,RSI_30D
2020-01-01,48.6814
2020-01-02,46.2173
2020-01-03,47.9347
2020-01-04,47.9347
2020-01-05,47.9347
2020-01-06,48.0035
2020-01-07,48.8716
2020-01-08,48.1327
2020-01-09,46.5515
2020-01-10,48.1343
2020-01-11,48.1343
2020-01-12,48.1343
2020-01-13,49.2413
2020-01-14,49.6173
2020-01-15,52.8384
2020-01-16,51.4965
2020-01-17,52.3526
2020-01-18,52.3526
2020-01-19,52.3526
2020-01-20,52.3526
2020-01-21,52.7943
2020-01-22,53.8086
2020-01-23,57.2161
2020-01-24,55.2601
2020-01-25,55.2601
2020-01-26,55.2601
2020-01-27,53.6707
2020-01-28,56.5671
2020-01-29,51.3562
2020-01-30,53.6481
2020-01-31,48.4604
2020-02-01,48.4604
2020-02-02,48.4604
2020-02-03,48.2359
2020-02-04,47.6387
2020-02-05,49.8145
2020-02-06,50.9582
2020-02-07,52.127
2020-02-08,52.127
2020-02-09,52.127
2020-02-10,53.1458
2020-02-11,54.1251
2020-02-12,53.9254
2020-02-13,55.4317
2020-02-14,54.2837
2020-02-15,54.2837
2020-02-16,54.2837
2020-02-17,54.2837
2020-02-18,52.9275
2020-02-19,53.1418
2020-02-20,55.6618
2020-02-21,55.3774
2020-02-22,55.3774
2020-02-23,55.3774
2020-02-24,53.553
2020-02-25,48.5878
2020-02-26,48.1988
2020-02-27,44.6502
2020-02-28,42.2003
2020-02-29,42.2003
2020-03-01,42.2003
2020-03-02,46.8354
2020-03-03,48.7833
2020-03-04,54.1966
2020-03-05,51.1786
2020-03-06,48.8184
2020-03-07,48.8184
2020-03-08,48.8184
2020-03-09,43.2183
2020-03-10,46.713
2020-03-11,39.4879
2020-03-12,32.3694
2020-03-13,32.0489
2020-03-14,32.0489
2020-03-15,32.0489
2020-03-16,25.7044
2020-03-17,25.2715
2020-03-18,25.6511
2020-03-19,35.4083
2020-03-20,31.5377
2020-03-21,31.5377
2020-03-22,31.5377
2020-03-23,30.1825
2020-03-24,38.4426
2020-03-25,42.7451
2020-03-26,43.1317
2020-03-27,42.351
2020-03-28,42.351
2020-03-29,42.351
2020-03-30,40.6374
2020-03-31,39.1257
2020-04-01,37.5426
2020-04-02,37.1514
2020-04-03,37.0812
2020-04-04,37.0812
2020-04-05,37.0812
2020-04-06,42.3468
2020-04-07,42.6689
2020-04-08,45.9231
2020-04-09,45.8426
2020-04-10,45.8426
2020-04-11,45.8426
2020-04-12,45.8426
2020-04-13,43.8856
2020-04-14,45.8722
2020-04-15,44.5784
2020-04-16,44.0654
2020-04-17,46.553
2020-04-18,46.553
2020-04-19,46.553
2020-04-20,45.6649
2020-04-21,45.1443
2020-04-22,45.795
2020-04-23,44.4839
2020-04-24,46.0773
2020-04-25,46.0773
2020-04-26,46.0773
2020-04-27,48.2567
2020-04-28,50.7444
2020-04-29,51.2026
2020-04-30,49.7877
2020-05-01,48.8745
2020-05-02,48.8745
2020-05-03,48.8745
2020-05-04,49.2678
2020-05-05,49.8456
2020-05-06,49.3008
2020-05-07,48.287
2020-05-08,50.2361
2020-05-09,50.2361
2020-05-10,50.2361
2020-05-11,49.2124
2020-05-12,46.4741
2020-05-13,44.8904
2020-05-14,45.4539
2020-05-15,45.379
2020-05-16,45.379
2020-05-17,45.379
2020-05-18,50.5312
2020-05-19,51.1006
2020-05-20,50.262
2020-05-21,50.8822
2020-05-22,51.046
2020-05-23,51.046
2020-05-24,51.046
2020-05-25,51.046
2020-05-26,52.3884
2020-05-27,54.5661
2020-05-28,52.2046
2020-05-29,52.2244
2020-05-30,52.2244
2020-05-31,52.2244
2020-06-01,51.9018
2020-06-02,52.9221
2020-06-03,55.5618
2020-06-04,55.0161
2020-06-05,56.5404
2020-06-06,56.5404
2020-06-07,56.5404
2020-06-08,57.0755
2020-06-09,55.0745
2020-06-10,54.9014
2020-06-11,48.7901
2020-06-12,50.1592
