,QNST US Equity
,RSI_30D
2020-01-01,62.897
2020-01-02,60.7092
2020-01-03,61.1749
2020-01-04,61.1749
2020-01-05,61.1749
2020-01-06,62.4783
2020-01-07,58.309
2020-01-08,55.7787
2020-01-09,54.7108
2020-01-10,52.4266
2020-01-11,52.4266
2020-01-12,52.4266
2020-01-13,53.8754
2020-01-14,52.8351
2020-01-15,53.9392
2020-01-16,52.977
2020-01-17,54.1062
2020-01-18,54.1062
2020-01-19,54.1062
2020-01-20,54.1062
2020-01-21,53.3333
2020-01-22,51.3809
2020-01-23,52.772
2020-01-24,52.22
2020-01-25,52.22
2020-01-26,52.22
2020-01-27,49.9498
2020-01-28,46.0087
2020-01-29,40.1865
2020-01-30,40.1865
2020-01-31,38.4625
2020-02-01,38.4625
2020-02-02,38.4625
2020-02-03,39.2087
2020-02-04,38.9084
2020-02-05,36.1177
2020-02-06,55.1469
2020-02-07,56.0578
2020-02-08,56.0578
2020-02-09,56.0578
2020-02-10,51.8464
2020-02-11,53.1643
2020-02-12,56.3427
2020-02-13,54.432
2020-02-14,54.0807
2020-02-15,54.0807
2020-02-16,54.0807
2020-02-17,54.0807
2020-02-18,52.0645
2020-02-19,51.8576
2020-02-20,51.7866
2020-02-21,52.4596
2020-02-22,52.4596
2020-02-23,52.4596
2020-02-24,51.1306
2020-02-25,46.097
2020-02-26,45.4186
2020-02-27,42.3693
2020-02-28,41.5371
2020-02-29,41.5371
2020-03-01,41.5371
2020-03-02,39.9151
2020-03-03,38.2169
2020-03-04,40.2875
2020-03-05,36.7583
2020-03-06,34.0578
2020-03-07,34.0578
2020-03-08,34.0578
2020-03-09,29.9086
2020-03-10,31.6319
2020-03-11,29.6945
2020-03-12,25.5276
2020-03-13,28.5963
2020-03-14,28.5963
2020-03-15,28.5963
2020-03-16,26.0093
2020-03-17,25.354
2020-03-18,23.0164
2020-03-19,26.6092
2020-03-20,26.7312
2020-03-21,26.7312
2020-03-22,26.7312
2020-03-23,25.8641
2020-03-24,31.7918
2020-03-25,32.7284
2020-03-26,32.4572
2020-03-27,32.3463
2020-03-28,32.3463
2020-03-29,32.3463
2020-03-30,34.7119
2020-03-31,36.2859
2020-04-01,33.4277
2020-04-02,33.2583
2020-04-03,31.9734
2020-04-04,31.9734
2020-04-05,31.9734
2020-04-06,35.7155
2020-04-07,38.0821
2020-04-08,39.365
2020-04-09,40.9348
2020-04-10,40.9348
2020-04-11,40.9348
2020-04-12,40.9348
2020-04-13,40.9858
2020-04-14,44.6437
2020-04-15,41.9536
2020-04-16,39.6175
2020-04-17,42.9063
2020-04-18,42.9063
2020-04-19,42.9063
2020-04-20,42.8717
2020-04-21,43.014
2020-04-22,44.584
2020-04-23,45.1524
2020-04-24,44.7567
2020-04-25,44.7567
2020-04-26,44.7567
2020-04-27,46.8298
2020-04-28,49.9478
2020-04-29,52.4161
2020-04-30,51.6128
2020-05-01,50.8956
2020-05-02,50.8956
2020-05-03,50.8956
2020-05-04,50.308
2020-05-05,50.2387
2020-05-06,50.1198
2020-05-07,54.4478
2020-05-08,53.0249
2020-05-09,53.0249
2020-05-10,53.0249
2020-05-11,51.77
2020-05-12,48.526
2020-05-13,44.0242
2020-05-14,47.3619
2020-05-15,48.0547
2020-05-16,48.0547
2020-05-17,48.0547
2020-05-18,50.4376
2020-05-19,48.818
2020-05-20,49.6229
2020-05-21,49.3273
2020-05-22,49.7696
2020-05-23,49.7696
2020-05-24,49.7696
2020-05-25,49.7696
2020-05-26,51.0082
2020-05-27,53.5073
2020-05-28,51.2169
2020-05-29,51.4748
2020-05-30,51.4748
2020-05-31,51.4748
2020-06-01,52.5979
2020-06-02,54.4842
2020-06-03,55.302
2020-06-04,57.3056
2020-06-05,55.9443
2020-06-06,55.9443
2020-06-07,55.9443
2020-06-08,56.3892
2020-06-09,57.3214
2020-06-10,55.0457
2020-06-11,50.0287
2020-06-12,51.8865
2020-06-13,51.8865
2020-06-14,51.8865
2020-06-15,52.1858
2020-06-16,53.8411
2020-06-17,52.0719
2020-06-18,52.2036
2020-06-19,51.2802
2020-06-20,51.2802
2020-06-21,51.2802
2020-06-22,51.974
2020-06-23,52.717
2020-06-24,49.8734
2020-06-25,49.8247
2020-06-26,48.357
2020-06-27,48.357
2020-06-28,48.357
2020-06-29,49.4356
2020-06-30,50.9985
2020-07-01,50.1705
2020-07-02,50.7903
2020-07-03,50.7903
2020-07-04,50.7903
2020-07-05,50.7903
2020-07-06,51.6204
2020-07-07,49.6702
2020-07-08,50.3707
2020-07-09,49.4399
2020-07-10,50.6062
2020-07-11,50.6062
2020-07-12,50.6062
2020-07-13,48.9917
2020-07-14,53.9211
2020-07-15,55.3459
2020-07-16,53.3549
2020-07-17,53.9425
2020-07-18,53.9425
2020-07-19,53.9425
2020-07-20,54.7775
2020-07-21,57.4087
2020-07-22,55.4998
2020-07-23,55.3807
2020-07-24,54.8935
2020-07-25,54.8935
2020-07-26,54.8935
2020-07-27,56.0924
2020-07-28,54.6523
2020-07-29,56.0726
2020-07-30,54.3738
2020-07-31,55.5854
2020-08-01,55.5854
2020-08-02,55.5854
2020-08-03,56.7236
2020-08-04,58.6249
2020-08-05,58.7211
2020-08-06,62.6109
2020-08-07,62.295
2020-08-08,62.295
2020-08-09,62.295
2020-08-10,63.522
2020-08-11,63.3749
2020-08-12,63.4624
2020-08-13,63.7315
2020-08-14,64.0284
2020-08-15,64.0284
2020-08-16,64.0284
2020-08-17,63.0024
2020-08-18,63.4388
2020-08-19,62.092
2020-08-20,62.8567
2020-08-21,62.0794
2020-08-22,62.0794
2020-08-23,62.0794
2020-08-24,61.2094
2020-08-25,61.709
2020-08-26,60.5437
2020-08-27,60.7208
2020-08-28,61.2604
2020-08-29,61.2604
2020-08-30,61.2604
2020-08-31,59.0238
2020-09-01,55.8592
2020-09-02,62.1561
2020-09-03,64.9794
2020-09-04,64.1404
2020-09-05,64.1404
2020-09-06,64.1404
2020-09-07,64.1404
2020-09-08,63.295
2020-09-09,66.9458
2020-09-10,66.6916
2020-09-11,63.9299
2020-09-12,63.9299
2020-09-13,63.9299
2020-09-14,63.5176
2020-09-15,62.8882
2020-09-16,64.3732
2020-09-17,64.661
2020-09-18,65.6883
2020-09-19,65.6883
2020-09-20,65.6883
2020-09-21,63.8572
2020-09-22,65.5532
2020-09-23,63.7839
2020-09-24,61.3846
2020-09-25,63.1269
2020-09-26,63.1269
2020-09-27,63.1269
2020-09-28,65.8464
2020-09-29,66.0252
2020-09-30,66.2536
2020-10-01,69.0517
2020-10-02,70.3056
2020-10-03,70.3056
2020-10-04,70.3056
2020-10-05,70.8403
2020-10-06,67.091
2020-10-07,67.3886
2020-10-08,68.9646
2020-10-09,69.799
2020-10-10,69.799
2020-10-11,69.799
2020-10-12,66.2041
2020-10-13,66.2917
2020-10-14,61.8159
2020-10-15,61.9145
2020-10-16,59.8382
2020-10-17,59.8382
2020-10-18,59.8382
2020-10-19,64.0583
2020-10-20,64.9249
2020-10-21,64.7231
2020-10-22,64.8361
2020-10-23,65.1137
2020-10-24,65.1137
2020-10-25,65.1137
2020-10-26,59.0099
2020-10-27,57.6491
2020-10-28,53.3494
2020-10-29,59.7793
2020-10-30,54.4988
2020-10-31,54.4988
2020-11-01,54.4988
2020-11-02,54.2454
2020-11-03,55.6214
2020-11-04,57.3597
2020-11-05,59.6407
2020-11-06,59.7248
2020-11-07,59.7248
2020-11-08,59.7248
2020-11-09,55.5904
2020-11-10,58.0708
2020-11-11,58.4915
2020-11-12,57.9501
2020-11-13,59.1666
2020-11-14,59.1666
2020-11-15,59.1666
2020-11-16,59.7686
2020-11-17,58.6818
2020-11-18,57.8498
2020-11-19,58.4129
2020-11-20,59.3034
2020-11-21,59.3034
2020-11-22,59.3034
2020-11-23,60.1398
2020-11-24,60.6511
2020-11-25,63.6342
2020-11-26,63.6342
2020-11-27,61.0975
2020-11-28,61.0975
2020-11-29,61.0975
2020-11-30,59.2974
2020-12-01,60.6768
2020-12-02,60.722
2020-12-03,62.5882
2020-12-04,65.1951
2020-12-05,65.1951
