,VNOM US Equity
,RSI_30D
2020-01-01,48.7744
2020-01-02,53.579
2020-01-03,54.5004
2020-01-04,54.5004
2020-01-05,54.5004
2020-01-06,56.757
2020-01-07,56.6617
2020-01-08,55.0827
2020-01-09,53.313
2020-01-10,51.208
2020-01-11,51.208
2020-01-12,51.208
2020-01-13,50.8544
2020-01-14,48.9321
2020-01-15,47.3743
2020-01-16,47.7002
2020-01-17,45.4145
2020-01-18,45.4145
2020-01-19,45.4145
2020-01-20,45.4145
2020-01-21,44.4138
2020-01-22,43.8935
2020-01-23,41.5685
2020-01-24,39.0373
2020-01-25,39.0373
2020-01-26,39.0373
2020-01-27,37.4109
2020-01-28,38.2795
2020-01-29,43.1274
2020-01-30,42.3664
2020-01-31,38.9785
2020-02-01,38.9785
2020-02-02,38.9785
2020-02-03,38.6586
2020-02-04,42.2376
2020-02-05,46.6487
2020-02-06,45.7452
2020-02-07,42.1013
2020-02-08,42.1013
2020-02-09,42.1013
2020-02-10,40.915
2020-02-11,40.0246
2020-02-12,44.2646
2020-02-13,45.6833
2020-02-14,48.7669
2020-02-15,48.7669
2020-02-16,48.7669
2020-02-17,48.7669
2020-02-18,47.6818
2020-02-19,49.0807
2020-02-20,47.6288
2020-02-21,47.4112
2020-02-22,47.4112
2020-02-23,47.4112
2020-02-24,42.4006
2020-02-25,37.6529
2020-02-26,37.0574
2020-02-27,33.9345
2020-02-28,33.7818
2020-02-29,33.7818
2020-03-01,33.7818
2020-03-02,33.8258
2020-03-03,34.0976
2020-03-04,34.5841
2020-03-05,32.2284
2020-03-06,27.7027
2020-03-07,27.7027
2020-03-08,27.7027
2020-03-09,19.6353
2020-03-10,20.8653
2020-03-11,20.5589
2020-03-12,19.9528
2020-03-13,23.9743
2020-03-14,23.9743
2020-03-15,23.9743
2020-03-16,23.6204
2020-03-17,22.4322
2020-03-18,20.7493
2020-03-19,23.8576
2020-03-20,23.2562
2020-03-21,23.2562
2020-03-22,23.2562
2020-03-23,22.685
2020-03-24,26.2646
2020-03-25,27.37
2020-03-26,27.8961
2020-03-27,26.8401
2020-03-28,26.8401
2020-03-29,26.8401
2020-03-30,27.3145
2020-03-31,29.28
2020-04-01,29.8551
2020-04-02,33.7871
2020-04-03,33.3678
2020-04-04,33.3678
2020-04-05,33.3678
2020-04-06,33.4664
2020-04-07,33.938
2020-04-08,35.9185
2020-04-09,35.0885
2020-04-10,35.0885
2020-04-11,35.0885
2020-04-12,35.0885
2020-04-13,34.6287
2020-04-14,35.5376
2020-04-15,34.4512
2020-04-16,33.181
2020-04-17,34.6265
2020-04-18,34.6265
2020-04-19,34.6265
2020-04-20,34.0924
2020-04-21,34.8351
2020-04-22,36.9659
2020-04-23,38.7866
2020-04-24,38.6507
2020-04-25,38.6507
2020-04-26,38.6507
2020-04-27,38.6507
2020-04-28,39.6684
2020-04-29,40.9079
2020-04-30,42.8584
2020-05-01,41.0596
2020-05-02,41.0596
2020-05-03,41.0596
2020-05-04,41.0596
2020-05-05,39.9513
2020-05-06,39.3754
2020-05-07,40.3459
2020-05-08,42.8688
2020-05-09,42.8688
2020-05-10,42.8688
2020-05-11,43.2567
2020-05-12,42.8354
2020-05-13,41.8308
2020-05-14,41.5558
2020-05-15,42.9356
2020-05-16,42.9356
2020-05-17,42.9356
2020-05-18,47.8326
2020-05-19,47.3203
2020-05-20,50.6723
2020-05-21,50.3124
2020-05-22,50.3853
2020-05-23,50.3853
2020-05-24,50.3853
2020-05-25,50.3853
2020-05-26,51.9889
2020-05-27,50.3068
2020-05-28,50.7934
2020-05-29,50.168
2020-05-30,50.168
2020-05-31,50.168
2020-06-01,50.4049
2020-06-02,52.7666
2020-06-03,53.4434
2020-06-04,54.2718
2020-06-05,58.8819
2020-06-06,58.8819
2020-06-07,58.8819
2020-06-08,61.292
2020-06-09,59.4884
2020-06-10,56.1552
2020-06-11,51.1042
2020-06-12,52.4029
2020-06-13,52.4029
2020-06-14,52.4029
2020-06-15,53.0642
2020-06-16,53.5648
2020-06-17,51.1207
2020-06-18,51.6474
2020-06-19,50.7424
2020-06-20,50.7424
2020-06-21,50.7424
2020-06-22,51.4754
2020-06-23,52.0657
2020-06-24,47.7469
2020-06-25,48.5152
2020-06-26,47.2223
2020-06-27,47.2223
2020-06-28,47.2223
2020-06-29,48.0576
2020-06-30,47.7227
2020-07-01,46.9703
2020-07-02,47.8214
2020-07-03,47.8214
2020-07-04,47.8214
2020-07-05,47.8214
2020-07-06,47.7421
2020-07-07,46.584
2020-07-08,46.3035
2020-07-09,44.1058
2020-07-10,45.9996
2020-07-11,45.9996
2020-07-12,45.9996
2020-07-13,45.0522
2020-07-14,47.1631
2020-07-15,48.1701
2020-07-16,48.5391
2020-07-17,47.4472
2020-07-18,47.4472
2020-07-19,47.4472
2020-07-20,48.1709
2020-07-21,51.3148
2020-07-22,50.5222
2020-07-23,49.2267
2020-07-24,49.5137
2020-07-25,49.5137
2020-07-26,49.5137
2020-07-27,48.6136
2020-07-28,48.043
2020-07-29,49.9668
2020-07-30,49.3205
2020-07-31,48.7188
2020-08-01,48.7188
2020-08-02,48.7188
2020-08-03,49.827
2020-08-04,49.1985
2020-08-05,51.4677
2020-08-06,48.4971
2020-08-07,48.8188
2020-08-08,48.8188
2020-08-09,48.8188
2020-08-10,51.8763
2020-08-11,51.9267
2020-08-12,53.8309
2020-08-13,51.1817
2020-08-14,51.7953
2020-08-15,51.7953
2020-08-16,51.7953
2020-08-17,49.9551
2020-08-18,48.5895
2020-08-19,48.5895
2020-08-20,47.7302
2020-08-21,47.1373
2020-08-22,47.1373
2020-08-23,47.1373
2020-08-24,48.403
2020-08-25,49.1822
2020-08-26,47.7478
2020-08-27,48.1234
2020-08-28,48.6958
2020-08-29,48.6958
2020-08-30,48.6958
2020-08-31,47.906
2020-09-01,47.66
2020-09-02,45.1986
2020-09-03,44.6172
2020-09-04,43.744
2020-09-05,43.744
2020-09-06,43.744
2020-09-07,43.744
2020-09-08,39.9189
2020-09-09,40.2235
2020-09-10,36.9305
2020-09-11,36.0767
2020-09-12,36.0767
2020-09-13,36.0767
2020-09-14,37.0279
2020-09-15,36.5127
2020-09-16,39.0641
2020-09-17,38.6126
2020-09-18,37.662
2020-09-19,37.662
2020-09-20,37.662
2020-09-21,36.5356
2020-09-22,37.2948
2020-09-23,35.5825
2020-09-24,36.4449
2020-09-25,36.0456
2020-09-26,36.0456
2020-09-27,36.0456
2020-09-28,37.9791
2020-09-29,37.6579
2020-09-30,36.7993
2020-10-01,35.8481
2020-10-02,36.9717
2020-10-03,36.9717
2020-10-04,36.9717
2020-10-05,39.5281
2020-10-06,38.5461
2020-10-07,38.5461
2020-10-08,42.5864
2020-10-09,41.4585
2020-10-10,41.4585
2020-10-11,41.4585
2020-10-12,40.9598
2020-10-13,39.4856
2020-10-14,43.2699
2020-10-15,44.1935
2020-10-16,41.9458
2020-10-17,41.9458
2020-10-18,41.9458
2020-10-19,41.3246
2020-10-20,43.2378
2020-10-21,41.765
2020-10-22,42.6437
2020-10-23,42.1828
2020-10-24,42.1828
2020-10-25,42.1828
2020-10-26,40.2538
2020-10-27,40.2538
2020-10-28,36.995
2020-10-29,38.9823
2020-10-30,39.0769
2020-10-31,39.0769
2020-11-01,39.0769
2020-11-02,41.0632
2020-11-03,43.4256
2020-11-04,42.6769
2020-11-05,44.7377
2020-11-06,44.1664
2020-11-07,44.1664
2020-11-08,44.1664
2020-11-09,51.039
2020-11-10,57.7077
2020-11-11,56.7089
2020-11-12,53.4687
2020-11-13,56.2873
2020-11-14,56.2873
2020-11-15,56.2873
2020-11-16,57.9348
2020-11-17,59.7149
2020-11-18,59.8699
2020-11-19,60.7041
2020-11-20,60.9664
2020-11-21,60.9664
2020-11-22,60.9664
2020-11-23,64.8501
2020-11-24,66.8141
2020-11-25,67.2666
2020-11-26,67.2666
2020-11-27,67.1804
2020-11-28,67.1804
2020-11-29,67.1804
2020-11-30,64.9436
2020-12-01,66.0239
2020-12-02,66.3811
2020-12-03,68.2379
2020-12-04,71.6978
2020-12-05,71.6978
2020-12-06,71.6978
2020-12-07,69.9834
2020-12-08,70.0205
2020-12-09,69.7531
2020-12-10,71.0493
2020-12-11,70.1348
2020-12-12,70.1348
2020-12-13,70.1348
2020-12-14,66.3367
2020-12-15,67.6435
2020-12-16,66.1022
2020-12-17,65.7577
2020-12-18,65.7577
2020-12-19,65.7577
2020-12-20,65.7577
2020-12-21,59.9873
2020-12-22,55.3958
2020-12-23,58.8601
2020-12-24,58.1626
2020-12-25,58.1626
2020-12-26,58.1626
2020-12-27,58.1626
2020-12-28,57.7379
2020-12-29,56.4586
2020-12-30,55.8189
2020-12-31,56.6655
2021-01-01,56.6655
2021-01-02,56.6655
2021-01-03,56.6655
2021-01-04,59.6514
2021-01-05,62.3361
2021-01-06,63.7614
2021-01-07,66.9183
2021-01-08,65.9281
2021-01-09,65.9281
2021-01-10,65.9281
2021-01-11,64.8589
2021-01-12,69.4688
2021-01-13,65.919
2021-01-14,66.9667
2021-01-15,65.4405
2021-01-16,65.4405
2021-01-17,65.4405
2021-01-18,65.4405
2021-01-19,66.5517
