,TDS US Equity
,RSI_30D
2020-01-01,52.4534
2020-01-02,51.6326
2020-01-03,50.3292
2020-01-04,50.3292
2020-01-05,50.3292
2020-01-06,49.7339
2020-01-07,47.3631
2020-01-08,48.4367
2020-01-09,48.1692
2020-01-10,46.6245
2020-01-11,46.6245
2020-01-12,46.6245
2020-01-13,48.8481
2020-01-14,48.906
2020-01-15,49.4979
2020-01-16,53.0427
2020-01-17,52.4981
2020-01-18,52.4981
2020-01-19,52.4981
2020-01-20,52.4981
2020-01-21,51.1697
2020-01-22,52.3047
2020-01-23,51.5608
2020-01-24,48.5825
2020-01-25,48.5825
2020-01-26,48.5825
2020-01-27,44.6352
2020-01-28,46.5769
2020-01-29,42.4828
2020-01-30,42.3468
2020-01-31,39.1509
2020-02-01,39.1509
2020-02-02,39.1509
2020-02-03,42.4882
2020-02-04,43.9904
2020-02-05,46.3329
2020-02-06,47.5223
2020-02-07,47.227
2020-02-08,47.227
2020-02-09,47.227
2020-02-10,45.333
2020-02-11,49.719
2020-02-12,51.2008
2020-02-13,48.8194
2020-02-14,47.5794
2020-02-15,47.5794
2020-02-16,47.5794
2020-02-17,47.5794
2020-02-18,51.3184
2020-02-19,52.9183
2020-02-20,53.1459
2020-02-21,40.8816
2020-02-22,40.8816
2020-02-23,40.8816
2020-02-24,39.2872
2020-02-25,36.3007
2020-02-26,39.3285
2020-02-27,35.5658
2020-02-28,36.5824
2020-02-29,36.5824
2020-03-01,36.5824
2020-03-02,39.4609
2020-03-03,37.8941
2020-03-04,39.6176
2020-03-05,36.0118
2020-03-06,37.0072
2020-03-07,37.0072
2020-03-08,37.0072
2020-03-09,31.9696
2020-03-10,33.0132
2020-03-11,30.8831
2020-03-12,29.2259
2020-03-13,35.2195
2020-03-14,35.2195
2020-03-15,35.2195
2020-03-16,34.5319
2020-03-17,41.3437
2020-03-18,39.0301
2020-03-19,42.6419
2020-03-20,38.2896
2020-03-21,38.2896
2020-03-22,38.2896
2020-03-23,37.1636
2020-03-24,41.9776
2020-03-25,40.7922
2020-03-26,42.448
2020-03-27,41.8703
2020-03-28,41.8703
2020-03-29,41.8703
2020-03-30,41.5495
2020-03-31,41.3759
2020-04-01,39.246
2020-04-02,39.1353
2020-04-03,42.0912
2020-04-04,42.0912
2020-04-05,42.0912
2020-04-06,43.7857
2020-04-07,42.8994
2020-04-08,46.0769
2020-04-09,46.3576
2020-04-10,46.3576
2020-04-11,46.3576
2020-04-12,46.3576
2020-04-13,47.5642
