,EQT US Equity
,RSI_30D
2020-01-01,56.8823
2020-01-02,53.3314
2020-01-03,53.2042
2020-01-04,53.2042
2020-01-05,53.2042
2020-01-06,53.8871
2020-01-07,52.7587
2020-01-08,45.9646
2020-01-09,45.3398
2020-01-10,44.4542
2020-01-11,44.4542
2020-01-12,44.4542
2020-01-13,42.1022
2020-01-14,43.6764
2020-01-15,42.9219
2020-01-16,43.5274
2020-01-17,41.9419
2020-01-18,41.9419
2020-01-19,41.9419
2020-01-20,41.9419
2020-01-21,39.2689
2020-01-22,38.0158
2020-01-23,36.8009
2020-01-24,34.8661
2020-01-25,34.8661
2020-01-26,34.8661
2020-01-27,34.6257
2020-01-28,35.3177
2020-01-29,32.952
2020-01-30,33.7303
2020-01-31,33.1726
2020-02-01,33.1726
2020-02-02,33.1726
2020-02-03,32.5757
2020-02-04,31.8638
2020-02-05,34.1784
2020-02-06,31.934
2020-02-07,31.4007
2020-02-08,31.4007
2020-02-09,31.4007
2020-02-10,30.6814
2020-02-11,30.8539
2020-02-12,32.1635
2020-02-13,33.56
2020-02-14,33.0324
2020-02-15,33.0324
2020-02-16,33.0324
2020-02-17,33.0324
2020-02-18,36.3942
2020-02-19,38.2843
2020-02-20,39.0983
2020-02-21,38.0597
2020-02-22,38.0597
2020-02-23,38.0597
2020-02-24,36.5531
2020-02-25,34.8863
2020-02-26,33.9706
2020-02-27,37.5325
2020-02-28,41.3509
2020-02-29,41.3509
2020-03-01,41.3509
2020-03-02,42.8984
2020-03-03,43.4132
2020-03-04,43.1831
2020-03-05,44.9932
2020-03-06,45.2937
2020-03-07,45.2937
2020-03-08,45.2937
2020-03-09,50.0242
2020-03-10,50.0242
2020-03-11,48.8107
2020-03-12,49.2354
2020-03-13,62.9572
2020-03-14,62.9572
2020-03-15,62.9572
2020-03-16,57.7224
2020-03-17,60.6254
2020-03-18,56.6046
2020-03-19,53.4951
2020-03-20,50.5295
2020-03-21,50.5295
2020-03-22,50.5295
2020-03-23,44.854
2020-03-24,49.8433
2020-03-25,51.668
2020-03-26,48.7264
2020-03-27,48.5038
2020-03-28,48.5038
2020-03-29,48.5038
2020-03-30,48.8262
2020-03-31,49.1964
2020-04-01,50.1499
2020-04-02,52.5147
2020-04-03,55.7534
2020-04-04,55.7534
2020-04-05,55.7534
2020-04-06,59.0073
2020-04-07,61.9053
2020-04-08,62.1569
2020-04-09,62.0627
2020-04-10,62.0627
2020-04-11,62.0627
2020-04-12,62.0627
2020-04-13,66.3153
2020-04-14,67.3272
2020-04-15,67.7698
2020-04-16,66.5911
2020-04-17,67.9371
2020-04-18,67.9371
2020-04-19,67.9371
2020-04-20,72.4308
2020-04-21,72.449
2020-04-22,66.4462
2020-04-23,59.6661
2020-04-24,61.721
2020-04-25,61.721
2020-04-26,61.721
2020-04-27,62.6068
2020-04-28,61.1432
2020-04-29,62.7209
2020-04-30,63.8068
2020-05-01,62.9719
2020-05-02,62.9719
2020-05-03,62.9719
2020-05-04,63.9263
2020-05-05,62.116
2020-05-06,59.519
2020-05-07,59.4823
2020-05-08,60.4178
2020-05-09,60.4178
2020-05-10,60.4178
2020-05-11,57.3804
2020-05-12,55.5826
2020-05-13,54.8161
2020-05-14,55.1072
2020-05-15,55.6977
2020-05-16,55.6977
2020-05-17,55.6977
2020-05-18,56.1157
2020-05-19,55.8045
2020-05-20,57.4229
2020-05-21,56.7736
2020-05-22,58.5028
2020-05-23,58.5028
2020-05-24,58.5028
2020-05-25,58.5028
2020-05-26,61.3377
2020-05-27,58.9455
2020-05-28,55.8381
2020-05-29,55.7241
2020-05-30,55.7241
2020-05-31,55.7241
2020-06-01,53.94
2020-06-02,55.5682
2020-06-03,57.019
2020-06-04,58.2814
2020-06-05,60.3278
2020-06-06,60.3278
2020-06-07,60.3278
2020-06-08,64.8699
2020-06-09,62.2536
2020-06-10,58.3441
2020-06-11,56.6093
2020-06-12,56.9798
2020-06-13,56.9798
2020-06-14,56.9798
2020-06-15,55.5089
2020-06-16,54.4359
2020-06-17,54.226
2020-06-18,53.0275
2020-06-19,50.4492
2020-06-20,50.4492
2020-06-21,50.4492
2020-06-22,48.6153
2020-06-23,48.2967
2020-06-24,47.46
2020-06-25,45.5451
2020-06-26,43.3783
2020-06-27,43.3783
2020-06-28,43.3783
2020-06-29,44.9013
2020-06-30,47.8729
2020-07-01,46.4536
2020-07-02,50.512
2020-07-03,50.512
2020-07-04,50.512
2020-07-05,50.512
2020-07-06,53.2816
2020-07-07,54.6097
2020-07-08,52.1308
2020-07-09,51.6837
2020-07-10,51.197
2020-07-11,51.197
2020-07-12,51.197
2020-07-13,49.4936
2020-07-14,49.8842
2020-07-15,50.3476
2020-07-16,50.0399
2020-07-17,49.415
2020-07-18,49.415
2020-07-19,49.415
2020-07-20,49.028
2020-07-21,52.4922
2020-07-22,51.2902
2020-07-23,55.1533
2020-07-24,54.928
2020-07-25,54.928
2020-07-26,54.928
2020-07-27,52.1369
2020-07-28,53.4568
2020-07-29,55.5298
2020-07-30,54.5912
2020-07-31,55.4634
2020-08-01,55.4634
2020-08-02,55.4634
2020-08-03,58.8775
2020-08-04,59.6703
2020-08-05,60.6973
2020-08-06,60.6133
2020-08-07,62.8231
2020-08-08,62.8231
2020-08-09,62.8231
2020-08-10,62.7792
2020-08-11,58.8245
2020-08-12,59.2245
2020-08-13,57.6518
2020-08-14,60.4267
2020-08-15,60.4267
2020-08-16,60.4267
2020-08-17,60.8372
2020-08-18,58.4134
2020-08-19,58.7068
2020-08-20,55.5829
2020-08-21,56.1472
2020-08-22,56.1472
2020-08-23,56.1472
2020-08-24,57.2095
2020-08-25,57.1674
2020-08-26,54.3122
2020-08-27,55.8654
2020-08-28,55.3272
2020-08-29,55.3272
2020-08-30,55.3272
2020-08-31,54.6982
2020-09-01,53.5643
2020-09-02,51.3614
2020-09-03,52.2271
2020-09-04,52.4933
2020-09-05,52.4933
2020-09-06,52.4933
2020-09-07,52.4933
2020-09-08,49.0215
2020-09-09,50.0935
2020-09-10,47.4192
2020-09-11,47.27
2020-09-12,47.27
2020-09-13,47.27
2020-09-14,48.1143
2020-09-15,48.2001
2020-09-16,50.3653
2020-09-17,49.6082
2020-09-18,51.9335
2020-09-19,51.9335
2020-09-20,51.9335
2020-09-21,53.171
2020-09-22,49.9927
2020-09-23,48.6907
2020-09-24,49.0766
2020-09-25,46.6184
2020-09-26,46.6184
2020-09-27,46.6184
2020-09-28,47.157
2020-09-29,42.8687
2020-09-30,43.2862
2020-10-01,42.3959
2020-10-02,42.64
2020-10-03,42.64
2020-10-04,42.64
2020-10-05,47.0931
2020-10-06,46.2041
2020-10-07,49.0997
2020-10-08,50.6182
2020-10-09,51.3886
2020-10-10,51.3886
2020-10-11,51.3886
2020-10-12,54.1535
2020-10-13,53.4886
2020-10-14,51.7363
2020-10-15,52.7374
2020-10-16,51.0292
2020-10-17,51.0292
2020-10-18,51.0292
2020-10-19,50.811
2020-10-20,52.3705
2020-10-21,51.4582
2020-10-22,55.3598
2020-10-23,56.6601
2020-10-24,56.6601
2020-10-25,56.6601
2020-10-26,54.2322
2020-10-27,56.2106
2020-10-28,54.4644
2020-10-29,53.514
2020-10-30,51.6065
2020-10-31,51.6065
2020-11-01,51.6065
2020-11-02,52.9383
2020-11-03,50.2917
2020-11-04,47.6267
2020-11-05,47.8864
