,COP US Equity
,RSI_30D
2020-01-01,66.3641
2020-01-02,67.0846
2020-01-03,67.4867
2020-01-04,67.4867
2020-01-05,67.4867
2020-01-06,68.7694
2020-01-07,68.7694
2020-01-08,63.4781
2020-01-09,65.4935
2020-01-10,63.4113
2020-01-11,63.4113
2020-01-12,63.4113
2020-01-13,62.4943
2020-01-14,62.5136
2020-01-15,62.0503
2020-01-16,62.1952
2020-01-17,62.1952
2020-01-18,62.1952
2020-01-19,62.1952
2020-01-20,62.1952
2020-01-21,58.6349
2020-01-22,55.4163
2020-01-23,55.7367
2020-01-24,54.1273
2020-01-25,54.1273
2020-01-26,54.1273
2020-01-27,49.6237
2020-01-28,50.005
2020-01-29,48.1469
2020-01-30,49.2772
2020-01-31,45.5299
2020-02-01,45.5299
2020-02-02,45.5299
2020-02-03,44.9247
2020-02-04,39.1348
2020-02-05,45.3388
2020-02-06,44.5793
2020-02-07,43.7193
2020-02-08,43.7193
2020-02-09,43.7193
2020-02-10,43.4714
2020-02-11,45.7007
2020-02-12,48.3354
2020-02-13,47.1549
2020-02-14,46.7011
2020-02-15,46.7011
2020-02-16,46.7011
2020-02-17,46.7011
2020-02-18,45.9689
2020-02-19,48.476
2020-02-20,47.5721
2020-02-21,46.5328
2020-02-22,46.5328
2020-02-23,46.5328
2020-02-24,42.0802
2020-02-25,37.4869
2020-02-26,33.5366
2020-02-27,28.7728
2020-02-28,31.965
2020-02-29,31.965
2020-03-01,31.965
2020-03-02,33.8897
2020-03-03,32.583
2020-03-04,35.6138
2020-03-05,33.5531
2020-03-06,31.0102
2020-03-07,31.0102
2020-03-08,31.0102
2020-03-09,22.5941
2020-03-10,24.1265
2020-03-11,22.7897
2020-03-12,20.5736
2020-03-13,26.0028
2020-03-14,26.0028
2020-03-15,26.0028
2020-03-16,23.2613
2020-03-17,23.5289
2020-03-18,21.8681
2020-03-19,26.2598
2020-03-20,28.0507
2020-03-21,28.0507
2020-03-22,28.0507
2020-03-23,26.8164
2020-03-24,34.8346
2020-03-25,35.0724
2020-03-26,36.4516
2020-03-27,34.5752
2020-03-28,34.5752
2020-03-29,34.5752
2020-03-30,34.6243
2020-03-31,36.4832
2020-04-01,35.6634
2020-04-02,40.6229
2020-04-03,39.9098
2020-04-04,39.9098
2020-04-05,39.9098
2020-04-06,39.8261
2020-04-07,40.379
2020-04-08,43.15
2020-04-09,42.3474
2020-04-10,42.3474
2020-04-11,42.3474
2020-04-12,42.3474
2020-04-13,41.9818
2020-04-14,41.7908
2020-04-15,40.1752
2020-04-16,39.2322
2020-04-17,44.2517
2020-04-18,44.2517
2020-04-19,44.2517
2020-04-20,43.6377
2020-04-21,42.4198
2020-04-22,44.4983
2020-04-23,45.8538
2020-04-24,45.767
2020-04-25,45.767
2020-04-26,45.767
2020-04-27,46.9886
2020-04-28,48.4944
2020-04-29,52.4158
2020-04-30,52.2943
2020-05-01,49.1254
2020-05-02,49.1254
2020-05-03,49.1254
