,UBSI US Equity
,RSI_30D
2020-01-01,52.9664
2020-01-02,53.2088
2020-01-03,49.7601
2020-01-04,49.7601
2020-01-05,49.7601
2020-01-06,48.7543
2020-01-07,44.829
2020-01-08,46.5563
2020-01-09,45.9835
2020-01-10,44.2922
2020-01-11,44.2922
2020-01-12,44.2922
2020-01-13,46.8536
2020-01-14,46.3891
2020-01-15,45.6862
2020-01-16,50.0568
2020-01-17,48.4321
2020-01-18,48.4321
2020-01-19,48.4321
2020-01-20,48.4321
2020-01-21,44.7071
2020-01-22,45.163
2020-01-23,45.2297
2020-01-24,41.8088
2020-01-25,41.8088
2020-01-26,41.8088
2020-01-27,37.8455
2020-01-28,37.2989
2020-01-29,32.6467
2020-01-30,37.2195
2020-01-31,34.7444
2020-02-01,34.7444
2020-02-02,34.7444
2020-02-03,34.7444
2020-02-04,37.3806
2020-02-05,41.5939
2020-02-06,39.5619
2020-02-07,37.4064
2020-02-08,37.4064
2020-02-09,37.4064
2020-02-10,37.8657
2020-02-11,38.1591
2020-02-12,38.6386
2020-02-13,38.8227
2020-02-14,38.1131
2020-02-15,38.1131
2020-02-16,38.1131
2020-02-17,38.1131
2020-02-18,35.8536
2020-02-19,35.7076
2020-02-20,38.8624
2020-02-21,36.1998
2020-02-22,36.1998
2020-02-23,36.1998
2020-02-24,32.9441
2020-02-25,29.9085
2020-02-26,29.8821
2020-02-27,26.4979
2020-02-28,24.1902
2020-02-29,24.1902
2020-03-01,24.1902
2020-03-02,33.3547
2020-03-03,31.7136
2020-03-04,32.1929
2020-03-05,29.0498
2020-03-06,28.2643
2020-03-07,28.2643
2020-03-08,28.2643
2020-03-09,22.1333
2020-03-10,28.0211
2020-03-11,24.8087
2020-03-12,23.0735
2020-03-13,31.0902
2020-03-14,31.0902
2020-03-15,31.0902
2020-03-16,28.3903
2020-03-17,35.9237
2020-03-18,33.4618
2020-03-19,36.1495
2020-03-20,32.7195
2020-03-21,32.7195
2020-03-22,32.7195
2020-03-23,33.3372
2020-03-24,37.9434
2020-03-25,37.4236
2020-03-26,39.8759
2020-03-27,37.5536
2020-03-28,37.5536
2020-03-29,37.5536
2020-03-30,39.6347
2020-03-31,39.675
2020-04-01,39.0534
2020-04-02,39.5222
2020-04-03,38.3031
2020-04-04,38.3031
2020-04-05,38.3031
2020-04-06,41.6063
2020-04-07,42.6048
2020-04-08,44.8161
2020-04-09,47.9026
2020-04-10,47.9026
2020-04-11,47.9026
2020-04-12,47.9026
2020-04-13,45.6305
2020-04-14,45.3796
2020-04-15,42.7933
2020-04-16,42.2801
2020-04-17,46.2257
2020-04-18,46.2257
2020-04-19,46.2257
2020-04-20,46.7712
2020-04-21,46.0781
2020-04-22,45.4143
2020-04-23,46.2158
2020-04-24,47.9328
2020-04-25,47.9328
2020-04-26,47.9328
2020-04-27,52.7218
2020-04-28,53.4359
2020-04-29,56.5092
2020-04-30,54.3283
2020-05-01,52.7969
2020-05-02,52.7969
2020-05-03,52.7969
2020-05-04,51.6973
2020-05-05,49.9612
2020-05-06,48.3976
2020-05-07,47.8314
2020-05-08,49.6763
2020-05-09,49.6763
2020-05-10,49.6763
2020-05-11,48.5553
2020-05-12,46.3736
2020-05-13,44.0153
2020-05-14,43.741
2020-05-15,43.4299
2020-05-16,43.4299
2020-05-17,43.4299
2020-05-18,48.2293
2020-05-19,45.9413
2020-05-20,49.0864
2020-05-21,48.8252
2020-05-22,48.3594
2020-05-23,48.3594
2020-05-24,48.3594
2020-05-25,48.3594
2020-05-26,51.9504
2020-05-27,55.5269
2020-05-28,54.4999
2020-05-29,53.3042
2020-05-30,53.3042
2020-05-31,53.3042
2020-06-01,52.8281
2020-06-02,52.38
2020-06-03,54.1037
2020-06-04,54.6512
2020-06-05,57.7846
2020-06-06,57.7846
2020-06-07,57.7846
2020-06-08,58.1594
2020-06-09,57.3292
2020-06-10,52.5764
2020-06-11,48.3928
2020-06-12,48.8976
2020-06-13,48.8976
2020-06-14,48.8976
2020-06-15,50.3869
2020-06-16,52.6944
2020-06-17,50.81
2020-06-18,50.9245
2020-06-19,49.8779
2020-06-20,49.8779
2020-06-21,49.8779
2020-06-22,49.567
2020-06-23,48.4558
2020-06-24,46.827
2020-06-25,49.2007
2020-06-26,46.5825
2020-06-27,46.5825
2020-06-28,46.5825
2020-06-29,49.4201
2020-06-30,50.4414
2020-07-01,48.6463
2020-07-02,48.3107
2020-07-03,48.3107
2020-07-04,48.3107
2020-07-05,48.3107
2020-07-06,48.9483
2020-07-07,47.3431
2020-07-08,47.1197
2020-07-09,45.2014
2020-07-10,47.882
2020-07-11,47.882
2020-07-12,47.882
