,AJRD US Equity
,RSI_30D
2020-01-01,51.7994
2020-01-02,56.0819
2020-01-03,61.6718
2020-01-04,61.6718
2020-01-05,61.6718
2020-01-06,61.9588
2020-01-07,69.0606
2020-01-08,69.5655
2020-01-09,69.9995
2020-01-10,68.1968
2020-01-11,68.1968
2020-01-12,68.1968
2020-01-13,70.4318
2020-01-14,68.0397
2020-01-15,68.5639
2020-01-16,69.0145
2020-01-17,67.8821
2020-01-18,67.8821
2020-01-19,67.8821
2020-01-20,67.8821
2020-01-21,61.7135
2020-01-22,62.2272
2020-01-23,61.9654
2020-01-24,61.5067
2020-01-25,61.5067
2020-01-26,61.5067
2020-01-27,64.414
2020-01-28,65.3241
2020-01-29,63.4122
2020-01-30,63.4799
2020-01-31,60.5442
2020-02-01,60.5442
2020-02-02,60.5442
2020-02-03,58.4826
2020-02-04,61.7987
2020-02-05,63.5865
2020-02-06,63.715
2020-02-07,64.1514
2020-02-08,64.1514
2020-02-09,64.1514
2020-02-10,64.3068
2020-02-11,64.5566
2020-02-12,66.2237
2020-02-13,67.4893
2020-02-14,68.4276
2020-02-15,68.4276
2020-02-16,68.4276
2020-02-17,68.4276
2020-02-18,59.3388
2020-02-19,57.7583
2020-02-20,60.6209
2020-02-21,60.0102
2020-02-22,60.0102
2020-02-23,60.0102
2020-02-24,55.7496
2020-02-25,50.8544
2020-02-26,50.457
2020-02-27,48.9532
2020-02-28,46.1101
2020-02-29,46.1101
2020-03-01,46.1101
2020-03-02,50.5653
2020-03-03,48.7842
2020-03-04,54.4259
2020-03-05,48.0847
2020-03-06,45.523
2020-03-07,45.523
2020-03-08,45.523
2020-03-09,40.1846
2020-03-10,40.207
2020-03-11,37.2553
2020-03-12,31.2519
2020-03-13,41.042
2020-03-14,41.042
2020-03-15,41.042
2020-03-16,33.6536
2020-03-17,39.6141
2020-03-18,38.9893
2020-03-19,41.4719
2020-03-20,39.5073
2020-03-21,39.5073
2020-03-22,39.5073
2020-03-23,39.0358
2020-03-24,42.2003
2020-03-25,39.8768
2020-03-26,46.0145
2020-03-27,44.0933
2020-03-28,44.0933
2020-03-29,44.0933
2020-03-30,46.5766
2020-03-31,45.3682
2020-04-01,44.0419
2020-04-02,45.3901
2020-04-03,44.6209
2020-04-04,44.6209
2020-04-05,44.6209
2020-04-06,48.127
2020-04-07,46.1981
2020-04-08,47.9029
2020-04-09,47.8931
2020-04-10,47.8931
2020-04-11,47.8931
2020-04-12,47.8931
2020-04-13,47.1485
2020-04-14,48.1383
2020-04-15,45.8146
2020-04-16,46.5252
2020-04-17,48.3666
2020-04-18,48.3666
2020-04-19,48.3666
2020-04-20,46.9905
2020-04-21,45.4626
2020-04-22,46.1376
2020-04-23,45.3132
2020-04-24,46.9123
2020-04-25,46.9123
2020-04-26,46.9123
2020-04-27,46.677
2020-04-28,47.5431
2020-04-29,47.7188
2020-04-30,46.298
2020-05-01,46.0805
2020-05-02,46.0805
2020-05-03,46.0805
2020-05-04,45.0099
2020-05-05,45.7943
2020-05-06,45.0348
2020-05-07,45.2988
2020-05-08,47.2638
2020-05-09,47.2638
2020-05-10,47.2638
2020-05-11,46.3327
2020-05-12,44.5422
2020-05-13,45.2415
2020-05-14,44.1034
2020-05-15,43.8401
2020-05-16,43.8401
2020-05-17,43.8401
2020-05-18,46.5888
2020-05-19,46.0953
2020-05-20,46.8508
2020-05-21,47.3123
2020-05-22,46.4491
2020-05-23,46.4491
2020-05-24,46.4491
2020-05-25,46.4491
2020-05-26,48.2559
2020-05-27,52.8789
2020-05-28,51.7596
2020-05-29,51.99
2020-05-30,51.99
2020-05-31,51.99
2020-06-01,51.6708
2020-06-02,51.6862
2020-06-03,53.2221
2020-06-04,54.1273
2020-06-05,54.4314
2020-06-06,54.4314
2020-06-07,54.4314
2020-06-08,55.2898
2020-06-09,55.4912
2020-06-10,51.8145
2020-06-11,46.6038
2020-06-12,46.5288
2020-06-13,46.5288
2020-06-14,46.5288
2020-06-15,46.8822
2020-06-16,48.4677
2020-06-17,47.173
2020-06-18,46.137
2020-06-19,43.8533
2020-06-20,43.8533
2020-06-21,43.8533
2020-06-22,47.3626
2020-06-23,45.776
2020-06-24,44.7909
2020-06-25,47.0587
2020-06-26,44.5401
2020-06-27,44.5401
2020-06-28,44.5401
2020-06-29,47.8061
2020-06-30,46.1288
2020-07-01,45.3634
2020-07-02,44.9124
2020-07-03,44.9124
2020-07-04,44.9124
2020-07-05,44.9124
2020-07-06,44.8381
2020-07-07,42.591
2020-07-08,41.8859
2020-07-09,40.3519
2020-07-10,41.1553
2020-07-11,41.1553
2020-07-12,41.1553
2020-07-13,40.4785
2020-07-14,41.6369
2020-07-15,45.6793
2020-07-16,45.8106
2020-07-17,45.6313
2020-07-18,45.6313
2020-07-19,45.6313
2020-07-20,44.2944
2020-07-21,44.7032
2020-07-22,46.4511
2020-07-23,45.91
2020-07-24,44.6093
2020-07-25,44.6093
2020-07-26,44.6093
2020-07-27,43.7879
2020-07-28,54.437
2020-07-29,51.1682
2020-07-30,50.6277
2020-07-31,51.9019
2020-08-01,51.9019
2020-08-02,51.9019
2020-08-03,50.9163
2020-08-04,54.5064
2020-08-05,55.1185
2020-08-06,54.2201
2020-08-07,55.1577
