,AZTA US Equity
,RSI_30D
2020-01-01,52.7477
2020-01-02,54.7552
2020-01-03,54.0976
2020-01-04,54.0976
2020-01-05,54.0976
2020-01-06,49.4214
2020-01-07,50.9069
2020-01-08,51.1064
2020-01-09,52.6762
2020-01-10,50.6618
2020-01-11,50.6618
2020-01-12,50.6618
2020-01-13,52.5818
2020-01-14,53.6331
2020-01-15,54.5896
2020-01-16,56.7435
2020-01-17,55.3721
2020-01-18,55.3721
2020-01-19,55.3721
2020-01-20,55.3721
2020-01-21,53.4069
2020-01-22,52.155
2020-01-23,50.8847
2020-01-24,48.7666
2020-01-25,48.7666
2020-01-26,48.7666
2020-01-27,44.743
2020-01-28,46.1534
2020-01-29,43.9333
2020-01-30,44.8967
2020-01-31,43.3554
2020-02-01,43.3554
2020-02-02,43.3554
2020-02-03,44.5669
2020-02-04,45.7912
2020-02-05,47.4573
2020-02-06,49.3974
2020-02-07,46.4138
2020-02-08,46.4138
2020-02-09,46.4138
2020-02-10,52.3664
2020-02-11,53.2806
2020-02-12,53.4085
2020-02-13,53.5401
2020-02-14,50.7563
2020-02-15,50.7563
2020-02-16,50.7563
2020-02-17,50.7563
2020-02-18,48.7571
2020-02-19,50.5969
2020-02-20,47.4068
2020-02-21,44.5749
2020-02-22,44.5749
2020-02-23,44.5749
2020-02-24,42.046
2020-02-25,39.3416
2020-02-26,39.2499
2020-02-27,37.7055
2020-02-28,39.091
2020-02-29,39.091
2020-03-01,39.091
2020-03-02,40.296
2020-03-03,38.575
2020-03-04,43.0104
2020-03-05,41.3023
2020-03-06,39.8654
2020-03-07,39.8654
2020-03-08,39.8654
2020-03-09,35.6568
2020-03-10,38.5187
2020-03-11,36.9494
2020-03-12,33.6949
2020-03-13,34.9662
2020-03-14,34.9662
2020-03-15,34.9662
2020-03-16,30.8947
2020-03-17,33.1144
2020-03-18,30.2226
2020-03-19,30.6056
2020-03-20,30.8536
2020-03-21,30.8536
2020-03-22,30.8536
2020-03-23,32.7592
2020-03-24,40.5845
2020-03-25,40.8692
2020-03-26,44.7973
2020-03-27,43.2503
2020-03-28,43.2503
2020-03-29,43.2503
2020-03-30,44.8332
2020-03-31,44.7952
2020-04-01,43.1792
2020-04-02,43.0787
2020-04-03,39.9529
2020-04-04,39.9529
2020-04-05,39.9529
2020-04-06,46.5566
2020-04-07,46.1639
2020-04-08,47.7592
2020-04-09,46.3387
2020-04-10,46.3387
2020-04-11,46.3387
2020-04-12,46.3387
2020-04-13,46.4857
2020-04-14,52.081
2020-04-15,48.9578
2020-04-16,50.6583
2020-04-17,51.0458
2020-04-18,51.0458
2020-04-19,51.0458
2020-04-20,50.9656
2020-04-21,49.8196
2020-04-22,51.8489
2020-04-23,51.5688
2020-04-24,52.2363
2020-04-25,52.2363
2020-04-26,52.2363
2020-04-27,54.2956
2020-04-28,56.0689
2020-04-29,60.1919
2020-04-30,55.6662
2020-05-01,51.3848
2020-05-02,51.3848
2020-05-03,51.3848
2020-05-04,51.5246
2020-05-05,52.8685
2020-05-06,53.4375
2020-05-07,54.6624
2020-05-08,56.0064
2020-05-09,56.0064
2020-05-10,56.0064
2020-05-11,55.8768
2020-05-12,55.9822
2020-05-13,55.1198
2020-05-14,55.2574
2020-05-15,53.4243
2020-05-16,53.4243
2020-05-17,53.4243
2020-05-18,55.4171
2020-05-19,55.6073
2020-05-20,57.339
2020-05-21,56.6924
2020-05-22,57.6426
2020-05-23,57.6426
2020-05-24,57.6426
2020-05-25,57.6426
2020-05-26,57.9606
2020-05-27,58.9179
2020-05-28,55.5998
2020-05-29,55.4129
2020-05-30,55.4129
2020-05-31,55.4129
2020-06-01,56.6198
2020-06-02,56.9077
2020-06-03,58.8454
2020-06-04,59.6554
2020-06-05,60.5619
2020-06-06,60.5619
2020-06-07,60.5619
2020-06-08,60.2219
2020-06-09,60.2626
2020-06-10,60.8296
2020-06-11,51.7565
2020-06-12,52.6712
2020-06-13,52.6712
2020-06-14,52.6712
2020-06-15,53.7276
2020-06-16,56.3268
2020-06-17,56.8068
2020-06-18,57.0856
2020-06-19,56.4821
2020-06-20,56.4821
2020-06-21,56.4821
2020-06-22,56.3858
2020-06-23,57.7213
2020-06-24,57.0848
2020-06-25,58.3077
2020-06-26,54.986
2020-06-27,54.986
2020-06-28,54.986
2020-06-29,56.0927
2020-06-30,58.1182
2020-07-01,56.5782
2020-07-02,58.0564
2020-07-03,58.0564
2020-07-04,58.0564
2020-07-05,58.0564
2020-07-06,58.3821
2020-07-07,56.3453
2020-07-08,58.2479
2020-07-09,58.7831
2020-07-10,58.7831
2020-07-11,58.7831
2020-07-12,58.7831
2020-07-13,57.4264
2020-07-14,58.0563
2020-07-15,58.6407
2020-07-16,56.2319
2020-07-17,57.4978
2020-07-18,57.4978
2020-07-19,57.4978
2020-07-20,59.3001
2020-07-21,58.6053
2020-07-22,59.6169
2020-07-23,57.6426
2020-07-24,53.195
2020-07-25,53.195
2020-07-26,53.195
2020-07-27,56.7794
2020-07-28,55.1786
2020-07-29,57.1187
2020-07-30,58.796
2020-07-31,67.367
2020-08-01,67.367
2020-08-02,67.367
2020-08-03,67.4846
2020-08-04,68.8722
2020-08-05,69.5146
2020-08-06,69.5146
2020-08-07,68.6732
2020-08-08,68.6732
2020-08-09,68.6732
2020-08-10,66.5462
2020-08-11,65.1053
2020-08-12,66.3322
2020-08-13,65.6097
2020-08-14,64.422
2020-08-15,64.422
2020-08-16,64.422
2020-08-17,64.8004
2020-08-18,60.6056
2020-08-19,57.712
2020-08-20,56.6766
2020-08-21,56.0029
2020-08-22,56.0029
2020-08-23,56.0029
2020-08-24,56.6427
2020-08-25,56.7665
2020-08-26,57.8108
2020-08-27,55.9132
2020-08-28,57.7423
2020-08-29,57.7423
2020-08-30,57.7423
2020-08-31,56.3049
2020-09-01,57.4483
2020-09-02,58.2027
2020-09-03,50.592
2020-09-04,47.9982
2020-09-05,47.9982
2020-09-06,47.9982
2020-09-07,47.9982
2020-09-08,43.7829
2020-09-09,44.8207
2020-09-10,42.9043
2020-09-11,41.8055
2020-09-12,41.8055
2020-09-13,41.8055
2020-09-14,44.7677
2020-09-15,45.2195
2020-09-16,48.0274
2020-09-17,46.977
2020-09-18,46.7654
2020-09-19,46.7654
2020-09-20,46.7654
2020-09-21,46.4869
2020-09-22,47.405
2020-09-23,45.6725
2020-09-24,44.9399
2020-09-25,46.1937
2020-09-26,46.1937
2020-09-27,46.1937
2020-09-28,48.6146
2020-09-29,50.0072
2020-09-30,48.6435
2020-10-01,52.2896
2020-10-02,50.1221
2020-10-03,50.1221
2020-10-04,50.1221
2020-10-05,53.4194
2020-10-06,54.4233
2020-10-07,55.6771
2020-10-08,56.4928
2020-10-09,58.2662
2020-10-10,58.2662
2020-10-11,58.2662
2020-10-12,58.6429
2020-10-13,57.8823
2020-10-14,55.5293
2020-10-15,54.9135
2020-10-16,53.1786
2020-10-17,53.1786
2020-10-18,53.1786
2020-10-19,52.0934
2020-10-20,51.6237
2020-10-21,49.9465
2020-10-22,51.7484
2020-10-23,50.6174
2020-10-24,50.6174
2020-10-25,50.6174
2020-10-26,47.9778
2020-10-27,49.014
2020-10-28,47.4669
2020-10-29,50.2136
2020-10-30,47.3068
2020-10-31,47.3068
2020-11-01,47.3068
2020-11-02,51.1111
2020-11-03,55.3103
2020-11-04,58.3091
2020-11-05,62.0735
2020-11-06,62.6041
2020-11-07,62.6041
2020-11-08,62.6041
2020-11-09,65.9508
2020-11-10,63.6375
2020-11-11,69.7799
2020-11-12,67.3031
2020-11-13,69.7999
2020-11-14,69.7999
2020-11-15,69.7999
2020-11-16,70.9929
2020-11-17,71.3173
2020-11-18,67.3716
2020-11-19,67.6405
2020-11-20,65.3953
2020-11-21,65.3953
2020-11-22,65.3953
2020-11-23,66.4827
2020-11-24,67.373
2020-11-25,67.9097
2020-11-26,67.9097
2020-11-27,69.8382
2020-11-28,69.8382
2020-11-29,69.8382
2020-11-30,69.7722
2020-12-01,70.0792
2020-12-02,67.1561
2020-12-03,67.5031
2020-12-04,69.9405
2020-12-05,69.9405
2020-12-06,69.9405
2020-12-07,69.8555
2020-12-08,69.916
2020-12-09,63.2382
2020-12-10,64.6623
2020-12-11,62.6361
2020-12-12,62.6361
2020-12-13,62.6361
2020-12-14,65.6293
2020-12-15,65.3435
2020-12-16,62.6832
2020-12-17,64.1022
2020-12-18,61.6136
2020-12-19,61.6136
2020-12-20,61.6136
2020-12-21,62.8629
2020-12-22,62.9148
2020-12-23,60.9631
2020-12-24,62.1857
2020-12-25,62.1857
2020-12-26,62.1857
2020-12-27,62.1857
2020-12-28,62.0208
2020-12-29,58.2568
2020-12-30,60.0577
2020-12-31,52.6431
2021-01-01,52.6431
2021-01-02,52.6431
2021-01-03,52.6431
2021-01-04,50.9472
2021-01-05,52.1256
2021-01-06,52.1414
2021-01-07,54.5939
2021-01-08,52.7
2021-01-09,52.7
2021-01-10,52.7
2021-01-11,56.7226
2021-01-12,58.6839
2021-01-13,58.2349
2021-01-14,62.5667
2021-01-15,60.2256
2021-01-16,60.2256
2021-01-17,60.2256
2021-01-18,60.2256
2021-01-19,63.2519
2021-01-20,64.7042
2021-01-21,64.7439
2021-01-22,64.9342
2021-01-23,64.9342
2021-01-24,64.9342
2021-01-25,61.3038
2021-01-26,56.415
2021-01-27,54.6521
2021-01-28,56.8716
2021-01-29,54.6059
2021-01-30,54.6059
2021-01-31,54.6059
2021-02-01,57.7365
2021-02-02,60.9588
2021-02-03,54.5914
2021-02-04,56.2964
2021-02-05,55.8573
2021-02-06,55.8573
2021-02-07,55.8573
2021-02-08,58.7362
2021-02-09,57.8511
2021-02-10,59.3038
2021-02-11,61.1083
2021-02-12,62.638
2021-02-13,62.638
2021-02-14,62.638
2021-02-15,62.638
2021-02-16,60.5897
2021-02-17,58.0145
2021-02-18,55.6277
2021-02-19,57.7862
2021-02-20,57.7862
2021-02-21,57.7862
2021-02-22,53.6271
2021-02-23,53.6469
2021-02-24,57.4825
2021-02-25,52.0738
2021-02-26,54.049
2021-02-27,54.049
2021-02-28,54.049
