,PPBI US Equity
,RSI_30D
2020-01-01,54.004
2020-01-02,55.6406
2020-01-03,52.0273
2020-01-04,52.0273
2020-01-05,52.0273
2020-01-06,50.0762
2020-01-07,47.6536
2020-01-08,48.1318
2020-01-09,48.2715
2020-01-10,46.5846
2020-01-11,46.5846
2020-01-12,46.5846
2020-01-13,47.2448
2020-01-14,48.0927
2020-01-15,47.1719
2020-01-16,47.8604
2020-01-17,48.0937
2020-01-18,48.0937
2020-01-19,48.0937
2020-01-20,48.0937
2020-01-21,44.9717
2020-01-22,43.6052
2020-01-23,48.359
2020-01-24,46.1661
2020-01-25,46.1661
2020-01-26,46.1661
2020-01-27,42.643
2020-01-28,41.9692
2020-01-29,40.0071
2020-01-30,39.9534
2020-01-31,38.8128
2020-02-01,38.8128
2020-02-02,38.8128
2020-02-03,37.3424
2020-02-04,40.1088
2020-02-05,47.0037
2020-02-06,44.8447
2020-02-07,41.715
2020-02-08,41.715
2020-02-09,41.715
2020-02-10,41.6148
2020-02-11,42.4721
2020-02-12,42.9057
2020-02-13,45.8606
2020-02-14,47.9825
2020-02-15,47.9825
2020-02-16,47.9825
2020-02-17,47.9825
2020-02-18,45.2316
2020-02-19,45.2316
2020-02-20,47.1892
2020-02-21,45.6751
2020-02-22,45.6751
2020-02-23,45.6751
2020-02-24,39.4762
2020-02-25,36.6329
2020-02-26,35.7706
2020-02-27,31.0606
2020-02-28,28.4317
2020-02-29,28.4317
2020-03-01,28.4317
2020-03-02,35.4234
2020-03-03,33.151
2020-03-04,34.5977
2020-03-05,31.2357
2020-03-06,28.9971
2020-03-07,28.9971
2020-03-08,28.9971
2020-03-09,21.5432
2020-03-10,27.7212
2020-03-11,24.3106
2020-03-12,23.4792
2020-03-13,30.1415
2020-03-14,30.1415
2020-03-15,30.1415
2020-03-16,25.6989
2020-03-17,30.6733
2020-03-18,27.9432
2020-03-19,30.612
2020-03-20,29.6704
2020-03-21,29.6704
2020-03-22,29.6704
2020-03-23,28.6907
2020-03-24,32.8605
2020-03-25,34.2282
2020-03-26,37.4173
2020-03-27,37.0401
2020-03-28,37.0401
2020-03-29,37.0401
2020-03-30,36.5183
2020-03-31,39.0857
2020-04-01,37.4318
2020-04-02,37.7213
2020-04-03,34.9473
2020-04-04,34.9473
2020-04-05,34.9473
2020-04-06,36.9479
2020-04-07,39.2979
2020-04-08,40.2109
2020-04-09,44.4462
2020-04-10,44.4462
2020-04-11,44.4462
2020-04-12,44.4462
2020-04-13,42.4012
2020-04-14,43.0837
2020-04-15,41.181
2020-04-16,40.1041
2020-04-17,43.1175
2020-04-18,43.1175
2020-04-19,43.1175
2020-04-20,42.3055
2020-04-21,41.9441
2020-04-22,41.545
2020-04-23,42.916
2020-04-24,43.5669
2020-04-25,43.5669
2020-04-26,43.5669
2020-04-27,46.6076
2020-04-28,49.5597
2020-04-29,49.8911
2020-04-30,49.6331
2020-05-01,46.9294
2020-05-02,46.9294
2020-05-03,46.9294
2020-05-04,46.5546
2020-05-05,46.7526
2020-05-06,44.6793
2020-05-07,46.4606
2020-05-08,49.603
2020-05-09,49.603
2020-05-10,49.603
2020-05-11,46.6539
2020-05-12,44.2715
2020-05-13,42.7598
2020-05-14,42.8506
2020-05-15,42.6061
2020-05-16,42.6061
2020-05-17,42.6061
2020-05-18,48.3742
2020-05-19,46.4603
2020-05-20,48.8146
2020-05-21,48.2198
2020-05-22,48.4027
2020-05-23,48.4027
2020-05-24,48.4027
2020-05-25,48.4027
2020-05-26,51.9718
2020-05-27,54.9159
2020-05-28,53.4347
2020-05-29,52.2368
2020-05-30,52.2368
2020-05-31,52.2368
2020-06-01,53.1246
2020-06-02,53.1981
2020-06-03,54.2549
2020-06-04,55.2812
2020-06-05,58.2488
2020-06-06,58.2488
2020-06-07,58.2488
2020-06-08,61.0331
2020-06-09,56.0308
2020-06-10,52.7583
2020-06-11,47.3725
2020-06-12,48.8915
2020-06-13,48.8915
2020-06-14,48.8915
2020-06-15,49.8207
2020-06-16,51.2897
2020-06-17,50.3727
2020-06-18,50.7388
2020-06-19,50.1689
2020-06-20,50.1689
2020-06-21,50.1689
2020-06-22,50.546
2020-06-23,49.8583
2020-06-24,48.2078
2020-06-25,49.4391
2020-06-26,47.2252
2020-06-27,47.2252
2020-06-28,47.2252
2020-06-29,49.871
2020-06-30,51.0222
2020-07-01,48.3769
2020-07-02,48.3233
2020-07-03,48.3233
2020-07-04,48.3233
2020-07-05,48.3233
2020-07-06,48.7348
2020-07-07,47.1266
2020-07-08,46.7051
2020-07-09,45.2312
2020-07-10,47.1277
2020-07-11,47.1277
2020-07-12,47.1277
2020-07-13,47.6335
2020-07-14,46.6335
2020-07-15,50.074
2020-07-16,50.335
2020-07-17,48.5966
2020-07-18,48.5966
2020-07-19,48.5966
2020-07-20,47.8023
2020-07-21,50.3622
2020-07-22,49.8645
2020-07-23,51.195
2020-07-24,50.8244
2020-07-25,50.8244
2020-07-26,50.8244
2020-07-27,50.2051
2020-07-28,50.025
2020-07-29,51.4881
2020-07-30,51.3446
2020-07-31,50.6147
2020-08-01,50.6147
2020-08-02,50.6147
2020-08-03,50.6631
2020-08-04,49.8052
2020-08-05,52.3578
2020-08-06,52.2242
2020-08-07,54.8469
2020-08-08,54.8469
2020-08-09,54.8469
2020-08-10,56.0715
2020-08-11,56.944
2020-08-12,56.6455
2020-08-13,55.2673
2020-08-14,55.6315
2020-08-15,55.6315
2020-08-16,55.6315
2020-08-17,54.6496
2020-08-18,52.0087
2020-08-19,52.3034
2020-08-20,50.4955
2020-08-21,50.581
2020-08-22,50.581
2020-08-23,50.581
2020-08-24,54.1325
2020-08-25,54.4839
2020-08-26,52.4368
2020-08-27,53.5764
2020-08-28,53.6311
2020-08-29,53.6311
2020-08-30,53.6311
2020-08-31,53.6876
2020-09-01,52.4323
2020-09-02,52.8525
2020-09-03,53.0669
2020-09-04,54.4744
2020-09-05,54.4744
2020-09-06,54.4744
2020-09-07,54.4744
2020-09-08,49.2587
2020-09-09,48.3736
2020-09-10,47.2235
2020-09-11,50.037
2020-09-12,50.037
2020-09-13,50.037
2020-09-14,52.1306
2020-09-15,51.4199
2020-09-16,52.4263
2020-09-17,52.4263
2020-09-18,49.8477
2020-09-19,49.8477
2020-09-20,49.8477
2020-09-21,45.1624
2020-09-22,43.4405
2020-09-23,41.7674
2020-09-24,43.2629
2020-09-25,44.4973
2020-09-26,44.4973
2020-09-27,44.4973
2020-09-28,47.2667
2020-09-29,47.0643
2020-09-30,46.7683
2020-10-01,48.7362
2020-10-02,51.3535
2020-10-03,51.3535
2020-10-04,51.3535
2020-10-05,54.5088
2020-10-06,54.6762
2020-10-07,56.9696
2020-10-08,58.1433
2020-10-09,58.4041
2020-10-10,58.4041
2020-10-11,58.4041
2020-10-12,59.5006
2020-10-13,57.8845
2020-10-14,55.806
2020-10-15,57.2006
2020-10-16,57.8338
2020-10-17,57.8338
2020-10-18,57.8338
2020-10-19,56.9247
2020-10-20,58.5804
2020-10-21,58.8301
2020-10-22,62.9508
2020-10-23,63.7117
2020-10-24,63.7117
2020-10-25,63.7117
2020-10-26,62.6067
2020-10-27,57.912
2020-10-28,57.5825
2020-10-29,58.4254
2020-10-30,58.8349
2020-10-31,58.8349
2020-11-01,58.8349
2020-11-02,61.7693
2020-11-03,63.3708
2020-11-04,56.2087
2020-11-05,59.5804
2020-11-06,58.3762
2020-11-07,58.3762
2020-11-08,58.3762
2020-11-09,64.8825
2020-11-10,66.1356
2020-11-11,62.8615
2020-11-12,60.0547
2020-11-13,63.0001
2020-11-14,63.0001
2020-11-15,63.0001
2020-11-16,64.197
2020-11-17,63.6569
2020-11-18,61.1441
2020-11-19,61.1441
2020-11-20,61.5076
2020-11-21,61.5076
2020-11-22,61.5076
2020-11-23,62.5565
2020-11-24,64.3472
2020-11-25,62.732
2020-11-26,62.732
2020-11-27,61.0233
2020-11-28,61.0233
2020-11-29,61.0233
2020-11-30,57.5722
2020-12-01,58.5869
2020-12-02,59.6066
2020-12-03,58.9163
2020-12-04,60.2217
2020-12-05,60.2217
2020-12-06,60.2217
2020-12-07,60.3252
2020-12-08,59.2722
2020-12-09,59.3612
2020-12-10,59.4299
2020-12-11,59.0168
2020-12-12,59.0168
2020-12-13,59.0168
2020-12-14,58.8757
2020-12-15,60.347
2020-12-16,60.5175
2020-12-17,60.0217
2020-12-18,58.4592
2020-12-19,58.4592
2020-12-20,58.4592
2020-12-21,59.0774
2020-12-22,58.0669
2020-12-23,60.9133
2020-12-24,60.5556
2020-12-25,60.5556
2020-12-26,60.5556
2020-12-27,60.5556
2020-12-28,61.081
2020-12-29,59.0471
2020-12-30,60.6987
2020-12-31,60.9657
2021-01-01,60.9657
2021-01-02,60.9657
2021-01-03,60.9657
2021-01-04,60.0375
2021-01-05,61.0143
2021-01-06,66.8974
2021-01-07,67.5361
2021-01-08,65.2265
2021-01-09,65.2265
2021-01-10,65.2265
2021-01-11,65.8201
2021-01-12,66.6702
2021-01-13,65.4397
2021-01-14,67.2706
2021-01-15,65.8022
2021-01-16,65.8022
2021-01-17,65.8022
2021-01-18,65.8022
2021-01-19,67.3421
2021-01-20,69.7441
2021-01-21,64.624
2021-01-22,66.597
2021-01-23,66.597
2021-01-24,66.597
2021-01-25,63.4944
2021-01-26,63.8927
2021-01-27,60.4452
2021-01-28,60.3224
2021-01-29,55.9402
2021-01-30,55.9402
2021-01-31,55.9402
2021-02-01,59.1621
2021-02-02,60.4717
2021-02-03,61.6588
2021-02-04,62.8236
2021-02-05,62.4381
2021-02-06,62.4381
2021-02-07,62.4381
2021-02-08,63.8762
2021-02-09,65.2525
2021-02-10,66.2921
2021-02-11,65.9519
2021-02-12,66.7176
2021-02-13,66.7176
2021-02-14,66.7176
2021-02-15,66.7176
2021-02-16,67.2452
2021-02-17,66.2791
2021-02-18,64.4823
2021-02-19,66.4083
2021-02-20,66.4083
2021-02-21,66.4083
2021-02-22,68.3752
2021-02-23,67.4934
2021-02-24,70.7084
2021-02-25,67.5762
2021-02-26,67.0515
2021-02-27,67.0515
2021-02-28,67.0515
2021-03-01,69.5817
2021-03-02,65.7627
2021-03-03,66.8115
2021-03-04,67.0065
2021-03-05,67.8587
2021-03-06,67.8587
2021-03-07,67.8587
2021-03-08,69.8398
2021-03-09,70.4623
2021-03-10,72.5232
2021-03-11,74.0413
2021-03-12,74.9816
2021-03-13,74.9816
2021-03-14,74.9816
2021-03-15,71.425
2021-03-16,70.6389
2021-03-17,70.0228
2021-03-18,70.7675
2021-03-19,70.5032
2021-03-20,70.5032
2021-03-21,70.5032
2021-03-22,64.4245
2021-03-23,59.1772
2021-03-24,58.3957
2021-03-25,60.7584
2021-03-26,63.5978
2021-03-27,63.5978
2021-03-28,63.5978
2021-03-29,58.7032
2021-03-30,60.6607
2021-03-31,58.8505
2021-04-01,58.9973
2021-04-02,58.9973
2021-04-03,58.9973
2021-04-04,58.9973
2021-04-05,59.1855
2021-04-06,58.4362
2021-04-07,57.2968
2021-04-08,57.3807
2021-04-09,57.894
2021-04-10,57.894
2021-04-11,57.894
2021-04-12,57.804
2021-04-13,54.5569
2021-04-14,56.4711
2021-04-15,55.4358
2021-04-16,56.4005
2021-04-17,56.4005
2021-04-18,56.4005
2021-04-19,55.3963
2021-04-20,50.3252
2021-04-21,53.3644
2021-04-22,52.304
2021-04-23,57.1196
2021-04-24,57.1196
2021-04-25,57.1196
2021-04-26,56.6704
2021-04-27,57.8994
2021-04-28,58.8495
2021-04-29,59.2066
2021-04-30,56.5012
2021-05-01,56.5012
2021-05-02,56.5012
2021-05-03,57.6887
2021-05-04,59.1266
2021-05-05,61.3286
2021-05-06,62.1597
2021-05-07,61.6118
2021-05-08,61.6118
2021-05-09,61.6118
2021-05-10,58.7544
2021-05-11,57.1548
2021-05-12,53.3452
2021-05-13,57.3808
2021-05-14,58.5227
2021-05-15,58.5227
2021-05-16,58.5227
2021-05-17,58.4148
2021-05-18,55.8568
2021-05-19,55.6729
2021-05-20,56.4568
2021-05-21,57.4867
2021-05-22,57.4867
2021-05-23,57.4867
2021-05-24,55.9773
2021-05-25,52.4177
2021-05-26,54.8175
2021-05-27,56.1197
2021-05-28,56.846
2021-05-29,56.846
2021-05-30,56.846
2021-05-31,56.846
2021-06-01,57.8563
2021-06-02,56.9832
2021-06-03,56.4995
2021-06-04,56.7897
2021-06-05,56.7897
2021-06-06,56.7897
2021-06-07,58.5075
2021-06-08,58.8976
2021-06-09,57.0781
2021-06-10,53.4314
2021-06-11,54.4352
2021-06-12,54.4352
2021-06-13,54.4352
2021-06-14,53.0275
2021-06-15,53.9876
2021-06-16,55.3435
2021-06-17,49.0668
2021-06-18,45.7546
2021-06-19,45.7546
2021-06-20,45.7546
2021-06-21,49.882
2021-06-22,48.9359
2021-06-23,48.0603
2021-06-24,50.0744
2021-06-25,47.7317
2021-06-26,47.7317
2021-06-27,47.7317
2021-06-28,46.2676
2021-06-29,45.734
