,PRK US Equity
,RSI_30D
2020-01-01,57.927
2020-01-02,58.0566
2020-01-03,55.0734
2020-01-04,55.0734
2020-01-05,55.0734
2020-01-06,56.541
2020-01-07,52.9926
2020-01-08,56.1829
2020-01-09,54.0941
2020-01-10,52.5328
2020-01-11,52.5328
2020-01-12,52.5328
2020-01-13,54.8333
2020-01-14,54.9372
2020-01-15,53.3506
2020-01-16,55.8813
2020-01-17,54.1712
2020-01-18,54.1712
2020-01-19,54.1712
2020-01-20,54.1712
2020-01-21,50.8896
2020-01-22,50.0624
2020-01-23,48.9555
2020-01-24,48.4722
2020-01-25,48.4722
2020-01-26,48.4722
2020-01-27,48.414
2020-01-28,37.8068
2020-01-29,36.3662
2020-01-30,43.2221
2020-01-31,39.4436
2020-02-01,39.4436
2020-02-02,39.4436
2020-02-03,44.1317
2020-02-04,47.0746
2020-02-05,51.6911
2020-02-06,50.9285
2020-02-07,48.2651
2020-02-08,48.2651
2020-02-09,48.2651
2020-02-10,50.066
2020-02-11,50.4269
2020-02-12,51.7186
2020-02-13,54.1366
2020-02-14,49.8455
2020-02-15,49.8455
2020-02-16,49.8455
2020-02-17,49.8455
2020-02-18,49.8455
2020-02-19,51.3034
2020-02-20,51.9966
2020-02-21,50.4312
2020-02-22,50.4312
2020-02-23,50.4312
2020-02-24,45.6055
2020-02-25,40.2926
2020-02-26,39.9922
2020-02-27,35.9813
2020-02-28,33.8083
2020-02-29,33.8083
2020-03-01,33.8083
2020-03-02,36.4485
2020-03-03,35.2601
2020-03-04,38.4424
2020-03-05,35.3514
2020-03-06,35.341
2020-03-07,35.341
2020-03-08,35.341
2020-03-09,29.0422
2020-03-10,38.8977
2020-03-11,35.0517
2020-03-12,31.6015
2020-03-13,43.2876
2020-03-14,43.2876
2020-03-15,43.2876
2020-03-16,42.1547
2020-03-17,50.0215
2020-03-18,46.0763
2020-03-19,47.8194
2020-03-20,42.4382
2020-03-21,42.4382
2020-03-22,42.4382
2020-03-23,38.9126
2020-03-24,41.6205
2020-03-25,39.4068
2020-03-26,43.2448
2020-03-27,39.5752
2020-03-28,39.5752
2020-03-29,39.5752
2020-03-30,43.6811
2020-03-31,43.3937
2020-04-01,40.9949
2020-04-02,42.7585
2020-04-03,41.5523
2020-04-04,41.5523
2020-04-05,41.5523
2020-04-06,43.5652
2020-04-07,42.4326
2020-04-08,43.4195
2020-04-09,46.002
2020-04-10,46.002
2020-04-11,46.002
2020-04-12,46.002
2020-04-13,44.1039
2020-04-14,43.6491
2020-04-15,41.6703
2020-04-16,41.4823
2020-04-17,43.7211
2020-04-18,43.7211
2020-04-19,43.7211
2020-04-20,43.716
2020-04-21,45.8045
2020-04-22,44.4594
2020-04-23,43.7399
2020-04-24,44.3385
2020-04-25,44.3385
2020-04-26,44.3385
2020-04-27,47.466
2020-04-28,47.5749
2020-04-29,51.7589
2020-04-30,48.6528
2020-05-01,47.4999
2020-05-02,47.4999
2020-05-03,47.4999
2020-05-04,47.1388
2020-05-05,45.44
2020-05-06,44.9304
2020-05-07,45.1066
2020-05-08,47.5878
2020-05-09,47.5878
2020-05-10,47.5878
2020-05-11,45.4238
2020-05-12,43.8404
2020-05-13,43.3409
2020-05-14,43.3768
2020-05-15,43.2408
2020-05-16,43.2408
2020-05-17,43.2408
2020-05-18,47.4578
2020-05-19,44.198
2020-05-20,46.242
2020-05-21,44.3798
2020-05-22,42.8365
2020-05-23,42.8365
2020-05-24,42.8365
2020-05-25,42.8365
2020-05-26,46.6671
2020-05-27,49.8986
2020-05-28,49.6369
2020-05-29,48.9174
2020-05-30,48.9174
2020-05-31,48.9174
2020-06-01,47.4364
2020-06-02,46.5581
2020-06-03,48.7154
2020-06-04,48.7727
2020-06-05,50.8009
2020-06-06,50.8009
2020-06-07,50.8009
2020-06-08,51.0072
2020-06-09,51.1484
2020-06-10,48.611
2020-06-11,45.8083
2020-06-12,46.476
2020-06-13,46.476
2020-06-14,46.476
2020-06-15,46.92
2020-06-16,48.0659
2020-06-17,46.3657
2020-06-18,46.2194
2020-06-19,46.7482
2020-06-20,46.7482
2020-06-21,46.7482
2020-06-22,46.5925
2020-06-23,46.0339
2020-06-24,43.9476
2020-06-25,46.0604
2020-06-26,44.1782
2020-06-27,44.1782
2020-06-28,44.1782
2020-06-29,46.6106
2020-06-30,47.48
2020-07-01,45.9258
2020-07-02,45.843
2020-07-03,45.843
2020-07-04,45.843
2020-07-05,45.843
2020-07-06,45.9187
2020-07-07,45.0863
2020-07-08,45.0789
2020-07-09,43.544
2020-07-10,46.0186
2020-07-11,46.0186
2020-07-12,46.0186
2020-07-13,46.6676
2020-07-14,45.8014
2020-07-15,48.6189
2020-07-16,48.0081
2020-07-17,46.8076
2020-07-18,46.8076
2020-07-19,46.8076
2020-07-20,46.2339
2020-07-21,49.3629
2020-07-22,47.3921
2020-07-23,48.6694
2020-07-24,47.9254
2020-07-25,47.9254
2020-07-26,47.9254
2020-07-27,46.9575
2020-07-28,47.8775
2020-07-29,49.6475
2020-07-30,61.711
2020-07-31,59.7836
2020-08-01,59.7836
2020-08-02,59.7836
2020-08-03,57.4389
2020-08-04,57.1766
2020-08-05,57.7258
2020-08-06,56.566
2020-08-07,58.189
2020-08-08,58.189
2020-08-09,58.189
2020-08-10,60.4122
2020-08-11,61.2271
2020-08-12,60.6137
2020-08-13,59.8546
2020-08-14,60.6016
2020-08-15,60.6016
2020-08-16,60.6016
2020-08-17,59.579
2020-08-18,57.5691
2020-08-19,58.1223
2020-08-20,57.8591
2020-08-21,57.8089
2020-08-22,57.8089
2020-08-23,57.8089
2020-08-24,60.527
2020-08-25,61.2069
2020-08-26,59.3432
2020-08-27,60.374
2020-08-28,60.9248
2020-08-29,60.9248
2020-08-30,60.9248
2020-08-31,59.6651
2020-09-01,60.5809
2020-09-02,60.8147
2020-09-03,60.4785
2020-09-04,61.3027
2020-09-05,61.3027
2020-09-06,61.3027
2020-09-07,61.3027
2020-09-08,57.4038
2020-09-09,58.3311
2020-09-10,58.2398
2020-09-11,56.703
2020-09-12,56.703
2020-09-13,56.703
2020-09-14,58.1934
2020-09-15,56.9193
2020-09-16,57.2276
2020-09-17,56.831
2020-09-18,56.2808
2020-09-19,56.2808
2020-09-20,56.2808
2020-09-21,52.6592
2020-09-22,51.1818
2020-09-23,47.7385
2020-09-24,46.8956
2020-09-25,47.5638
2020-09-26,47.5638
2020-09-27,47.5638
2020-09-28,50.241
2020-09-29,49.327
2020-09-30,48.8411
2020-10-01,48.6578
2020-10-02,51.6289
2020-10-03,51.6289
2020-10-04,51.6289
2020-10-05,54.9101
2020-10-06,55.9868
2020-10-07,57.3903
2020-10-08,59.1883
2020-10-09,56.5264
2020-10-10,56.5264
2020-10-11,56.5264
2020-10-12,57.7384
2020-10-13,54.6889
2020-10-14,52.052
2020-10-15,54.4908
2020-10-16,54.8109
2020-10-17,54.8109
2020-10-18,54.8109
2020-10-19,55.0352
2020-10-20,56.0968
2020-10-21,56.7327
2020-10-22,59.0003
2020-10-23,59.6196
2020-10-24,59.6196
2020-10-25,59.6196
2020-10-26,58.8554
2020-10-27,57.3349
2020-10-28,56.0031
2020-10-29,57.0163
2020-10-30,55.2899
2020-10-31,55.2899
2020-11-01,55.2899
2020-11-02,57.3672
2020-11-03,59.6133
2020-11-04,52.2943
2020-11-05,55.2969
2020-11-06,54.1955
2020-11-07,54.1955
2020-11-08,54.1955
2020-11-09,61.6841
2020-11-10,64.5556
2020-11-11,60.9987
2020-11-12,56.8215
2020-11-13,59.4594
2020-11-14,59.4594
2020-11-15,59.4594
2020-11-16,62.3045
2020-11-17,61.2245
2020-11-18,59.2319
2020-11-19,59.9635
2020-11-20,58.704
2020-11-21,58.704
2020-11-22,58.704
2020-11-23,59.2751
2020-11-24,62.0884
2020-11-25,60.4501
2020-11-26,60.4501
2020-11-27,59.0192
2020-11-28,59.0192
2020-11-29,59.0192
2020-11-30,55.4334
2020-12-01,56.3159
2020-12-02,56.7621
2020-12-03,56.674
2020-12-04,57.9625
2020-12-05,57.9625
2020-12-06,57.9625
2020-12-07,56.524
2020-12-08,56.8535
2020-12-09,56.3925
2020-12-10,57.9196
2020-12-11,56.2752
2020-12-12,56.2752
2020-12-13,56.2752
2020-12-14,54.2622
2020-12-15,55.176
2020-12-16,53.9211
2020-12-17,55.0266
2020-12-18,52.5486
2020-12-19,52.5486
2020-12-20,52.5486
2020-12-21,52.4842
2020-12-22,52.6214
2020-12-23,55.2682
2020-12-24,55.0074
2020-12-25,55.0074
2020-12-26,55.0074
2020-12-27,55.0074
2020-12-28,55.7875
2020-12-29,55.9974
2020-12-30,56.4847
2020-12-31,56.5371
2021-01-01,56.5371
2021-01-02,56.5371
2021-01-03,56.5371
2021-01-04,56.5136
2021-01-05,56.3563
2021-01-06,61.9304
2021-01-07,62.8221
2021-01-08,58.1162
2021-01-09,58.1162
2021-01-10,58.1162
2021-01-11,59.319
2021-01-12,60.6854
2021-01-13,57.6419
2021-01-14,59.8186
2021-01-15,57.5355
2021-01-16,57.5355
2021-01-17,57.5355
2021-01-18,57.5355
2021-01-19,58.2661
2021-01-20,59.0416
2021-01-21,57.9499
2021-01-22,60.1142
2021-01-23,60.1142
2021-01-24,60.1142
2021-01-25,58.479
2021-01-26,59.7362
2021-01-27,58.681
2021-01-28,56.8383
