,AMTB US Equity
,RSI_30D
2020-01-01,57.9677
2020-01-02,56.5634
2020-01-03,54.5489
2020-01-04,54.5489
2020-01-05,54.5489
2020-01-06,52.0817
2020-01-07,49.8777
2020-01-08,50.1983
2020-01-09,51.7315
2020-01-10,49.8783
2020-01-11,49.8783
2020-01-12,49.8783
2020-01-13,52.0973
2020-01-14,49.6295
2020-01-15,49.3748
2020-01-16,48.2854
2020-01-17,47.4571
2020-01-18,47.4571
2020-01-19,47.4571
2020-01-20,47.4571
2020-01-21,47.9544
2020-01-22,47.9544
2020-01-23,48.1794
2020-01-24,46.7171
2020-01-25,46.7171
2020-01-26,46.7171
2020-01-27,43.2272
2020-01-28,44.6529
2020-01-29,44.0803
2020-01-30,49.6465
2020-01-31,39.7211
2020-02-01,39.7211
2020-02-02,39.7211
2020-02-03,39.7895
2020-02-04,42.2315
2020-02-05,45.9481
2020-02-06,44.3473
2020-02-07,40.893
2020-02-08,40.893
2020-02-09,40.893
2020-02-10,45.3005
2020-02-11,45.0227
2020-02-12,46.4938
2020-02-13,46.6075
2020-02-14,45.6542
2020-02-15,45.6542
2020-02-16,45.6542
2020-02-17,45.6542
2020-02-18,46.4885
2020-02-19,46.9697
2020-02-20,46.5368
2020-02-21,47.903
2020-02-22,47.903
2020-02-23,47.903
2020-02-24,43.9429
2020-02-25,41.3941
2020-02-26,42.1018
2020-02-27,38.9605
2020-02-28,43.2196
2020-02-29,43.2196
2020-03-01,43.2196
2020-03-02,45.2804
2020-03-03,43.1217
2020-03-04,44.0416
2020-03-05,41.7703
2020-03-06,35.6605
2020-03-07,35.6605
2020-03-08,35.6605
2020-03-09,29.801
2020-03-10,35.9243
2020-03-11,33.7759
2020-03-12,31.6153
2020-03-13,36.7687
2020-03-14,36.7687
2020-03-15,36.7687
2020-03-16,30.8317
2020-03-17,38.9165
2020-03-18,35.2667
2020-03-19,41.9091
2020-03-20,42.5428
2020-03-21,42.5428
2020-03-22,42.5428
2020-03-23,43.5774
2020-03-24,44.6871
2020-03-25,43.9421
2020-03-26,45.3688
2020-03-27,42.7763
2020-03-28,42.7763
2020-03-29,42.7763
2020-03-30,44.963
2020-03-31,45.2008
2020-04-01,40.8224
2020-04-02,41.9798
2020-04-03,41.9009
2020-04-04,41.9009
2020-04-05,41.9009
2020-04-06,43.5732
2020-04-07,43.446
2020-04-08,44.2321
2020-04-09,45.0784
2020-04-10,45.0784
2020-04-11,45.0784
2020-04-12,45.0784
2020-04-13,44.0189
2020-04-14,43.4448
2020-04-15,39.8333
2020-04-16,39.7926
2020-04-17,40.2666
2020-04-18,40.2666
2020-04-19,40.2666
2020-04-20,39.5368
2020-04-21,39.0203
2020-04-22,39.9334
2020-04-23,40.7492
2020-04-24,40.7492
2020-04-25,40.7492
2020-04-26,40.7492
2020-04-27,40.8209
2020-04-28,44.8258
2020-04-29,47.6383
2020-04-30,45.0492
2020-05-01,44.4058
2020-05-02,44.4058
2020-05-03,44.4058
2020-05-04,44.5696
2020-05-05,42.2026
2020-05-06,40.164
2020-05-07,39.8826
2020-05-08,41.3697
2020-05-09,41.3697
2020-05-10,41.3697
2020-05-11,40.052
2020-05-12,38.7514
2020-05-13,40.742
2020-05-14,39.139
2020-05-15,40.1926
2020-05-16,40.1926
2020-05-17,40.1926
2020-05-18,46.7967
2020-05-19,44.5437
2020-05-20,44.7601
2020-05-21,44.0989
2020-05-22,43.5613
2020-05-23,43.5613
2020-05-24,43.5613
2020-05-25,43.5613
2020-05-26,46.2717
2020-05-27,47.6948
