,TTC US Equity
,RSI_30D
2020-01-01,57.365
2020-01-02,58.5317
2020-01-03,59.2998
2020-01-04,59.2998
2020-01-05,59.2998
2020-01-06,60.1212
2020-01-07,59.3432
2020-01-08,60.8383
2020-01-09,62.1654
2020-01-10,61.0205
2020-01-11,61.0205
2020-01-12,61.0205
2020-01-13,62.846
2020-01-14,63.2097
2020-01-15,63.0501
2020-01-16,64.336
2020-01-17,62.1629
2020-01-18,62.1629
2020-01-19,62.1629
2020-01-20,62.1629
2020-01-21,61.2368
2020-01-22,60.5291
2020-01-23,61.079
2020-01-24,58.4543
2020-01-25,58.4543
2020-01-26,58.4543
2020-01-27,56.1731
2020-01-28,56.5053
2020-01-29,56.0345
2020-01-30,54.3179
2020-01-31,52.212
2020-02-01,52.212
2020-02-02,52.212
2020-02-03,57.0589
2020-02-04,57.7563
2020-02-05,58.097
2020-02-06,56.5557
2020-02-07,55.4379
2020-02-08,55.4379
2020-02-09,55.4379
2020-02-10,56.0618
2020-02-11,56.565
2020-02-12,58.0799
2020-02-13,58.1295
2020-02-14,59.0798
2020-02-15,59.0798
2020-02-16,59.0798
2020-02-17,59.0798
2020-02-18,58.3943
2020-02-19,56.6408
2020-02-20,55.4114
2020-02-21,54.7788
2020-02-22,54.7788
2020-02-23,54.7788
2020-02-24,48.173
2020-02-25,42.5366
2020-02-26,41.7848
2020-02-27,36.6299
2020-02-28,31.5017
2020-02-29,31.5017
2020-03-01,31.5017
2020-03-02,41.0873
2020-03-03,40.6188
2020-03-04,46.5338
2020-03-05,39.2606
2020-03-06,44.742
2020-03-07,44.742
2020-03-08,44.742
2020-03-09,41.9118
2020-03-10,42.6212
2020-03-11,37.6551
2020-03-12,34.6765
2020-03-13,40.2106
2020-03-14,40.2106
2020-03-15,40.2106
2020-03-16,32.1172
2020-03-17,32.3585
2020-03-18,29.9601
2020-03-19,33.3049
2020-03-20,32.3154
2020-03-21,32.3154
2020-03-22,32.3154
2020-03-23,30.3502
2020-03-24,36.483
2020-03-25,38.0196
2020-03-26,42.3987
2020-03-27,41.5249
2020-03-28,41.5249
2020-03-29,41.5249
2020-03-30,44.8479
2020-03-31,43.8796
2020-04-01,41.223
2020-04-02,43.233
2020-04-03,42.4408
2020-04-04,42.4408
2020-04-05,42.4408
2020-04-06,45.3979
2020-04-07,44.6543
2020-04-08,44.1214
2020-04-09,45.2809
2020-04-10,45.2809
2020-04-11,45.2809
2020-04-12,45.2809
2020-04-13,43.8407
2020-04-14,45.4123
2020-04-15,44.2559
2020-04-16,44.5919
2020-04-17,46.0736
2020-04-18,46.0736
2020-04-19,46.0736
2020-04-20,44.3926
2020-04-21,42.3946
2020-04-22,43.9327
2020-04-23,45.055
2020-04-24,45.7714
2020-04-25,45.7714
2020-04-26,45.7714
2020-04-27,47.1857
2020-04-28,46.5344
2020-04-29,49.1545
2020-04-30,46.0687
2020-05-01,44.9247
2020-05-02,44.9247
2020-05-03,44.9247
2020-05-04,43.7402
2020-05-05,45.3088
2020-05-06,44.9461
2020-05-07,45.8098
2020-05-08,47.3414
2020-05-09,47.3414
2020-05-10,47.3414
2020-05-11,48.4338
2020-05-12,44.246
2020-05-13,43.4096
2020-05-14,44.9287
2020-05-15,46.9515
2020-05-16,46.9515
2020-05-17,46.9515
2020-05-18,49.3069
2020-05-19,49.6767
2020-05-20,51.5849
2020-05-21,51.8361
2020-05-22,51.5484
2020-05-23,51.5484
2020-05-24,51.5484
2020-05-25,51.5484
2020-05-26,51.4915
2020-05-27,54.2682
2020-05-28,53.6826
2020-05-29,55.0248
2020-05-30,55.0248
2020-05-31,55.0248
2020-06-01,52.3304
2020-06-02,53.308
2020-06-03,54.972
2020-06-04,53.1926
2020-06-05,56.1868
2020-06-06,56.1868
2020-06-07,56.1868
2020-06-08,57.4628
2020-06-09,55.1887
2020-06-10,53.232
2020-06-11,48.8444
2020-06-12,49.518
2020-06-13,49.518
2020-06-14,49.518
2020-06-15,49.9018
2020-06-16,49.6307
2020-06-17,48.9485
2020-06-18,47.8189
2020-06-19,48.4664
2020-06-20,48.4664
2020-06-21,48.4664
2020-06-22,48.7344
2020-06-23,48.3207
2020-06-24,45.924
2020-06-25,47.7915
2020-06-26,47.6155
2020-06-27,47.6155
2020-06-28,47.6155
2020-06-29,49.1395
2020-06-30,49.1914
2020-07-01,49.0105
2020-07-02,49.8551
2020-07-03,49.8551
2020-07-04,49.8551
2020-07-05,49.8551
2020-07-06,50.0484
2020-07-07,48.5683
2020-07-08,47.9784
2020-07-09,46.6694
2020-07-10,46.9036
2020-07-11,46.9036
2020-07-12,46.9036
2020-07-13,47.1437
2020-07-14,49.6406
2020-07-15,52.5019
2020-07-16,54.35
2020-07-17,55.6973
2020-07-18,55.6973
2020-07-19,55.6973
2020-07-20,55.869
2020-07-21,56.5788
2020-07-22,57.3948
2020-07-23,57.4084
2020-07-24,55.7368
2020-07-25,55.7368
2020-07-26,55.7368
2020-07-27,56.0568
2020-07-28,55.4722
2020-07-29,55.8563
2020-07-30,55.4408
2020-07-31,55.9413
2020-08-01,55.9413
2020-08-02,55.9413
2020-08-03,57.0834
2020-08-04,56.9114
2020-08-05,56.8229
2020-08-06,55.8124
2020-08-07,58.0097
2020-08-08,58.0097
2020-08-09,58.0097
2020-08-10,59.3493
2020-08-11,60.5405
2020-08-12,61.5051
2020-08-13,61.5521
2020-08-14,60.4316
2020-08-15,60.4316
2020-08-16,60.4316
2020-08-17,60.046
2020-08-18,57.8079
2020-08-19,57.732
2020-08-20,57.3169
2020-08-21,58.3055
2020-08-22,58.3055
2020-08-23,58.3055
2020-08-24,61.0504
2020-08-25,59.8547
2020-08-26,59.9285
2020-08-27,61.4499
2020-08-28,61.3048
2020-08-29,61.3048
2020-08-30,61.3048
2020-08-31,60.0152
