,UCBI US Equity
,RSI_30D
2020-01-01,58.3291
2020-01-02,58.9993
2020-01-03,57.6052
2020-01-04,57.6052
2020-01-05,57.6052
2020-01-06,53.1402
2020-01-07,48.8658
2020-01-08,52.6118
2020-01-09,53.2949
2020-01-10,50.6841
2020-01-11,50.6841
2020-01-12,50.6841
2020-01-13,50.3483
2020-01-14,48.9398
2020-01-15,47.4998
2020-01-16,51.8929
2020-01-17,52.9422
2020-01-18,52.9422
2020-01-19,52.9422
2020-01-20,52.9422
2020-01-21,49.0976
2020-01-22,45.9937
2020-01-23,47.6725
2020-01-24,44.3792
2020-01-25,44.3792
2020-01-26,44.3792
2020-01-27,42.265
2020-01-28,42.8019
2020-01-29,40.9314
2020-01-30,43.5826
2020-01-31,40.5999
2020-02-01,40.5999
2020-02-02,40.5999
2020-02-03,43.9342
2020-02-04,45.1179
2020-02-05,49.0021
2020-02-06,47.8179
2020-02-07,45.7304
2020-02-08,45.7304
2020-02-09,45.7304
2020-02-10,46.3648
2020-02-11,46.1113
2020-02-12,47.0692
2020-02-13,48.0835
2020-02-14,46.7215
2020-02-15,46.7215
2020-02-16,46.7215
2020-02-17,46.7215
2020-02-18,44.5293
2020-02-19,46.0869
2020-02-20,50.9849
2020-02-21,48.7475
2020-02-22,48.7475
2020-02-23,48.7475
2020-02-24,44.5574
2020-02-25,40.6519
2020-02-26,38.7815
2020-02-27,35.4105
2020-02-28,32.4891
2020-02-29,32.4891
2020-03-01,32.4891
2020-03-02,39.1378
2020-03-03,37.0723
2020-03-04,38.9761
2020-03-05,34.3768
2020-03-06,32.3231
2020-03-07,32.3231
2020-03-08,32.3231
2020-03-09,25.0653
2020-03-10,32.4412
2020-03-11,29.6811
2020-03-12,27.3914
2020-03-13,33.9401
2020-03-14,33.9401
2020-03-15,33.9401
2020-03-16,30.73
2020-03-17,37.7803
2020-03-18,39.5648
2020-03-19,39.534
2020-03-20,36.4862
2020-03-21,36.4862
2020-03-22,36.4862
2020-03-23,33.3509
2020-03-24,36.5193
2020-03-25,37.2625
2020-03-26,41.0688
2020-03-27,40.1245
2020-03-28,40.1245
2020-03-29,40.1245
2020-03-30,40.5317
2020-03-31,39.5933
2020-04-01,38.8804
2020-04-02,41.3122
2020-04-03,39.1957
2020-04-04,39.1957
2020-04-05,39.1957
2020-04-06,41.8467
2020-04-07,41.7243
2020-04-08,43.2483
2020-04-09,46.4516
2020-04-10,46.4516
2020-04-11,46.4516
2020-04-12,46.4516
2020-04-13,44.4038
2020-04-14,43.8236
2020-04-15,41.2523
2020-04-16,40.5553
2020-04-17,43.7158
2020-04-18,43.7158
2020-04-19,43.7158
2020-04-20,43.3057
2020-04-21,42.357
2020-04-22,41.9608
2020-04-23,42.4067
2020-04-24,43.4183
2020-04-25,43.4183
2020-04-26,43.4183
2020-04-27,46.7713
2020-04-28,49.1683
2020-04-29,51.1774
2020-04-30,49.4511
2020-05-01,47.4655
2020-05-02,47.4655
2020-05-03,47.4655
2020-05-04,46.6353
2020-05-05,45.3901
2020-05-06,43.2548
2020-05-07,43.2986
2020-05-08,45.5799
2020-05-09,45.5799
2020-05-10,45.5799
2020-05-11,44.4866
2020-05-12,43.1064
2020-05-13,40.7831
2020-05-14,41.0147
2020-05-15,40.8659
2020-05-16,40.8659
2020-05-17,40.8659
2020-05-18,44.4997
2020-05-19,43.2051
2020-05-20,46.7765
2020-05-21,46.7765
2020-05-22,46.0257
2020-05-23,46.0257
2020-05-24,46.0257
2020-05-25,46.0257
2020-05-26,49.269
2020-05-27,51.8905
2020-05-28,50.3745
2020-05-29,49.3347
2020-05-30,49.3347
2020-05-31,49.3347
2020-06-01,49.2553
2020-06-02,48.7081
2020-06-03,51.2601
2020-06-04,52.3566
2020-06-05,55.6063
2020-06-06,55.6063
2020-06-07,55.6063
2020-06-08,56.5283
2020-06-09,55.4965
2020-06-10,51.6394
2020-06-11,47.9858
2020-06-12,49.3072
2020-06-13,49.3072
2020-06-14,49.3072
2020-06-15,49.7047
2020-06-16,51.4
2020-06-17,49.4839
2020-06-18,49.9388
2020-06-19,49.8768
2020-06-20,49.8768
2020-06-21,49.8768
2020-06-22,49.3074
2020-06-23,49.1355
2020-06-24,47.0765
2020-06-25,48.7707
2020-06-26,46.542
2020-06-27,46.542
2020-06-28,46.542
2020-06-29,49.4244
2020-06-30,50.5783
2020-07-01,48.1176
2020-07-02,47.626
2020-07-03,47.626
2020-07-04,47.626
2020-07-05,47.626
2020-07-06,47.5004
2020-07-07,45.9752
2020-07-08,45.767
2020-07-09,44.3941
2020-07-10,46.2393
2020-07-11,46.2393
2020-07-12,46.2393
2020-07-13,46.9872
2020-07-14,45.9944
2020-07-15,48.639
2020-07-16,48.6635
2020-07-17,47.2622
2020-07-18,47.2622
2020-07-19,47.2622
2020-07-20,46.006
2020-07-21,49.3961
2020-07-22,48.8514
2020-07-23,49.3786
2020-07-24,48.6135
2020-07-25,48.6135
2020-07-26,48.6135
2020-07-27,47.4601
2020-07-28,47.3612
2020-07-29,48.7965
2020-07-30,47.8364
2020-07-31,46.8568
2020-08-01,46.8568
2020-08-02,46.8568
2020-08-03,47.1368
2020-08-04,46.9215
2020-08-05,48.1317
2020-08-06,48.1627
2020-08-07,50.6604
2020-08-08,50.6604
2020-08-09,50.6604
2020-08-10,52.2286
2020-08-11,52.4024
2020-08-12,51.4658
2020-08-13,49.8142
2020-08-14,50.2588
2020-08-15,50.2588
2020-08-16,50.2588
2020-08-17,47.7282
2020-08-18,46.5897
2020-08-19,46.9343
2020-08-20,45.8032
2020-08-21,44.9551
2020-08-22,44.9551
2020-08-23,44.9551
2020-08-24,46.6699
2020-08-25,46.6379
2020-08-26,46.2445
2020-08-27,47.3171
2020-08-28,48.8076
2020-08-29,48.8076
2020-08-30,48.8076
2020-08-31,47.9025
2020-09-01,47.9417
2020-09-02,47.6821
2020-09-03,47.9321
2020-09-04,50.5784
2020-09-05,50.5784
2020-09-06,50.5784
2020-09-07,50.5784
2020-09-08,47.9782
2020-09-09,46.4661
2020-09-10,45.3129
2020-09-11,45.705
2020-09-12,45.705
2020-09-13,45.705
2020-09-14,47.7495
2020-09-15,46.2544
2020-09-16,47.561
2020-09-17,46.8927
2020-09-18,45.9113
2020-09-19,45.9113
2020-09-20,45.9113
2020-09-21,42.8672
2020-09-22,42.1099
2020-09-23,41.2508
2020-09-24,41.5278
2020-09-25,43.5553
2020-09-26,43.5553
2020-09-27,43.5553
2020-09-28,46.086
2020-09-29,44.9071
2020-09-30,46.2351
2020-10-01,46.7096
2020-10-02,48.5422
2020-10-03,48.5422
2020-10-04,48.5422
2020-10-05,51.672
2020-10-06,51.7575
2020-10-07,53.7063
2020-10-08,55.3296
2020-10-09,55.3498
2020-10-10,55.3498
2020-10-11,55.3498
