,PSX US Equity
,RSI_30D
2020-01-01,53.6078
2020-01-02,54.9628
2020-01-03,48.1332
2020-01-04,48.1332
2020-01-05,48.1332
2020-01-06,47.0253
2020-01-07,47.6304
2020-01-08,41.6104
2020-01-09,44.348
2020-01-10,43.3115
2020-01-11,43.3115
2020-01-12,43.3115
2020-01-13,44.0866
2020-01-14,46.0048
2020-01-15,43.8574
2020-01-16,42.3478
2020-01-17,41.6998
2020-01-18,41.6998
2020-01-19,41.6998
2020-01-20,41.6998
2020-01-21,40.4074
2020-01-22,39.7763
2020-01-23,40.219
2020-01-24,37.9126
2020-01-25,37.9126
2020-01-26,37.9126
2020-01-27,34.0144
2020-01-28,33.7714
2020-01-29,32.8325
2020-01-30,34.1309
2020-01-31,29.2912
2020-02-01,29.2912
2020-02-02,29.2912
2020-02-03,27.3788
2020-02-04,27.1875
2020-02-05,34.5991
2020-02-06,32.4872
2020-02-07,32.6804
2020-02-08,32.6804
2020-02-09,32.6804
2020-02-10,32.619
2020-02-11,32.6377
2020-02-12,34.281
2020-02-13,33.5035
2020-02-14,33.5625
2020-02-15,33.5625
2020-02-16,33.5625
2020-02-17,33.5625
2020-02-18,32.117
2020-02-19,32.8497
2020-02-20,36.4562
2020-02-21,35.4447
2020-02-22,35.4447
2020-02-23,35.4447
2020-02-24,32.7542
2020-02-25,29.5224
2020-02-26,27.6556
2020-02-27,23.8389
2020-02-28,24.8988
2020-02-29,24.8988
2020-03-01,24.8988
2020-03-02,25.3465
2020-03-03,24.0135
2020-03-04,27.1322
2020-03-05,25.5106
2020-03-06,24.0093
2020-03-07,24.0093
2020-03-08,24.0093
2020-03-09,20.6304
2020-03-10,22.6149
2020-03-11,19.3752
2020-03-12,16.7325
2020-03-13,26.2049
2020-03-14,26.2049
2020-03-15,26.2049
2020-03-16,24.0404
2020-03-17,23.5126
2020-03-18,22.3392
2020-03-19,25.1687
2020-03-20,27.848
2020-03-21,27.848
2020-03-22,27.848
2020-03-23,25.6229
2020-03-24,28.8993
2020-03-25,33.1913
2020-03-26,36.3347
2020-03-27,35.4173
2020-03-28,35.4173
2020-03-29,35.4173
2020-03-30,36.8826
2020-03-31,36.6442
2020-04-01,34.7577
2020-04-02,36.5612
2020-04-03,36.514
2020-04-04,36.514
2020-04-05,36.514
2020-04-06,41.0824
2020-04-07,41.9834
2020-04-08,45.5901
2020-04-09,44.3633
2020-04-10,44.3633
2020-04-11,44.3633
2020-04-12,44.3633
2020-04-13,44.3918
2020-04-14,44.1064
2020-04-15,41.515
2020-04-16,39.9627
2020-04-17,44.3555
2020-04-18,44.3555
2020-04-19,44.3555
2020-04-20,43.5803
2020-04-21,42.855
2020-04-22,43.8654
2020-04-23,45.1664
2020-04-24,45.5746
2020-04-25,45.5746
2020-04-26,45.5746
2020-04-27,47.7034
2020-04-28,50.3182
2020-04-29,54.1155
2020-04-30,53.8873
2020-05-01,49.4359
2020-05-02,49.4359
2020-05-03,49.4359
2020-05-04,53.583
2020-05-05,54.5152
2020-05-06,52.4315
2020-05-07,53.2186
2020-05-08,55.2696
2020-05-09,55.2696
2020-05-10,55.2696
2020-05-11,55.0101
2020-05-12,52.9401
2020-05-13,51.3486
2020-05-14,51.7805
2020-05-15,51.8303
2020-05-16,51.8303
2020-05-17,51.8303
2020-05-18,55.0408
2020-05-19,54.2991
2020-05-20,56.0505
2020-05-21,55.2125
2020-05-22,54.7526
2020-05-23,54.7526
2020-05-24,54.7526
2020-05-25,54.7526
2020-05-26,56.2544
2020-05-27,57.8461
2020-05-28,55.449
2020-05-29,55.225
2020-05-30,55.225
2020-05-31,55.225
2020-06-01,55.5778
2020-06-02,57.2526
2020-06-03,58.5278
2020-06-04,58.0303
2020-06-05,60.5017
2020-06-06,60.5017
2020-06-07,60.5017
2020-06-08,61.7724
2020-06-09,58.3866
2020-06-10,57.314
2020-06-11,50.6166
2020-06-12,52.0215
2020-06-13,52.0215
2020-06-14,52.0215
2020-06-15,50.9208
2020-06-16,51.8353
2020-06-17,49.101
2020-06-18,51.2496
2020-06-19,50.244
2020-06-20,50.244
2020-06-21,50.244
2020-06-22,50.0461
2020-06-23,50.2488
2020-06-24,47.1417
2020-06-25,47.1991
2020-06-26,45.9104
2020-06-27,45.9104
2020-06-28,45.9104
2020-06-29,46.3574
2020-06-30,48.7625
2020-07-01,46.8897
2020-07-02,46.4335
2020-07-03,46.4335
2020-07-04,46.4335
2020-07-05,46.4335
2020-07-06,46.211
2020-07-07,43.9157
2020-07-08,43.511
2020-07-09,40.4503
2020-07-10,42.2
2020-07-11,42.2
2020-07-12,42.2
2020-07-13,41.7184
2020-07-14,43.1541
2020-07-15,46.0039
2020-07-16,45.6052
2020-07-17,44.9024
2020-07-18,44.9024
2020-07-19,44.9024
2020-07-20,43.877
2020-07-21,47.2523
2020-07-22,46.426
2020-07-23,46.3758
2020-07-24,46.2871
2020-07-25,46.2871
2020-07-26,46.2871
2020-07-27,45.931
2020-07-28,45.1586
2020-07-29,46.9848
2020-07-30,45.0526
2020-07-31,44.2438
2020-08-01,44.2438
2020-08-02,44.2438
2020-08-03,43.5634
2020-08-04,44.2824
2020-08-05,44.3929
2020-08-06,43.5885
2020-08-07,45.5474
2020-08-08,45.5474
2020-08-09,45.5474
2020-08-10,47.5314
2020-08-11,46.8602
2020-08-12,47.1649
2020-08-13,45.5616
2020-08-14,46.6473
2020-08-15,46.6473
2020-08-16,46.6473
2020-08-17,46.2712
2020-08-18,45.28
2020-08-19,45.4068
2020-08-20,44.966
2020-08-21,44.966
2020-08-22,44.966
