,TSC US Equity
,RSI_30D
2020-01-01,69.4667
2020-01-02,65.8545
2020-01-03,66.8728
2020-01-04,66.8728
2020-01-05,66.8728
2020-01-06,63.5636
2020-01-07,61.466
2020-01-08,62.4627
2020-01-09,61.8129
2020-01-10,56.5567
2020-01-11,56.5567
2020-01-12,56.5567
2020-01-13,57.5011
2020-01-14,59.2574
2020-01-15,55.541
2020-01-16,57.8214
2020-01-17,55.6558
2020-01-18,55.6558
2020-01-19,55.6558
2020-01-20,55.6558
2020-01-21,53.3988
2020-01-22,53.9621
2020-01-23,54.5707
2020-01-24,48.5898
2020-01-25,48.5898
2020-01-26,48.5898
2020-01-27,49.439
2020-01-28,48.5268
2020-01-29,45.0121
2020-01-30,45.7349
2020-01-31,38.5857
2020-02-01,38.5857
2020-02-02,38.5857
2020-02-03,40.0965
2020-02-04,41.24
2020-02-05,43.8826
2020-02-06,40.2023
2020-02-07,40.3719
2020-02-08,40.3719
2020-02-09,40.3719
2020-02-10,37.8195
2020-02-11,37.2893
2020-02-12,38.5372
2020-02-13,40.9675
2020-02-14,42.5618
2020-02-15,42.5618
2020-02-16,42.5618
2020-02-17,42.5618
2020-02-18,39.0584
2020-02-19,40.9542
2020-02-20,40.5569
2020-02-21,40.3833
2020-02-22,40.3833
2020-02-23,40.3833
2020-02-24,37.4525
2020-02-25,33.0104
2020-02-26,33.9488
2020-02-27,32.6581
2020-02-28,28.7396
2020-02-29,28.7396
2020-03-01,28.7396
2020-03-02,32.6007
2020-03-03,30.04
2020-03-04,29.579
2020-03-05,26.9232
2020-03-06,25.847
2020-03-07,25.847
2020-03-08,25.847
2020-03-09,20.4313
2020-03-10,24.6144
2020-03-11,22.8837
2020-03-12,20.7319
2020-03-13,24.8749
2020-03-14,24.8749
2020-03-15,24.8749
2020-03-16,20.7334
2020-03-17,21.2433
2020-03-18,16.4826
2020-03-19,29.3515
2020-03-20,27.0269
2020-03-21,27.0269
2020-03-22,27.0269
2020-03-23,25.9856
2020-03-24,26.764
2020-03-25,26.4404
2020-03-26,29.6974
2020-03-27,29.5485
2020-03-28,29.5485
2020-03-29,29.5485
2020-03-30,29.7142
2020-03-31,29.9528
2020-04-01,28.1058
2020-04-02,28.6271
2020-04-03,29.8549
2020-04-04,29.8549
2020-04-05,29.8549
2020-04-06,32.8915
2020-04-07,35.4572
2020-04-08,35.6505
2020-04-09,35.8823
2020-04-10,35.8823
2020-04-11,35.8823
2020-04-12,35.8823
2020-04-13,36.691
2020-04-14,36.6511
2020-04-15,34.628
2020-04-16,34.2891
2020-04-17,37.3545
2020-04-18,37.3545
