,ECHO US Equity
,RSI_30D
2020-01-01,46.7698
2020-01-02,45.8214
2020-01-03,45.4131
2020-01-04,45.4131
2020-01-05,45.4131
2020-01-06,44.8164
2020-01-07,45.5564
2020-01-08,47.6781
2020-01-09,48.3358
2020-01-10,48.5588
2020-01-11,48.5588
2020-01-12,48.5588
2020-01-13,51.8382
2020-01-14,52.9073
2020-01-15,56.6958
2020-01-16,58.9989
2020-01-17,59.7374
2020-01-18,59.7374
2020-01-19,59.7374
2020-01-20,59.7374
2020-01-21,55.8093
2020-01-22,56.4197
2020-01-23,53.5765
2020-01-24,49.7139
2020-01-25,49.7139
2020-01-26,49.7139
2020-01-27,47.7165
2020-01-28,50.2818
2020-01-29,47.7248
2020-01-30,45.201
2020-01-31,41.4698
2020-02-01,41.4698
2020-02-02,41.4698
2020-02-03,42.3114
2020-02-04,44.9144
2020-02-05,47.7592
2020-02-06,51.578
2020-02-07,51.6958
2020-02-08,51.6958
2020-02-09,51.6958
2020-02-10,48.5967
2020-02-11,49.584
2020-02-12,51.3949
2020-02-13,49.3571
2020-02-14,47.6754
2020-02-15,47.6754
2020-02-16,47.6754
2020-02-17,47.6754
2020-02-18,48.8084
2020-02-19,48.1296
2020-02-20,51.8764
2020-02-21,52.2641
2020-02-22,52.2641
2020-02-23,52.2641
2020-02-24,48.5796
2020-02-25,46.2095
2020-02-26,44.865
2020-02-27,41.6334
2020-02-28,40.2856
2020-02-29,40.2856
2020-03-01,40.2856
2020-03-02,41.1368
2020-03-03,38.0098
2020-03-04,40.0984
2020-03-05,37.8263
2020-03-06,37.075
2020-03-07,37.075
2020-03-08,37.075
2020-03-09,35.0679
2020-03-10,37.3615
2020-03-11,34.4718
2020-03-12,34.0066
2020-03-13,40.4862
2020-03-14,40.4862
2020-03-15,40.4862
2020-03-16,35.6368
2020-03-17,42.1838
2020-03-18,38.5325
2020-03-19,43.4489
2020-03-20,42.5632
2020-03-21,42.5632
2020-03-22,42.5632
2020-03-23,44.1613
2020-03-24,46.7687
2020-03-25,45.4778
2020-03-26,46.5488
2020-03-27,42.3726
2020-03-28,42.3726
2020-03-29,42.3726
2020-03-30,43.1344
2020-03-31,46.1333
2020-04-01,43.3142
2020-04-02,44.6771
2020-04-03,44.2206
2020-04-04,44.2206
2020-04-05,44.2206
2020-04-06,48.2489
2020-04-07,47.6772
2020-04-08,49.5329
2020-04-09,50.579
2020-04-10,50.579
2020-04-11,50.579
2020-04-12,50.579
2020-04-13,49.1959
2020-04-14,47.6647
2020-04-15,46.0066
2020-04-16,45.3323
2020-04-17,49.8008
2020-04-18,49.8008
2020-04-19,49.8008
2020-04-20,48.1023
2020-04-21,47.1823
2020-04-22,45.645
2020-04-23,43.0569
2020-04-24,45.6092
2020-04-25,45.6092
2020-04-26,45.6092
2020-04-27,47.0298
2020-04-28,48.5152
2020-04-29,50.4544
2020-04-30,49.3018
2020-05-01,48.3826
2020-05-02,48.3826
2020-05-03,48.3826
2020-05-04,46.5856
2020-05-05,46.4116
2020-05-06,47.7489
2020-05-07,47.9012
2020-05-08,49.6468
2020-05-09,49.6468
2020-05-10,49.6468
2020-05-11,49.5721
2020-05-12,47.6676
2020-05-13,44.584
