,LGIH US Equity
,RSI_30D
2020-01-01,36.4425
2020-01-02,36.4091
2020-01-03,37.2812
2020-01-04,37.2812
2020-01-05,37.2812
2020-01-06,39.6552
2020-01-07,44.1209
2020-01-08,45.8199
2020-01-09,45.3168
2020-01-10,46.7778
2020-01-11,46.7778
2020-01-12,46.7778
2020-01-13,46.7778
2020-01-14,47.5703
2020-01-15,51.844
2020-01-16,51.0801
2020-01-17,50.7509
2020-01-18,50.7509
2020-01-19,50.7509
2020-01-20,50.7509
2020-01-21,54.1585
2020-01-22,55.1518
2020-01-23,56.5355
2020-01-24,55.6475
2020-01-25,55.6475
2020-01-26,55.6475
2020-01-27,54.297
2020-01-28,55.6336
2020-01-29,54.8409
2020-01-30,54.4119
2020-01-31,51.0025
2020-02-01,51.0025
2020-02-02,51.0025
2020-02-03,52.9295
2020-02-04,53.7296
2020-02-05,60.9806
2020-02-06,61.9645
2020-02-07,62.9532
2020-02-08,62.9532
2020-02-09,62.9532
2020-02-10,65.1473
2020-02-11,65.5874
2020-02-12,65.8879
2020-02-13,66.3078
2020-02-14,66.7104
2020-02-15,66.7104
2020-02-16,66.7104
2020-02-17,66.7104
2020-02-18,66.9149
2020-02-19,68.6851
2020-02-20,69.6685
2020-02-21,67.6915
2020-02-22,67.6915
2020-02-23,67.6915
2020-02-24,65.4465
2020-02-25,45.509
2020-02-26,43.1828
2020-02-27,43.0324
2020-02-28,41.0322
2020-02-29,41.0322
2020-03-01,41.0322
2020-03-02,47.6644
2020-03-03,50.9699
2020-03-04,55.3205
2020-03-05,55.6903
2020-03-06,52.0412
2020-03-07,52.0412
2020-03-08,52.0412
2020-03-09,41.2281
2020-03-10,44.2103
2020-03-11,40.1252
2020-03-12,34.3377
2020-03-13,36.1472
2020-03-14,36.1472
2020-03-15,36.1472
2020-03-16,29.2385
2020-03-17,30.1912
2020-03-18,28.1571
2020-03-19,31.4306
2020-03-20,33.0059
2020-03-21,33.0059
2020-03-22,33.0059
2020-03-23,33.7641
2020-03-24,37.149
2020-03-25,39.6904
2020-03-26,38.8793
2020-03-27,37.4645
2020-03-28,37.4645
2020-03-29,37.4645
2020-03-30,36.4329
2020-03-31,36.4168
2020-04-01,33.8831
2020-04-02,32.6732
2020-04-03,32.3751
2020-04-04,32.3751
2020-04-05,32.3751
2020-04-06,37.2014
2020-04-07,39.4119
2020-04-08,43.337
2020-04-09,45.441
2020-04-10,45.441
2020-04-11,45.441
2020-04-12,45.441
2020-04-13,41.7602
2020-04-14,44.0465
2020-04-15,41.9362
2020-04-16,42.4643
2020-04-17,44.3599
2020-04-18,44.3599
2020-04-19,44.3599
2020-04-20,43.9376
2020-04-21,43.7599
2020-04-22,43.2041
2020-04-23,42.9199
2020-04-24,44.3554
2020-04-25,44.3554
2020-04-26,44.3554
2020-04-27,46.6018
2020-04-28,48.2236
2020-04-29,52.3619
2020-04-30,50.9038
2020-05-01,50.6366
2020-05-02,50.6366
2020-05-03,50.6366
2020-05-04,51.8853
2020-05-05,52.6475
2020-05-06,54.0459
2020-05-07,54.5897
2020-05-08,56.3091
2020-05-09,56.3091
2020-05-10,56.3091
2020-05-11,56.8204
2020-05-12,55.3074
2020-05-13,53.3078
2020-05-14,53.5791
2020-05-15,55.7999
2020-05-16,55.7999
2020-05-17,55.7999
2020-05-18,59.2808
2020-05-19,59.9719
2020-05-20,60.1502
2020-05-21,59.5729
2020-05-22,60.6265
2020-05-23,60.6265
2020-05-24,60.6265
2020-05-25,60.6265
2020-05-26,62.1324
2020-05-27,63.6119
2020-05-28,60.2121
2020-05-29,59.936
2020-05-30,59.936
2020-05-31,59.936
2020-06-01,60.1396
2020-06-02,61.4944
2020-06-03,63.334
2020-06-04,59.3544
2020-06-05,61.6934
2020-06-06,61.6934
2020-06-07,61.6934
2020-06-08,60.0903
2020-06-09,59.4897
2020-06-10,60.413
2020-06-11,55.1577
2020-06-12,57.0177
2020-06-13,57.0177
2020-06-14,57.0177
2020-06-15,59.2706
2020-06-16,60.4016
2020-06-17,59.9108
2020-06-18,57.9299
2020-06-19,57.1532
2020-06-20,57.1532
2020-06-21,57.1532
2020-06-22,58.1325
2020-06-23,58.7114
2020-06-24,55.5723
2020-06-25,55.5934
2020-06-26,52.5799
2020-06-27,52.5799
2020-06-28,52.5799
2020-06-29,55.0467
2020-06-30,56.076
2020-07-01,55.2409
2020-07-02,55.8355
2020-07-03,55.8355
2020-07-04,55.8355
2020-07-05,55.8355
2020-07-06,58.1074
2020-07-07,60.6955
2020-07-08,62.9086
2020-07-09,59.9744
2020-07-10,61.3479
