,DISCA US Equity
,RSI_30D
2020-01-01,64.7886
2020-01-02,61.1045
2020-01-03,59.8188
2020-01-04,59.8188
2020-01-05,59.8188
2020-01-06,59.3429
2020-01-07,59.862
2020-01-08,60.0539
2020-01-09,60.7334
2020-01-10,57.8259
2020-01-11,57.8259
2020-01-12,57.8259
2020-01-13,57.3995
2020-01-14,57.987
2020-01-15,59.7616
2020-01-16,62.3275
2020-01-17,59.797
2020-01-18,59.797
2020-01-19,59.797
2020-01-20,59.797
2020-01-21,56.5818
2020-01-22,56.8945
2020-01-23,47.562
2020-01-24,46.9071
2020-01-25,46.9071
2020-01-26,46.9071
2020-01-27,46.2983
2020-01-28,48.1265
2020-01-29,44.1076
2020-01-30,45.3813
2020-01-31,42.3839
2020-02-01,42.3839
2020-02-02,42.3839
2020-02-03,41.9067
2020-02-04,45.3226
2020-02-05,49.918
2020-02-06,47.2413
2020-02-07,46.0951
2020-02-08,46.0951
2020-02-09,46.0951
2020-02-10,46.3025
2020-02-11,48.2336
2020-02-12,48.9677
2020-02-13,48.8689
2020-02-14,48.2639
2020-02-15,48.2639
2020-02-16,48.2639
2020-02-17,48.2639
2020-02-18,48.7561
2020-02-19,49.7452
2020-02-20,47.131
2020-02-21,43.4681
2020-02-22,43.4681
2020-02-23,43.4681
2020-02-24,39.7752
2020-02-25,36.5784
2020-02-26,33.5968
2020-02-27,28.9684
2020-02-28,34.3242
2020-02-29,34.3242
2020-03-01,34.3242
2020-03-02,37.6304
2020-03-03,37.1878
2020-03-04,38.4517
2020-03-05,34.998
2020-03-06,35.974
2020-03-07,35.974
2020-03-08,35.974
2020-03-09,31.7679
2020-03-10,37.78
2020-03-11,35.4736
2020-03-12,31.9523
2020-03-13,34.2656
2020-03-14,34.2656
2020-03-15,34.2656
2020-03-16,30.3157
2020-03-17,33.4077
2020-03-18,30.7899
2020-03-19,35.1139
2020-03-20,31.3895
2020-03-21,31.3895
2020-03-22,31.3895
2020-03-23,31.016
2020-03-24,35.5418
2020-03-25,38.3406
2020-03-26,38.1245
2020-03-27,35.1302
2020-03-28,35.1302
2020-03-29,35.1302
2020-03-30,37.7394
2020-03-31,36.8476
2020-04-01,36.8882
2020-04-02,35.6629
2020-04-03,35.164
2020-04-04,35.164
2020-04-05,35.164
2020-04-06,38.7381
2020-04-07,41.3813
2020-04-08,43.6261
2020-04-09,45.3855
2020-04-10,45.3855
2020-04-11,45.3855
2020-04-12,45.3855
2020-04-13,44.7413
