,MCO US Equity
,RSI_30D
2020-01-01,64.2375
2020-01-02,67.713
2020-01-03,66.7784
2020-01-04,66.7784
2020-01-05,66.7784
2020-01-06,67.3609
2020-01-07,65.9727
2020-01-08,69.4332
2020-01-09,71.5274
2020-01-10,70.2631
2020-01-11,70.2631
2020-01-12,70.2631
2020-01-13,72.393
2020-01-14,69.3344
2020-01-15,71.5105
2020-01-16,73.1631
2020-01-17,73.9801
2020-01-18,73.9801
2020-01-19,73.9801
2020-01-20,73.9801
2020-01-21,72.1257
2020-01-22,72.7448
2020-01-23,72.1871
2020-01-24,70.0382
2020-01-25,70.0382
2020-01-26,70.0382
2020-01-27,69.3122
2020-01-28,72.3217
2020-01-29,72.5851
2020-01-30,74.2433
2020-01-31,65.1319
2020-02-01,65.1319
2020-02-02,65.1319
2020-02-03,67.6043
2020-02-04,70.5944
2020-02-05,67.8055
2020-02-06,69.614
2020-02-07,69.0563
2020-02-08,69.0563
2020-02-09,69.0563
2020-02-10,69.517
2020-02-11,70.7566
2020-02-12,71.8751
2020-02-13,71.1308
2020-02-14,73.385
2020-02-15,73.385
2020-02-16,73.385
2020-02-17,73.385
2020-02-18,74.5432
2020-02-19,76.2781
2020-02-20,69.4663
2020-02-21,63.0945
2020-02-22,63.0945
2020-02-23,63.0945
2020-02-24,59.0957
2020-02-25,54.6409
2020-02-26,55.1905
2020-02-27,45.361
2020-02-28,43.4518
2020-02-29,43.4518
2020-03-01,43.4518
2020-03-02,53.2681
2020-03-03,50.1927
2020-03-04,56.6922
2020-03-05,49.8571
2020-03-06,45.1636
2020-03-07,45.1636
2020-03-08,45.1636
2020-03-09,37.9454
2020-03-10,43.6004
2020-03-11,39.9284
2020-03-12,36.4461
2020-03-13,42.1887
2020-03-14,42.1887
2020-03-15,42.1887
2020-03-16,37.2991
2020-03-17,41.5277
2020-03-18,37.2127
2020-03-19,38.067
2020-03-20,37.752
2020-03-21,37.752
2020-03-22,37.752
2020-03-23,36.1802
2020-03-24,43.1857
2020-03-25,45.4834
2020-03-26,48.7258
2020-03-27,48.0147
2020-03-28,48.0147
2020-03-29,48.0147
2020-03-30,48.3967
