,SRCE US Equity
,RSI_30D
2020-01-01,58.1967
2020-01-02,57.7062
2020-01-03,55.3616
2020-01-04,55.3616
2020-01-05,55.3616
2020-01-06,53.5094
2020-01-07,49.8724
2020-01-08,50.9823
2020-01-09,50.4953
2020-01-10,48.3455
2020-01-11,48.3455
2020-01-12,48.3455
2020-01-13,51.7679
2020-01-14,52.2197
2020-01-15,52.0935
2020-01-16,54.6979
2020-01-17,52.6385
2020-01-18,52.6385
2020-01-19,52.6385
2020-01-20,52.6385
2020-01-21,47.8088
2020-01-22,47.4291
2020-01-23,43.6864
2020-01-24,44.1238
2020-01-25,44.1238
2020-01-26,44.1238
2020-01-27,42.7498
2020-01-28,40.4245
2020-01-29,37.5902
2020-01-30,40.9162
2020-01-31,35.4642
2020-02-01,35.4642
2020-02-02,35.4642
2020-02-03,38.1273
2020-02-04,40.4438
2020-02-05,45.8179
2020-02-06,43.7562
2020-02-07,41.4965
2020-02-08,41.4965
2020-02-09,41.4965
2020-02-10,41.2124
2020-02-11,42.1345
2020-02-12,41.7208
2020-02-13,43.9464
2020-02-14,42.6913
2020-02-15,42.6913
2020-02-16,42.6913
2020-02-17,42.6913
2020-02-18,40.7356
2020-02-19,41.4295
2020-02-20,43.2792
2020-02-21,41.3863
2020-02-22,41.3863
2020-02-23,41.3863
2020-02-24,37.8878
2020-02-25,34.8972
2020-02-26,34.4948
2020-02-27,30.2884
2020-02-28,27.2704
2020-02-29,27.2704
2020-03-01,27.2704
2020-03-02,34.3242
2020-03-03,31.5029
2020-03-04,34.0739
2020-03-05,30.2601
2020-03-06,28.8754
2020-03-07,28.8754
2020-03-08,28.8754
2020-03-09,22.3977
2020-03-10,21.34
2020-03-11,19.7695
2020-03-12,17.4083
2020-03-13,28.5193
2020-03-14,28.5193
2020-03-15,28.5193
2020-03-16,25.6622
2020-03-17,30.3582
2020-03-18,26.895
2020-03-19,32.1217
2020-03-20,29.8152
2020-03-21,29.8152
2020-03-22,29.8152
2020-03-23,29.3834
2020-03-24,34.7921
2020-03-25,34.9472
2020-03-26,38.9696
2020-03-27,37.1081
2020-03-28,37.1081
2020-03-29,37.1081
2020-03-30,38.9439
2020-03-31,39.6256
2020-04-01,37.615
2020-04-02,39.1087
2020-04-03,37.3957
2020-04-04,37.3957
2020-04-05,37.3957
2020-04-06,40.6627
2020-04-07,41.1039
2020-04-08,42.2826
2020-04-09,45.6027
2020-04-10,45.6027
2020-04-11,45.6027
2020-04-12,45.6027
2020-04-13,43.811
2020-04-14,43.0594
2020-04-15,41.5621
2020-04-16,40.5434
2020-04-17,43.7276
2020-04-18,43.7276
2020-04-19,43.7276
2020-04-20,42.6574
2020-04-21,42.1132
2020-04-22,42.0453
2020-04-23,42.6988
2020-04-24,43.1837
2020-04-25,43.1837
2020-04-26,43.1837
2020-04-27,46.2282
2020-04-28,47.1345
2020-04-29,49.7623
2020-04-30,47.7699
2020-05-01,46.5291
2020-05-02,46.5291
2020-05-03,46.5291
2020-05-04,45.9071
2020-05-05,44.6845
2020-05-06,43.2868
2020-05-07,43.2227
2020-05-08,46.3485
2020-05-09,46.3485
2020-05-10,46.3485
2020-05-11,44.4179
2020-05-12,42.1745
2020-05-13,40.7472
2020-05-14,40.6523
2020-05-15,41.4283
2020-05-16,41.4283
2020-05-17,41.4283
2020-05-18,46.0856
2020-05-19,43.791
2020-05-20,46.6756
2020-05-21,46.8707
2020-05-22,46.4918
2020-05-23,46.4918
2020-05-24,46.4918
2020-05-25,46.4918
2020-05-26,50.154
2020-05-27,53.5746
2020-05-28,51.6137
2020-05-29,50.7718
2020-05-30,50.7718
2020-05-31,50.7718
2020-06-01,49.6001
2020-06-02,49.7572
2020-06-03,51.6968
2020-06-04,52.4317
2020-06-05,54.8962
2020-06-06,54.8962
2020-06-07,54.8962
2020-06-08,55.2999
2020-06-09,54.4063
2020-06-10,50.7793
2020-06-11,46.9745
2020-06-12,48.3383
2020-06-13,48.3383
2020-06-14,48.3383
2020-06-15,49.342
2020-06-16,51.5803
2020-06-17,49.7716
2020-06-18,50.4734
2020-06-19,51.8513
2020-06-20,51.8513
2020-06-21,51.8513
2020-06-22,51.8513
2020-06-23,50.8421
2020-06-24,48.6175
2020-06-25,50.3842
2020-06-26,47.7093
2020-06-27,47.7093
2020-06-28,47.7093
2020-06-29,50.4317
2020-06-30,51.6223
2020-07-01,49.6903
2020-07-02,49.8218
2020-07-03,49.8218
2020-07-04,49.8218
2020-07-05,49.8218
2020-07-06,50.4175
2020-07-07,48.5972
2020-07-08,48.3014
2020-07-09,46.207
2020-07-10,48.3933
2020-07-11,48.3933
2020-07-12,48.3933
2020-07-13,49.1634
2020-07-14,48.5365
2020-07-15,51.1159
2020-07-16,51.6207
2020-07-17,49.8927
2020-07-18,49.8927
2020-07-19,49.8927
2020-07-20,48.7257
2020-07-21,51.4558
2020-07-22,50.0611
2020-07-23,51.209
2020-07-24,50.5341
2020-07-25,50.5341
2020-07-26,50.5341
2020-07-27,50.2168
2020-07-28,49.8928
2020-07-29,50.8427
2020-07-30,49.4326
2020-07-31,47.8869
2020-08-01,47.8869
2020-08-02,47.8869
2020-08-03,48.0938
2020-08-04,47.7373
2020-08-05,49.1226
2020-08-06,49.5705
2020-08-07,52.9434
2020-08-08,52.9434
2020-08-09,52.9434
2020-08-10,54.1013
2020-08-11,55.8715
2020-08-12,55.3828
2020-08-13,53.5909
2020-08-14,54.5572
2020-08-15,54.5572
2020-08-16,54.5572
2020-08-17,52.911
2020-08-18,50.2946
2020-08-19,50.5475
2020-08-20,49.5443
2020-08-21,48.9612
2020-08-22,48.9612
2020-08-23,48.9612
2020-08-24,51.2923
2020-08-25,51.271
2020-08-26,49.3669
2020-08-27,50.7339
2020-08-28,50.755
2020-08-29,50.755
2020-08-30,50.755
2020-08-31,49.956
2020-09-01,49.3973
2020-09-02,49.8154
2020-09-03,49.863
2020-09-04,50.638
2020-09-05,50.638
2020-09-06,50.638
2020-09-07,50.638
2020-09-08,48.2968
2020-09-09,47.732
2020-09-10,46.5127
2020-09-11,45.6316
