,TERP US Equity
,RSI_30D
2020-01-01,42.0971
2020-01-02,41.6919
2020-01-03,43.1773
2020-01-04,43.1773
2020-01-05,43.1773
2020-01-06,42.0686
2020-01-07,41.9625
2020-01-08,43.7252
2020-01-09,44.5956
2020-01-10,45.7529
2020-01-11,45.7529
2020-01-12,45.7529
2020-01-13,61.8347
2020-01-14,62.2061
2020-01-15,63.2425
2020-01-16,62.2958
2020-01-17,62.4122
2020-01-18,62.4122
2020-01-19,62.4122
2020-01-20,62.4122
2020-01-21,62.5716
2020-01-22,61.4926
2020-01-23,62.0844
2020-01-24,62.1704
2020-01-25,62.1704
2020-01-26,62.1704
2020-01-27,60.1948
2020-01-28,63.1376
2020-01-29,64.2631
2020-01-30,66.4575
2020-01-31,67.5246
2020-02-01,67.5246
2020-02-02,67.5246
2020-02-03,68.6259
2020-02-04,69.1667
2020-02-05,71.4572
2020-02-06,74.6018
2020-02-07,75.1392
2020-02-08,75.1392
2020-02-09,75.1392
2020-02-10,76.8439
2020-02-11,77.7401
2020-02-12,78.359
2020-02-13,79.2731
2020-02-14,80.1047
2020-02-15,80.1047
2020-02-16,80.1047
2020-02-17,80.1047
2020-02-18,82.188
2020-02-19,82.7018
2020-02-20,81.9822
2020-02-21,79.8269
2020-02-22,79.8269
2020-02-23,79.8269
2020-02-24,70.6093
2020-02-25,61.5247
2020-02-26,62.3964
2020-02-27,54.2369
2020-02-28,54.7901
2020-02-29,54.7901
2020-03-01,54.7901
2020-03-02,59.7157
2020-03-03,61.3493
2020-03-04,62.7235
2020-03-05,60.1306
2020-03-06,58.9444
2020-03-07,58.9444
2020-03-08,58.9444
2020-03-09,45.2178
2020-03-10,46.7276
2020-03-11,40.8975
2020-03-12,32.5302
2020-03-13,38.4591
2020-03-14,38.4591
2020-03-15,38.4591
2020-03-16,32.1146
2020-03-17,43.2106
2020-03-18,39.09
2020-03-19,40.1097
2020-03-20,41.1881
2020-03-21,41.1881
2020-03-22,41.1881
2020-03-23,36.7567
2020-03-24,41.9173
2020-03-25,47.2553
2020-03-26,48.4604
2020-03-27,46.7461
2020-03-28,46.7461
2020-03-29,46.7461
2020-03-30,47.3426
2020-03-31,48.1512
2020-04-01,45.9011
2020-04-02,46.1661
2020-04-03,45.9755
2020-04-04,45.9755
2020-04-05,45.9755
2020-04-06,49.0701
2020-04-07,49.5142
2020-04-08,50.8443
2020-04-09,51.356
2020-04-10,51.356
2020-04-11,51.356
2020-04-12,51.356
2020-04-13,51.0313
2020-04-14,51.9026
2020-04-15,50.4579
2020-04-16,50.7113
2020-04-17,52.6411
2020-04-18,52.6411
2020-04-19,52.6411
2020-04-20,51.4503
2020-04-21,49.225
2020-04-22,49.8324
2020-04-23,49.5657
2020-04-24,49.7604
2020-04-25,49.7604
2020-04-26,49.7604
2020-04-27,51.6365
2020-04-28,52.0452
2020-04-29,53.6391
2020-04-30,52.0614
2020-05-01,50.5815
2020-05-02,50.5815
2020-05-03,50.5815
2020-05-04,49.3622
2020-05-05,50.6799
2020-05-06,51.748
2020-05-07,52.9445
2020-05-08,54.9003
2020-05-09,54.9003
2020-05-10,54.9003
2020-05-11,56.0968
2020-05-12,54.7772
2020-05-13,53.0611
2020-05-14,53.1767
