,FLIC US Equity
,RSI_30D
2020-01-01,64.2451
2020-01-02,60.3167
2020-01-03,58.8014
2020-01-04,58.8014
2020-01-05,58.8014
2020-01-06,53.8403
2020-01-07,49.9023
2020-01-08,52.5683
2020-01-09,50.9501
2020-01-10,48.4312
2020-01-11,48.4312
2020-01-12,48.4312
2020-01-13,51.613
2020-01-14,50.4876
2020-01-15,50.2814
2020-01-16,52.2969
2020-01-17,50.7022
2020-01-18,50.7022
2020-01-19,50.7022
2020-01-20,50.7022
2020-01-21,49.353
2020-01-22,49.0415
2020-01-23,48.8289
2020-01-24,46.1393
2020-01-25,46.1393
2020-01-26,46.1393
2020-01-27,44.4821
2020-01-28,43.1613
2020-01-29,39.5198
2020-01-30,44.054
2020-01-31,36.5043
2020-02-01,36.5043
2020-02-02,36.5043
2020-02-03,41.3068
2020-02-04,48.3754
2020-02-05,49.8626
2020-02-06,47.4582
2020-02-07,45.7144
2020-02-08,45.7144
2020-02-09,45.7144
2020-02-10,46.1083
2020-02-11,47.6794
2020-02-12,47.6794
2020-02-13,48.7976
2020-02-14,48.039
2020-02-15,48.039
2020-02-16,48.039
2020-02-17,48.039
2020-02-18,47.2786
2020-02-19,46.971
2020-02-20,45.9654
2020-02-21,45.1955
2020-02-22,45.1955
2020-02-23,45.1955
2020-02-24,44.125
2020-02-25,40.315
2020-02-26,40.2484
2020-02-27,34.3758
2020-02-28,31.9635
2020-02-29,31.9635
2020-03-01,31.9635
2020-03-02,39.0436
2020-03-03,36.7677
2020-03-04,37.424
2020-03-05,32.8791
2020-03-06,30.2248
2020-03-07,30.2248
2020-03-08,30.2248
2020-03-09,24.282
2020-03-10,27.9625
2020-03-11,25.4293
2020-03-12,22.4621
2020-03-13,26.1942
2020-03-14,26.1942
2020-03-15,26.1942
2020-03-16,23.5711
2020-03-17,33.1723
2020-03-18,26.706
2020-03-19,32.9332
2020-03-20,31.555
2020-03-21,31.555
2020-03-22,31.555
2020-03-23,32.3505
2020-03-24,36.3177
2020-03-25,35.3397
2020-03-26,40.9396
2020-03-27,40.7745
2020-03-28,40.7745
2020-03-29,40.7745
2020-03-30,42.8891
2020-03-31,44.5899
2020-04-01,41.1916
2020-04-02,40.5045
2020-04-03,38.3995
2020-04-04,38.3995
2020-04-05,38.3995
2020-04-06,41.7075
2020-04-07,41.2452
2020-04-08,41.3329
2020-04-09,44.6666
2020-04-10,44.6666
2020-04-11,44.6666
2020-04-12,44.6666
2020-04-13,43.0238
2020-04-14,42.6607
2020-04-15,40.4387
2020-04-16,39.2528
2020-04-17,41.3581
2020-04-18,41.3581
2020-04-19,41.3581
2020-04-20,40.9241
2020-04-21,40.7976
2020-04-22,40.8921
2020-04-23,41.821
2020-04-24,42.1776
2020-04-25,42.1776
2020-04-26,42.1776
2020-04-27,45.8305
2020-04-28,48.0643
2020-04-29,49.9231
2020-04-30,45.9844
2020-05-01,44.3272
2020-05-02,44.3272
2020-05-03,44.3272
2020-05-04,43.9579
2020-05-05,43.7224
2020-05-06,43.0072
2020-05-07,42.5988
2020-05-08,43.8957
2020-05-09,43.8957
2020-05-10,43.8957
2020-05-11,43.3136
2020-05-12,41.793
2020-05-13,40.1899
2020-05-14,40.024
2020-05-15,41.5573
2020-05-16,41.5573
2020-05-17,41.5573
2020-05-18,45.418
2020-05-19,43.5049
2020-05-20,45.9249
2020-05-21,46.7323
2020-05-22,47.1718
2020-05-23,47.1718
2020-05-24,47.1718
2020-05-25,47.1718
2020-05-26,48.8251
2020-05-27,52.1294
2020-05-28,50.0581
