,DAL US Equity
,RSI_30D
2020-01-01,61.2439
2020-01-02,62.9042
2020-01-03,58.3769
2020-01-04,58.3769
2020-01-05,58.3769
2020-01-06,56.6552
2020-01-07,56.44
2020-01-08,60.3086
2020-01-09,60.6295
2020-01-10,61.4502
2020-01-11,61.4502
2020-01-12,61.4502
2020-01-13,62.1783
2020-01-14,67.2028
2020-01-15,67.5891
2020-01-16,68.1821
2020-01-17,68.5257
2020-01-18,68.5257
2020-01-19,68.5257
2020-01-20,68.5257
2020-01-21,60.8637
2020-01-22,58.081
2020-01-23,59.7925
2020-01-24,54.4617
2020-01-25,54.4617
2020-01-26,54.4617
2020-01-27,48.4071
2020-01-28,50.2841
2020-01-29,47.9783
2020-01-30,49.2827
2020-01-31,45.7003
2020-02-01,45.7003
2020-02-02,45.7003
2020-02-03,46.5863
2020-02-04,51.7204
2020-02-05,54.0416
2020-02-06,52.1243
2020-02-07,51.433
2020-02-08,51.433
2020-02-09,51.433
2020-02-10,50.8693
2020-02-11,53.2663
2020-02-12,55.1943
2020-02-13,54.2229
2020-02-14,53.5632
2020-02-15,53.5632
2020-02-16,53.5632
2020-02-17,53.5632
2020-02-18,53.0408
2020-02-19,53.5456
2020-02-20,53.1465
2020-02-21,51.5862
2020-02-22,51.5862
2020-02-23,51.5862
2020-02-24,42.3963
2020-02-25,36.264
2020-02-26,34.2682
2020-02-27,32.2885
2020-02-28,29.6788
2020-02-29,29.6788
2020-03-01,29.6788
2020-03-02,32.5007
2020-03-03,31.2658
2020-03-04,37.1173
2020-03-05,32.7752
2020-03-06,34.7658
2020-03-07,34.7658
2020-03-08,34.7658
2020-03-09,32.1163
2020-03-10,36.2514
2020-03-11,33.2434
2020-03-12,26.0798
2020-03-13,33.7448
2020-03-14,33.7448
2020-03-15,33.7448
2020-03-16,31.8701
2020-03-17,29.1923
2020-03-18,24.8193
2020-03-19,23.9294
2020-03-20,23.8579
2020-03-21,23.8579
2020-03-22,23.8579
2020-03-23,25.1167
2020-03-24,31.4132
2020-03-25,36.4005
2020-03-26,37.075
2020-03-27,35.6725
2020-03-28,35.6725
2020-03-29,35.6725
2020-03-30,35.1101
2020-03-31,35.0192
2020-04-01,32.1539
2020-04-02,31.4736
2020-04-03,31.3583
2020-04-04,31.3583
2020-04-05,31.3583
2020-04-06,31.2635
2020-04-07,31.2207
2020-04-08,32.5557
2020-04-09,34.1214
2020-04-10,34.1214
2020-04-11,34.1214
2020-04-12,34.1214
2020-04-13,33.3347
2020-04-14,35.0867
2020-04-15,34.9468
2020-04-16,33.7946
2020-04-17,35.8704
2020-04-18,35.8704
2020-04-19,35.8704
2020-04-20,35.3851
2020-04-21,34.9657
2020-04-22,34.4725
2020-04-23,34.4877
2020-04-24,34.43
2020-04-25,34.43
2020-04-26,34.43
2020-04-27,34.2184
2020-04-28,37.6739
2020-04-29,41.9836
2020-04-30,40.6092
2020-05-01,38.9352
2020-05-02,38.9352
2020-05-03,38.9352
2020-05-04,37.5487
2020-05-05,36.7966
2020-05-06,36.1777
2020-05-07,37.2238
2020-05-08,38.8106
2020-05-09,38.8106
2020-05-10,38.8106
2020-05-11,38.1299
2020-05-12,37.1984
2020-05-13,35.7066
2020-05-14,35.6792
2020-05-15,35.5007
2020-05-16,35.5007
2020-05-17,35.5007
2020-05-18,39.8747
2020-05-19,39.7702
2020-05-20,41.298
2020-05-21,41.9956
2020-05-22,41.4512
2020-05-23,41.4512
2020-05-24,41.4512
2020-05-25,41.4512
2020-05-26,46.0104
2020-05-27,46.9772
2020-05-28,46.1353
2020-05-29,45.5594
2020-05-30,45.5594
2020-05-31,45.5594
2020-06-01,47.0189
2020-06-02,47.3837
2020-06-03,50.4153
2020-06-04,55.4547
2020-06-05,57.4894
2020-06-06,57.4894
2020-06-07,57.4894
2020-06-08,60.4403
2020-06-09,56.4043
2020-06-10,53.0905
2020-06-11,47.9737
2020-06-12,51.4921
2020-06-13,51.4921
