,HII US Equity
,RSI_30D
2020-01-01,68.4832
2020-01-02,71.1905
2020-01-03,74.657
2020-01-04,74.657
2020-01-05,74.657
2020-01-06,75.2608
2020-01-07,76.222
2020-01-08,76.7907
2020-01-09,79.2088
2020-01-10,73.5111
2020-01-11,73.5111
2020-01-12,73.5111
2020-01-13,74.9383
2020-01-14,71.4193
2020-01-15,72.4757
2020-01-16,73.4026
2020-01-17,73.8598
2020-01-18,73.8598
2020-01-19,73.8598
2020-01-20,73.8598
2020-01-21,74.1416
2020-01-22,71.1854
2020-01-23,71.7455
2020-01-24,71.0834
2020-01-25,71.0834
2020-01-26,71.0834
2020-01-27,68.629
2020-01-28,68.719
2020-01-29,59.4716
2020-01-30,60.2875
2020-01-31,56.4413
2020-02-01,56.4413
2020-02-02,56.4413
2020-02-03,56.6494
2020-02-04,58.8083
2020-02-05,61.2308
2020-02-06,60.1093
2020-02-07,60.6283
2020-02-08,60.6283
2020-02-09,60.6283
2020-02-10,60.4419
2020-02-11,59.7081
2020-02-12,60.8701
2020-02-13,47.0875
2020-02-14,44.8754
2020-02-15,44.8754
2020-02-16,44.8754
2020-02-17,44.8754
2020-02-18,40.7218
2020-02-19,39.9317
2020-02-20,41.0621
2020-02-21,40.4216
2020-02-22,40.4216
2020-02-23,40.4216
2020-02-24,39.8792
2020-02-25,34.9424
2020-02-26,33.8348
2020-02-27,32.6167
2020-02-28,29.5436
2020-02-29,29.5436
2020-03-01,29.5436
2020-03-02,32.3324
2020-03-03,31.6884
2020-03-04,39.0405
2020-03-05,35.7563
2020-03-06,34.1281
2020-03-07,34.1281
2020-03-08,34.1281
2020-03-09,31.5316
2020-03-10,38.939
2020-03-11,35.7795
2020-03-12,30.966
2020-03-13,31.8406
2020-03-14,31.8406
2020-03-15,31.8406
2020-03-16,27.7657
2020-03-17,29.6455
2020-03-18,34.1514
2020-03-19,33.5804
2020-03-20,31.6572
2020-03-21,31.6572
2020-03-22,31.6572
2020-03-23,30.6986
2020-03-24,35.0386
2020-03-25,39.2018
2020-03-26,44.6346
2020-03-27,42.4997
2020-03-28,42.4997
2020-03-29,42.4997
2020-03-30,43.6354
2020-03-31,42.0414
2020-04-01,40.1633
2020-04-02,42.3657
2020-04-03,42.4825
2020-04-04,42.4825
2020-04-05,42.4825
2020-04-06,46.0641
2020-04-07,45.6073
2020-04-08,46.6355
2020-04-09,45.8957
2020-04-10,45.8957
2020-04-11,45.8957
2020-04-12,45.8957
2020-04-13,46.5287
2020-04-14,47.234
2020-04-15,45.6845
2020-04-16,46.1384
2020-04-17,47.1976
2020-04-18,47.1976
2020-04-19,47.1976
2020-04-20,46.1984
2020-04-21,44.1571
2020-04-22,44.7328
2020-04-23,44.9111
2020-04-24,44.2899
2020-04-25,44.2899
2020-04-26,44.2899
2020-04-27,45.5797
2020-04-28,46.6034
2020-04-29,48.0412
2020-04-30,46.7808
2020-05-01,45.0842
2020-05-02,45.0842
2020-05-03,45.0842
2020-05-04,43.4676
2020-05-05,44.4419
2020-05-06,43.2886
2020-05-07,41.798
2020-05-08,44.4899
2020-05-09,44.4899
2020-05-10,44.4899
2020-05-11,43.7783
2020-05-12,42.4722
2020-05-13,41.5612
2020-05-14,42.3306
2020-05-15,41.8421
2020-05-16,41.8421
2020-05-17,41.8421
2020-05-18,45.6533
2020-05-19,43.5847
2020-05-20,44.1942
2020-05-21,46.5644
2020-05-22,47.027
2020-05-23,47.027
2020-05-24,47.027
2020-05-25,47.027
2020-05-26,50.7272
2020-05-27,54.5794
2020-05-28,53.125
2020-05-29,52.8516
2020-05-30,52.8516
2020-05-31,52.8516
2020-06-01,51.3432
2020-06-02,50.9019
2020-06-03,52.6831
2020-06-04,52.2669
2020-06-05,53.6023
2020-06-06,53.6023
2020-06-07,53.6023
2020-06-08,54.7186
2020-06-09,51.6413
2020-06-10,51.3699
2020-06-11,45.9691
2020-06-12,46.5039
2020-06-13,46.5039
2020-06-14,46.5039
2020-06-15,46.4369
2020-06-16,47.7355
2020-06-17,47.1843
2020-06-18,46.3489
2020-06-19,45.3924
2020-06-20,45.3924
2020-06-21,45.3924
2020-06-22,45.1405
2020-06-23,44.8792
2020-06-24,41.5774
2020-06-25,43.6839
2020-06-26,43.304
2020-06-27,43.304
2020-06-28,43.304
2020-06-29,46.027
