,MSEX US Equity
,RSI_30D
2020-01-01,48.897
2020-01-02,45.4097
2020-01-03,45.4991
2020-01-04,45.4991
2020-01-05,45.4991
2020-01-06,43.2763
2020-01-07,42.3588
2020-01-08,43.4714
2020-01-09,43.8875
2020-01-10,43.6574
2020-01-11,43.6574
2020-01-12,43.6574
2020-01-13,47.8104
2020-01-14,46.5991
2020-01-15,49.7319
2020-01-16,53.649
2020-01-17,56.8257
2020-01-18,56.8257
2020-01-19,56.8257
2020-01-20,56.8257
2020-01-21,57.7292
2020-01-22,58.171
2020-01-23,58.0455
2020-01-24,55.5356
2020-01-25,55.5356
2020-01-26,55.5356
2020-01-27,55.7312
2020-01-28,56.5468
2020-01-29,57.9316
2020-01-30,58.0287
2020-01-31,52.8255
2020-02-01,52.8255
2020-02-02,52.8255
2020-02-03,55.7602
2020-02-04,56.0716
2020-02-05,58.1578
2020-02-06,59.3036
2020-02-07,59.7064
2020-02-08,59.7064
2020-02-09,59.7064
2020-02-10,60.9719
2020-02-11,57.6528
2020-02-12,58.6443
2020-02-13,61.989
2020-02-14,61.3949
2020-02-15,61.3949
2020-02-16,61.3949
2020-02-17,61.3949
2020-02-18,61.7947
2020-02-19,56.7688
2020-02-20,55.9591
2020-02-21,57.4699
2020-02-22,57.4699
2020-02-23,57.4699
2020-02-24,53.3352
2020-02-25,48.2748
2020-02-26,49.969
2020-02-27,42.4095
2020-02-28,38.3878
2020-02-29,38.3878
2020-03-01,38.3878
2020-03-02,48.6666
2020-03-03,46.7629
2020-03-04,52.0829
2020-03-05,50.7747
2020-03-06,53.6924
2020-03-07,53.6924
2020-03-08,53.6924
2020-03-09,48.3032
2020-03-10,49.7804
2020-03-11,41.6953
2020-03-12,37.0376
2020-03-13,39.7733
2020-03-14,39.7733
2020-03-15,39.7733
2020-03-16,34.8329
2020-03-17,47.9116
2020-03-18,44.0392
2020-03-19,45.0242
2020-03-20,44.6254
2020-03-21,44.6254
2020-03-22,44.6254
2020-03-23,43.1486
2020-03-24,44.5952
2020-03-25,42.683
2020-03-26,44.4379
2020-03-27,45.9169
2020-03-28,45.9169
2020-03-29,45.9169
2020-03-30,49.6384
2020-03-31,48.5383
2020-04-01,44.1314
2020-04-02,47.0093
2020-04-03,46.2982
2020-04-04,46.2982
2020-04-05,46.2982
2020-04-06,49.6885
2020-04-07,47.7665
2020-04-08,49.5372
2020-04-09,51.3193
2020-04-10,51.3193
2020-04-11,51.3193
2020-04-12,51.3193
2020-04-13,50.8742
2020-04-14,51.583
2020-04-15,48.253
2020-04-16,49.2693
2020-04-17,50.1101
2020-04-18,50.1101
2020-04-19,50.1101
2020-04-20,47.929
2020-04-21,46.8011
2020-04-22,48.2676
2020-04-23,48.1822
2020-04-24,48.5588
2020-04-25,48.5588
2020-04-26,48.5588
2020-04-27,48.6465
2020-04-28,49.7981
2020-04-29,51.7358
2020-04-30,49.5801
2020-05-01,49.3284
2020-05-02,49.3284
2020-05-03,49.3284
2020-05-04,50.2562
2020-05-05,50.9507
2020-05-06,50.2904
2020-05-07,51.0129
2020-05-08,51.2224
2020-05-09,51.2224
2020-05-10,51.2224
2020-05-11,50.8847
2020-05-12,50.2408
2020-05-13,50.3457
2020-05-14,48.8763
2020-05-15,49.5417
2020-05-16,49.5417
2020-05-17,49.5417
2020-05-18,53.0501
2020-05-19,50.5705
2020-05-20,51.682
2020-05-21,51.848
2020-05-22,53.1788
2020-05-23,53.1788
2020-05-24,53.1788
2020-05-25,53.1788
2020-05-26,54.7456
2020-05-27,55.898
2020-05-28,55.1775
2020-05-29,57.0725
2020-05-30,57.0725
2020-05-31,57.0725
2020-06-01,56.3029
2020-06-02,57.3248
2020-06-03,58.7302
2020-06-04,57.0025
2020-06-05,58.472
2020-06-06,58.472
2020-06-07,58.472
2020-06-08,57.7506
2020-06-09,56.8336
2020-06-10,56.9391
2020-06-11,55.3021
2020-06-12,55.7074
2020-06-13,55.7074
2020-06-14,55.7074
2020-06-15,58.4368
2020-06-16,56.7431
2020-06-17,55.5849
2020-06-18,54.9342
2020-06-19,54.1361
2020-06-20,54.1361
2020-06-21,54.1361
2020-06-22,52.6387
2020-06-23,52.3982
2020-06-24,50.1936
2020-06-25,48.8873
2020-06-26,46.0018
2020-06-27,46.0018
2020-06-28,46.0018
2020-06-29,51.7622
2020-06-30,53.2335
2020-07-01,53.2686
2020-07-02,53.7948
2020-07-03,53.7948
2020-07-04,53.7948
2020-07-05,53.7948
2020-07-06,52.3398
2020-07-07,49.6663
2020-07-08,49.4851
2020-07-09,47.0736
2020-07-10,48.5745
2020-07-11,48.5745
2020-07-12,48.5745
2020-07-13,47.4606
2020-07-14,47.8821
2020-07-15,49.2303
2020-07-16,50.1475
2020-07-17,52.629
2020-07-18,52.629
2020-07-19,52.629
2020-07-20,51.978
2020-07-21,53.2023
2020-07-22,53.4027
2020-07-23,53.3397
2020-07-24,53.0806
2020-07-25,53.0806
2020-07-26,53.0806
2020-07-27,51.6686
2020-07-28,51.4084
2020-07-29,53.5844
2020-07-30,49.6548
2020-07-31,48.401
2020-08-01,48.401
2020-08-02,48.401
2020-08-03,51.3652
2020-08-04,50.7193
2020-08-05,50.9321
2020-08-06,51.4892
2020-08-07,56.4356
2020-08-08,56.4356
2020-08-09,56.4356
2020-08-10,56.0449
2020-08-11,53.5121
2020-08-12,53.9792
2020-08-13,53.9884
2020-08-14,53.1541
2020-08-15,53.1541
2020-08-16,53.1541
2020-08-17,52.0787
2020-08-18,51.6256
2020-08-19,49.7983
2020-08-20,49.3719
2020-08-21,48.5972
2020-08-22,48.5972
2020-08-23,48.5972
2020-08-24,48.5796
2020-08-25,48.3631
2020-08-26,47.3267
2020-08-27,49.7501
2020-08-28,48.8133
2020-08-29,48.8133
2020-08-30,48.8133
2020-08-31,47.5175
2020-09-01,47.4616
2020-09-02,50.1109
2020-09-03,48.3957
2020-09-04,47.2308
2020-09-05,47.2308
2020-09-06,47.2308
2020-09-07,47.2308
2020-09-08,44.4795
2020-09-09,47.8659
2020-09-10,46.1469
2020-09-11,44.1871
2020-09-12,44.1871
2020-09-13,44.1871
2020-09-14,47.8674
2020-09-15,49.2843
2020-09-16,48.056
2020-09-17,46.3159
2020-09-18,45.6785
2020-09-19,45.6785
2020-09-20,45.6785
2020-09-21,45.1206
2020-09-22,44.2399
2020-09-23,41.1555
2020-09-24,43.2549
2020-09-25,45.176
2020-09-26,45.176
2020-09-27,45.176
2020-09-28,46.7629
2020-09-29,46.9812
2020-09-30,46.3909
2020-10-01,48.9449
2020-10-02,48.1967
2020-10-03,48.1967
2020-10-04,48.1967
2020-10-05,48.5223
2020-10-06,48.0537
2020-10-07,48.9255
2020-10-08,50.9405
2020-10-09,50.8549
2020-10-10,50.8549
2020-10-11,50.8549
2020-10-12,56.1179
2020-10-13,52.891
2020-10-14,51.1495
2020-10-15,53.2191
2020-10-16,55.1333
2020-10-17,55.1333
2020-10-18,55.1333
2020-10-19,55.897
2020-10-20,54.0772
2020-10-21,55.7411
2020-10-22,57.6905
2020-10-23,59.3992
2020-10-24,59.3992
2020-10-25,59.3992
2020-10-26,57.2911
2020-10-27,57.6635
2020-10-28,53.1794
2020-10-29,52.2028
2020-10-30,48.2096
2020-10-31,48.2096
2020-11-01,48.2096
2020-11-02,54.1952
2020-11-03,54.4373
2020-11-04,50.4064
2020-11-05,53.4538
2020-11-06,52.2742
2020-11-07,52.2742
2020-11-08,52.2742
2020-11-09,54.789
2020-11-10,60.8037
2020-11-11,60.479
2020-11-12,56.8339
2020-11-13,57.1621
2020-11-14,57.1621
2020-11-15,57.1621
2020-11-16,58.725
2020-11-17,57.7031
2020-11-18,54.3054
2020-11-19,54.3972
2020-11-20,54.6527
2020-11-21,54.6527
2020-11-22,54.6527
2020-11-23,56.0215
2020-11-24,57.1241
2020-11-25,56.1873
2020-11-26,56.1873
2020-11-27,53.4822
2020-11-28,53.4822
2020-11-29,53.4822
2020-11-30,51.7067
2020-12-01,53.6567
2020-12-02,54.5364
2020-12-03,53.0644
2020-12-04,54.5474
2020-12-05,54.5474
2020-12-06,54.5474
2020-12-07,54.0043
2020-12-08,54.4732
2020-12-09,56.3852
2020-12-10,58.4224
2020-12-11,59.8703
2020-12-12,59.8703
2020-12-13,59.8703
2020-12-14,57.9144
2020-12-15,58.958
2020-12-16,56.6053
2020-12-17,57.3346
2020-12-18,53.9045
2020-12-19,53.9045
2020-12-20,53.9045
2020-12-21,51.0388
2020-12-22,52.0281
2020-12-23,52.2097
2020-12-24,53.0525
2020-12-25,53.0525
2020-12-26,53.0525
2020-12-27,53.0525
2020-12-28,54.8209
2020-12-29,53.7037
2020-12-30,53.9655
2020-12-31,54.8209
2021-01-01,54.8209
2021-01-02,54.8209
2021-01-03,54.8209
2021-01-04,52.1943
2021-01-05,52.2271
2021-01-06,56.5977
2021-01-07,53.587
2021-01-08,53.844
2021-01-09,53.844
2021-01-10,53.844
2021-01-11,50.5082
2021-01-12,50.2453
2021-01-13,49.9261
2021-01-14,50.3214
2021-01-15,52.5933
2021-01-16,52.5933
2021-01-17,52.5933
2021-01-18,52.5933
2021-01-19,54.7651
2021-01-20,54.3515
2021-01-21,54.3839
2021-01-22,56.046
2021-01-23,56.046
2021-01-24,56.046
2021-01-25,55.0191
2021-01-26,66.4427
2021-01-27,58.6983
2021-01-28,59.4007
2021-01-29,60.5061
2021-01-30,60.5061
2021-01-31,60.5061
2021-02-01,60.79
2021-02-02,61.9229
2021-02-03,60.6145
2021-02-04,62.2439
2021-02-05,63.6093
2021-02-06,63.6093
2021-02-07,63.6093
2021-02-08,65.6464
2021-02-09,65.3458
2021-02-10,61.3136
2021-02-11,59.8082
2021-02-12,56.4389
2021-02-13,56.4389
2021-02-14,56.4389
2021-02-15,56.4389
2021-02-16,54.263
2021-02-17,52.3023
2021-02-18,52.9263
2021-02-19,52.3734
2021-02-20,52.3734
2021-02-21,52.3734
2021-02-22,48.8288
2021-02-23,45.4634
2021-02-24,45.4167
2021-02-25,41.5082
2021-02-26,43.1523
2021-02-27,43.1523
2021-02-28,43.1523
2021-03-01,43.6509
2021-03-02,44.796
2021-03-03,43.6379
2021-03-04,44.1847
2021-03-05,46.367
2021-03-06,46.367
2021-03-07,46.367
2021-03-08,47.6653
2021-03-09,51.8947
2021-03-10,52.8466
2021-03-11,53.9819
2021-03-12,55.6958
2021-03-13,55.6958
2021-03-14,55.6958
2021-03-15,55.2728
2021-03-16,55.6453
2021-03-17,53.8929
2021-03-18,54.5509
2021-03-19,56.6555
2021-03-20,56.6555
2021-03-21,56.6555
2021-03-22,54.7981
2021-03-23,54.6144
2021-03-24,54.4727
2021-03-25,56.0074
2021-03-26,56.4745
2021-03-27,56.4745
2021-03-28,56.4745
2021-03-29,58.3304
2021-03-30,54.3562
2021-03-31,55.3701
2021-04-01,55.5273
2021-04-02,55.5273
2021-04-03,55.5273
2021-04-04,55.5273
2021-04-05,56.3882
2021-04-06,56.3882
2021-04-07,54.3946
2021-04-08,55.2346
2021-04-09,55.9319
2021-04-10,55.9319
2021-04-11,55.9319
2021-04-12,58.0693
2021-04-13,58.8682
2021-04-14,57.9544
2021-04-15,59.037
2021-04-16,60.0473
2021-04-17,60.0473
2021-04-18,60.0473
2021-04-19,58.9248
2021-04-20,60.3357
2021-04-21,60.8356
2021-04-22,61.3799
2021-04-23,61.6556
2021-04-24,61.6556
2021-04-25,61.6556
2021-04-26,59.0398
2021-04-27,56.0276
2021-04-28,55.0007
2021-04-29,55.743
2021-04-30,56.3583
2021-05-01,56.3583
2021-05-02,56.3583
2021-05-03,56.5555
2021-05-04,53.59
2021-05-05,51.8471
2021-05-06,52.0122
2021-05-07,53.3722
2021-05-08,53.3722
2021-05-09,53.3722
2021-05-10,54.0996
2021-05-11,53.0718
2021-05-12,47.2488
2021-05-13,50.4768
2021-05-14,51.7188
2021-05-15,51.7188
2021-05-16,51.7188
2021-05-17,53.2606
2021-05-18,53.3126
2021-05-19,53.6151
2021-05-20,53.2999
2021-05-21,52.9777
2021-05-22,52.9777
2021-05-23,52.9777
2021-05-24,53.6349
2021-05-25,60.2878
2021-05-26,60.422
2021-05-27,60.4373
2021-05-28,62.053
2021-05-29,62.053
2021-05-30,62.053
2021-05-31,62.053
2021-06-01,61.1512
2021-06-02,59.8622
2021-06-03,61.3414
2021-06-04,60.8426
2021-06-05,60.8426
2021-06-06,60.8426
2021-06-07,63.8109
2021-06-08,64.1854
2021-06-09,61.7694
2021-06-10,59.7609
2021-06-11,60.8373
2021-06-12,60.8373
2021-06-13,60.8373
2021-06-14,60.7369
2021-06-15,59.5681
2021-06-16,59.337
2021-06-17,60.973
2021-06-18,53.8445
2021-06-19,53.8445
2021-06-20,53.8445
2021-06-21,56.4682
2021-06-22,53.2725
2021-06-23,49.0936
2021-06-24,51.1389
2021-06-25,50.6039
2021-06-26,50.6039
2021-06-27,50.6039
2021-06-28,52.1573
2021-06-29,49.3871
2021-06-30,48.4815
2021-07-01,50.5419
2021-07-02,50.7421
