,MAXR US Equity
,RSI_30D
2020-01-01,68.6896
2020-01-02,70.4213
2020-01-03,72.2214
2020-01-04,72.2214
2020-01-05,72.2214
2020-01-06,72.3694
2020-01-07,73.2184
2020-01-08,75.0942
2020-01-09,74.0604
2020-01-10,75.7694
2020-01-11,75.7694
2020-01-12,75.7694
2020-01-13,73.7397
2020-01-14,74.2494
2020-01-15,74.8553
2020-01-16,71.8904
2020-01-17,73.101
2020-01-18,73.101
2020-01-19,73.101
2020-01-20,73.101
2020-01-21,73.9832
2020-01-22,72.0654
2020-01-23,70.8775
2020-01-24,66.1826
2020-01-25,66.1826
2020-01-26,66.1826
2020-01-27,63.3845
2020-01-28,63.8564
2020-01-29,58.2638
2020-01-30,58.1906
2020-01-31,54.2086
2020-02-01,54.2086
2020-02-02,54.2086
2020-02-03,55.707
2020-02-04,57.5688
2020-02-05,54.617
2020-02-06,54.5173
2020-02-07,57.538
2020-02-08,57.538
2020-02-09,57.538
2020-02-10,58.4969
2020-02-11,60.7186
2020-02-12,61.3239
2020-02-13,60.802
2020-02-14,61.5041
2020-02-15,61.5041
2020-02-16,61.5041
2020-02-17,61.5041
2020-02-18,56.7208
2020-02-19,55.2722
2020-02-20,56.0021
2020-02-21,54.6357
2020-02-22,54.6357
2020-02-23,54.6357
2020-02-24,52.1984
2020-02-25,49.1342
2020-02-26,48.3994
2020-02-27,47.0315
2020-02-28,48.3488
2020-02-29,48.3488
2020-03-01,48.3488
2020-03-02,47.0211
2020-03-03,49.1094
2020-03-04,55.1577
2020-03-05,49.3448
2020-03-06,47.2446
2020-03-07,47.2446
2020-03-08,47.2446
2020-03-09,42.782
2020-03-10,44.9187
2020-03-11,40.4308
2020-03-12,37.1001
2020-03-13,41.8076
2020-03-14,41.8076
2020-03-15,41.8076
2020-03-16,38.3029
2020-03-17,39.6758
2020-03-18,37.944
2020-03-19,38.1625
2020-03-20,37.2577
2020-03-21,37.2577
2020-03-22,37.2577
2020-03-23,38.2919
2020-03-24,41.1788
2020-03-25,45.5761
2020-03-26,45.0981
2020-03-27,45.6225
2020-03-28,45.6225
2020-03-29,45.6225
2020-03-30,44.7926
2020-03-31,44.4395
2020-04-01,41.9377
2020-04-02,41.9025
2020-04-03,42.574
2020-04-04,42.574
2020-04-05,42.574
2020-04-06,44.4913
2020-04-07,44.5404
2020-04-08,46.3809
2020-04-09,47.4395
2020-04-10,47.4395
2020-04-11,47.4395
2020-04-12,47.4395
2020-04-13,46.7452
2020-04-14,47.6614
2020-04-15,46.1948
2020-04-16,43.7672
2020-04-17,46.1353
2020-04-18,46.1353
2020-04-19,46.1353
2020-04-20,46.4364
2020-04-21,44.5679
2020-04-22,45.2231
2020-04-23,45.6484
2020-04-24,44.9934
2020-04-25,44.9934
2020-04-26,44.9934
2020-04-27,49.061
2020-04-28,49.6047
2020-04-29,51.9671
2020-04-30,51.4075
2020-05-01,48.4164
2020-05-02,48.4164
2020-05-03,48.4164
2020-05-04,47.1826
2020-05-05,46.9491
2020-05-06,46.1923
2020-05-07,46.0244
2020-05-08,48.566
2020-05-09,48.566
2020-05-10,48.566
2020-05-11,49.3966
2020-05-12,45.5434
2020-05-13,43.5084
2020-05-14,43.9356
2020-05-15,44.3131
2020-05-16,44.3131
2020-05-17,44.3131
2020-05-18,47.1721
2020-05-19,45.8227
2020-05-20,45.6779
2020-05-21,46.2925
2020-05-22,52.0394
2020-05-23,52.0394
2020-05-24,52.0394
2020-05-25,52.0394
2020-05-26,56.7591
2020-05-27,56.569
2020-05-28,57.7813
2020-05-29,58.3822
2020-05-30,58.3822
2020-05-31,58.3822
2020-06-01,61.0332
2020-06-02,60.2335
2020-06-03,61.7135
2020-06-04,60.6819
2020-06-05,60.7816
2020-06-06,60.7816
2020-06-07,60.7816
2020-06-08,63.6083
2020-06-09,62.4752
2020-06-10,58.6617
2020-06-11,52.061
2020-06-12,54.1151
2020-06-13,54.1151
2020-06-14,54.1151
2020-06-15,54.9705
2020-06-16,56.1779
2020-06-17,55.2582
2020-06-18,53.8894
2020-06-19,54.6004
